0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,active_hand
9.163547,6.1642427,5.2529774,5.3909006,5.077464,4.9970512,5.060815,5.09887,-3.6684148,5.5982385,4.826104,5.1482296,4.061202,4.627418,5.16953,5.6199055,5.227529,4.8940873,4.922501,5.6597786,4.848,3.6087825,4.9723487,1
9.402758,4.435779,10.531155,3.6165948,5.4903445,4.846785,6.3039246,-0.1661177,5.1954656,5.175554,4.6277046,3.0149248,6.6329637,7.193505,4.90265,5.550134,4.947316,5.7205067,4.5331783,5.86324,4.8808155,3.5074248,5.5561533,0
9.160831,6.159461,5.2522416,5.395632,5.0770845,4.9948583,5.0623875,5.0985236,-3.6671543,5.5966897,4.8280945,5.1498632,4.062332,4.623883,5.170545,5.617889,5.2239456,4.895255,4.9247727,5.6607804,4.8528852,3.6097286,4.9708567,1
9.403058,4.437751,10.529072,3.6153376,5.489599,4.848446,6.30062,-0.16636127,5.1957493,5.1753182,4.6279864,3.0130858,6.633205,7.193778,4.9049964,5.55229,4.94799,5.7227135,4.5325265,5.865231,4.8814483,3.5057755,5.558469,0
9.160467,6.159867,5.251059,5.394938,5.0784874,4.9967327,5.0604367,5.1001406,-3.667554,5.5985293,4.82755,5.150788,4.0604844,4.62465,5.1686797,5.6181746,5.2238336,4.8963695,4.922844,5.661754,4.852532,3.6109314,4.972587,1
9.404131,4.4368405,10.529865,3.61452,5.488693,4.8479166,6.3006544,-0.16547495,5.19488,5.1743636,4.626845,3.0131583,6.6321545,7.1926956,4.905366,5.5514402,4.9488783,5.721871,4.5317564,5.8655014,4.882322,3.5072324,5.5576863,0
9.155261,6.154609,5.2462416,5.399041,5.082218,4.998997,5.0572076,5.1043434,-3.6669753,5.60155,4.827916,5.1566644,4.0569215,4.6228104,5.164923,5.6169376,5.2175465,4.902096,4.9205875,5.666416,4.858061,3.6165588,4.975444,1
9.407976,4.433442,10.5327215,3.6118226,5.485756,4.8460073,6.302534,-0.16260222,5.191795,5.1708016,4.6224527,3.0136356,6.628227,7.189082,4.905641,5.548072,4.9518743,5.718407,4.529123,5.865755,4.8852253,3.5134032,5.554368,0
9.16286,6.162629,5.253224,5.392746,5.076715,4.995414,5.0622363,5.098064,-3.668317,5.5968823,4.827087,5.148379,4.062368,4.625905,5.170672,5.619244,5.226505,4.89401,4.9242063,5.6596956,4.8496723,3.6085901,4.9710517,1
9.396369,4.4392643,10.5284,3.6211007,5.494257,4.848866,6.3001494,-0.16941515,5.2006087,5.1820908,4.6355724,3.0145423,6.639687,7.1972375,4.9027834,5.554453,4.9425373,5.724844,4.5386753,5.862562,4.876774,3.4979026,5.560525,0
9.141261,6.140863,5.2300925,5.409047,5.09682,5.0138097,5.0397124,5.1216316,-3.6617432,5.6175766,4.8297477,5.1740522,4.0394583,4.6187186,5.147234,5.6104507,5.2015896,4.9196405,4.904943,5.681019,4.8720403,3.6344087,4.990391,1
