0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,active_hand
9.245063,6.2240453,5.541407,5.623146,5.3128347,4.2827682,6.23273,4.8956943,13.64813,5.3659935,5.1299405,4.515563,6.1228027,4.1141148,4.623277,5.370799,5.7405,4.6406713,5.237805,4.653541,4.3922143,3.4746194,4.8851414,4.9609866,4.7789745,1
9.652377,4.3026104,10.729133,7.3435993,5.652922,4.426371,5.2754645,-0.1744519,4.932867,5.142798,4.71079,6.443912,3.4259386,1.849474,4.612122,5.3771534,6.000237,4.5507064,5.4595447,5.2007217,4.056011,3.3989832,4.0598893,4.8261166,4.894136,0
9.246219,6.2238016,5.544409,5.6246715,5.3138137,4.28203,6.2325435,4.895482,13.651334,5.3684683,5.129927,4.513941,6.122711,4.115686,4.624843,5.3681417,5.742153,4.6405563,5.2384114,4.653915,4.393711,3.4735813,4.8861475,4.96225,4.7785244,1
9.650157,4.304641,10.728252,7.3438044,5.6527934,4.4274483,5.272875,-0.1739013,4.9331317,5.1406593,4.7091537,6.442712,3.4245987,1.8473263,4.6127677,5.376486,5.9991417,4.553059,5.459512,5.199121,4.0572557,3.4003468,4.0613823,4.8261824,4.8936324,0
9.245707,6.2222314,5.537175,5.622815,5.308145,4.2873983,6.232786,4.89517,13.644209,5.3617463,5.125403,4.520162,6.118352,4.1138864,4.622962,5.375062,5.7367573,4.645251,5.2414756,4.650743,4.3935833,3.4793475,4.880404,4.956318,4.7790804,1
9.649704,4.301244,10.73113,7.3474426,5.6490135,4.4232736,5.274437,-0.17428824,4.9368334,5.1438975,4.71285,6.4444766,3.4267135,1.8510532,4.6159043,5.379003,6.0026565,4.5491114,5.463199,5.1972637,4.055154,3.3960004,4.059895,4.8239565,4.890401,0
9.24963,6.2181263,5.5322857,5.6257505,5.304084,4.2913065,6.2291346,4.896373,13.63823,5.3593416,5.1190624,4.5247316,6.1122513,4.1168933,4.6258626,5.380679,5.736889,4.6476455,5.247276,4.6529536,4.3978796,3.4821243,4.877774,4.9528403,4.7755094,1
9.64393,4.313247,10.722366,7.3447113,5.6522765,4.4307866,5.2649946,-0.17384204,4.9339385,5.132704,4.703854,6.440378,3.4176466,1.8390409,4.614625,5.3733687,5.996497,4.56063,5.4600105,5.1946616,4.0602713,3.4045303,4.06402,4.8258586,4.891614,0
9.254927,6.223747,5.570341,5.6378055,5.333534,4.2638583,6.225518,4.899689,13.674875,5.3942304,5.1397743,4.4921513,6.13208,4.128679,4.638022,5.3448577,5.767343,4.6229873,5.233806,4.6726894,4.402033,3.4510665,4.9089313,4.984619,4.7702875,1
9.648816,4.307052,10.727018,7.344449,5.6517844,4.430192,5.270643,-0.17320077,4.9344873,5.137861,4.705894,6.4408,3.4234023,1.8442574,4.61323,5.3746605,5.995902,4.5567417,5.459024,5.197766,4.0594883,3.403568,4.063265,4.8279448,4.8934426,0
9.234641,6.222046,5.528243,5.608216,5.2972918,4.2986073,6.2408285,4.8930383,13.636026,5.350848,5.1147995,4.5302234,6.10747,4.099221,4.6081185,5.383934,5.7232895,4.657925,5.247284,4.6345544,4.3833303,3.490812,4.868839,4.9453893,4.7889075,1
9.6481285,4.3049,10.729452,7.3469863,5.648935,4.4282117,5.2710977,-0.17311125,4.9374228,5.1395736,4.7076135,6.4413075,3.4249868,1.8462391,4.6151776,5.376033,5.9973264,4.5549536,5.461016,5.1962686,4.058695,3.4015443,4.0630937,4.826918,4.8915854,0
9.241112,6.228737,5.549498,5.620354,5.318216,4.277765,6.23704,4.8940187,13.657911,5.370716,5.1372776,4.5090275,6.1297884,4.11127,4.6205544,5.362162,5.7415643,4.638042,5.2317033,4.6508102,4.387999,3.470794,4.8887715,4.965883,4.7830133,1
9.638266,4.300843,10.737434,7.360233,5.6343484,4.421625,5.265907,-0.17065485,4.9527535,5.141762,4.711578,6.4406347,3.4284663,1.8500057,4.6271477,5.380806,6.001379,4.552654,5.471285,5.1840944,4.0583687,3.395354,4.065528,4.8222036,4.8801484,0
9.24308,6.2271037,5.549364,5.6222754,5.318147,4.2778163,6.235052,4.894957,13.657116,5.3717837,5.1354613,4.5092225,6.128055,4.1131706,4.622455,5.362879,5.743622,4.6373587,5.2335243,4.6533194,4.389937,3.4699028,4.8897347,4.966332,4.7810273,1
9.650509,4.339327,10.700285,7.317741,5.6792536,4.46629,5.255073,-0.17035957,4.908087,5.106824,4.6714606,6.424574,3.4028447,1.8085607,4.5905237,5.35134,5.9634953,4.5942163,5.430352,5.2096434,4.078896,3.4423482,4.0775614,4.8471994,4.9179792,0
9.240935,6.232892,5.565138,5.6229663,5.330399,4.2661767,6.237916,4.8944483,13.673861,5.3844504,5.1476746,4.4957137,6.139786,4.11378,4.6232634,5.347298,5.75196,4.628207,5.2240877,4.6564255,4.3870964,3.4584968,4.900952,4.978629,4.7833467,1
9.635158,4.300683,10.73977,7.3619,5.63237,4.4221396,5.263132,-0.16910616,4.955079,5.140929,4.710568,6.438937,3.4293623,1.849538,4.629308,5.3810234,6.000166,4.554305,5.471871,5.1810308,4.059845,3.3961163,4.0677667,4.8221774,4.878922,0
9.237749,6.2358093,5.567139,5.6202917,5.3331943,4.2633114,6.239779,4.8938375,13.676533,5.3845043,5.153279,4.4929457,6.145186,4.110971,4.62055,5.344438,5.75114,4.6257834,5.2190833,4.6553426,4.383002,3.4565964,4.9027925,4.9808507,4.785184,1
9.629325,4.295242,10.747079,7.371155,5.622307,4.415594,5.261224,-0.16803733,4.96551,5.1448674,4.715472,6.439983,3.4334397,1.8549871,4.637939,5.3855557,6.005021,4.5500264,5.479656,5.1731243,4.058021,3.3896937,4.067974,4.817612,4.87093,0
9.243458,6.229471,5.557497,5.6242094,5.324799,4.271403,6.2349696,4.8948326,13.665763,5.377867,5.1429,4.5020556,6.135203,4.1150446,4.6244307,5.354725,5.74815,4.6319113,5.228405,4.6562724,4.3897333,3.4636962,4.8958473,4.972946,4.7804008,1
9.632527,4.2998643,10.740298,7.365949,5.6282763,4.417716,5.262386,-0.17012362,4.959108,5.142032,4.713629,6.4408154,3.4289029,1.8512918,4.6332545,5.382963,6.004253,4.551799,5.4762983,5.1775737,4.0576396,3.3918345,4.0664973,4.8184185,4.8749237,0
9.643696,4.3176637,10.719849,7.3434615,5.6525664,4.438685,5.2621303,-0.17203917,4.9343963,5.127207,4.6958194,6.435595,3.4162405,1.8326528,4.6128902,5.3686132,5.9873867,4.568875,5.456163,5.194486,4.065616,3.4133768,4.068502,4.8316936,4.8942122,0
9.242344,6.228835,5.5535436,5.6223817,5.322331,4.2736883,6.235103,4.894974,13.66162,5.3744936,5.140898,4.504992,6.133265,4.113206,4.622554,5.3584175,5.745392,4.633654,5.229403,4.6547837,4.3884907,3.46611,4.8934464,4.97031,4.7808757,1
9.639109,4.263569,10.753218,7.436099,5.5546236,4.3667464,5.2964644,-0.18626341,5.030531,5.1867676,4.7656007,6.476694,3.4460976,1.8979841,4.6701064,5.411399,6.060113,4.4904356,5.5478115,5.1621075,4.0251584,3.3317964,4.022791,4.8024597,4.8026695,0
0.8879595,11.803363,5.4424224,5.304971,5.0531273,4.7653728,5.3632035,5.561233,5.086569,5.670104,4.949584,4.7398844,5.1134324,4.2001643,4.8928814,5.0016365,5.8373747,5.0893536,5.3533297,4.761853,4.295546,3.5867827,4.8498573,5.0272236,5.1695485,1
9.676858,4.2253323,10.774614,7.4070907,5.584391,4.3658533,5.33679,-0.20162572,4.9997015,5.2265434,4.7892637,6.49997,3.4724355,1.9361638,4.637353,5.416814,6.068015,4.4476504,5.5204315,5.197863,4.004843,3.3244364,4.002127,4.8080277,4.831205,0
0.88361317,11.803905,5.44187,5.3080416,5.0546465,4.7614117,5.362622,5.559363,5.0832267,5.6657276,4.9454107,4.7421403,5.113119,4.19888,4.8884478,5.0048265,5.8329816,5.085078,5.354233,4.7577004,4.299561,3.582658,4.8477097,5.023228,5.167573,1
9.650761,4.2527733,10.746612,7.4573417,5.5348153,4.347884,5.3156514,-0.20055598,5.0475364,5.203625,4.7881875,6.499903,3.4469244,1.9136562,4.6754937,5.420678,6.08853,4.4610677,5.5752873,5.16731,4.008482,3.3053439,3.9907088,4.799142,4.776173,0
0.8798926,11.797844,5.4355197,5.3033166,5.049582,4.761406,5.3612638,5.5636945,5.0809517,5.669221,4.9450912,4.7391415,5.106796,4.199277,4.886083,5.003183,5.8370953,5.0889273,5.361973,4.760558,4.293958,3.5820959,4.8437624,5.0246806,5.1708703,1
9.647465,4.2595406,10.745315,7.446624,5.5458446,4.355772,5.3081193,-0.19703814,5.0370765,5.1952167,4.7789116,6.4926853,3.4435108,1.9051117,4.6709666,5.415954,6.078338,4.47292,5.563728,5.1676064,4.014522,3.3159113,4.000539,4.8005667,4.78784,0
0.85595316,11.783067,5.41681,5.30027,5.0408893,4.7492304,5.3551707,5.5694056,5.064385,5.665847,4.931628,4.7381806,5.0886965,4.197303,4.8659444,5.009626,5.835416,5.0867553,5.3860774,4.7561083,4.290784,3.5679142,4.826383,5.0165443,5.1738596,1
9.663682,4.262322,10.762968,7.3583665,5.636254,4.398472,5.3005753,-0.1748192,4.948707,5.1792674,4.7424083,6.456817,3.4559574,1.8893977,4.621687,5.398594,6.0235353,4.5125585,5.4742827,5.2023664,4.0392413,3.3676686,4.0485663,4.8158646,4.8849587,0
0.85404027,11.776808,5.4106307,5.297786,5.037227,4.753887,5.3564405,5.5720296,5.0628357,5.6704245,4.935377,4.735742,5.082575,4.194532,4.8670974,5.0047107,5.841158,5.0914397,5.3905225,4.763249,4.285269,3.5718184,4.823001,5.023562,5.174799,1
9.640233,4.262139,10.765734,7.4026766,5.588424,4.3836284,5.288742,-0.17555726,4.9980574,5.1806087,4.75046,6.4603605,3.4538865,1.8927273,4.6536155,5.4059916,6.03629,4.507463,5.5120564,5.170817,4.037106,3.3525507,4.0454187,4.8080316,4.840953,0
0.84724903,11.782594,5.4146976,5.305803,5.0431046,4.7404714,5.355865,5.5661507,5.0586343,5.654243,4.921603,4.741786,5.086853,4.1925025,4.855896,5.0125475,5.8237457,5.0756726,5.3876944,4.7455735,4.300014,3.5586374,4.822163,5.007597,5.169513,1
9.632497,4.2810187,10.756083,7.3855004,5.6072693,4.401362,5.2721286,-0.16944216,4.9799685,5.1600966,4.7308893,6.4469786,3.4428375,1.8709328,4.6460276,5.3957925,6.0174685,4.5321345,5.493511,5.1704183,4.05007,3.3732314,4.060702,4.813769,4.858054,0
0.83994114,11.781942,5.412551,5.30823,5.043937,4.733471,5.354386,5.564815,5.05477,5.6467977,4.913847,4.7435145,5.084859,4.1917605,4.847865,5.016417,5.816194,5.068634,5.391966,4.7379456,4.305071,3.5511527,4.818979,5.000416,5.168257,1
9.635155,4.288291,10.748343,7.3759665,5.6176176,4.407245,5.2703896,-0.17162152,4.969391,5.15375,4.7248673,6.446441,3.436502,1.8637938,4.638856,5.3903155,6.013795,4.5384564,5.486215,5.1761947,4.0515194,3.3798268,4.0605702,4.81515,4.865873,0
0.8595191,11.784633,5.4190407,5.3003955,5.0414,4.7493258,5.3562093,5.569157,5.0662036,5.665751,4.932768,4.738169,5.090901,4.1971426,4.868887,5.008651,5.8349867,5.086333,5.3796773,4.7552238,4.291833,3.5689588,4.828332,5.015843,5.173536,1
9.634334,4.2908287,10.745656,7.377267,5.616399,4.4081736,5.2690988,-0.17239095,4.970588,5.15167,4.7235956,6.4467916,3.4341686,1.8613821,4.6393304,5.389241,6.0137367,4.5399327,5.487544,5.1756086,4.051965,3.3806887,4.059553,4.815597,4.864002,0
0.85405654,11.776468,5.4099693,5.2969904,5.036568,4.7559013,5.3563724,5.572552,5.0629697,5.671907,4.936367,4.7352166,5.08182,4.1946216,4.8677897,5.0037985,5.842491,5.093075,5.3917327,4.7642245,4.284141,3.5733395,4.8227,5.0254416,5.1752863,1
9.638654,4.299859,10.73861,7.359374,5.6353216,4.4208617,5.2663856,-0.17074434,4.9517655,5.14257,4.712174,6.4406204,3.428991,1.8509458,4.626919,5.3812737,6.0015445,4.552077,5.4705424,5.1845007,4.057857,3.3948748,4.0661597,4.8212924,4.881254,0
0.8177432,11.788684,5.4143724,5.328948,5.0553923,4.711494,5.350255,5.552168,5.0337534,5.6250753,4.8922024,4.7600513,5.0879307,4.1841483,4.826226,5.039725,5.7945285,5.046761,5.3892345,4.716366,4.3278933,3.5294,4.8074718,4.9785876,5.154882,1
9.651776,4.311297,10.722564,7.339764,5.6564655,4.436339,5.27059,-0.17343074,4.929947,5.133851,4.7002907,6.4386735,3.4207742,1.8390996,4.6085043,5.370466,5.99004,4.562046,5.453947,5.201583,4.0622654,3.4101973,4.0647135,4.83226,4.8981843,0
0.82702017,11.7794895,5.4075456,5.312853,5.044691,4.723162,5.353117,5.562638,5.046359,5.6357975,4.901991,4.7469172,5.0802536,4.187879,4.83452,5.021542,5.8055863,5.058336,5.39911,4.7276607,4.312607,3.5398483,4.811959,4.990854,5.165009,1
9.644893,4.3032126,10.731689,7.3525105,5.6431446,4.4235682,5.270066,-0.17355806,4.943286,5.1411095,4.710758,6.4426765,3.4253812,1.8483849,4.6201687,5.378496,6.001103,4.5524015,5.4661765,5.191953,4.056887,3.3971689,4.062529,4.8233,4.8865037,0
0.81904083,11.777872,5.4045057,5.316082,5.0458035,4.7161407,5.353242,5.560636,5.042714,5.6263957,4.8933167,4.748602,5.077293,4.185036,4.825212,5.023012,5.7961035,5.049511,5.404438,4.719155,4.319091,3.5318322,4.808577,4.9835587,5.1626096,1
9.642386,4.2517715,10.783155,7.3871,5.603962,4.390542,5.2891407,-0.16446744,4.983215,5.1848617,4.74694,6.4488673,3.4683259,1.8978088,4.6460476,5.408189,6.0232344,4.5109816,5.49368,5.175094,4.0443206,3.359915,4.060753,4.8142147,4.860789,0
1.9261012,5.760567,13.018882,5.6245766,5.3942537,4.797021,5.366334,5.4133377,5.1058455,5.259243,4.878864,4.4098806,5.2525706,4.6077337,4.7366962,5.197421,5.2529335,4.6100316,5.5760107,4.6420035,4.529604,3.3158834,5.171558,4.8483768,4.8764443,1
9.6430435,4.253692,10.778905,7.391281,5.600357,4.3872247,5.290697,-0.16736431,4.9863977,5.1849093,4.7496405,6.452495,3.4650042,1.8973277,4.648194,5.4091086,6.0275893,4.5082407,5.4984493,5.1746283,4.041567,3.3563917,4.0561957,4.812095,4.8561516,0
1.914353,5.7635794,13.023758,5.6307335,5.394459,4.7977586,5.3653007,5.4136853,5.1080184,5.2621026,4.881747,4.401659,5.251323,4.606939,4.735305,5.1996355,5.246165,4.6072593,5.580834,4.6405325,4.5229855,3.3123314,5.1782894,4.8481255,4.8747554,1
9.632635,4.2612677,10.778393,7.391441,5.599465,4.3952622,5.2779913,-0.1626188,4.988504,5.17514,4.739501,6.4441614,3.4618316,1.8878528,4.651074,5.4049063,6.017868,4.521519,5.495471,5.1665635,4.0498366,3.3659906,4.066008,4.8149943,4.8563113,0
1.9256257,5.759613,13.017905,5.62579,5.3963394,4.796924,5.3673954,5.4134336,5.104947,5.25743,4.8796797,4.4106245,5.2536526,4.6070747,4.738102,5.196117,5.25427,4.6112432,5.574806,4.6431894,4.530905,3.3167808,5.1706157,4.8499413,4.8781996,1
9.627214,4.2655573,10.778638,7.3884916,5.6019626,4.400083,5.2703943,-0.1599372,4.986626,5.1691866,4.7332673,6.439228,3.4602902,1.8823078,4.6504683,5.401778,6.0126452,4.5296273,5.491876,5.1635566,4.0547433,3.3713796,4.071494,4.816702,4.8589683,0
1.924059,5.7646255,13.0242815,5.6226306,5.3901205,4.7951612,5.364579,5.416004,5.107887,5.2641654,4.877607,4.4036794,5.2504854,4.607742,4.733084,5.2011385,5.2472477,4.606769,5.5805707,4.639129,4.5216813,3.3156786,5.177183,4.8460875,4.8724504,1
9.680941,4.2291923,10.786733,7.363721,5.6300654,4.3760295,5.3279343,-0.17734505,4.953418,5.211084,4.769972,6.470261,3.4798748,1.9232347,4.6223917,5.4150205,6.0442066,4.4778523,5.482428,5.21214,4.0229797,3.3412838,4.034895,4.809197,4.882866,0
1.9240723,5.7644267,13.024806,5.622965,5.3892865,4.797386,5.3637567,5.41358,5.1081624,5.264436,4.877398,4.4038997,5.249259,4.608021,4.7321205,5.2017827,5.2477374,4.606095,5.580644,4.638789,4.5220585,3.3146846,5.1769204,4.844764,4.8718038,1
9.60673,4.287201,10.760799,7.4131656,5.576908,4.403476,5.2509265,-0.16140756,5.0128436,5.1511683,4.7233186,6.4363766,3.441443,1.8631411,4.669324,5.3969474,6.009848,4.5449734,5.5114093,5.14143,4.0606284,3.377227,4.073997,4.815166,4.832504,0
1.9283454,5.769237,13.032579,5.614129,5.376565,4.7969623,5.359036,5.414139,5.1115737,5.2750373,4.871999,4.3978996,5.2430882,4.610719,4.723284,5.208291,5.2387333,4.5986853,5.5889645,4.6331425,4.5114317,3.3120165,5.1842265,4.836847,4.8617544,1
9.628208,4.270453,10.772574,7.3899865,5.601034,4.4025702,5.2701225,-0.16209629,4.9873857,5.1656904,4.730937,6.440842,3.455274,1.8778546,4.650647,5.399444,6.0123825,4.5318046,5.4933214,5.164506,4.054605,3.374148,4.068418,4.817382,4.856552,0
1.9217563,5.7711873,13.037995,5.6150465,5.372287,4.7977977,5.3574166,5.4137316,5.1133637,5.280813,4.8719296,4.390091,5.2397575,4.6112924,4.719252,5.2104907,5.230033,4.5934634,5.5963187,4.6313024,4.502971,3.3085983,5.1925745,4.834482,4.8571353,1
9.630637,4.259723,10.782513,7.3897886,5.600693,4.3966684,5.275664,-0.16006693,4.9876432,5.1749005,4.7378893,6.441187,3.4645598,1.8881124,4.6509976,5.405067,6.0150747,4.5236483,5.4929276,5.1652217,4.0521703,3.3675725,4.0697837,4.8159924,4.858765,0
1.9199558,5.772716,13.040469,5.6144223,5.3691125,4.7982078,5.3559175,5.413474,5.1148057,5.2841096,4.871304,4.387529,5.2379665,4.6120667,4.7169166,5.212425,5.226566,4.5911884,5.5991483,4.62955,4.4998336,3.3065007,5.195338,4.8322678,4.8542295,1
1.9232656,5.7723417,13.039004,5.6130185,5.3696756,4.797378,5.35612,5.414144,5.1145306,5.282896,4.870848,4.389964,5.2388473,4.612033,4.7179523,5.212047,5.2285466,4.5923567,5.5974545,4.62974,4.5018277,3.3072317,5.193067,4.832771,4.8551364,1
9.636268,4.244475,10.791237,7.406514,5.584473,4.380676,5.292029,-0.15823245,5.002949,5.1933336,4.757635,6.447095,3.4759943,1.9057729,4.660963,5.419752,6.0260034,4.5011306,5.5059266,5.161915,4.043541,3.3494437,4.065615,4.8133307,4.846495,0
9.631093,4.261871,10.77917,7.391248,5.5996604,4.396291,5.2762094,-0.16136475,4.9884815,5.174033,4.738211,6.4424267,3.4620595,1.8867325,4.651535,5.4048305,6.016051,4.5233717,5.494515,5.1652894,4.051357,3.3672297,4.068206,4.8156204,4.856979,0
1.9318216,5.768335,13.023241,5.6116333,5.383676,4.782239,5.3641176,5.429321,5.1100836,5.270456,4.873683,4.4045615,5.2537303,4.610436,4.7334113,5.202546,5.2394643,4.6064377,5.584314,4.6356354,4.518003,3.3155272,5.178977,4.8458657,4.8681865,1
9.621478,4.25396,10.796244,7.3903365,5.598484,4.396416,5.268751,-0.15065044,4.9910216,5.1764755,4.7371864,6.4317245,3.4741278,1.8913777,4.6546016,5.4085336,6.0095487,4.526746,5.490054,5.1565557,4.0584965,3.3671105,4.0826626,4.8180466,4.8610196,0
1.924865,5.7736516,13.038605,5.6113157,5.3682737,4.7959566,5.354776,5.4155936,5.116122,5.2839904,4.870299,4.3911786,5.239201,4.612749,4.718175,5.213431,5.22811,4.5925446,5.5972414,4.6280165,4.502443,3.3056338,5.1921225,4.831723,4.8541417,1
1.9212818,5.7719355,13.038697,5.6143684,5.371137,4.796647,5.3571153,5.415019,5.1139603,5.2821627,4.8717155,4.3894215,5.239734,4.611636,4.7188687,5.2109866,5.2283907,4.5929856,5.597293,4.6306095,4.501891,3.307845,5.193428,4.834133,4.856122,1
9.619094,4.2511926,10.7989235,7.397069,5.591387,4.39243,5.269192,-0.1496376,4.998136,5.1794086,4.741077,6.4323378,3.4766238,1.8945029,4.6590033,5.411676,6.012703,4.522918,5.495886,5.1524024,4.057837,3.3620985,4.081993,4.8178387,4.8546405,0
0.63358235,11.731998,5.318537,5.345015,5.051389,4.641443,5.334872,5.5415072,4.9881964,5.4703426,4.739499,4.7554154,4.988482,4.154902,4.6216702,5.037586,5.6432033,4.918229,5.620658,4.6088037,4.38949,3.405449,4.741719,4.91032,5.145516,1
9.687484,4.2263613,10.783651,7.3661175,5.6283617,4.370379,5.335897,-0.18291396,4.9541736,5.2162004,4.776651,6.478286,3.4789023,1.9279013,4.6216764,5.4169364,6.052702,4.468848,5.4874554,5.2170253,4.016358,3.3343477,4.0246534,4.806636,4.8793087,0
