0,1,2,3,4,active_hand
-1.627566,3.3629034,3.0841224,1.3120226,6.0000443,1
-1.0206763,-4.679211,1.2691119,2.61058,-1.971919,0
-1.629104,3.361391,3.0918176,1.3136921,5.9914823,1
-1.0312089,-4.668897,1.2622435,2.608786,-1.9819431,0
-1.5978715,3.3925881,3.123138,1.2825328,5.960253,1
-1.033984,-4.666275,1.2612175,2.6063027,-1.9845566,0
-1.6432662,3.3473368,3.092893,1.3277956,5.9915586,1
-1.022696,-4.6774573,1.2670584,2.6075604,-1.9740316,0
-1.6253465,3.3651545,3.091425,1.3096901,5.99207,1
-1.0089067,-4.6911597,1.2845144,2.6344323,-1.9596887,0
-1.6211679,3.3692207,3.0913374,1.3055774,5.9916515,1
-1.0249023,-4.6751504,1.2679608,2.6184616,-1.9759544,0
-1.6186804,3.3717535,3.0904992,1.3030912,5.9923816,1
-1.0181614,-4.681514,1.2748485,2.6372917,-1.9689387,0
-1.6076312,3.3829513,3.0868733,1.2918353,5.9960146,1
-1.0497738,-4.6545997,1.2587749,2.6234963,-1.9965421,0
-1.6174394,3.3731406,3.0845015,1.3016404,5.9988837,1
-1.0234797,-4.6760645,1.2684891,2.6293387,-1.9745026,0
-1.6196489,3.3708587,3.0812624,1.3039247,6.0023117,1
-1.0162387,-4.682143,1.2731855,2.6365585,-1.9684753,0
-1.6212023,3.3693383,3.085198,1.3054608,5.998052,1
-1.0220441,-4.677206,1.2676913,2.630761,-1.9730785,0
-1.0317545,-4.6687884,1.2647992,2.6177588,-1.9823796,0
-1.6258079,3.3647969,3.080886,1.3099757,6.003162,1
-0.96889967,-4.729852,1.2376498,2.7016664,-1.913919,0
11.501255,3.6975937,4.797717,8.366507,0.110737555,1
-0.97828573,-4.7229276,1.1880262,2.7536705,-1.9133421,0
11.502005,3.6963627,4.7989025,8.3650675,0.11033864,1
-0.9595248,-4.7447543,1.1584798,2.7831085,-1.8859928,0
11.500628,3.696957,4.799254,8.355074,0.10407373,1
-0.9839149,-4.7228746,1.1395148,2.7912254,-1.9041764,0
11.499412,3.6958458,4.803527,8.307706,0.06880336,1
-0.96342593,-4.7342772,1.2967526,2.618996,-1.9197196,0
11.5007305,3.6912425,4.807373,8.318504,0.08057579,1
-0.9688995,-4.7279234,1.2698816,2.6686873,-1.9218427,0
11.501319,3.6903925,4.8083553,8.315782,0.07991938,1
-1.0182953,-4.6803823,1.2615955,2.6453173,-1.9699042,0
11.502514,3.689437,4.809469,8.309291,0.07697696,1
-1.0282376,-4.671408,1.2593554,2.6342905,-1.9785203,0
11.498235,3.6922936,4.8075204,8.310694,0.071315326,1
-1.0416514,-4.658766,1.2438991,2.6346686,-1.9899979,0
11.4996195,3.6919427,4.8070145,8.318079,0.07869192,1
-1.0627967,-4.637612,1.2419395,2.598339,-2.012728,0
11.501978,3.6901166,4.808685,8.312462,0.07824858,1
-1.034112,-4.66672,1.2638032,2.615187,-1.9844732,0
11.503433,3.6880903,4.8108153,8.301062,0.07364413,1
-1.0500574,-4.650955,1.2557454,2.6086545,-1.9994745,0
11.505826,3.6860435,4.8126125,8.29337,0.0719385,1
-0.95382917,-4.741068,1.2939641,2.654573,-1.9114859,0
11.328182,1.899078,5.314378,5.6311965,-0.06350503,1
-0.9602702,-4.735552,1.2920681,2.650113,-1.9179572,0
11.318036,1.900745,5.3218155,5.639248,-0.07201333,1
-0.96251744,-4.733122,1.2929804,2.6685364,-1.9193712,0
11.332442,1.8949144,5.31786,5.636678,-0.05815516,1
-1.0009664,-4.694363,1.2558596,2.6824038,-1.9567838,0
11.326327,1.8871694,5.340136,5.6557446,-0.06428677,1
-0.8905601,-4.8042126,1.3306231,2.6199207,-1.8520696,0
11.317366,1.899151,5.324232,5.6411395,-0.073029056,1
-0.9816673,-4.7144747,1.2864804,2.6516562,-1.938873,0
11.298988,1.9029814,5.329485,5.644797,-0.0920709,1
-0.9867501,-4.7101088,1.2779144,2.6556728,-1.9418732,0
11.229189,1.9617682,5.307586,5.596076,-0.16289702,1
-0.9581016,-4.73686,1.2944119,2.6681688,-1.9156646,0
11.282636,1.9130769,5.328436,5.6407084,-0.1087635,1
11.251854,1.9317973,5.355813,5.6691875,-0.13962545,1
-0.9797199,-4.715363,1.2943075,2.6569538,-1.9403967,0
-0.97285396,-4.7228813,1.2896056,2.6567056,-1.9304574,0
11.296427,1.90269,5.332881,5.6476536,-0.09544286,1
-0.9258407,-4.7648787,1.3107698,2.6851401,-1.886274,0
11.281454,1.9134367,5.334174,5.64603,-0.11082099,1
11.29592,1.9021643,5.333689,5.6497526,-0.09713798,1
-0.9165496,-4.774004,1.3165572,2.701989,-1.875419,0
11.53213,3.6732318,4.832201,7.8862586,-0.08763355,1
-0.856743,-4.8386474,1.3456086,2.6100962,-1.8194628,0
11.532023,3.6734145,4.8322496,7.889403,-0.086675294,1
-0.8733086,-4.823178,1.3297759,2.6203046,-1.8333763,0
11.532897,3.672672,4.833446,7.866932,-0.09617585,1
-0.87220526,-4.8236847,1.3419797,2.6035805,-1.8341705,0
11.533132,3.673029,4.832819,7.87257,-0.093390495,1
-0.853461,-4.8425794,1.3505441,2.6041157,-1.8158809,0
11.533074,3.67306,4.83277,7.873705,-0.0929169,1
-0.8453433,-4.8507752,1.3496735,2.6241016,-1.8073832,0
11.532108,3.6730728,4.832801,7.8811784,-0.09089099,1
-0.84764254,-4.847304,1.3717793,2.5816574,-1.8144791,0
11.533357,3.673518,4.832755,7.8709764,-0.09437216,1
-0.86593854,-4.829776,1.3446089,2.608905,-1.8286431,0
11.533414,3.673118,4.8328643,7.8676004,-0.095537685,1
-0.8801152,-4.815521,1.3334014,2.6182604,-1.8418489,0
11.533454,3.6731946,4.8328066,7.8675733,-0.09560741,1
-0.9098887,-4.783665,1.3228508,2.6304026,-1.8724918,0
11.533453,3.67324,4.83273,7.8688145,-0.09507979,1
-0.8638112,-4.832881,1.33155,2.6173158,-1.8244319,0
11.533462,3.6732533,4.832724,7.869249,-0.094901964,1
-0.8532955,-4.8428206,1.3504057,2.5995343,-1.8162214,0
11.53354,3.6732807,4.832709,7.868177,-0.09533985,1
-0.8058792,-4.890427,1.3738648,2.563768,-1.7684165,0
13.405341,-0.8435864,6.2037125,7.0168686,-0.018992575,1
-0.9277311,-4.7770286,1.1651626,2.7783313,-1.856195,0
13.406064,-0.844344,6.204444,7.01604,-0.019171985,1
-0.9312335,-4.774726,1.143644,2.7986546,-1.8552729,0
13.383779,-0.8203624,6.1807737,7.0417323,-0.028964132,1
-0.9342189,-4.7712545,1.1427603,2.8023727,-1.8582982,0
13.405367,-0.843523,6.2036076,7.017003,-0.019073773,1
-0.92847186,-4.7775884,1.1429434,2.799765,-1.852615,0
13.403357,-0.84131676,6.2014537,7.019308,-0.019915117,1
-0.93259877,-4.773151,1.1514382,2.7905703,-1.8578415,0
13.404299,-0.842297,6.2024155,7.0182643,-0.019504976,1
-0.9277561,-4.7786684,1.1396511,2.8031032,-1.8512238,0
13.405353,-0.84344906,6.203566,7.0171175,-0.019133162,1
-0.9280518,-4.7783675,1.1389651,2.8034904,-1.8515724,0
13.404512,-0.8424444,6.2025514,7.018124,-0.019465545,1
-0.9274705,-4.778822,1.142414,2.7999778,-1.8518349,0
13.405327,-0.84335893,6.2034717,7.017142,-0.018973108,1
-0.9206995,-4.785095,1.1508784,2.7927403,-1.8470156,0
13.405358,-0.84336853,6.203473,7.017142,-0.0189732,1
-0.91512924,-4.7916927,1.1247097,2.824537,-1.8356102,0
-0.9277419,-4.778748,1.1406817,2.801981,-1.8515106,0
13.405342,-0.843311,6.20338,7.017242,-0.019066244,1
-0.92558223,-4.7802825,1.152245,2.7902198,-1.8518037,0
13.405349,-0.8432889,6.2033753,7.01725,-0.019147925,1
13.538126,-0.9857501,6.3439655,6.8679223,0.047340017,1
-0.8956857,-4.8052063,1.2385653,2.7080934,-1.840334,0
13.53302,-0.9804181,6.3385983,6.8733745,0.043140084,1
-0.89314514,-4.805695,1.2789835,2.6682155,-1.845368,0
13.539972,-0.98764515,6.345685,6.866194,0.048560273,1
-0.86689144,-4.8297153,1.3294272,2.6201725,-1.8272489,0
13.535297,-0.98276037,6.3408914,6.871008,0.04500327,1
-0.88374734,-4.813794,1.3037257,2.6449342,-1.8408893,0
13.537681,-0.9851559,6.3433456,6.868584,0.046824966,1
-0.8386883,-4.8586764,1.3158984,2.605394,-1.7969046,0
13.528873,-0.97605807,6.3341074,6.8778806,0.039827656,1
-0.86025417,-4.836075,1.3488871,2.59015,-1.822777,0
13.527088,-0.9742419,6.332281,6.879783,0.038347125,1
-0.85370785,-4.84235,1.3536447,2.5879996,-1.817093,0
13.510191,-0.95707506,6.3149533,6.897324,0.024786009,1
-0.8468091,-4.8494434,1.357265,2.5831842,-1.8101141,0
13.526203,-0.9732748,6.3312454,6.8807797,0.03764111,1
-0.85221505,-4.8437653,1.3556571,2.587289,-1.8153523,0
13.525744,-0.9727793,6.330735,6.881289,0.037235368,1
-0.85666615,-4.839607,1.3527515,2.588001,-1.8193545,0
13.525123,-0.9721465,6.330053,6.881939,0.036789473,1
-0.8289586,-4.866704,1.3664598,2.5879617,-1.7933927,0
13.526768,-0.97378737,6.3317194,6.8802795,0.038026877,1
-0.85198647,-4.844312,1.3543977,2.5871878,-1.8149071,0
0.67733127,-2.8451312,2.4518423,9.416931,-4.9071584,0
2.10932,1.2423127,14.986011,2.2212758,-0.47039464,1
2.1505451,-1.464735,3.8011355,6.5709977,-4.69812,1
1.9368889,1.2233593,14.964651,2.1072273,-0.22938277,0
2.1434412,-1.4375411,3.8061693,6.563752,-4.684072,1
1.9536138,1.2196125,14.961977,2.1192436,-0.24127953,0
2.1559057,-1.4502436,3.8092184,6.5622926,-4.695446,1
1.9430073,1.2330536,14.976975,2.1209292,-0.24241689,0
2.213294,-1.4389983,3.8559928,6.5178576,-4.79841,1
1.8983803,1.2031912,14.940273,2.076958,-0.17717539,0
2.1576688,-1.4999844,3.7983832,6.576114,-4.7524066,1
1.8977004,1.2124966,14.9508095,2.0758843,-0.18203427,0
2.219314,-1.4494102,3.8592086,6.5165734,-4.8207,1
1.9020165,1.2105168,14.948585,2.0817423,-0.18551353,0
2.2230077,-1.4468735,3.8630064,6.5126753,-4.82268,1
1.8948709,1.20397,14.941502,2.075343,-0.17513,0
2.2348423,-1.4382979,3.8750992,6.500793,-4.8347554,1
1.8868592,1.1964505,14.933798,2.0647755,-0.16406155,0
2.2553515,-1.4185364,3.8964345,6.479353,-4.848648,1
1.8979943,1.2076175,14.946656,2.0777814,-0.18138444,0
2.266364,-1.4064946,3.90671,6.469297,-4.866218,1
1.8703448,1.217077,14.955244,2.0575256,-0.15928683,0
2.2278216,-1.4426429,3.867983,6.508008,-4.824831,1
1.8973045,1.1963091,14.935401,2.0659559,-0.17065546,0
1.0949475,-3.0836945,1.4466951,8.773904,-4.428109,1
1.8949364,1.2221893,14.963584,2.0832067,-0.19096768,0
1.0202663,-3.0279255,1.4154197,8.748819,-4.4841394,1
1.8902729,1.1986992,14.936357,2.0675178,-0.16660714,0
1.0632182,-3.079208,1.4381598,8.760192,-4.4416103,1
1.8867819,1.202048,14.94018,2.0659728,-0.16608265,0
0.6936726,-2.6524346,1.04408,8.531528,-4.567603,1
1.9573487,1.276229,15.029304,2.1575856,-0.30029324,0
0.64842874,-2.5770123,0.9435927,8.459948,-4.5927014,1
1.951775,1.2520428,15.000596,2.1330588,-0.26984325,0
0.61829686,-2.5114877,0.8977581,8.422968,-4.571047,1
1.9312934,1.2676376,15.017928,2.132568,-0.266176,0
0.62304175,-2.523104,0.9115868,8.433649,-4.5698504,1
1.9269266,1.3208188,15.079072,2.175046,-0.316544,0
0.63383466,-2.5062196,0.88699424,8.418623,-4.57556,1
1.9022098,1.3426325,15.098394,2.1485474,-0.31627682,0
0.57976395,-2.4229898,0.808862,8.351749,-4.5596004,1
1.917975,1.3924141,15.1578665,2.1655288,-0.36159116,0
0.59419006,-2.444043,0.8105803,8.351243,-4.563821,1
1.9224093,1.274063,15.023093,2.1169393,-0.26008353,0
0.5756354,-2.4118176,0.78230923,8.327706,-4.5564995,1
1.9196405,1.3308359,15.090023,2.1550674,-0.307706,0
0.58351237,-2.4377997,0.82949126,8.368639,-4.5602736,1
1.8717119,1.3550717,15.117106,2.1552572,-0.29057762,0
0.8515481,-2.857182,1.2263389,8.656295,-4.5530553,1
1.9233886,1.4333127,15.200122,2.1804428,-0.3961119,0
0.77592355,-2.781271,1.1670109,8.625441,-4.5663733,1
1.9021453,1.4496577,15.223498,2.1511068,-0.41831243,0
0.9865462,-2.9510558,1.3116746,8.731234,-4.508771,1
1.9227077,1.4368994,15.211841,2.145793,-0.44056582,0
0.96556324,-2.9411645,1.3034631,8.741697,-4.5188828,1
2.0317967,1.3137921,15.072659,2.281882,-0.41394478,0
0.43800434,-2.7818174,1.1107407,8.922944,-4.771039,1
1.9233963,1.4595559,15.232792,2.1934621,-0.42686635,0
0.42223483,-2.7799628,1.095993,8.931775,-4.7790284,1
1.9579034,1.3904741,15.158971,2.2596047,-0.4151971,0
0.4098482,-2.7846453,1.1097623,8.950786,-4.7890553,1
1.9094465,1.4395034,15.212745,2.152699,-0.41741025,0
0.41329414,-2.7820961,1.1069351,8.945415,-4.786593,1
1.8973581,1.4638922,15.2390375,2.1594732,-0.42075202,0
0.41077828,-2.7835095,1.1088576,8.949435,-4.7888565,1
1.9061213,1.4490618,15.222282,2.1783457,-0.41894427,0
0.41317636,-2.7836986,1.110694,8.948038,-4.787389,1
1.8731565,1.3789698,15.142571,2.164758,-0.30880684,0
0.41050276,-2.7832012,1.1105005,8.9499655,-4.788602,1
1.8556165,1.3841147,15.1495905,2.1637092,-0.30195358,0
0.399961,-2.7818127,1.110216,8.958144,-4.7945094,1
1.9245456,1.416881,15.186538,2.3210616,-0.37914038,0
0.4553913,-3.0713744,2.2958624,9.660098,-4.9239717,1
1.8997349,1.4391776,15.211179,2.1588492,-0.3965786,0
0.45199785,-3.072955,2.2967253,9.663643,-4.9255075,1
1.8934468,1.4181304,15.187296,2.1413536,-0.36809346,0
0.45283517,-3.0723207,2.2966948,9.66148,-4.923922,1
1.8776703,1.4014944,15.168315,2.183229,-0.33741164,0
0.44669336,-3.0759828,2.3022397,9.672502,-4.928609,1
1.86891,1.4116801,15.179304,2.1790285,-0.33707425,0
0.45860723,-3.0665276,2.3044128,9.661817,-4.928112,1
1.8582604,1.3731115,15.137438,2.1589525,-0.2945379,0
0.4667731,-3.0559528,2.3161616,9.660385,-4.9310665,1
1.9466377,1.3875228,15.15591,2.2578666,-0.3970022,0
0.46135682,-3.064385,2.3050783,9.659779,-4.9281225,1
1.8602955,1.3847839,15.150535,2.1661963,-0.30682626,0
0.5824946,-2.9258435,2.4385922,9.624199,-4.965494,1
1.8569105,1.3842876,15.150059,2.1634228,-0.30308816,0
0.66470104,-2.8489525,2.4764447,9.5699625,-4.966779,1
1.9022617,1.4485372,15.223644,2.1508403,-0.428721,0
0.6841575,-2.8239124,2.494475,9.569609,-4.978121,1
1.9699428,1.4056641,15.177591,2.2673314,-0.47371083,0
1.1697322,-3.0297997,1.3580095,8.804606,-4.413693,1
1.9449334,1.4033668,15.173783,2.2408218,-0.4270359,0
1.1109554,-3.0543427,1.401661,8.785436,-4.427186,1
1.966931,1.3805093,15.148557,2.2665212,-0.41695198,0
1.3010105,-2.9579608,1.2330934,8.797718,-4.441814,1
1.9030682,1.4545324,15.22702,2.201273,-0.41362655,0
1.3216174,-2.960811,1.2284182,8.799976,-4.4392753,1
1.8973768,1.4445859,15.215161,2.1906571,-0.3907314,0
1.3291992,-2.953001,1.2164676,8.7999735,-4.4430637,1
1.8860363,1.4264748,15.19441,2.181292,-0.359665,0
1.3076892,-2.9572084,1.2267658,8.797155,-4.4398775,1
1.8750384,1.4220074,15.190231,2.1847146,-0.3495367,0
1.329077,-2.9645867,1.2274743,8.803024,-4.4366493,1
1.890755,1.3674216,15.128975,2.1601162,-0.31058392,0
1.3110305,-2.9584608,1.2284926,8.799292,-4.4398127,1
1.8735213,1.4103476,15.177083,2.175635,-0.3368667,0
1.2968334,-2.9573119,1.231729,8.79693,-4.44319,1
1.8520825,1.4092443,15.177517,2.1736712,-0.32134292,0
1.287645,-2.9534295,1.2292103,8.79491,-4.4465456,1
1.8498472,1.3873701,15.1537485,2.162584,-0.30184814,0
1.2884978,-2.9590347,1.2365652,8.796951,-4.4428644,1
1.9057481,1.4445221,15.211824,2.2253315,-0.39052373,0
1.3342184,-2.9787037,1.2579839,8.832592,-4.414245,1
1.8689278,1.4360259,15.206402,2.186659,-0.35936615,0
1.2890494,-2.961549,1.2394305,8.799412,-4.44111,1
1.8879782,1.475792,15.247793,2.1556332,-0.44304678,0
1.2832808,-2.9720535,1.2512332,8.796762,-4.436404,1
1.8981673,1.4531405,15.224586,2.1952167,-0.40208718,0
0.45201546,-2.7641308,1.0667351,8.885951,-4.7553625,1
1.8991262,1.4678391,15.242331,2.1935046,-0.4374311,0
0.4479573,-2.7631035,1.0719498,8.889347,-4.7588396,1
1.9320168,1.4726497,15.246745,2.1181772,-0.44369012,0
0.43984923,-2.7661362,1.0698543,8.89409,-4.7635713,1
1.8209013,1.5323938,15.305387,2.2695796,-0.4210852,0
0.46493298,-2.782808,1.1025101,8.902249,-4.75634,1
1.8981425,1.4681462,15.247493,2.1011155,-0.46432012,0
0.4308989,-2.7757006,1.080962,8.918934,-4.774162,1
1.8975638,1.4640766,15.241213,2.1320472,-0.4379455,0
0.43210092,-2.7702453,1.0727178,8.907865,-4.7702584,1
1.9303114,1.4136173,15.185537,2.2149856,-0.4456687,0
0.4312203,-2.7681026,1.0675927,8.908258,-4.7697253,1
1.9186951,1.4286003,15.200949,2.2229056,-0.43454573,0
0.43487918,-2.7660427,1.0644947,8.903242,-4.766596,1
1.8859967,1.4505488,15.222305,2.2045429,-0.36575818,0
0.45509666,-2.7513938,1.0486149,8.88257,-4.7474303,1
1.8743675,1.3971199,15.165676,2.1885698,-0.33405957,0
0.43416452,-2.7636144,1.0634812,8.901699,-4.766567,1
1.8850003,1.4239124,15.195039,2.2015045,-0.36706054,0
0.45145518,-2.7580984,1.0583214,8.889333,-4.7534757,1
1.9034696,1.4533166,15.228206,2.1468062,-0.4266943,0
0.4590551,-2.7706215,1.0800307,8.892404,-4.7543554,1
1.9043388,1.4540129,15.229177,2.144791,-0.4291125,0
6.062181,-3.701009,5.888773,8.828181,-0.23130335,0
-1.6558492,3.3349442,3.0786076,1.3398554,6.008984,1
-1.6722323,3.3186746,3.0710561,1.3559813,6.0226207,1
6.0622005,-3.703593,5.888724,8.828234,-0.23049878,0
-1.6740084,3.3170266,3.0710008,1.3578544,6.017622,1
6.060334,-3.7055738,5.8859167,8.825543,-0.23194046,0
-1.6721544,3.3188803,3.0700574,1.3558364,6.019009,1
6.065131,-3.7021973,5.8915033,8.830975,-0.22806239,0
-1.6727421,3.3182235,3.0317707,1.356364,6.056646,1
6.034161,-3.7495198,5.844517,8.786432,-0.26202077,0
