0,1,2,3,4,5,6,7,8,9,10,11,class_numeric
10.070603,11.185631,6.521549,8.363688,-0.27761948,6.002747,4.544002,4.028448,2.7563095,4.5776362,7.1713467,5.819363,0
10.216095,11.153177,6.60445,8.436728,-0.4671257,5.935668,4.8009796,3.8089755,2.5548074,4.4735847,7.2888784,5.9665794,1
10.385586,11.300159,6.5721335,8.482393,-0.39729813,5.3019447,4.5526466,3.9008908,2.564215,4.6738906,7.0480323,5.831956,2
10.184602,11.172883,6.577668,8.424828,-0.37731218,5.9340663,4.669926,3.9106417,2.6414566,4.52158,7.234107,5.9074874,3
10.25487,11.17721,6.606339,8.453036,-0.4737351,5.891665,4.787541,3.8195462,2.5468714,4.494177,7.2589803,5.93862,4
10.295622,11.165435,6.5881653,8.492709,-0.5403093,5.9046082,4.7864547,3.8289223,2.5708199,4.4194,7.341667,6.0104523,5
1.7145236,7.8996105,9.526373,5.1257,2.8137374,2.0402207,1.2467914,6.2654757,5.2381988,4.0508475,5.6117163,5.1728444,0
1.3122298,7.4582715,9.835888,4.279213,3.364234,2.3205912,0.6287589,6.2176523,5.4087377,3.8936348,5.152866,4.888272,1
1.6329145,7.578085,9.717922,4.546729,3.1773007,2.1403592,0.87345046,6.129882,5.503634,3.846292,5.2972035,4.998899,2
1.8387067,7.5258822,9.714738,4.561493,3.2053185,1.9657156,1.0642545,6.014759,5.5922036,3.844085,5.224309,5.02816,3
1.6715864,7.6779547,9.645872,4.6671433,3.0759368,2.1117234,0.93725663,6.16666,5.4411507,3.9189594,5.38435,5.0515866,4
1.5092891,7.5255804,9.749719,4.4339285,3.236764,2.2198012,0.7649225,6.150065,5.4892554,3.848278,5.25456,4.952784,5
10.119733,11.157325,6.573895,8.392178,-0.2408056,5.940721,4.4989147,4.059045,2.76977,4.5543714,7.1720796,5.8268876,0
10.271712,11.211512,6.5676303,8.478349,-0.45892465,5.8704853,4.760155,3.8483465,2.5717828,4.52864,7.2287083,5.912442,1
10.410068,11.272454,6.6719346,8.467026,-0.4275704,5.2955856,4.6372786,3.8945186,2.5733533,4.7199607,6.8203344,5.647877,2
10.43258,11.312673,6.635048,8.484733,-0.4541684,5.241767,4.6125937,3.8637779,2.540882,4.7485948,6.807107,5.637718,3
