0,1,2,3,4,5,6,7,8,9,10,active_hand
-0.21629594,1.7089162,1.4869953,-0.102501266,7.122323,4.244193,9.505344,0.0312708,3.9307494,0.86988735,7.2839146,1
3.024413,-1.9267553,10.056887,0.69496334,6.7512064,4.095293,3.7449448,0.6145402,13.388439,7.818566,4.537008,0
-0.2207114,1.7142961,1.4819083,-0.10587472,7.126983,4.2398696,9.509634,0.029547574,3.925176,0.86682665,7.282243,1
3.0211663,-1.9217064,10.058356,0.6934682,6.754497,4.0969706,3.7474585,0.6173281,13.3862915,7.815022,4.535302,0
-0.22087795,1.7143272,1.4819976,-0.10596329,7.1268015,4.240056,9.509807,0.030215388,3.925127,0.8673111,7.2829185,1
3.0190256,-1.9179276,10.05716,0.6890057,6.7568636,4.0997963,3.7485864,0.6191924,13.386508,7.8123775,4.5345206,0
-0.2140302,1.7087289,1.4787995,-0.10285018,7.1300683,4.2376285,9.503052,0.025188742,3.9312532,0.8628393,7.277756,1
3.0224319,-1.9195706,10.05172,0.68601984,6.75676,4.098826,3.7442026,0.61535573,13.389432,7.8128586,4.5380898,0
-0.22053705,1.7138681,1.4820715,-0.10604255,7.126795,4.2400937,9.509502,0.029842867,3.9257772,0.86704487,7.282646,1
3.0163267,-1.9174895,10.063382,0.69367933,6.7564254,4.0996513,3.7530844,0.6230436,13.383479,7.81312,4.5307736,0
-0.22320127,1.7165875,1.4818237,-0.107831635,7.1270595,4.23964,9.512127,0.03010472,3.9228454,0.86703604,7.282951,1
3.0089524,-1.911688,10.068761,0.6938907,6.758557,4.1046314,3.7599366,0.6302029,13.379852,7.8102574,4.524952,0
-0.22282726,1.7159925,1.4830642,-0.10739967,7.1259475,4.2405925,9.511746,0.030742709,3.9234657,0.8678449,7.2835827,1
3.0049787,-1.8973535,10.060426,0.67557234,6.7713504,4.110429,3.758611,0.6309684,13.379358,7.7977233,4.5292616,0
-0.22136432,1.7138201,1.4865052,-0.1051667,7.1225967,4.243758,9.51054,0.033181507,3.925341,0.8706917,7.2859774,1
3.0102282,-1.9168917,10.072241,0.7013588,6.75238,4.104072,3.7616098,0.6313244,13.382569,7.816062,4.521084,0
-0.22128895,1.713217,1.4891106,-0.10422574,7.12013,4.2460427,9.510531,0.03496758,3.9258268,0.87272567,7.287768,1
3.004534,-1.8970081,10.062154,0.6766396,6.77226,4.109411,3.7592702,0.6311889,13.377388,7.7972226,4.5295086,0
-0.21862769,1.7102834,1.491646,-0.10247725,7.1180115,4.2479568,9.507902,0.03531205,3.928901,0.87386394,7.2880907,1
2.9983647,-1.8876824,10.060594,0.6680757,6.77867,4.1157155,3.763011,0.6363383,13.37643,7.790228,4.5269713,0
-0.21907252,1.7117327,1.4871284,-0.104436904,7.122345,4.2438884,9.50819,0.032104187,3.927732,0.8701564,7.2849064,1
2.9998968,-1.8919128,10.06226,0.67298734,6.775407,4.11413,3.762698,0.63547486,13.376795,7.7936025,4.526566,0
3.0087507,-1.910356,10.069105,0.69281185,6.759559,4.104935,3.76035,0.6306327,13.380161,7.8094106,4.524753,0
-0.21332927,1.7059445,1.4896214,-0.10156034,7.12047,4.2456408,9.502514,0.030040096,3.9338605,0.8696853,7.282735,1
3.028337,-1.8681442,9.988111,0.5941951,6.805512,4.114966,3.7190075,0.6012723,13.406422,7.7680874,4.566734,0
8.543276,3.9588847,4.0451865,2.6479065,4.943888,4.828819,4.813422,-0.23458076,0.93694824,3.934629,6.0492296,1
