0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,class_numeric
9.943431,4.766875,4.5043535,5.1033635,6.1112685,3.618306,4.236049,6.1836815,4.774617,5.847533,2.534878,4.185872,3.560959,-0.13241513,4.6989923,9.705189,7.4212866,7.8752847,12.351952,3.2868416,5.284229,5.3375382,7.817411,0
9.942954,4.770301,4.514683,5.105662,6.1003275,3.615412,4.245701,6.1850505,4.7680902,5.8462844,2.5458448,4.1926694,3.559845,-0.12654848,4.6994767,9.699323,7.4203105,7.879762,12.354681,3.2844596,5.2917323,5.335337,7.8124795,0
9.927663,4.7825575,4.5019135,5.088278,6.11251,3.6017258,4.2301373,6.168206,4.759018,5.8426113,2.530636,4.1735797,3.5783296,-0.1168525,4.68307,9.689654,7.4144125,7.8903823,12.336044,3.302783,5.296007,5.3526134,7.801685,0
9.93894,4.767216,4.4963017,5.09773,6.1198597,3.615744,4.2285967,6.177574,4.7769847,5.8462243,2.526324,4.1785445,3.5666192,-0.13434555,4.693664,9.707081,7.4187512,7.8751016,12.344259,3.2940392,5.280391,5.3425865,7.817969,0
9.943393,4.765854,4.501613,5.102869,6.1141605,3.6186182,4.23355,6.183366,4.7763495,5.847257,2.532031,4.183699,3.5623713,-0.13400424,4.698721,9.7067995,7.420582,7.87392,12.351269,3.2876801,5.282234,5.338025,7.818822,0
9.945804,4.7665105,4.5062995,5.1063523,6.109398,3.61948,4.23823,6.18688,4.7742486,5.848021,2.5369842,4.188243,3.5586333,-0.13218416,4.701603,9.704993,7.4222894,7.8745914,12.3555975,3.2835093,5.284941,5.3348293,7.8176265,0
9.949685,4.7649117,4.507087,5.1108866,6.108937,3.621866,4.239597,6.1916814,4.7751527,5.848868,2.537972,4.190345,3.5553935,-0.13315824,4.7056656,9.706028,7.423767,7.8723006,12.36073,3.278719,5.284408,5.330648,7.819148,0
9.949,4.7648864,4.506215,5.109354,6.1097307,3.6218474,4.2386575,6.1905756,4.775839,5.848696,2.5369928,4.1895432,3.5564923,-0.1336899,4.7048306,9.706563,7.423311,7.872191,12.359483,3.280024,5.283656,5.332186,7.819545,0
9.950919,4.764649,4.5091615,5.1125126,6.1064944,3.6225739,4.2412004,6.1934037,4.7744727,5.8491874,2.5401947,4.1918283,3.5542088,-0.13267058,4.707146,9.705559,7.424353,7.872298,12.363042,3.276658,5.2854843,5.329234,7.819137,0
9.944151,4.7679853,4.5070634,5.1047974,6.1085696,3.618236,4.2387238,6.185055,4.7727942,5.848073,2.5376387,4.1884537,3.5586817,-0.13078468,4.6999884,9.703539,7.4225082,7.876525,12.353819,3.2849984,5.286261,5.3362374,7.815942,0
9.948456,4.766643,4.511128,5.1103544,6.1042976,3.6206787,4.2426767,6.190763,4.772215,5.848983,2.5421364,4.192572,3.554593,-0.13051529,4.704816,9.703329,7.4242234,7.8751245,12.360477,3.2788262,5.2877097,5.3311443,7.8166714,0
9.958556,4.7628956,4.5155306,5.121835,6.1002674,3.6271386,4.247786,6.2033,4.7733245,5.8515615,2.5470474,4.1993876,3.5457804,-0.13197348,4.715634,9.704955,7.4286695,7.870304,12.374539,3.2658436,5.287992,5.3207173,7.8200674,0
9.880911,4.801714,4.586695,4.6930456,5.676955,3.1705112,5.830298,6.35147,5.1570644,5.2360263,2.2375517,4.6387706,3.107401,0.64838076,5.3649635,9.026291,6.135311,6.2480235,-1.739059,3.4010515,5.7705874,5.138468,6.111033,1
9.882048,4.802237,4.5864253,4.6921782,5.6783514,3.1716459,5.82872,6.351243,5.1555367,5.2344036,2.2375886,4.640384,3.1067204,0.6501753,5.364947,9.02357,6.1359777,6.249405,-1.7359003,3.4034882,5.7709713,5.136999,6.1084766,1
9.886463,4.8061633,4.584337,4.6892147,5.687614,3.1756115,5.8178782,6.348963,5.1468697,5.223557,2.2396924,4.650421,3.103658,0.6581801,5.366103,9.006941,6.1402903,6.258443,-1.7161126,3.418745,5.7716093,5.1300693,6.092547,1
