0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,class_numeric
8.6165085,10.881748,5.9813766,8.098596,8.624744,5.413969,2.7393544,4.6410127,5.433067,3.2373827,4.5886903,3.2093298,5.573508,6.2660265,3.9745102,6.0065556,4.380838,5.72905,5.257422,4.7076764,5.9186144,2.0548394,5.617421,5.32957,3.0251806,4.179918,5.870903,6.6185737,4.3671956,5.6596355,4.6423903,0
8.572186,10.900894,5.874368,8.157159,8.560886,5.6327715,2.792975,4.63007,5.5474477,3.18152,4.6234455,3.208739,5.5356193,6.2742295,3.961384,6.110597,4.3493776,5.7340717,5.188693,4.746759,5.9450173,1.9888709,5.636106,5.3047915,2.9616232,4.186803,5.8634505,6.656398,4.300542,5.566423,4.617567,1
8.981638,10.778818,5.796454,8.303457,8.814815,5.3076367,2.5325606,4.6751113,5.329131,3.4566023,4.4734173,3.2119684,5.400267,6.057085,4.0091047,5.9144936,4.5371,6.0185127,5.473208,4.6809573,5.868333,1.9765496,5.8001122,5.482757,3.1831577,4.4133434,5.948759,6.8026576,4.279177,5.8947377,4.7598042,2
8.633407,10.871543,5.959498,8.106643,8.61937,5.4755826,2.742119,4.636206,5.4480095,3.2323596,4.579633,3.2122672,5.564809,6.267955,3.9617162,6.011778,4.3873615,5.7297444,5.2531886,4.7050266,5.9051356,2.0503576,5.6161823,5.3317986,3.0192997,4.1755266,5.8630533,6.618011,4.3622746,5.6523223,4.6298447,3
8.617639,10.890801,5.916737,8.113329,8.611099,5.572114,2.7368035,4.64165,5.5056376,3.2093682,4.5953054,3.2219217,5.5720162,6.245798,3.9526079,6.0584197,4.3782825,5.72168,5.2388315,4.7196064,5.905196,2.0328436,5.629223,5.3076773,3.0057623,4.1648197,5.8685355,6.6142254,4.3481684,5.607925,4.610765,4
8.589154,10.880109,5.8599415,8.166852,8.572403,5.6361465,2.7753427,4.6224017,5.5506473,3.1911337,4.629024,3.194809,5.5264378,6.2665124,3.957939,6.1050906,4.347631,5.7520666,5.2003875,4.759778,5.94098,1.9789422,5.645942,5.326559,2.9656088,4.1999917,5.858343,6.670538,4.2971177,5.5708137,4.6231785,5
2.4873462,9.683047,9.767712,6.818747,9.189784,1.7954943,2.884504,4.0543523,3.7729833,3.8918397,3.1620595,3.4915097,4.9302998,5.489535,5.0802665,4.3894014,4.460881,5.216292,5.320211,3.9612875,5.8677726,3.3246665,4.161983,4.583745,3.72422,4.0796413,6.903924,7.515268,5.4914017,6.263362,6.5085173,0
3.024105,10.138007,10.136469,6.560671,9.098329,1.6278484,2.9031384,3.9417925,3.7813118,4.0856395,3.019979,3.1319928,4.559964,5.391332,5.0072694,4.5780025,4.247858,5.5915194,5.139393,3.8814619,5.3776307,3.0724888,4.071309,4.4434996,3.7359848,4.143087,6.9289336,7.888884,5.255783,6.1690774,6.622225,1
2.8563519,10.079227,10.0965605,6.53827,9.248329,1.5620807,2.9599147,3.8529997,3.6790524,4.114269,3.1790264,3.2079303,4.7237716,5.533626,5.1621623,4.536122,4.2066336,5.5748377,5.26607,4.0336356,5.4962964,3.2338285,3.9899533,4.3755827,3.8441548,4.191597,7.0449333,7.8708644,5.24609,6.166328,6.697931,2
2.8413863,10.153888,10.138468,6.503965,9.313365,1.494669,3.004719,3.7766287,3.619761,4.1083035,3.2498207,3.2191,4.778426,5.6016283,5.2355456,4.509285,4.1737137,5.6379676,5.3268676,4.1018343,5.4806185,3.2900007,3.9224026,4.3460426,3.909533,4.243851,7.122755,7.926768,5.2181616,6.1774163,6.767033,3
