0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,active_hand
9.063269,6.190774,5.5055356,4.846665,5.2923427,5.065527,4.992567,4.7051077,-3.6349995,5.448953,5.0824842,4.4670596,4.5620217,4.76445,4.669861,5.58477,4.9760547,5.1479235,4.6755195,5.635422,4.4277,3.5324361,1
9.320974,4.5750184,10.938228,2.8983238,5.7154827,4.3881226,6.348026,0.10732014,4.706335,5.6295047,5.068496,2.6633437,7.2506013,6.972521,4.7709513,4.758273,4.324198,4.638715,4.6512647,5.931326,4.8662477,3.1114833,0
9.067515,6.194513,5.507299,4.8500786,5.290337,5.0693665,4.9896865,4.702621,-3.6363373,5.445562,5.080588,4.466111,4.5658903,4.7682557,4.670386,5.5812836,4.9725347,5.151747,4.679287,5.6315174,4.4309225,3.5320506,1
9.319195,4.5769935,10.935869,2.8998237,5.714343,4.3893538,6.349993,0.10861026,4.707746,5.6286364,5.068256,2.6644657,7.251471,6.9732337,4.773345,4.756911,4.322757,4.6372223,4.652404,5.932758,4.8679314,3.1127372,0
9.07704,6.2056494,5.5126004,4.862006,5.2992125,5.080322,4.9953227,4.710263,-3.6496024,5.449908,5.089707,4.452769,4.5766706,4.779638,4.658926,5.584943,4.9614735,5.1628327,4.69163,5.6208415,4.425608,3.5438542,1
9.320336,4.575722,10.93798,2.896598,5.714461,4.3896704,6.3508134,0.10827755,4.707657,5.629991,5.065192,2.6666093,7.2476735,6.9695354,4.772706,4.7605243,4.326909,4.641352,4.6485143,5.9332604,4.8651786,3.1123514,0
9.066034,6.1917157,5.5058694,4.846192,5.2806373,5.066647,4.9819303,4.693368,-3.629071,5.4383016,5.070887,4.4743347,4.5633073,4.765232,4.6795683,5.574469,4.9755735,5.148969,4.675495,5.6340146,4.438892,3.5227761,1
9.322769,4.57367,10.94074,2.8953757,5.7168384,4.388074,6.3478546,0.105174035,4.7046194,5.63215,5.06697,2.6635318,7.2478642,6.970178,4.768899,4.761589,4.3279953,4.642326,4.646902,5.930782,4.863993,3.1095486,0
9.068957,6.197956,5.5088124,4.8547373,5.300344,5.072583,4.998958,4.712496,-3.6450815,5.45472,5.090585,4.4570804,4.568927,4.771896,4.660759,5.590124,4.968827,5.1550756,4.6838226,5.628591,4.4214582,3.5417092,1
9.306757,4.5889363,10.915391,2.9265335,5.707476,4.3887706,6.3474503,0.11900276,4.715225,5.6120443,5.084354,2.6565337,7.2756324,6.9953947,4.7843447,4.728181,4.29285,4.607892,4.6840286,5.9333987,4.8910356,3.122567,0
9.068364,6.1961846,5.5081787,4.8525143,5.29693,5.070975,4.995233,4.7089844,-3.6413627,5.450895,5.087175,4.460709,4.5673814,4.770083,4.664268,5.5863833,4.970711,5.1534023,4.681667,5.6300573,4.425211,3.5381987,1
9.315621,4.579827,10.930378,2.9077983,5.7127466,4.3879886,6.348267,0.11148848,4.7101355,5.622698,5.0748415,2.6596117,7.259016,6.980422,4.776868,4.7471104,4.3143473,4.62888,4.6617293,5.932099,4.8741603,3.1157699,0
9.068124,6.195858,5.508086,4.8523088,5.297587,5.0706854,4.9957843,4.7096457,-3.6414847,5.4514475,5.0878224,4.460515,4.567093,4.7697935,4.663824,5.5869317,4.9709826,5.153104,4.6814265,5.6303463,4.424602,3.5386274,1
9.317215,4.576461,10.940088,2.8823204,5.7071633,4.3969502,6.367281,0.11704721,4.7186427,5.6297655,5.0445585,2.6868892,7.226246,6.9476957,4.7843475,4.7759356,4.347671,4.662041,4.6297703,5.9450808,4.8528156,3.120116,0
9.066578,6.194236,5.5072947,4.850553,5.296258,5.0690536,4.995025,4.708513,-3.6397913,5.450918,5.086457,4.462372,4.565464,4.7681184,4.66545,5.5864987,4.9725857,5.151462,4.679573,5.631966,4.425302,3.5369735,1
9.317293,4.5780535,10.935165,2.8970044,5.711465,4.39161,6.355161,0.112084836,4.7119064,5.6273065,5.062264,2.6705477,7.2455544,6.9671264,4.777983,4.7599773,4.3283315,4.642694,4.6477413,5.9366236,4.865586,3.1160245,0
9.066426,6.1940184,5.5072765,4.8505745,5.297625,5.0688725,4.99635,4.709907,-3.640393,5.452264,5.0878105,4.4616675,4.5652637,4.7679706,4.664409,5.5878563,4.972731,5.151272,4.6795573,5.6321626,4.4239306,3.5379596,1
9.310668,4.58192,10.93067,2.8931596,5.7022324,4.397928,6.3685575,0.12429555,4.724495,5.6208687,5.0480576,2.687145,7.233757,6.9539475,4.791603,4.7649126,4.336429,4.6512613,4.643145,5.9473724,4.861709,3.1268954,0
9.077663,6.2063828,5.5129385,4.863562,5.3056016,5.081166,5.0006685,4.7164884,-3.6531842,5.4551024,5.096059,4.4487524,4.577426,4.780655,4.653698,5.589961,4.960552,5.163689,4.693154,5.620065,4.420041,3.5490506,1
9.30521,4.5803547,10.933966,2.8704836,5.6876497,4.406666,6.3925996,0.14473669,4.7466607,5.613734,5.0204897,2.720651,7.2110057,6.9286532,4.8124366,4.785818,4.353155,4.6695933,4.6315923,5.965556,4.8392377,3.1447456,0
9.066797,6.1943784,5.507486,4.851081,5.2988815,5.0692496,4.9973416,4.7111,-3.6411717,5.4531994,5.089067,4.460741,4.5656366,4.7683725,4.6633086,5.5887294,4.972372,5.1516695,4.680083,5.6317973,4.422906,3.5390477,1
9.314173,4.578263,10.935625,2.887966,5.704516,4.3964977,6.3665104,0.12149324,4.7218833,5.6240063,5.047505,2.6865344,7.2320747,6.9525404,4.787725,4.7696524,4.3391314,4.6541295,4.6403613,5.9454255,4.856802,3.1241808,0
9.315717,4.5790105,10.933361,2.8987906,5.709978,4.391914,6.3560224,0.11421634,4.713888,5.62496,5.062783,2.6712348,7.2473617,6.968565,4.780292,4.7578397,4.3253965,4.640011,4.651287,5.93757,4.8668113,3.1180828,0
9.083741,6.2127976,5.515173,4.868482,5.2987423,5.087561,4.992264,4.708735,-3.6533954,5.445681,5.0895004,4.4496565,4.5838017,4.786961,4.657568,5.5803714,4.9547315,5.1701016,4.6988306,5.613584,4.4291353,3.5455284,1
9.333335,4.5762286,10.952986,2.8648777,5.7218933,4.407937,6.368338,0.088848375,4.6902127,5.6708174,5.007172,2.698753,7.1633477,6.890803,4.753935,4.813156,4.4243813,4.733225,4.551476,5.943461,4.851608,3.0909064,0
3.3924952,14.447665,5.568448,5.599313,5.2729425,4.5528436,5.8615813,5.380073,5.059647,5.643064,5.4099298,4.669566,5.1427107,4.4604254,4.849829,5.0947385,4.694209,5.315611,4.422265,5.454076,4.757252,3.7731154,1
9.335293,4.5791407,10.952416,2.8661408,5.7282147,4.4101048,6.367047,0.07910119,4.6810846,5.6801014,5.007358,2.694427,7.1613398,6.890283,4.7473435,4.8143473,4.430368,4.7378106,4.5409336,5.9410443,4.8572373,3.081646,0
3.390616,14.448266,5.566484,5.5987177,5.2740707,4.5523143,5.8608174,5.3803577,5.0593624,5.6426024,5.4102316,4.6701403,5.1420956,4.460427,4.8515415,5.0947094,4.6949005,5.313827,4.4244285,5.4545217,4.7577724,3.7716358,1
9.3359,4.582708,10.950746,2.868016,5.732495,4.412937,6.366988,0.07070296,4.6737723,5.689026,5.0062566,2.6920385,7.157773,6.8884406,4.743203,4.8151317,4.4388647,4.7442026,4.527799,5.93971,4.862817,3.0743968,0
3.3837392,14.450589,5.5594754,5.5971417,5.2796087,4.5507483,5.859482,5.3811555,5.058631,5.6412144,5.411037,4.671819,5.140606,4.4605627,4.8580365,5.094531,4.6985273,5.3100133,4.4317646,5.4556503,4.7590218,3.7679813,1
