0,1,2,3,4,5,6,7,active_hand
2.1912014,2.7237022,7.1388865,8.902645,7.235232,-1.0490274,-0.7381995,0.30664316,1
0.31763402,-3.5732167,5.3453655,2.3401878,7.464132,11.808886,1.7626417,0.6047105,0
2.1876504,2.7269826,7.136157,8.905802,7.231907,-1.0462028,-0.7350351,0.3037882,1
0.3136248,-3.574661,5.3513393,2.3349144,7.4669337,11.80239,1.76684,0.598408,0
2.1908033,2.7235284,7.1365952,8.902392,7.231961,-1.0497279,-0.73858166,0.3070521,1
0.31315744,-3.5736167,5.353787,2.3322392,7.4711533,11.800269,1.7701317,0.59599465,0
2.1994712,2.7143984,7.137063,8.893586,7.2312565,-1.0599713,-0.74854743,0.31563258,1
0.3132711,-3.5692294,5.358365,2.3270245,7.4812183,11.79612,1.7776194,0.5920399,0
2.1910267,2.7235866,7.136189,8.902426,7.23198,-1.0497298,-0.73855025,0.3067844,1
0.31623298,-3.582683,5.3442616,2.34198,7.458617,11.809191,1.7587402,0.6049819,0
2.1792076,2.7360797,7.139894,8.91477,7.2365494,-1.036899,-0.7258382,0.29506198,1
0.3145583,-3.5800178,5.348996,2.3373072,7.4653463,11.80482,1.7642864,0.6001339,0
2.1767762,2.738633,7.136399,8.917259,7.233215,-1.0340316,-0.7230107,0.29299545,1
0.31416908,-3.5798075,5.352987,2.335593,7.4669495,11.800037,1.7663676,0.5950552,0
2.1800134,2.7354228,7.1408663,8.914125,7.237722,-1.0376825,-0.7266759,0.29565418,1
0.31507158,-3.5819354,5.348261,2.3386617,7.4635587,11.805448,1.7627286,0.6006076,0
2.178063,2.7375886,7.140021,8.916196,7.237487,-1.0355161,-0.72450256,0.29364446,1
0.31869027,-3.5910053,5.342076,2.3460948,7.458294,11.811358,1.756644,0.60614145,0
2.1696994,2.7468457,7.1504784,8.925584,7.248895,-1.0254956,-0.7151048,0.28451824,1
0.3155202,-3.577169,5.359215,2.331392,7.478124,11.79412,1.7747139,0.5883226,0
2.1444473,2.7720501,7.1749744,8.950682,7.2731442,-1.0001998,-0.6897083,0.25942066,1
0.31406265,-3.5794702,5.354898,2.3339765,7.471351,11.798282,1.7695184,0.5929604,0
0.3175551,-3.5883605,5.341059,2.3455658,7.454357,11.81237,1.75454,0.6077099,0
2.168149,2.7485547,7.1543517,8.927226,7.253838,-1.0236106,-0.7130324,0.2827056,1
0.34861046,-3.5259833,5.440526,2.3048713,7.569391,11.714615,1.8548868,0.5040786,0
8.054614,11.220228,4.3948,8.606628,5.048006,5.2705436,3.5864553,-0.09667421,1
0.38612294,-3.56611,5.4202914,2.3602333,7.5170455,11.723836,1.8013295,0.51209795,0
8.05474,11.22089,4.3945084,8.606995,5.0475516,5.2711525,3.585382,-0.09635589,1
0.36959553,-3.5342124,5.4354157,2.3361921,7.557119,11.719091,1.8420441,0.50586444,0
8.054698,11.22669,4.3850555,8.611968,5.0463953,5.2779384,3.570112,-0.08579165,1
0.37354845,-3.553288,5.419302,2.3507736,7.52854,11.730402,1.8155056,0.51823264,0
8.052657,11.238415,4.3725414,8.619565,5.0413876,5.29058,3.546751,-0.07172492,1
