data_unit,PH2,num_classes,difficulty,accuracy,top2accuracy,macro_f1,macro_precision,macro_recall
Spf,False,2,easy,0.8530020703933747,1,0.8505393449410534,0.8831525762511104,0.8550420168067228
Spf,False,2,average,0.5038910505836576,1,0.3350582147477361,0.2519455252918288,0.5
Spf,False,2,hard,0.6051587301587301,1,0.5496099907044416,0.7179385309728887,0.6079842519685039
Spf,True,2,easy,0.9751552795031055,1,0.975155173005041,0.975455387465267,0.975390156062425
Spf,True,2,average,0.5019455252918288,1,0.3443485540031491,0.7495107632093934,0.5057915057915058
Spf,True,2,hard,0.5119047619047619,1,0.37182579089232515,0.6686991869918699,0.5156850393700787
Spv,False,2,easy,0.926829268292683,1,0.926654740608229,0.9282296650717703,0.9261904761904762
Spv,False,2,average,0.46511627906976744,1,0.31746031746031744,0.23809523809523808,0.47619047619047616
Spv,False,2,hard,0.5952380952380952,1,0.5159322033898305,0.7763157894736843,0.5952380952380952
Spv,True,2,easy,0.9512195121951219,1,0.9511904761904761,0.9511904761904761,0.9511904761904761
Spv,True,2,average,0.5348837209302325,1,0.38920454545454547,0.7619047619047619,0.5238095238095238
Spv,True,2,hard,0.5238095238095238,1,0.5227272727272727,0.5240274599542334,0.5238095238095237
