class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,batch_size,loadable,num_epochs
alpha-classes,0.05423728813559322,Spv,True,True,pca,None,1,1024,distilbert-base-uncased,2
alpha-classes,0.04745762711864407,Spv,True,True,umap,None,1,1024,distilbert-base-uncased,2
alpha-classes,0.1016949152542373,Spv,True,True,pca,None,3,1024,distilbert-base-uncased,2
alpha-classes,0.07796610169491526,Spv,True,True,umap,None,3,1024,distilbert-base-uncased,2
alpha-classes,0.07796610169491526,Spv,True,True,pca,None,5,1024,distilbert-base-uncased,2
alpha-classes,0.06440677966101695,Spv,True,True,umap,None,5,1024,distilbert-base-uncased,2
alpha-classes,0.1016949152542373,Spv,True,True,pca,None,7,1024,distilbert-base-uncased,2
alpha-classes,0.06440677966101695,Spv,True,True,umap,None,7,1024,distilbert-base-uncased,2
alpha-classes,0.10338983050847457,Spv,True,True,pca,None,9,1024,distilbert-base-uncased,2
alpha-classes,0.07288135593220339,Spv,True,True,umap,None,9,1024,distilbert-base-uncased,2
alpha-classes,0.06440677966101695,Spv,True,True,pca,None,11,1024,distilbert-base-uncased,2
alpha-classes,0.061016949152542375,Spv,True,True,umap,None,11,1024,distilbert-base-uncased,2
alpha-classes,0.06440677966101695,Spv,True,True,pca,None,13,1024,distilbert-base-uncased,2
alpha-classes,0.06610169491525424,Spv,True,True,umap,None,13,1024,distilbert-base-uncased,2
alpha-classes,0.07288135593220339,Spv,True,True,pca,None,15,1024,distilbert-base-uncased,2
alpha-classes,0.07288135593220339,Spv,True,True,umap,None,15,1024,distilbert-base-uncased,2
alpha-classes,0.04915254237288136,Spv,True,False,None,None,75,1024,distilbert-base-uncased,2
alpha-classes,0.0711864406779661,Spv,False,True,pca,None,1,1024,distilbert-base-uncased,2
alpha-classes,0.04745762711864407,Spv,False,True,umap,None,1,1024,distilbert-base-uncased,2
alpha-classes,0.05254237288135593,Spv,False,True,pca,None,3,1024,distilbert-base-uncased,2
alpha-classes,0.04067796610169491,Spv,False,True,umap,None,3,1024,distilbert-base-uncased,2
alpha-classes,0.04067796610169491,Spv,False,True,pca,None,5,1024,distilbert-base-uncased,2
alpha-classes,0.020338983050847456,Spv,False,True,umap,None,5,1024,distilbert-base-uncased,2
alpha-classes,0.08305084745762711,Spv,False,True,pca,None,7,1024,distilbert-base-uncased,2
alpha-classes,0.025423728813559324,Spv,False,True,umap,None,7,1024,distilbert-base-uncased,2
alpha-classes,0.05593220338983051,Spv,False,True,pca,None,9,1024,distilbert-base-uncased,2
alpha-classes,0.03389830508474576,Spv,False,True,umap,None,9,1024,distilbert-base-uncased,2
alpha-classes,0.08135593220338982,Spv,False,True,pca,None,11,1024,distilbert-base-uncased,2
alpha-classes,0.03898305084745763,Spv,False,True,umap,None,11,1024,distilbert-base-uncased,2
alpha-classes,0.07457627118644068,Spv,False,True,pca,None,13,1024,distilbert-base-uncased,2
alpha-classes,0.03559322033898305,Spv,False,True,umap,None,13,1024,distilbert-base-uncased,2
alpha-classes,0.07627118644067797,Spv,False,True,pca,None,15,1024,distilbert-base-uncased,2
alpha-classes,0.03728813559322034,Spv,False,True,umap,None,15,1024,distilbert-base-uncased,2
alpha-classes,0.07966101694915254,Spv,False,False,None,None,72,1024,distilbert-base-uncased,2
