class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,k
alpha-classes,0.915702479338843,AHpf,True,True,pca,None,1,1
alpha-classes,0.9073661516349263,AHpf,True,True,pca,None,1,2
alpha-classes,0.938196191160618,AHpf,True,True,pca,None,1,3
alpha-classes,0.9348904060366511,AHpf,True,True,pca,None,1,4
alpha-classes,0.9412863816025872,AHpf,True,True,pca,None,1,5
alpha-classes,0.9394897592526051,AHpf,True,True,pca,None,1,6
alpha-classes,0.9423643550125763,AHpf,True,True,pca,None,1,7
alpha-classes,0.9416457060725836,AHpf,True,True,pca,None,1,8
alpha-classes,0.9428674092705713,AHpf,True,True,pca,None,1,9
alpha-classes,0.9428674092705713,AHpf,True,True,pca,None,1,10
alpha-classes,0.9440172475745598,AHpf,True,True,pca,None,1,11
alpha-classes,0.943298598634567,AHpf,True,True,pca,None,1,12
alpha-classes,0.9444484369385555,AHpf,True,True,pca,None,1,13
alpha-classes,0.9441609773625584,AHpf,True,True,pca,None,1,14
alpha-classes,0.9440172475745598,AHpf,True,True,pca,None,1,15
alpha-classes,0.8457060725835429,AHpf,True,True,kpca,poly,1,1
alpha-classes,0.8364355012576357,AHpf,True,True,kpca,poly,1,2
alpha-classes,0.8831476823571686,AHpf,True,True,kpca,poly,1,3
alpha-classes,0.8776859504132232,AHpf,True,True,kpca,poly,1,4
alpha-classes,0.8913402802730866,AHpf,True,True,kpca,poly,1,5
alpha-classes,0.8888250089831118,AHpf,True,True,kpca,poly,1,6
alpha-classes,0.8947179302910528,AHpf,True,True,kpca,poly,1,7
alpha-classes,0.892705713259073,AHpf,True,True,kpca,poly,1,8
alpha-classes,0.8947897951850521,AHpf,True,True,kpca,poly,1,9
alpha-classes,0.8934243621990657,AHpf,True,True,kpca,poly,1,10
alpha-classes,0.8963708228530363,AHpf,True,True,kpca,poly,1,11
alpha-classes,0.8952209845490477,AHpf,True,True,kpca,poly,1,12
alpha-classes,0.8970894717930291,AHpf,True,True,kpca,poly,1,13
alpha-classes,0.8960833632770392,AHpf,True,True,kpca,poly,1,14
alpha-classes,0.8969457420050305,AHpf,True,True,kpca,poly,1,15
alpha-classes,0.5801652892561984,AHpf,True,True,kpca,rbf,1,1
alpha-classes,0.5618397412863816,AHpf,True,True,kpca,rbf,1,2
alpha-classes,0.585698886094143,AHpf,True,True,kpca,rbf,1,3
alpha-classes,0.5692418253683076,AHpf,True,True,kpca,rbf,1,4
alpha-classes,0.5868487243981315,AHpf,True,True,kpca,rbf,1,5
alpha-classes,0.5836148041681638,AHpf,True,True,kpca,rbf,1,6
alpha-classes,0.5943226733740568,AHpf,True,True,kpca,rbf,1,7
alpha-classes,0.5885734818541143,AHpf,True,True,kpca,rbf,1,8
alpha-classes,0.5979877829680201,AHpf,True,True,kpca,rbf,1,9
alpha-classes,0.5940352137980597,AHpf,True,True,kpca,rbf,1,10
alpha-classes,0.5967660797700324,AHpf,True,True,kpca,rbf,1,11
alpha-classes,0.5947538627380524,AHpf,True,True,kpca,rbf,1,12
alpha-classes,0.6030183255479699,AHpf,True,True,kpca,rbf,1,13
alpha-classes,0.5971254042400288,AHpf,True,True,kpca,rbf,1,14
alpha-classes,0.5992813510600072,AHpf,True,True,kpca,rbf,1,15
alpha-classes,0.5098814229249012,AHpf,True,True,kpca,sigmoid,1,1
alpha-classes,0.5046352856629537,AHpf,True,True,kpca,sigmoid,1,2
alpha-classes,0.5104563420768954,AHpf,True,True,kpca,sigmoid,1,3
alpha-classes,0.5055695292849443,AHpf,True,True,kpca,sigmoid,1,4
alpha-classes,0.5102407473948976,AHpf,True,True,kpca,sigmoid,1,5
alpha-classes,0.508300395256917,AHpf,True,True,kpca,sigmoid,1,6
alpha-classes,0.5137621272008623,AHpf,True,True,kpca,sigmoid,1,7
alpha-classes,0.5154868846568451,AHpf,True,True,kpca,sigmoid,1,8
alpha-classes,0.5195113187208049,AHpf,True,True,kpca,sigmoid,1,9
alpha-classes,0.516492993172835,AHpf,True,True,kpca,sigmoid,1,10
alpha-classes,0.5180740208408192,AHpf,True,True,kpca,sigmoid,1,11
alpha-classes,0.5184333453108156,AHpf,True,True,kpca,sigmoid,1,12
alpha-classes,0.5249730506647503,AHpf,True,True,kpca,sigmoid,1,13
alpha-classes,0.518289615522817,AHpf,True,True,kpca,sigmoid,1,14
alpha-classes,0.5271289974847287,AHpf,True,True,kpca,sigmoid,1,15
alpha-classes,0.9360402443406396,AHpf,True,True,kpca,cosine,1,1
alpha-classes,0.9300754581386993,AHpf,True,True,kpca,cosine,1,2
alpha-classes,0.9555874955084441,AHpf,True,True,kpca,cosine,1,3
alpha-classes,0.9539346029464607,AHpf,True,True,kpca,cosine,1,4
alpha-classes,0.9583902263744161,AHpf,True,True,kpca,cosine,1,5
alpha-classes,0.9585339561624147,AHpf,True,True,kpca,cosine,1,6
alpha-classes,0.9590370104204097,AHpf,True,True,kpca,cosine,1,7
alpha-classes,0.9591088753144089,AHpf,True,True,kpca,cosine,1,8
alpha-classes,0.9591088753144089,AHpf,True,True,kpca,cosine,1,9
alpha-classes,0.9596119295724039,AHpf,True,True,kpca,cosine,1,10
alpha-classes,0.9599712540424002,AHpf,True,True,kpca,cosine,1,11
alpha-classes,0.9600431189363996,AHpf,True,True,kpca,cosine,1,12
alpha-classes,0.9600431189363996,AHpf,True,True,kpca,cosine,1,13
alpha-classes,0.9602587136183974,AHpf,True,True,kpca,cosine,1,14
alpha-classes,0.9599712540424002,AHpf,True,True,kpca,cosine,1,15
alpha-classes,0.7313690262306863,AHpf,True,True,umap,None,1,1
alpha-classes,0.7307941070786921,AHpf,True,True,umap,None,1,2
alpha-classes,0.7612648221343874,AHpf,True,True,umap,None,1,3
alpha-classes,0.7620553359683795,AHpf,True,True,umap,None,1,4
alpha-classes,0.7731943945382681,AHpf,True,True,umap,None,1,5
alpha-classes,0.7750628817822494,AHpf,True,True,umap,None,1,6
alpha-classes,0.7805246137261947,AHpf,True,True,umap,None,1,7
alpha-classes,0.7818900467121811,AHpf,True,True,umap,None,1,8
alpha-classes,0.786201940352138,AHpf,True,True,umap,None,1,9
alpha-classes,0.7865612648221344,AHpf,True,True,umap,None,1,10
alpha-classes,0.7903701042040963,AHpf,True,True,umap,None,1,11
alpha-classes,0.7887172116421128,AHpf,True,True,umap,None,1,12
alpha-classes,0.7922385914480776,AHpf,True,True,umap,None,1,13
alpha-classes,0.7915199425080848,AHpf,True,True,umap,None,1,14
alpha-classes,0.7941070786920589,AHpf,True,True,umap,None,1,15
alpha-classes,0.9618397412863816,AHpf,True,True,pca,None,2,1
alpha-classes,0.9665109593963349,AHpf,True,True,pca,None,2,2
alpha-classes,0.9729787998562702,AHpf,True,True,pca,None,2,3
alpha-classes,0.9735537190082645,AHpf,True,True,pca,None,2,4
alpha-classes,0.9740567732662594,AHpf,True,True,pca,None,2,5
alpha-classes,0.9744879626302552,AHpf,True,True,pca,None,2,6
alpha-classes,0.974200503054258,AHpf,True,True,pca,None,2,7
alpha-classes,0.9741286381602587,AHpf,True,True,pca,None,2,8
alpha-classes,0.9746316924182536,AHpf,True,True,pca,None,2,9
alpha-classes,0.9749191519942508,AHpf,True,True,pca,None,2,10
alpha-classes,0.9749191519942508,AHpf,True,True,pca,None,2,11
alpha-classes,0.9747754222062522,AHpf,True,True,pca,None,2,12
alpha-classes,0.9745598275242544,AHpf,True,True,pca,None,2,13
alpha-classes,0.9749191519942508,AHpf,True,True,pca,None,2,14
