class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,k
alpha-classes,0.9162773984908372,AHpf,True,True,pca,None,1,1
alpha-classes,0.9093065037729069,AHpf,True,True,pca,None,1,2
alpha-classes,0.9380524613726194,AHpf,True,True,pca,None,1,3
alpha-classes,0.9346748113546532,AHpf,True,True,pca,None,1,4
alpha-classes,0.9412863816025872,AHpf,True,True,pca,None,1,5
alpha-classes,0.9392741645706073,AHpf,True,True,pca,None,1,6
alpha-classes,0.9424362199065757,AHpf,True,True,pca,None,1,7
alpha-classes,0.8475026949335249,AHpf,True,True,kpca,poly,1,1
alpha-classes,0.8415379087315846,AHpf,True,True,kpca,poly,1,2
alpha-classes,0.8809198706431908,AHpf,True,True,kpca,poly,1,3
alpha-classes,0.8767517067912325,AHpf,True,True,kpca,poly,1,4
alpha-classes,0.8890406036651096,AHpf,True,True,kpca,poly,1,5
alpha-classes,0.8874595759971254,AHpf,True,True,kpca,poly,1,6
alpha-classes,0.89399928135106,AHpf,True,True,kpca,poly,1,7
alpha-classes,0.7130434782608696,AHpf,True,True,kpca,rbf,1,1
alpha-classes,0.7447358965145526,AHpf,True,True,kpca,rbf,1,2
alpha-classes,0.7360402443406396,AHpf,True,True,kpca,rbf,1,3
alpha-classes,0.7560905497664391,AHpf,True,True,kpca,rbf,1,4
alpha-classes,0.7451670858785483,AHpf,True,True,kpca,rbf,1,5
alpha-classes,0.7648580668343514,AHpf,True,True,kpca,rbf,1,6
alpha-classes,0.7595400646784046,AHpf,True,True,kpca,rbf,1,7
alpha-classes,0.5233920229967661,AHpf,True,True,kpca,sigmoid,1,1
alpha-classes,0.513402802730866,AHpf,True,True,kpca,sigmoid,1,2
alpha-classes,0.5317283507006827,AHpf,True,True,kpca,sigmoid,1,3
alpha-classes,0.5251167804527488,AHpf,True,True,kpca,sigmoid,1,4
alpha-classes,0.5323751347466763,AHpf,True,True,kpca,sigmoid,1,5
alpha-classes,0.5267696730147323,AHpf,True,True,kpca,sigmoid,1,6
alpha-classes,0.541501976284585,AHpf,True,True,kpca,sigmoid,1,7
alpha-classes,0.9367588932806324,AHpf,True,True,kpca,cosine,1,1
alpha-classes,0.9313690262306863,AHpf,True,True,kpca,cosine,1,2
alpha-classes,0.9576715774344233,AHpf,True,True,kpca,cosine,1,3
alpha-classes,0.9562342795544376,AHpf,True,True,kpca,cosine,1,4
alpha-classes,0.9610492274523895,AHpf,True,True,kpca,cosine,1,5
alpha-classes,0.9601149838303988,AHpf,True,True,kpca,cosine,1,6
alpha-classes,0.9611210923463888,AHpf,True,True,kpca,cosine,1,7
alpha-classes,0.6706431908012935,AHpf,True,True,umap,None,1,1
alpha-classes,0.6677685950413224,AHpf,True,True,umap,None,1,2
alpha-classes,0.7076536112109235,AHpf,True,True,umap,None,1,3
alpha-classes,0.7031261228889687,AHpf,True,True,umap,None,1,4
alpha-classes,0.7180740208408193,AHpf,True,True,umap,None,1,5
alpha-classes,0.7183614804168164,AHpf,True,True,umap,None,1,6
alpha-classes,0.7267696730147323,AHpf,True,True,umap,None,1,7
alpha-classes,0.963205174272368,AHpf,True,True,pca,None,2,1
alpha-classes,0.9666546891843335,AHpf,True,True,pca,None,2,2
alpha-classes,0.9735537190082645,AHpf,True,True,pca,None,2,3
alpha-classes,0.9744879626302552,AHpf,True,True,pca,None,2,4
alpha-classes,0.9752784764642473,AHpf,True,True,pca,None,2,5
alpha-classes,0.9750628817822494,AHpf,True,True,pca,None,2,6
alpha-classes,0.9762127200862378,AHpf,True,True,pca,None,2,7
alpha-classes,0.9586776859504132,AHpf,True,True,kpca,poly,2,1
