class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,batch_size,loadable,num_epochs
two-classes,0.5078125,Spf,True,True,pca,None,1,1024,prajjwal1/bert-tiny,45
two-classes,0.556640625,Spf,True,True,umap,None,1,1024,prajjwal1/bert-tiny,45
two-classes,0.701171875,Spf,True,True,pca,None,3,1024,prajjwal1/bert-tiny,45
two-classes,0.595703125,Spf,True,True,umap,None,3,1024,prajjwal1/bert-tiny,45
two-classes,0.5859375,Spf,True,True,pca,None,5,1024,prajjwal1/bert-tiny,45
two-classes,0.6171875,Spf,True,True,umap,None,5,1024,prajjwal1/bert-tiny,45
two-classes,0.767578125,Spf,True,True,pca,None,7,1024,prajjwal1/bert-tiny,45
two-classes,0.638671875,Spf,True,True,umap,None,7,1024,prajjwal1/bert-tiny,45
two-classes,0.72265625,Spf,True,True,pca,None,9,1024,prajjwal1/bert-tiny,45
two-classes,0.578125,Spf,True,True,umap,None,9,1024,prajjwal1/bert-tiny,45
two-classes,0.66015625,Spf,True,True,pca,None,11,1024,prajjwal1/bert-tiny,45
two-classes,0.564453125,Spf,True,True,umap,None,11,1024,prajjwal1/bert-tiny,45
two-classes,0.669921875,Spf,True,True,pca,None,13,1024,prajjwal1/bert-tiny,45
two-classes,0.51171875,Spf,True,True,umap,None,13,1024,prajjwal1/bert-tiny,45
two-classes,0.546875,Spf,True,True,pca,None,15,1024,prajjwal1/bert-tiny,45
two-classes,0.51953125,Spf,True,True,umap,None,15,1024,prajjwal1/bert-tiny,45
two-classes,0.6328125,Spf,True,False,None,None,75,1024,prajjwal1/bert-tiny,45
two-classes,0.662109375,Spf,False,True,pca,None,1,1024,prajjwal1/bert-tiny,45
two-classes,0.638671875,Spf,False,True,umap,None,1,1024,prajjwal1/bert-tiny,45
two-classes,0.6875,Spf,False,True,pca,None,3,1024,prajjwal1/bert-tiny,45
two-classes,0.587890625,Spf,False,True,umap,None,3,1024,prajjwal1/bert-tiny,45
two-classes,0.654296875,Spf,False,True,pca,None,5,1024,prajjwal1/bert-tiny,45
two-classes,0.525390625,Spf,False,True,umap,None,5,1024,prajjwal1/bert-tiny,45
two-classes,0.615234375,Spf,False,True,pca,None,7,1024,prajjwal1/bert-tiny,45
two-classes,0.619140625,Spf,False,True,umap,None,7,1024,prajjwal1/bert-tiny,45
two-classes,0.662109375,Spf,False,True,pca,None,9,1024,prajjwal1/bert-tiny,45
two-classes,0.609375,Spf,False,True,umap,None,9,1024,prajjwal1/bert-tiny,45
two-classes,0.580078125,Spf,False,True,pca,None,11,1024,prajjwal1/bert-tiny,45
two-classes,0.560546875,Spf,False,True,umap,None,11,1024,prajjwal1/bert-tiny,45
two-classes,0.583984375,Spf,False,True,pca,None,13,1024,prajjwal1/bert-tiny,45
two-classes,0.541015625,Spf,False,True,umap,None,13,1024,prajjwal1/bert-tiny,45
two-classes,0.79296875,Spf,False,True,pca,None,15,1024,prajjwal1/bert-tiny,45
two-classes,0.587890625,Spf,False,True,umap,None,15,1024,prajjwal1/bert-tiny,45
two-classes,0.6171875,Spf,False,False,None,None,72,1024,prajjwal1/bert-tiny,45
