class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,batch_size,loadable,num_epochs
ten-classes,0.1902497027348395,Spf,True,True,pca,None,1,1024,distilbert-base-uncased,2
ten-classes,0.15537059056678557,Spf,True,True,umap,None,1,1024,distilbert-base-uncased,2
ten-classes,0.32540626238604836,Spf,True,True,pca,None,3,1024,distilbert-base-uncased,2
ten-classes,0.25287356321839083,Spf,True,True,umap,None,3,1024,distilbert-base-uncased,2
ten-classes,0.3079667063020214,Spf,True,True,pca,None,5,1024,distilbert-base-uncased,2
ten-classes,0.2615933412604043,Spf,True,True,umap,None,5,1024,distilbert-base-uncased,2
ten-classes,0.30519223147047164,Spf,True,True,pca,None,7,1024,distilbert-base-uncased,2
ten-classes,0.24613555291319858,Spf,True,True,umap,None,7,1024,distilbert-base-uncased,2
ten-classes,0.3040031708283789,Spf,True,True,pca,None,9,1024,distilbert-base-uncased,2
ten-classes,0.2730875941339675,Spf,True,True,umap,None,9,1024,distilbert-base-uncased,2
ten-classes,0.2798256044391597,Spf,True,True,pca,None,11,1024,distilbert-base-uncased,2
ten-classes,0.2512881490289338,Spf,True,True,umap,None,11,1024,distilbert-base-uncased,2
ten-classes,0.272294887039239,Spf,True,True,pca,None,13,1024,distilbert-base-uncased,2
ten-classes,0.2568370986920333,Spf,True,True,umap,None,13,1024,distilbert-base-uncased,2
ten-classes,0.2857709076496235,Spf,True,True,pca,None,15,1024,distilbert-base-uncased,2
ten-classes,0.27625842251288146,Spf,True,True,umap,None,15,1024,distilbert-base-uncased,2
ten-classes,0.30757035275465716,Spf,True,False,None,None,75,1024,distilbert-base-uncased,2
ten-classes,0.17756638921918352,Spf,False,True,pca,None,1,1024,distilbert-base-uncased,2
ten-classes,0.14149821640903687,Spf,False,True,umap,None,1,1024,distilbert-base-uncased,2
ten-classes,0.22314704716607214,Spf,False,True,pca,None,3,1024,distilbert-base-uncased,2
ten-classes,0.17122473246135553,Spf,False,True,umap,None,3,1024,distilbert-base-uncased,2
ten-classes,0.23028141101862862,Spf,False,True,pca,None,5,1024,distilbert-base-uncased,2
ten-classes,0.15219976218787157,Spf,False,True,umap,None,5,1024,distilbert-base-uncased,2
ten-classes,0.29528339278636545,Spf,False,True,pca,None,7,1024,distilbert-base-uncased,2
ten-classes,0.14982164090368608,Spf,False,True,umap,None,7,1024,distilbert-base-uncased,2
ten-classes,0.40784780023781214,Spf,False,True,pca,None,9,1024,distilbert-base-uncased,2
ten-classes,0.1549742370194213,Spf,False,True,umap,None,9,1024,distilbert-base-uncased,2
ten-classes,0.40071343638525564,Spf,False,True,pca,None,11,1024,distilbert-base-uncased,2
ten-classes,0.11850971066191042,Spf,False,True,umap,None,11,1024,distilbert-base-uncased,2
ten-classes,0.39080459770114945,Spf,False,True,pca,None,13,1024,distilbert-base-uncased,2
ten-classes,0.13793103448275862,Spf,False,True,umap,None,13,1024,distilbert-base-uncased,2
ten-classes,0.4003170828378914,Spf,False,True,pca,None,15,1024,distilbert-base-uncased,2
ten-classes,0.13912009512485138,Spf,False,True,umap,None,15,1024,distilbert-base-uncased,2
ten-classes,0.25842251288149026,Spf,False,False,None,None,72,1024,distilbert-base-uncased,2
