0,1,2,class_numeric
5.028374,11.40495,13.441608,0
5.1243973,11.336684,13.434915,0
5.033753,11.380423,13.433692,0
5.0112886,11.364837,13.428108,0
4.948748,11.380231,13.4336405,0
4.9358125,11.425348,13.45736,0
4.925916,11.407793,13.451863,0
4.960091,11.410726,13.448757,0
4.9198413,11.399552,13.448748,0
4.9975395,11.400075,13.439028,0
5.0410347,11.484482,13.468762,0
5.068286,11.524438,13.488256,0
6.1313853,11.768131,13.859236,1
6.1115065,11.746802,13.8770685,1
6.1511884,11.79109,13.880519,1
6.168424,11.804956,13.883685,1
6.1706223,11.818518,13.892198,1
6.2073298,11.853824,13.889697,1
6.202614,11.844624,13.878294,1
6.167735,11.808268,13.8952675,1
6.1576552,11.795407,13.886518,1
6.154227,11.7913475,13.879469,1
6.164379,11.805979,13.873427,1
6.1928306,11.8290615,13.892871,1
3.649114,18.767113,9.271792,2
3.6308515,18.742956,9.247364,2
3.6219249,18.753307,9.230407,2
3.6466413,18.758883,9.274509,2
3.6506944,18.764977,9.2851925,2
3.649551,18.760162,9.28192,2
3.6960375,18.823032,9.3014345,2
3.696253,18.82653,9.299109,2
3.683535,18.80764,9.29869,2
3.6877398,18.813753,9.29885,2
3.6918836,18.820972,9.303343,2
3.7039285,18.841415,9.306538,2
-13.717741,8.755878,4.186685,3
-13.717743,8.755878,4.1866903,3
-13.717777,8.755878,4.1866817,3
-13.71778,8.755882,4.186692,3
-13.717762,8.7558775,4.1866927,3
-13.717783,8.755885,4.1866956,3
-13.71781,8.755886,4.1866894,3
-13.717815,8.755882,4.1866994,3
-13.717826,8.755883,4.1867027,3
-13.717797,8.755873,4.186696,3
-13.717838,8.755866,4.1866937,3
-13.717845,8.755874,4.1866927,3
-5.158771,9.365262,15.250415,4
-5.180726,9.438063,15.243938,4
-5.1758447,9.413912,15.245112,4
-5.179899,9.433219,15.244108,4
-5.1810775,9.436437,15.243386,4
-5.179902,9.431599,15.244204,4
-5.182054,9.445999,15.2434845,4
-5.1789703,9.42691,15.244464,4
-5.178998,9.4156275,15.243456,4
-5.1812634,9.435902,15.243725,4
-5.1928287,9.452231,15.247614,4
-5.1802125,9.433882,15.244063,4
-5.561471,11.383213,15.300208,5
-5.5632486,11.379405,15.29915,5
-5.561324,11.384909,15.300426,5
-5.5627694,11.380567,15.299447,5
-5.562219,11.381718,15.299719,5
-5.5474586,11.397867,15.314392,5
-5.562634,11.383168,15.299774,5
-5.5485735,11.394171,15.314201,5
-5.566016,11.372841,15.297883,5
-5.5669527,11.372265,15.297207,5
-5.5773177,11.340472,15.291084,5
-5.5665283,11.372474,15.297664,5
-0.065214686,-0.4109306,15.621934,0
-3.151283,-4.686921,10.415978,0
-3.177231,-4.6585774,10.437752,0
-3.2048244,-4.644814,10.455296,0
-3.4728637,-4.6223564,10.724501,0
-3.4853299,-4.620958,10.737297,0
-3.5354211,-4.59563,10.787818,0
-3.5572963,-4.582499,10.810052,0
-3.5702019,-4.571993,10.822689,0
-3.5548062,-4.5886865,10.8114395,0
-3.5951145,-4.5487976,10.847908,0
-3.564494,-4.5793715,10.817242,0
-2.9319315,-4.6234527,10.158493,1
-2.9242868,-4.601114,10.170223,1
-2.9136229,-4.6125994,10.15262,1
-2.8432963,-4.5599847,10.11301,1
-2.8440988,-4.550986,10.119055,1
-2.787727,-4.5335164,10.103239,1
-2.8048968,-4.5534773,10.085838,1
