0,1,2,3,4,5,6,7,8,9,10,11,class_numeric
-3.2187126,1.0948349,4.7357025,6.6472063,3.96312,3.6785703,5.3391695,6.3744264,2.7964554,4.3314,5.4061394,4.1255994,0
-3.2459402,1.1055021,4.696668,6.6747937,3.9831657,3.7107205,5.4099183,6.4193783,2.8017843,4.3152165,5.344858,4.1257744,1
1.686114,1.6277503,6.0438924,3.9448113,4.110855,3.2340643,4.8688393,6.000094,3.883894,4.1230145,6.001243,5.829131,2
-3.2439768,1.1068175,4.7001476,6.679389,4.006905,3.6670237,5.408885,6.4369526,2.7868984,4.34709,5.3373322,4.143806,3
-3.3853447,1.0385207,4.606939,6.830536,3.9341278,3.719111,5.380884,6.431651,2.7373369,4.292393,5.330558,4.049572,4
-3.3865533,1.0545775,4.597819,6.8325253,3.9059918,3.7419286,5.354175,6.41404,2.7590387,4.2514167,5.341866,4.032944,5
10.82301,8.721603,4.4493814,3.4486148,3.2419715,3.5052066,2.636701,7.2768974,3.8452942,4.3426156,3.8704906,5.5885854,0
10.610179,8.753788,4.5708814,3.3680747,3.1232083,3.5553277,2.7370055,7.454864,3.761508,4.482644,3.9426367,5.6018925,1
10.712385,8.693755,4.591127,3.401413,3.1627455,3.4870584,2.780123,7.34148,3.8633242,4.392487,3.9873168,5.5774684,2
10.449752,8.302151,5.0173135,3.4580567,3.2215915,3.2489269,3.240531,7.317507,4.0699954,4.388994,4.287331,5.5926757,3
10.82019,8.720602,4.493054,3.453965,3.2460637,3.489541,2.6807477,7.2595305,3.8696294,4.325567,3.9194896,5.5651326,4
10.733023,8.694247,4.5829387,3.4376316,3.2019696,3.4798348,2.7664158,7.307278,3.8717477,4.3474693,3.979511,5.614459,5
-3.1698713,1.0822169,4.7929106,6.5816507,3.9685957,3.6172037,5.2756705,6.3333397,2.7855196,4.334716,5.462625,4.203406,0
-3.2642229,1.0673361,4.7291307,6.67655,4.000315,3.6421897,5.357961,6.3841395,2.7525294,4.3486185,5.3974047,4.1674123,1
0.61961186,1.798857,6.323525,3.9975874,4.081037,2.9833746,4.9287295,5.8647733,3.6353946,4.221278,6.015475,5.85615,2
1.6084573,1.6145164,6.024158,3.972411,4.0739746,3.2568152,4.8415847,6.0155396,3.8653548,4.088776,6.0128417,5.8174567,3
-3.335173,1.0368836,4.669453,6.767121,3.9638584,3.6818688,5.3598104,6.3998847,2.7364638,4.3227754,5.372055,4.091714,4
-3.4184048,1.0489835,4.5711927,6.849381,3.8792367,3.7950544,5.321361,6.3860297,2.759548,4.2228355,5.3682904,4.006673,5
10.856216,8.752622,4.4161735,3.463244,3.2663705,3.5175872,2.6036615,7.2525263,3.8406212,4.321195,3.8411996,5.5789723,0
10.587295,8.717957,4.6215177,3.3605042,3.104711,3.540007,2.7929182,7.4756866,3.7503638,4.497886,3.9910152,5.587597,1
10.543658,8.452519,4.866682,3.4227693,3.1738117,3.3537006,3.0794091,7.3526325,3.9692404,4.4141545,4.1750665,5.5805016,2
10.479242,8.344798,4.977491,3.4455936,3.1994312,3.2797592,3.199178,7.3313847,4.0411844,4.3990164,4.253625,5.5891857,3
10.7743225,8.703449,4.535618,3.4182897,3.1866374,3.4814646,2.7254286,7.3035355,3.8683643,4.3568187,3.9460964,5.582305,4
10.6117325,8.6305275,4.675348,3.3750553,3.104708,3.4826052,2.8630424,7.442532,3.8218808,4.452111,4.021724,5.612669,5
-3.0860107,1.13645,4.863229,6.4880843,3.9637067,3.5986962,5.254256,6.3033576,2.8429425,4.321989,5.494165,4.245236,0
-3.3155732,1.0117666,4.6889815,6.7413745,4.03488,3.6918561,5.454232,6.469434,2.6998856,4.417387,5.3135624,4.0895615,1
1.688985,1.6252055,6.0467515,3.9427698,4.120841,3.2300472,4.874731,6.002835,3.873753,4.1323214,5.98934,5.821619,2
0.9113945,1.7012354,6.0774875,4.1220565,4.0968986,3.1888316,4.862972,5.989129,3.6933389,4.13402,5.993945,5.7652855,3
-3.2778254,1.0588268,4.7054677,6.706926,3.9786503,3.6836195,5.3684435,6.398452,2.7576954,4.339083,5.3776727,4.1131225,4
-3.3943248,1.0659759,4.57111,6.844128,3.8779683,3.770497,5.330961,6.3982015,2.7779505,4.2261806,5.3536444,4.004299,5
10.855727,8.756411,4.424781,3.4573424,3.25708,3.5240617,2.6089566,7.2763867,3.8244467,4.340286,3.8428173,5.590169,0
10.564025,8.71007,4.6408,3.3567832,3.093026,3.5395591,2.8101792,7.495745,3.7349377,4.5147457,4.0012994,5.6011653,1
10.499081,8.38198,4.941502,3.4341333,3.193104,3.3108883,3.1597986,7.3410263,4.0090675,4.4126625,4.229456,5.578585,2
10.478575,8.340229,4.9826894,3.4646897,3.1824102,3.2664983,3.2041657,7.321784,4.0564623,4.378237,4.2495766,5.613065,3
10.724215,8.716863,4.5577765,3.4059372,3.1703272,3.503713,2.742868,7.3455534,3.8414903,4.3908777,3.9625654,5.586905,4
10.662298,8.71719,4.630962,3.296877,3.055016,3.5117831,2.8620462,7.3936787,3.8690553,4.480918,3.9745934,5.492071,5
-3.1999695,1.1020128,4.7399673,6.632689,3.9225624,3.6854846,5.2824116,6.3330045,2.815204,4.2909617,5.447259,4.121101,0
-3.2146258,1.1310947,4.7180614,6.650565,3.9570065,3.711579,5.3645406,6.3852344,2.829177,4.3026795,5.380853,4.1137056,1
1.6991419,1.6440347,6.075409,3.9169986,4.1351476,3.201921,4.8939104,5.9788013,3.8917542,4.150116,5.982793,5.818725,2
1.655729,1.6573839,6.0179687,3.9568214,4.1276574,3.2423751,4.872226,6.0178976,3.9064522,4.147653,6.0246263,5.812914,3
-3.3435318,1.0978829,4.5909376,6.7908173,3.8589666,3.7517986,5.289527,6.356596,2.8081899,4.1912565,5.39485,4.059368,4
