0,1,2,3,4,5,6,7,8,9,10,class_numeric
10.056087,-0.83223987,6.8612685,10.13097,1.5855789,7.2354383,1.7510341,11.947056,0.26963562,11.251822,8.844859,0
10.027567,-0.81737655,6.88007,10.149605,1.6266786,7.236207,1.7569113,11.9795685,0.26418027,11.263364,8.894265,0
10.01682,-0.81802356,6.885268,10.146834,1.5942849,7.2547584,1.7594211,11.98603,0.27241668,11.266103,8.863058,0
10.030772,-0.8279489,6.8748255,10.137618,1.5991344,7.2629514,1.751203,11.972653,0.27562642,11.256867,8.869603,0
9.980934,-0.8011474,6.90634,10.149802,1.5588126,7.284112,1.7643441,12.017045,0.2875941,11.2724905,8.830475,0
9.984057,-0.80677205,6.9046702,10.155187,1.532114,7.2917566,1.7686946,12.013962,0.31157562,11.278062,8.800544,0
9.969615,-0.7948865,6.914074,10.1540165,1.5410231,7.3000846,1.7691613,12.027057,0.29665515,11.277121,8.815563,0
10.002181,-0.8176766,6.890127,10.148229,1.5614048,7.2770195,1.7625349,11.996826,0.28857294,11.269407,8.831243,0
9.980908,-0.80393267,6.904463,10.150898,1.5521271,7.287712,1.7643816,12.01619,0.29233685,11.272393,8.824368,0
10.024577,-0.8294285,6.876776,10.140176,1.5696616,7.265959,1.7533745,11.9772005,0.28818053,11.261689,8.835712,0
10.055144,-0.85101473,6.857701,10.131736,1.554136,7.264896,1.7350318,11.950427,0.314566,11.250006,8.810288,0
10.090454,-0.87683296,6.8329296,10.118505,1.5337559,7.2790008,1.7037206,11.917921,0.35489553,11.229929,8.78305,0
10.270655,-0.7007523,6.7810726,10.264899,2.4613686,6.8609934,1.6529975,11.869757,0.24017017,11.161682,9.727244,1
10.243217,-0.72351086,6.7889857,10.256417,2.4617465,6.8635607,1.6718274,11.887799,0.2247755,11.18153,9.707981,1
10.2494135,-0.719541,6.791425,10.262066,2.455116,6.8680887,1.6675907,11.88128,0.23154484,11.175631,9.712572,1
10.248783,-0.7211857,6.7917676,10.260331,2.4606109,6.8672204,1.6692549,11.882257,0.23018907,11.176679,9.712628,1
10.27442,-0.69966274,6.795102,10.27932,2.4280543,6.878758,1.644212,11.848922,0.26587188,11.146221,9.733424,1
