0,1,2,3,4,class_numeric
-3.8237958,0.43664128,5.1527996,4.1483164,4.068616,0
-3.9340684,0.34196138,5.251766,4.257278,3.9530554,1
2.2704701,1.3751584,2.7680526,5.3546853,5.9101467,2
-3.9312632,0.32921085,5.235954,4.2828526,3.9692383,3
-3.9113193,0.4156117,5.299285,4.2141805,3.907357,4
-3.9512746,0.49452698,5.3340063,4.122318,3.8584962,5
13.511885,10.522152,2.656411,6.0740156,9.468737,0
13.681394,10.321878,2.8662887,6.110461,9.262501,1
13.529608,10.356675,2.68977,6.1152,9.321492,2
13.359252,9.865814,2.7175148,6.56111,8.88827,3
13.562059,10.407334,2.7151153,6.0673375,9.356671,4
13.549362,10.37762,2.711157,6.0977387,9.331647,5
-3.7171967,0.4965743,5.1008997,4.150732,4.152386,0
-3.917908,0.35756987,5.2223697,4.2532535,3.9928691,1
1.3829347,1.0606983,3.0072365,4.8085966,5.874775,2
2.235918,1.388415,2.8083498,5.355044,5.8654494,3
-3.9321368,0.3246636,5.26206,4.264233,3.946863,4
-3.9121537,0.5214469,5.3546467,4.0816116,3.8419812,5
13.480864,10.501703,2.6973925,6.066651,9.448591,0
13.684427,10.288632,2.8760073,6.108902,9.230661,1
13.460341,10.079165,2.7110052,6.3396144,9.06716,2
13.351386,9.905903,2.6868494,6.5450115,8.928385,3
13.639236,10.369813,2.7903337,6.009792,9.314406,4
13.7760315,10.17687,2.939565,6.0268564,9.127365,5
-3.6202092,0.44474736,5.04441,4.1481075,4.219036,0
-4.005574,0.2859226,5.3226457,4.3152647,3.8802648,1
2.3132124,1.3606462,2.7460825,5.3613076,5.9198847,2
1.542717,1.1615586,3.191748,4.9500523,5.7160015,3
-3.8904803,0.2805039,5.186891,4.3011937,4.023142,4
-3.9627106,0.4944259,5.3506455,4.105812,3.8379226,5
13.480958,10.5927725,2.5991037,5.992653,9.537731,0
13.685222,10.259173,2.8845768,6.1354995,9.2010975,1
13.399021,9.955258,2.7085192,6.466743,8.962181,2
13.386484,9.886045,2.7215152,6.511843,8.898589,3
13.564855,10.359423,2.7453878,6.072517,9.311041,4
13.58303,10.23446,2.8105917,6.170382,9.188732,5
-3.9375904,0.36616442,5.187563,4.1501923,4.011081,0
-3.9450362,0.3418648,5.2540736,4.2515745,3.9471385,1
2.3001118,1.3717303,2.7737048,5.3515167,5.8949814,2
2.2558444,1.3427645,2.8423057,5.3685946,5.8853607,3
-3.9110763,0.4927719,5.2926745,4.1310883,3.9204714,4
-3.9471304,0.50513154,5.2860446,4.114155,3.9175339,5
13.545987,10.592128,2.6339886,5.9947,9.533591,0
13.691606,10.362901,2.861254,6.0411606,9.297838,1
13.509848,10.142322,2.734767,6.258125,9.116636,2
13.2754345,9.947516,2.6031594,6.5764723,8.978349,3
13.618853,10.302128,2.7882745,6.076158,9.253534,4
13.474622,10.277653,2.6610003,6.1659684,9.242186,5
-3.682923,0.6600569,5.106112,4.1557093,4.190755,0
-3.6175141,0.75133646,5.057016,4.1430163,4.2534714,1
2.2584217,1.3734448,2.760138,5.3566713,5.9123454,2
2.311101,1.3656406,2.6915722,5.3812695,5.9610577,3
-3.6774185,0.7705393,5.1305037,4.127527,4.1719456,4
-3.7123058,0.71385384,5.146028,4.133917,4.139046,5
13.532518,10.49977,2.6818433,6.0386353,9.445562,0
13.702693,10.274017,2.8335545,6.1226177,9.220214,1
13.38193,9.932172,2.6950777,6.4933352,8.947544,2
13.32971,9.859296,2.6802862,6.572947,8.886497,3
13.77165,10.248049,2.9130442,6.0490804,9.196387,4
13.74786,10.054268,2.9010298,6.1139364,9.02018,5
-2.0445364,2.4869432,3.962475,3.7407968,5.7347574,0
-2.0233366,2.6095324,3.9595795,3.7845721,5.7137084,1
1.7951272,1.3577939,2.407898,5.2128315,6.2607594,2
1.8529019,1.2986516,2.4041317,5.2730794,6.212137,3
-1.8751003,2.7923317,4.2402534,4.0435953,5.4011354,4
0.4057094,2.0243435,4.139353,5.0358343,5.3294888,5
13.383762,1.1453254,4.360708,8.673187,3.4552386,0
13.253848,1.5063004,4.489315,8.524687,3.4956222,1
9.85158,0.8970862,4.2603226,6.997126,4.2993536,2
9.930819,0.9919842,4.346321,6.9534507,4.2519617,3
13.439865,1.174625,4.374862,8.52728,3.4581282,4
12.675333,2.1273105,5.12453,7.256623,3.7416556,5
-1.3312807,1.9626294,3.7465527,3.9489858,5.823203,0
-1.9700601,2.7175205,3.8624089,3.7595482,5.7872486,1
1.7901459,1.3251915,2.323275,5.2667108,6.2917614,2
1.843063,1.3131801,2.2878475,5.296106,6.260615,3
0.102424234,1.4345471,2.770589,4.1732745,6.2274323,4
0.84278065,1.8391037,3.5908406,4.963595,5.6182165,5
9.657312,1.1110334,4.4560995,6.727176,4.2258477,0
13.551951,0.9954038,4.283792,8.654583,3.4182556,1
9.988677,0.8326211,4.228544,7.120479,4.236839,2
9.870099,1.0018619,4.343222,6.9118443,4.264104,3
13.069935,2.1967611,4.635902,8.341693,3.5030315,4
9.586549,1.2926649,4.6386466,6.505639,4.5881066,5
-0.866991,1.2329085,3.9959714,4.3100686,5.470565,0
-2.0547423,2.7218451,3.8741136,3.7112617,5.7954836,1
1.7056606,1.3041686,2.3050404,5.203544,6.3182297,2
1.80638,1.25372,2.3032284,5.343568,6.332005,3
-1.9819771,2.8653173,3.906748,3.8037834,5.715624,4
0.72184795,1.8412238,3.7537675,4.952787,5.511812,5
13.405146,1.2013032,4.3904595,8.614205,3.4483914,0
13.030944,1.9308116,4.675084,8.219746,3.5590417,1
9.787242,0.9348742,4.2949886,6.947239,4.314206,2
9.594493,1.0654093,4.3797927,6.7539535,4.3603673,3
13.952632,0.94788367,4.3998303,8.123034,3.317501,4
12.622782,2.0054412,5.1246953,6.940571,3.7599049,5
12.847605,2.9836338,5.022313,6.94409,3.5718887,0
-1.9327898,2.8133914,3.8531837,3.8107972,5.757283,1
1.6769077,1.3039168,2.3325887,5.17331,6.3104234,2
1.8479675,1.3121759,2.3490171,5.312659,6.2442565,3
-1.7069685,2.727377,4.004447,4.0080214,5.5723114,4
0.7102124,1.7072358,3.4418235,4.888632,5.694246,5
13.327132,1.2817006,4.4307303,8.576274,3.473036,0
13.105233,1.822344,4.6432834,8.306947,3.5437095,1
9.97784,0.86573297,4.254399,7.0875063,4.2503595,2
10.091302,0.9000379,4.2752905,7.12,4.193009,3
13.485265,1.2187358,4.6341157,7.7647676,3.4943767,4
12.688495,1.9001971,5.0736136,6.997691,3.7367427,5
-0.8282664,1.0811112,3.886336,4.25777,5.538872,0
-2.007057,2.55701,4.005929,3.8399267,5.661911,1
0.88514423,1.2651926,2.5885193,4.6809053,6.271661,2
1.9476516,1.335598,2.5517166,5.307317,6.09396,3
-1.9213712,2.7403855,4.189571,3.9904227,5.4594893,4
0.5556407,1.8070055,4.049686,5.063802,5.218406,5
3.3628056,0.97230476,3.6618989,5.621179,5.0204396,0
3.3754003,0.9639721,3.6718643,5.6248093,5.006354,1
3.4242063,0.97693086,3.6906824,5.654812,4.981502,2
3.4283557,0.9298946,3.6840227,5.668702,4.9734015,3
3.4037352,0.9586395,3.6736295,5.6389675,4.999975,4
3.419139,0.9440472,3.676586,5.652725,4.984914,5
-1.3901538,0.86796564,4.3452544,4.1444354,5.2752457,0
-2.2580805,0.9304969,4.5966573,3.8385472,5.1822505,1
1.0533463,0.8556029,2.9319365,4.5610833,5.975723,2
1.123767,0.8915237,2.8903692,4.6073685,6.007036,3
-2.164652,0.9079662,4.5346537,3.8860028,5.2294,4
-2.2861025,1.0044124,4.5933576,3.8310487,5.1929436,5
12.377141,1.8078314,5.25339,6.7647347,3.8656595,0
14.12564,0.8375336,4.2663445,8.252652,3.2874448,1
9.505666,1.1558174,4.525419,6.625545,4.5754023,2
9.94403,1.0243874,4.3753576,6.9229603,4.264053,3
14.0626955,0.832978,4.301543,8.310854,3.244409,4
14.093793,0.7677893,4.2311997,8.420425,3.22983,5
-1.2128446,0.8681936,4.0865836,4.1162953,5.446214,0
-2.376019,1.8648932,4.603356,3.926094,5.1879754,1
0.48838288,0.76703006,2.7229676,4.2396355,6.2217126,2
0.83922875,0.8310873,2.8068845,4.4358397,6.097378,3
-2.4207728,1.4677614,4.573103,3.8156831,5.231799,4
-2.2938251,1.5531491,4.6044755,3.9164398,5.1864505,5
12.343629,1.9400084,5.346915,6.5810018,3.8720658,0
14.017482,0.8879282,4.318645,8.326865,3.3043063,1
9.589541,1.0434456,4.459915,6.768746,4.5598454,2
9.356144,1.1398892,4.429397,6.594638,4.4480023,3
13.828099,0.7759537,4.1693835,8.54225,3.3351536,4
13.754446,0.67193156,4.144291,8.679967,3.351733,5
0.73154116,1.5322651,3.3012905,4.834733,5.757465,0
-2.4070454,1.8732158,4.5802813,3.9050784,5.209723,1
0.34580708,0.80860704,2.7236474,4.1861897,6.240081,2
0.8712877,0.91747123,2.8243186,4.4937496,6.083365,3
-2.2033143,1.8621328,4.230231,3.792042,5.5237145,4
-2.369961,1.7538359,4.5908065,3.8495903,5.223953,5
12.814351,1.9851582,5.1838555,6.7580557,3.719107,0
14.194408,0.8164391,4.267797,8.289608,3.2459826,1
9.530498,1.109982,4.5042205,6.691848,4.520092,2
9.312081,1.1721622,4.4612007,6.553975,4.468347,3
14.103612,0.73846716,4.230857,8.484328,3.2479153,4
14.20915,0.6943801,4.156208,8.449443,3.1486819,5
-1.2649527,0.69365233,3.9997172,4.0237885,5.502215,0
-2.4658766,1.7347376,4.4386735,3.7820945,5.3519335,1
0.43558025,0.65499055,2.7502737,4.201871,6.19436,2
0.86829334,0.8027997,2.7711594,4.4281597,6.1248574,3
-2.3415997,1.785103,4.3066535,3.7501953,5.466453,4
-2.4196045,1.6574041,4.530649,3.8167732,5.2711773,5
12.87803,2.0306635,5.102528,6.7387557,3.67187,0
14.166606,0.8462683,4.2405,8.240982,3.2169106,1
9.914642,0.8799568,4.2569585,7.0470867,4.2758336,2
9.377082,1.1419388,4.4438295,6.6056767,4.4473286,3
14.12491,0.7708085,4.264502,8.362529,3.2325246,4
14.0819845,0.76826864,4.1670017,8.408606,3.174001,5
-1.9803199,1.7684036,4.2646637,3.9073908,5.457021,0
-2.4295216,1.8979498,4.507446,3.8458664,5.288408,1
0.33845085,0.66718286,2.7503366,4.162848,6.204369,2
0.99237806,0.84296215,2.8014543,4.5268044,6.084114,3
-1.0482955,0.38414425,3.5840607,3.876604,5.7632413,4
-2.379368,1.1525774,4.5585523,3.7841227,5.226674,5
12.354689,1.7906678,5.218309,6.7667327,3.8618314,0
14.023222,0.68073845,4.21419,8.56906,3.2618966,1
9.529028,1.1462516,4.5389028,6.6589875,4.5206814,2
9.24027,1.1422619,4.404561,6.556124,4.466055,3
13.960712,0.86078596,4.2692595,8.36242,3.29023,4
13.954295,0.8269367,4.17804,8.431609,3.2125478,5
-1.6738409,1.7664295,4.071091,3.9427867,5.585511,0
-1.3022823,1.7252992,4.053457,4.1148963,5.5446787,1
0.45112246,1.0682375,2.7354705,4.3088193,6.2366486,2
2.009558,1.4136034,2.9085383,5.2569113,5.841527,3
-1.3624525,1.8983903,4.1491504,4.1419096,5.4855046,4
2.0698595,1.4270623,2.9097898,5.3087435,5.822941,5
12.021541,2.0523565,5.4332495,6.5386715,3.9951746,0
11.82441,1.7517194,7.2770104,6.372648,4.9254513,1
9.542668,1.354346,4.69955,6.4194975,4.5223584,2
9.464804,1.4455856,4.776691,6.318202,4.5348063,3
11.827671,1.7708337,7.278861,6.3793707,4.9292383,4
11.754353,1.7320412,7.2264805,6.3413954,4.8719015,5
-1.0566789,2.2940738,4.324359,4.450282,5.29538,0
-1.3539068,2.105628,4.12858,4.16731,5.5116673,1
0.6041621,1.1085708,2.6711922,4.419102,6.224386,2
2.092401,1.415126,2.921087,5.3079467,5.814666,3
0.4527341,2.0231142,4.573179,5.574933,4.576328,4
0.2544747,1.7674949,4.20406,5.00856,5.1201034,5
12.024094,2.0618076,5.426801,6.560124,3.9950721,0
11.798745,1.7317246,7.1666727,6.3258142,4.843471,1
10.018788,1.3499237,4.802481,6.5856104,4.4835954,2
9.421747,1.4375236,4.7480326,6.3090324,4.577305,3
11.881104,1.751628,7.2283,6.354991,4.925402,4
11.842791,1.8464996,7.075431,6.299505,4.765091,5
-2.3661885,1.95906,4.249595,3.6963294,5.5405245,0
-1.6716356,2.146305,4.1829987,4.048692,5.5063257,1
0.8938512,1.7689034,3.4806278,4.9098163,5.7141147,2
1.288717,1.7084633,3.3631725,5.0805554,5.703866,3
-2.0348766,2.2127368,4.3803306,3.974735,5.3705254,4
-1.1564493,2.2835615,4.319671,4.395256,5.301669,5
12.087134,2.0788217,6.6288652,6.3469944,4.4820714,0
13.041999,3.166127,4.8186154,7.0592256,3.4492536,1
10.289099,1.2888527,4.853266,6.736988,4.4289336,2
9.524236,1.4304057,4.7749257,6.3487,4.5456605,3
11.793524,1.781602,7.2345986,6.33022,4.8880935,4
11.828441,1.8297201,7.123528,6.2780504,4.8021016,5
-2.0491052,2.1005938,4.1184406,3.8229184,5.6028156,0
-1.0254087,2.27898,4.0825458,4.3608675,5.4737015,1
-0.87688446,1.8912994,3.5793035,4.1470075,5.78486,2
2.0673666,1.4181423,2.869497,5.3142896,5.8594766,3
-1.4360759,2.2706451,4.1991153,4.1569133,5.4710846,4
1.9461755,1.416887,2.9007125,5.2836185,5.859963,5
12.179115,2.1630323,6.446248,6.368103,4.36512,0
11.911236,1.7239412,7.2806187,6.46726,4.9144626,1
9.639229,1.3279699,4.6982937,6.4773974,4.5134864,2
9.510192,1.3855726,4.733078,6.3791566,4.5288568,3
11.868047,1.718914,7.344814,6.4153,4.9983726,4
11.769038,1.7603002,7.2010612,6.3206043,4.8741727,5
-1.0380868,2.1820934,4.232304,4.433404,5.345527,0
-1.1414628,2.313448,4.213723,4.358475,5.3872986,1
0.27582216,1.7902987,3.9249082,4.9111114,5.3326035,2
1.9319258,1.4227885,2.8026693,5.287008,5.9264255,3
12.131059,2.334568,5.484113,6.6921854,3.9867766,4
0.0591803,1.9137807,4.0471363,4.7962995,5.3452754,5
12.17011,2.1738522,6.428713,6.3808117,4.3533044,0
11.869772,1.6498562,7.26395,6.462753,4.9916544,1
9.838461,1.3529749,4.761322,6.515569,4.5045705,2
9.547221,1.4350182,4.7813587,6.340447,4.5022,3
11.717369,1.6764742,7.3576922,6.2981377,4.910598,4
11.7927885,1.7820989,7.1883545,6.3116317,4.856438,5
3.0367496,1.0450109,3.603859,5.5214567,5.1343403,0
