0,1,2,3,4,5,6,7,8,9,class_numeric
-4.2418313,1.8650309,5.011193,6.518357,5.5266566,5.110777,4.386103,5.827384,2.4645767,7.8841124,0
-4.315133,1.7431579,5.0190196,6.4974084,5.436694,5.224162,4.3900933,5.955233,2.5427594,7.8608317,1
0.9437576,2.1377568,6.766707,4.0447197,4.4830365,3.9442585,5.3408275,6.374049,3.277852,5.597074,2
-4.3693113,1.7601454,4.970556,6.5486636,5.485335,5.1763654,4.3412194,5.951823,2.4907148,7.9129386,3
-4.3498526,1.8087344,4.9675617,6.581056,5.538672,5.1390405,4.350423,5.910252,2.4613209,7.942721,4
-4.262491,1.8763211,5.013661,6.5934267,5.6029496,5.09055,4.393414,5.8464074,2.4493968,7.952185,5
12.315436,8.229326,4.587192,4.9896245,4.1301255,4.0397735,6.6533856,8.089151,2.7421868,8.527919,0
12.220397,8.228689,4.440093,5.170866,4.0187373,3.9260747,6.8437057,8.178553,2.8640661,8.668612,1
12.326246,8.075647,4.43443,4.9369416,4.0439277,3.9217112,6.7950597,8.094007,2.8188653,8.451045,2
12.252292,7.6150317,4.176261,4.8059683,3.961694,3.7274287,6.9748907,8.015978,2.9597917,8.186821,3
12.340332,8.170637,4.5243025,4.947018,4.054553,3.9825356,6.7097216,8.099489,2.7649407,8.483876,4
12.334897,8.111912,4.4746428,4.950616,4.0435843,3.960328,6.755055,8.102562,2.7800994,8.474038,5
-4.1660333,1.8331833,5.0862565,6.374254,5.4557967,5.1319547,4.4060073,5.895444,2.5661063,7.748136,0
-4.2332277,1.8108962,5.0797486,6.46623,5.477456,5.1862783,4.431171,5.8940525,2.5572069,7.8363204,1
-0.06549218,2.2927103,6.8299527,4.034107,4.9661145,3.9158616,5.3131995,6.0818405,3.1689675,5.6324587,2
0.90029675,2.1628234,6.768093,4.082911,4.5550685,3.933155,5.3380136,6.3538203,3.2618341,5.630469,3
-4.328486,1.8085245,5.0303617,6.637196,5.560104,5.09384,4.407258,5.878069,2.3978095,7.999511,4
-4.2732353,1.87767,4.988938,6.5711946,5.590222,5.0901127,4.3690333,5.854237,2.4633884,7.930974,5
12.280659,8.279478,4.5529394,4.9701214,4.075143,3.9925513,6.686907,8.093741,2.78795,8.518488,0
12.224588,8.217787,4.4474344,5.1383753,4.043858,3.9398391,6.8241944,8.165477,2.844844,8.637409,1
12.274931,7.9143543,4.3443866,4.9120374,4.0202336,3.8563416,6.8570385,8.074384,2.8720765,8.384166,2
12.262114,7.695157,4.2285466,4.8433237,3.9874482,3.771779,6.93309,8.038883,2.9261537,8.245489,3
12.430621,8.146829,4.4847426,4.858961,3.9989152,3.9856193,6.75193,8.168778,2.676485,8.411226,4
12.258242,8.044512,4.3696265,4.9825735,4.064067,3.9485433,6.8575416,8.190731,2.7524652,8.462002,5
-4.179358,1.8020467,5.079545,6.329492,5.428795,5.12421,4.3857427,5.923088,2.5596764,7.7119517,0
-4.362888,1.7714461,4.9881487,6.571202,5.479933,5.147063,4.3691497,5.9546356,2.4348366,7.933385,1
0.92595905,2.1296809,6.733867,4.074794,4.5080824,3.9755626,5.3093452,6.3441668,3.247426,5.6273174,2
0.22414145,2.2043614,6.6955805,4.184995,4.9463034,3.9896138,5.249711,6.1376276,3.1089184,5.730143,3
-4.386925,1.7788318,4.957064,6.610729,5.524292,5.13929,4.3379393,5.9272604,2.427311,7.973012,4
-4.295205,1.9043198,4.943713,6.6206713,5.648396,5.057294,4.340855,5.8288407,2.4431317,7.9741855,5
12.328612,8.258141,4.6327596,4.9846134,4.1755037,4.0825124,6.609273,8.084347,2.706786,8.521085,0
12.206567,8.204042,4.424538,5.1483035,4.034599,3.9219828,6.848997,8.174276,2.8608778,8.638977,1
