0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,class_numeric
12.601707,0.9592621,5.854416,7.0363297,3.9843,5.0182276,3.9879827,5.963824,7.53422,3.9593105,4.7457447,4.9168196,4.8012877,5.730534,4.8235235,2.7488365,6.874536,0
12.747902,0.874396,5.8207226,7.1600733,3.951385,5.0588,4.0523677,6.0065866,7.568224,3.9102037,4.7199936,4.9645276,4.785199,5.716157,4.771406,2.7897983,6.8301597,1
7.442238,1.0469569,6.880071,3.9438665,5.6417418,4.166475,2.9310486,5.552726,6.9233413,4.3584843,5.590997,4.3439775,5.91117,5.3578205,5.6002927,2.7246752,7.09238,2
12.708418,0.91677773,5.8523836,7.116424,3.9819202,5.0685773,4.049344,6.0108404,7.5709743,3.9121823,4.705049,4.9652042,4.8097377,5.7321424,4.770312,2.7844675,6.8719864,3
12.789741,0.8498259,5.802703,7.1971765,3.933426,5.048207,4.0503383,6.01028,7.5696297,3.9043832,4.7229886,4.9644313,4.7703958,5.7017984,4.772722,2.8002267,6.8038187,4
12.80307,0.84345293,5.772398,7.2476754,3.8973894,4.9970636,3.9982157,5.971214,7.533216,3.93667,4.7596736,4.926707,4.736459,5.6865363,4.8178,2.7761736,6.7633877,5
-3.1629865,9.072052,4.6652045,3.5492668,4.9776926,4.5997562,5.7986073,7.751994,6.1325645,3.9704835,4.8460484,5.676424,6.1825356,5.843529,5.5132556,2.8826833,8.470225,0
-3.4823344,8.882503,4.67575,3.605838,4.848127,4.687301,5.838946,7.5794673,6.1076856,4.176973,4.9041195,5.418082,6.22669,5.7985053,5.4447393,2.9075181,8.441567,1
-3.3227715,8.918119,4.7164083,3.638858,4.9735947,4.560429,5.775559,7.6213923,6.192125,4.1213264,4.7933707,5.550632,6.2043886,5.8090343,5.548405,2.856922,8.547218,2
-3.4515955,8.533691,4.788898,3.789269,5.0755115,4.4057016,5.735713,7.503179,6.3116717,4.249119,4.613286,5.4652886,6.2080984,5.7879086,5.7054267,2.8112633,8.685593,3
-3.28389,8.990015,4.720157,3.592746,4.9102554,4.627783,5.7666593,7.637447,6.157023,4.0878797,4.8606653,5.5843897,6.2145257,5.788644,5.482201,2.8515418,8.49234,4
-3.3712094,8.88759,4.713773,3.663216,4.937625,4.591081,5.7806945,7.5643115,6.1923475,4.179354,4.8164325,5.501094,6.2138257,5.805509,5.523173,2.8678184,8.536835,5
12.478783,1.005063,5.9176693,6.946225,4.0439286,4.9576077,3.9206991,5.9403496,7.533536,3.9744344,4.7769575,4.870297,4.847472,5.6882625,4.8824606,2.7568755,6.8818297,0
12.640302,0.9510576,5.8764043,7.059231,4.0047016,5.0490446,4.0234995,5.9928355,7.560657,3.9299965,4.7186217,4.945927,4.8240395,5.72895,4.7928934,2.773654,6.886418,1
8.596977,1.1685193,6.7574024,4.3062444,5.3693547,4.216544,2.9209151,5.5825214,7.2781734,4.181352,5.4133296,4.376979,5.8088303,5.386514,5.637544,2.73344,7.0869803,2
7.5026975,1.0319277,6.898511,3.9462984,5.610049,4.146541,2.904827,5.525631,6.957031,4.363675,5.5880322,4.347824,5.9302883,5.3372746,5.6232667,2.7399805,7.07847,3
12.717925,0.9200956,5.8920403,7.111937,4.0199146,5.0574,4.0443487,6.057595,7.6283097,3.857861,4.680452,4.9709663,4.8577495,5.688254,4.7748666,2.8492446,6.8844314,4
12.817334,0.81227326,5.8497057,7.206587,3.992667,5.004472,4.03644,6.0805736,7.6532063,3.821263,4.7131705,4.968556,4.821791,5.6276717,4.7810044,2.8873332,6.758584,5
-3.2010775,9.054236,4.6785755,3.561034,4.9358573,4.6296716,5.798901,7.712587,6.1266084,4.008012,4.8722653,5.6498165,6.2037616,5.815132,5.481025,2.881391,8.462425,0
-3.5104923,8.881344,4.6874013,3.584611,4.809589,4.715251,5.827004,7.5614014,6.0932536,4.201786,4.9302955,5.388426,6.248492,5.77688,5.414553,2.8968384,8.421715,1
-3.3879268,8.75703,4.7526093,3.6939912,4.9857836,4.518709,5.752722,7.557377,6.235585,4.1855106,4.7389207,5.50053,6.2076087,5.7920156,5.589698,2.8345752,8.593283,2
-3.4541254,8.536832,4.7899966,3.7898347,5.0727115,4.4057236,5.737168,7.5027127,6.311005,4.250815,4.6135902,5.462565,6.2112317,5.784642,5.704657,2.8111565,8.686971,3
-3.2826085,8.99274,4.7479773,3.5733454,4.8988037,4.6428657,5.726198,7.641536,6.1600413,4.0853324,4.8721356,5.5944133,6.2339816,5.7633896,5.468278,2.8130271,8.485276,4
-3.4644125,8.854216,4.710747,3.5838876,4.842863,4.720704,5.810768,7.5585885,6.1289554,4.195068,4.9348903,5.4003124,6.2622013,5.763775,5.428005,2.8730216,8.418144,5
12.395119,1.0290605,5.9594398,6.8441143,4.0894637,4.933383,3.8837821,5.9363766,7.547601,3.9747868,4.787913,4.8448963,4.885788,5.679112,4.9169846,2.76832,6.9098444,0
12.735049,0.895723,5.8346744,7.138934,3.964559,5.0680327,4.0550494,6.0128174,7.572436,3.908242,4.706985,4.9690604,4.7970314,5.7252955,4.766509,2.7906928,6.8547387,1
7.4827104,1.0319033,6.901702,3.929319,5.634538,4.151928,2.9100327,5.5347724,6.9298215,4.363058,5.592155,4.3520503,5.9324293,5.3338065,5.615306,2.74081,7.0869584,2
8.348429,1.2081276,6.676873,4.3965006,5.3847184,4.2089467,2.9306333,5.590263,7.2086754,4.206794,5.422615,4.381002,5.730509,5.48663,5.566006,2.6367304,7.078675,3
12.754929,0.86975974,5.796924,7.1667285,3.9246764,5.0714498,4.0715766,6.0231915,7.5817914,3.8976405,4.704536,4.979825,4.7744327,5.7089896,4.755447,2.8038275,6.8280683,4
12.798257,0.84617597,5.790204,7.225938,3.9187007,5.0273905,4.029056,5.999606,7.560594,3.9117122,4.734697,4.950751,4.758472,5.6939554,4.7904277,2.795668,6.787348,5
-3.2140694,9.042036,4.6663113,3.5806394,4.9548926,4.613997,5.820638,7.7254715,6.1262856,3.997625,4.855992,5.6204777,6.1986814,5.8305974,5.499063,2.902131,8.463191,0
-3.4693804,8.89807,4.6684003,3.597424,4.8687935,4.682777,5.8438964,7.6153393,6.1076913,4.143218,4.9031124,5.4407697,6.2283463,5.7994537,5.4520597,2.9110186,8.440727,1
-3.4322784,8.583838,4.780967,3.769593,5.058155,4.4273868,5.7369146,7.5158777,6.2975073,4.233311,4.637838,5.479254,6.2032714,5.791745,5.681272,2.815832,8.669842,2
-3.4380474,8.567776,4.778997,3.7677758,5.052402,4.4304647,5.738191,7.513447,6.292455,4.2361827,4.6389594,5.4770656,6.20297,5.7945113,5.681068,2.8171601,8.663819,3
-3.2956092,8.967115,4.7371454,3.6023438,4.915346,4.606656,5.7417536,7.6193323,6.1752286,4.1060247,4.837401,5.5857124,6.216932,5.780953,5.498062,2.8313246,8.519925,4
-3.3967297,8.847796,4.736791,3.6567028,4.926948,4.5838532,5.761498,7.5593176,6.198135,4.184996,4.805381,5.486146,6.211826,5.7920995,5.527171,2.8465507,8.544632,5
12.590948,0.9706273,5.8678656,7.0307584,3.996253,5.0408444,4.006722,5.965375,7.531756,3.9632814,4.7331576,4.9320498,4.807848,5.7456985,4.8046985,2.739822,6.895452,0
12.708049,0.9303605,5.825712,7.116434,3.953636,5.087945,4.0598183,5.976722,7.5227723,3.9568436,4.70761,4.9684668,4.77742,5.7723126,4.759788,2.7285817,6.892694,1
7.463757,1.0363458,6.8941774,3.9345207,5.636506,4.153205,2.9131825,5.5368414,6.92811,4.3613644,5.5917883,4.351481,5.926144,5.342004,5.6095896,2.7335365,7.085388,2
7.429573,1.0844892,6.8274307,4.003017,5.633295,4.1794705,2.9412906,5.5643606,6.942224,4.3316956,5.5782743,4.338339,5.8656626,5.4116135,5.568222,2.6788616,7.0892715,3
12.681155,0.9230016,5.8681865,7.120641,3.9903786,5.0110836,4.000813,5.99271,7.561298,3.9211302,4.734784,4.9312644,4.814144,5.684437,4.8141418,2.7892594,6.8345127,4
12.741959,0.8956,5.8050685,7.1852584,3.9209502,4.9880137,3.982541,5.950043,7.511549,3.961909,4.77423,4.9071617,4.754705,5.706158,4.8351026,2.7481945,6.8041143,5
-3.2278097,9.033521,4.709366,3.5603666,4.903438,4.6552014,5.770039,7.6711435,6.1447005,4.048746,4.8949704,5.6384244,6.22362,5.7830086,5.455361,2.8521638,8.474265,0
