0,1,2,3,class_numeric
13.240814,9.442378,5.9663267,2.950064,0
13.327235,9.427046,5.9268117,2.847813,1
7.0954885,10.235235,4.461996,4.306851,2
13.416517,9.502612,5.8118644,2.8787508,3
13.304281,9.379774,5.9867496,2.9227612,4
13.418835,9.471432,5.8662295,2.913797,5
-2.6215286,0.20596093,6.9758787,7.763638,0
-2.3932579,0.14708626,7.0817285,7.971012,1
-2.4391842,0.27566066,6.901015,7.8702197,2
-2.0817819,0.6536816,6.4526577,7.6653233,3
-2.5908551,0.2348393,6.9455853,7.846277,4
-2.4998415,0.2340357,6.9288726,7.8213735,5
13.054494,9.552758,5.9003143,3.1236665,0
13.176858,9.55826,5.95122,3.0250309,1
7.867859,10.242816,4.751807,4.5376263,2
7.056016,10.160114,4.396278,4.3458843,3
13.26223,9.445077,5.994331,2.949673,4
13.38343,9.450678,5.916239,2.977497,5
-2.6699495,0.21092966,6.965149,7.7638164,0
-2.3968081,0.12582217,7.1137223,8.015372,1
-2.241728,0.48867178,6.6519537,7.75477,2
-2.0812464,0.6525209,6.4542584,7.6652026,3
-2.6184425,0.27836248,6.8846197,7.747255,4
-2.3006186,0.37127674,6.847932,7.890195,5
12.968786,9.5803795,5.9041057,3.1482384,0
13.244195,9.35276,6.005175,2.8760617,1
7.0620294,10.244447,4.5635934,4.206994,2
7.8548117,10.165819,4.59151,4.6414304,3
13.326026,9.355271,5.991238,2.8991687,4
13.496285,9.283896,6.039422,2.8514023,5
-2.7644842,0.32866535,6.845847,7.784044,0
-2.3656352,0.15341969,7.0809975,7.988284,1
-2.1722457,0.5595944,6.559216,7.726133,2
-2.0956695,0.64994496,6.4568596,7.6584735,3
-2.519232,0.18481828,6.988123,7.8486385,4
-2.463367,0.20456104,6.9865746,7.890817,5
13.265913,9.436442,5.949679,2.9427712,0
13.368732,9.480509,5.8401365,2.7640371,1
6.972482,10.160026,4.5096335,4.1559334,2
7.076599,10.167668,4.3907647,4.363061,3
13.301648,9.516148,5.9105434,3.0421317,4
13.400165,9.421181,5.933541,2.931133,5
-2.7157366,0.19479951,6.9809327,7.8085127,0
-2.3260307,0.08281666,7.1595354,7.953938,1
-2.343303,0.33713543,6.8315225,7.824201,2
-2.0528493,0.6759951,6.436352,7.636936,3
-2.542878,0.1721357,7.007567,7.8470354,4
-2.4431214,0.30600202,6.869339,7.8185725,5
13.149512,9.696282,5.763038,3.2128646,0
13.16267,9.787307,5.6821876,3.2737453,1
7.1418757,10.25073,4.500052,4.301671,2
7.1342254,10.337363,4.506278,4.3408036,3
13.215446,9.721353,5.71568,3.2034962,4
13.216805,9.770868,5.6700892,3.2463222,5
-2.7217026,0.25622976,6.9115157,7.748854,0
-2.492252,0.17414327,7.023948,7.853584,1
-2.1174445,0.6128753,6.5045033,7.703848,2
-2.087844,0.6492846,6.4568477,7.674334,3
-2.3219957,0.32702705,6.918748,7.928096,4
-2.1911712,0.45696217,6.7628946,7.928473,5
11.488544,11.620685,4.96613,4.6603346,0
11.412662,11.72163,4.864743,4.735139,1
7.166284,10.490342,5.016701,4.203842,2
7.1164737,10.441672,5.0300922,4.179702,3
11.422182,11.397141,4.4022117,5.0597734,4
9.665687,10.652959,4.129793,5.695325,5
-3.4397883,6.651415,0.25509477,5.2389235,0
-3.2222588,6.794423,0.24934778,5.729198,1
-0.5052175,7.797564,2.5959063,5.088789,2
-0.66598606,7.724051,2.4331117,5.2324195,3
-3.4806495,7.012193,0.1611913,5.3816347,4
-2.3973458,7.8940763,0.6943731,7.0473676,5
10.608654,11.24467,5.214717,4.7891855,0
11.280242,11.844171,4.835855,4.7914743,1
7.1162057,10.448898,5.057626,4.16873,2
7.086294,10.504022,5.1198273,4.1093125,3
8.787438,11.302836,5.385887,4.6390204,4
8.797052,10.62777,4.527671,5.241894,5
-0.31795445,8.033427,2.4714224,5.478332,0
-3.5508091,6.862303,0.14221565,5.262015,1
-0.6475405,7.704926,2.4647522,5.1936855,2
-0.5582791,7.805747,2.459927,5.2933393,3
-2.9265192,6.7313643,0.082476586,6.413882,4
-0.043506265,8.129335,2.2619452,5.410627,5
10.164855,10.481687,5.4959283,4.6249723,0
11.361017,11.81627,4.8332443,4.758416,1
7.196023,10.49456,5.0976157,4.1620355,2
7.096637,10.46638,5.0763187,4.1487536,3
11.302712,11.801397,4.6581807,4.8533072,4
9.080795,10.532026,4.361839,5.4296947,5
-3.399877,6.756515,0.24772252,5.335654,0
-2.9297,6.8425903,0.24775001,6.270665,1
-0.4313346,7.8210626,2.5269928,5.1927505,2
-0.29171237,7.918008,2.5512362,5.2819867,3
-3.7245846,7.520267,-0.1671644,5.5480404,4
-2.3534694,8.068493,0.76726323,7.036521,5
-2.1734204,7.756335,0.027783142,7.7948704,0
11.310761,11.792029,4.7738733,4.810653,1
7.2213197,10.531384,5.085529,4.1915407,2
7.178022,10.402528,5.002391,4.2270308,3
11.086317,11.545207,4.58105,4.913301,4
8.829869,10.652235,4.5883574,5.232513,5
-3.3637245,6.7686877,0.2594672,5.394663,0
-3.045209,6.8644342,0.25459737,6.104223,1
-0.6811115,7.7485356,2.4301686,5.2565546,2
-0.72764903,7.72149,2.4154463,5.2758527,3
-3.3206072,7.678175,0.21096744,5.9125175,4
-2.4669778,8.156781,0.7179914,6.9515457,5
10.051139,10.410979,5.563383,4.552492,0
11.433253,11.6459,4.8977757,4.732957,1
8.102964,10.880661,5.2579503,4.410952,2
7.227389,10.338098,4.8277063,4.347597,3
11.469691,11.407653,4.556927,4.934365,4
9.310082,10.385856,4.27721,5.681154,5
6.29463,9.736148,3.7858548,4.7544084,0
6.2544103,9.756962,3.7640924,4.7742853,1
6.248855,9.726587,3.7624598,4.748065,2
6.2435284,9.722612,3.7591214,4.735432,3
6.2521453,9.736809,3.7702432,4.7363453,4
6.2412057,9.708299,3.7464468,4.740393,5
10.536767,10.064969,5.515586,4.4611654,0
11.584376,9.991237,5.497436,4.2627583,1
8.208792,10.348993,5.1539783,4.449379,2
8.174386,10.333265,5.1211553,4.4623427,3
11.42182,9.945017,5.5565925,4.2521405,4
11.598434,10.029282,5.521426,4.2288914,5
-2.1616175,8.362667,1.0199034,7.069246,0
-3.8299975,7.4027386,-0.23196355,5.348114,1
0.0042227795,8.056223,2.4091058,5.2656946,2
-0.6083937,7.807746,2.3667727,5.348745,3
-3.9000263,7.399254,-0.28796354,5.307401,4
-3.8579342,7.3388505,-0.22510985,5.245432,5
10.36118,10.228423,5.653474,4.3854303,0
11.9334755,10.61634,5.067212,4.5034475,1
8.4025,10.65194,5.577658,4.290752,2
8.278028,10.525394,5.3711076,4.3768206,3
11.868105,10.378709,5.252184,4.3916464,4
11.684165,10.321785,5.1691566,4.5180106,5
-2.2321076,8.443897,1.0058352,7.155375,0
-3.8502367,7.3386197,-0.22749354,5.2505603,1
-0.053487048,7.9499164,2.520755,5.2100596,2
0.007453277,7.976369,2.6156895,5.2010317,3
-3.7128701,7.1019716,-0.033081476,5.1254416,4
-3.7114174,6.979229,0.026507592,4.96959,5
8.710674,10.614048,4.709806,5.0618873,0
11.97002,10.748326,5.1467724,4.422062,1
8.543032,10.753793,5.6601815,4.2672653,2
8.273672,10.527936,5.2700453,4.469481,3
11.7401495,11.014996,5.212084,4.4315267,4
11.905051,10.666703,5.1357994,4.45832,5
-2.48516,8.368011,0.7336493,7.1969967,0
-3.9988017,7.316225,-0.37916782,5.1920104,1
0.018986335,7.945618,2.5559683,5.153611,2
0.14333451,8.090161,2.6057928,5.295687,3
-3.982926,7.203622,-0.29388395,5.0767417,4
-3.916799,7.2964025,-0.27035883,5.1837597,5
10.306302,10.1858,5.773203,4.2800894,0
11.880686,10.787653,5.2366457,4.372229,1
8.502713,10.605669,5.6951213,4.2200074,2
8.27257,10.504776,5.3921266,4.3661056,3
11.664339,10.986517,5.314844,4.3486285,4
11.914557,10.702172,5.274178,4.334158,5
-2.559106,8.35812,0.6067902,7.222171,0
-3.892389,7.3706064,-0.28105506,5.2739677,1
-0.5603852,7.7531857,2.5017889,5.202328,2
0.09331218,8.059738,2.5954077,5.2850575,3
-3.907918,7.3725224,-0.2911394,5.269253,4
-3.8624372,7.2348466,-0.19278772,5.131076,5
11.35597,10.856204,5.2464,4.5498176,0
11.97784,10.81364,5.226038,4.3486605,1
8.593338,10.592841,5.7761316,4.1721764,2
8.187735,10.44881,5.298081,4.3915706,3
9.903169,10.229353,6.2078,3.9045408,4
11.7259245,10.219587,5.497568,4.2076793,5
-2.1913054,8.356376,1.0298756,6.997188,0
-3.8917208,7.227693,-0.1989086,5.090759,1
0.02532822,8.006458,2.5288832,5.224538,2
0.22857521,8.1099415,2.6319706,5.279273,3
-3.735279,7.301813,-0.1116619,5.2693787,4
-3.6646626,7.3355184,-0.059213374,5.3066983,5
11.124312,11.017157,5.260263,4.602137,0
10.751933,10.880596,5.14725,4.859589,1
8.440543,10.887443,5.3796496,4.44722,2
7.287185,10.255074,4.5148993,4.478187,3
10.84711,10.893585,5.0012765,4.9791336,4
7.251654,10.215972,4.457529,4.5013647,5
-1.7995565,8.473411,1.1410705,7.4141293,0
-1.2246286,9.520305,2.1794715,8.019042,1
0.17042542,8.228327,2.3479958,5.5423236,2
0.21313547,8.29695,2.2847352,5.645607,3
-1.1815783,9.512365,2.2396197,7.9632854,4
-1.1423042,9.46361,2.209668,7.879592,5
10.699715,10.874795,4.533057,5.441896,0
10.856725,11.069648,4.9120584,5.0902066,1
8.381361,10.895592,5.29596,4.51057,2
7.1973815,10.147495,4.362414,4.5666385,3
9.566321,10.26478,4.1116943,6.4999714,4
9.559236,10.2329235,4.3818865,5.65726,5
-1.7820066,8.43347,1.1024678,7.375853,0
-1.3101163,9.426092,2.1221879,8.09862,1
-0.17093366,8.174128,2.1515737,5.73181,2
0.29367614,8.342263,2.3445933,5.6459985,3
-1.245214,9.470859,2.1487834,8.006049,4
-1.2970568,9.386715,2.0387948,7.958088,5
11.779256,11.043863,5.1987166,4.4226384,0
11.24623,11.1883335,4.9715114,4.8660903,1
8.673874,10.552816,4.5009847,5.1457853,2
8.547244,10.5003805,4.4142222,5.1813574,3
11.622773,11.073856,4.939471,4.70932,4
10.900806,10.820908,4.5479994,5.3100896,5
-1.5041026,9.22966,1.7036823,8.144646,0
-2.251583,7.6753335,-0.17016473,7.8506904,1
-0.5255445,8.1021805,2.0488586,5.8389482,2
0.20095219,8.284567,2.2964952,5.62254,3
-1.2055392,9.514904,2.174125,8.005629,4
-1.2170527,9.436742,2.1350255,7.932807,5
11.478082,11.191497,5.177375,4.5528545,0
10.707851,11.068487,4.782891,5.2847652,1
10.137377,11.239633,5.0371933,4.7277007,2
7.260198,10.213123,4.434839,4.5307446,3
11.018981,11.0828285,4.8664994,5.054179,4
7.355522,10.271013,4.4899893,4.5908184,5
-1.6611133,9.107626,1.441996,8.214752,0
-1.1805329,9.522087,2.186712,8.006072,1
0.08555029,8.1447525,2.3644912,5.4703984,2
0.25923076,8.324369,2.3135173,5.6467915,3
-1.1991755,9.502092,2.2083569,7.9876246,4
-1.1060243,9.373448,2.2590916,7.7960176,5
10.704836,10.991392,4.724526,5.3167477,0
10.794065,11.07729,4.653407,5.335789,1
9.407624,10.569332,4.5514956,5.54855,2
7.391797,10.369749,4.632085,4.539252,3
-1.7044256,8.430707,1.0582093,7.615342,4
9.790828,10.600937,4.3924065,5.4257584,5
-1.6583465,9.009072,1.3328493,8.274198,0
-1.1825073,9.517666,2.1874611,7.9947352,1
-0.049131207,8.202807,2.1958156,5.7182612,2
0.14260098,8.260178,2.2263107,5.699258,3
-1.1773326,9.474401,2.2161944,7.9381704,4
-1.1706898,9.417332,2.1475348,7.8834715,5
6.604141,9.777839,3.9018002,4.7719355,0
9.859721,10.890879,5.598118,4.378282,1
8.62664,11.076667,5.247457,4.528319,2
9.577247,10.966674,5.293788,4.627996,4
0.056943018,8.544945,2.296279,6.010073,0
-3.4670074,6.1781797,0.6806444,4.4309273,1
-3.3397744,6.184609,0.7200042,4.3276825,2
-3.354639,6.4134555,0.5570585,4.6741185,4
-3.2298532,6.512425,0.5321499,4.9569607,5
6.548928,9.752318,3.877931,4.7759347,0
9.616093,11.370836,5.1996326,4.7370224,4
0.028697928,8.476367,2.3133962,5.939186,0
-3.3624747,6.408881,0.6513316,4.6652117,1
-3.4302614,6.0842724,0.7944199,4.2693944,2
-3.3109484,6.475961,0.6521789,4.8344474,4
6.6968007,9.735479,3.8575974,4.8398876,0
