data_unit,class_list,difficulty,num_classes,class_name_list,PH2,PH3,reducer,kernel,num_components,batch_size,num_epochs,loadable,accuracy,top2accuracy,macro_f1,macro_precision,macro_recall
Spf,alpha-classes,unspecified,29,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'll', 'm', 'n', 'ñ', 'o', 'p', 'q', 'r', 'rr', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']",True,True,pca,None,15,1024,1440,gaunernst/bert-tiny-uncased,0.6860169491525424,0.8563559322033898,0.6824731442463035,0.6867918466846125,0.6868268316568074
Spf,alpha-classes,unspecified,29,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'll', 'm', 'n', 'ñ', 'o', 'p', 'q', 'r', 'rr', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']",True,True,pca,None,15,1024,576,gaunernst/bert-mini-uncased,0.7245762711864406,0.8798022598870057,0.7219198192315731,0.7259021959906853,0.7252273131694766
Spf,alpha-classes,unspecified,29,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'll', 'm', 'n', 'ñ', 'o', 'p', 'q', 'r', 'rr', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']",True,True,pca,None,15,1024,192,gaunernst/bert-small-uncased,0.6570621468926554,0.8282485875706215,0.6524501847091312,0.6582299484469,0.6577483170505231
Spf,alpha-classes,unspecified,29,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'll', 'm', 'n', 'ñ', 'o', 'p', 'q', 'r', 'rr', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']",True,True,pca,None,15,1024,144,gaunernst/bert-medium-uncased,0.6307909604519774,0.8098870056497175,0.6275510112859771,0.634617233957086,0.6309325644087934
Spf,alpha-classes,unspecified,29,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'll', 'm', 'n', 'ñ', 'o', 'p', 'q', 'r', 'rr', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']",True,True,pca,None,15,1024,96,distilbert-base-uncased,0.6766949152542373,0.8522598870056497,0.6746980832827789,0.6757665645759461,0.6772932590677732
Spf,alpha-classes,unspecified,29,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'll', 'm', 'n', 'ñ', 'o', 'p', 'q', 'r', 'rr', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']",True,False,None,None,75,1024,1440,gaunernst/bert-tiny-uncased,0.7556497175141242,0.8981638418079096,0.7517678990040054,0.755725729186754,0.755713158652844
Spf,alpha-classes,unspecified,29,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'll', 'm', 'n', 'ñ', 'o', 'p', 'q', 'r', 'rr', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']",True,False,None,None,75,1024,576,gaunernst/bert-mini-uncased,0.7459039548022599,0.8877118644067796,0.7423311130486818,0.746799877098242,0.745804329551217
Spf,alpha-classes,unspecified,29,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'll', 'm', 'n', 'ñ', 'o', 'p', 'q', 'r', 'rr', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']",True,False,None,None,75,1024,192,gaunernst/bert-small-uncased,0.6501412429378531,0.8207627118644067,0.6431829310487115,0.6479299973541163,0.6497394832599381
Spf,alpha-classes,unspecified,29,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'll', 'm', 'n', 'ñ', 'o', 'p', 'q', 'r', 'rr', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']",True,False,None,None,75,1024,144,gaunernst/bert-medium-uncased,0.6231638418079096,0.8087570621468927,0.6155196175071057,0.6229628580035502,0.6230073238250544
Spf,alpha-classes,unspecified,29,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'll', 'm', 'n', 'ñ', 'o', 'p', 'q', 'r', 'rr', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']",True,False,None,None,75,1024,96,distilbert-base-uncased,0.631638418079096,0.8083333333333333,0.6274115972433314,0.6295184870465772,0.6318949671534131
