class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,batch_size,loadable,num_epochs
ten-classes,0.3222748815165877,Spv,True,True,pca,None,1,1024,distilbert-base-uncased,148
ten-classes,0.22748815165876776,Spv,True,True,umap,None,1,1024,distilbert-base-uncased,148
ten-classes,0.5734597156398105,Spv,True,True,pca,None,3,1024,distilbert-base-uncased,148
ten-classes,0.4976303317535545,Spv,True,True,umap,None,3,1024,distilbert-base-uncased,148
ten-classes,0.5734597156398105,Spv,True,True,pca,None,5,1024,distilbert-base-uncased,148
ten-classes,0.5213270142180095,Spv,True,True,umap,None,5,1024,distilbert-base-uncased,148
ten-classes,0.6587677725118484,Spv,True,True,pca,None,7,1024,distilbert-base-uncased,148
ten-classes,0.4834123222748815,Spv,True,True,umap,None,7,1024,distilbert-base-uncased,148
ten-classes,0.5545023696682464,Spv,True,True,pca,None,9,1024,distilbert-base-uncased,148
ten-classes,0.5213270142180095,Spv,True,True,umap,None,9,1024,distilbert-base-uncased,148
ten-classes,0.6635071090047393,Spv,True,True,pca,None,11,1024,distilbert-base-uncased,148
ten-classes,0.4786729857819905,Spv,True,True,umap,None,11,1024,distilbert-base-uncased,148
ten-classes,0.6350710900473934,Spv,True,True,pca,None,13,1024,distilbert-base-uncased,148
ten-classes,0.5023696682464455,Spv,True,True,umap,None,13,1024,distilbert-base-uncased,148
ten-classes,0.6350710900473934,Spv,True,True,pca,None,15,1024,distilbert-base-uncased,148
ten-classes,0.4976303317535545,Spv,True,True,umap,None,15,1024,distilbert-base-uncased,148
ten-classes,0.5450236966824644,Spv,True,False,None,None,75,1024,distilbert-base-uncased,148
ten-classes,0.23696682464454977,Spv,False,True,pca,None,1,1024,distilbert-base-uncased,148
ten-classes,0.15639810426540285,Spv,False,True,umap,None,1,1024,distilbert-base-uncased,148
ten-classes,0.3459715639810427,Spv,False,True,pca,None,3,1024,distilbert-base-uncased,148
ten-classes,0.2843601895734597,Spv,False,True,umap,None,3,1024,distilbert-base-uncased,148
ten-classes,0.44075829383886256,Spv,False,True,pca,None,5,1024,distilbert-base-uncased,148
ten-classes,0.2985781990521327,Spv,False,True,umap,None,5,1024,distilbert-base-uncased,148
ten-classes,0.5355450236966824,Spv,False,True,pca,None,7,1024,distilbert-base-uncased,148
ten-classes,0.32701421800947866,Spv,False,True,umap,None,7,1024,distilbert-base-uncased,148
ten-classes,0.7630331753554502,Spv,False,True,pca,None,9,1024,distilbert-base-uncased,148
ten-classes,0.2938388625592417,Spv,False,True,umap,None,9,1024,distilbert-base-uncased,148
ten-classes,0.7867298578199052,Spv,False,True,pca,None,11,1024,distilbert-base-uncased,148
ten-classes,0.1990521327014218,Spv,False,True,umap,None,11,1024,distilbert-base-uncased,148
ten-classes,0.7488151658767772,Spv,False,True,pca,None,13,1024,distilbert-base-uncased,148
ten-classes,0.22748815165876776,Spv,False,True,umap,None,13,1024,distilbert-base-uncased,148
ten-classes,0.8530805687203792,Spv,False,True,pca,None,15,1024,distilbert-base-uncased,148
ten-classes,0.2796208530805687,Spv,False,True,umap,None,15,1024,distilbert-base-uncased,148
ten-classes,0.9241706161137441,Spv,False,False,None,None,72,1024,distilbert-base-uncased,148
