data_unit,class_list,difficulty,num_classes,class_name_list,PH2,PH3,reducer,kernel,num_components,batch_size,num_epochs,loadable,accuracy,top2accuracy,macro_f1,macro_precision,macro_recall
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",True,True,pca,None,9,1024,1440,gaunernst/bert-tiny-uncased,0.6991676575505351,0.9163694015061434,0.6980782343518924,0.6996971118692243,0.7008263704344995
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",True,True,pca,None,9,1024,576,gaunernst/bert-mini-uncased,0.7487118509710662,0.9195402298850575,0.7455004251594917,0.7503154318019863,0.7510849009607434
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",True,True,pca,None,9,1024,192,gaunernst/bert-small-uncased,0.6789536266349584,0.8882282996432818,0.6770870356388627,0.6794939779985429,0.6811325286606058
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",True,True,pca,None,9,1024,144,gaunernst/bert-medium-uncased,0.6619104240982957,0.8612762584225129,0.6522542088276599,0.6748783063702599,0.6662159911327012
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",True,True,pca,None,9,1024,96,distilbert-base-uncased,0.6571541815299247,0.8767340467697186,0.6556812695466979,0.6568951759549086,0.6582586690093176
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",True,False,None,None,75,1024,1440,gaunernst/bert-tiny-uncased,0.8370986920332937,0.9579865239793897,0.8354419915172591,0.8351689381521702,0.837039770048257
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",True,False,None,None,75,1024,576,gaunernst/bert-mini-uncased,0.805786761791518,0.9548156956004756,0.8003438133921248,0.8073789345018832,0.8077168657928209
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",True,False,None,None,75,1024,192,gaunernst/bert-small-uncased,0.734046769718589,0.9262782401902497,0.7301931927167679,0.7349043095409709,0.736627078167065
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",True,False,None,None,75,1024,144,gaunernst/bert-medium-uncased,0.6159334126040428,0.8489892984542212,0.6012196348593375,0.6185131287020994,0.6201552104647822
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",True,False,None,None,75,1024,96,distilbert-base-uncased,0.7324613555291319,0.9072532699167658,0.7294902665646277,0.738354501306492,0.7338957452629984
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",False,True,pca,None,9,1024,1440,gaunernst/bert-tiny-uncased,0.8692033293697978,0.9524375743162902,0.8690366974829826,0.8710002831497896,0.8694066301686287
Spf,ten-classes,unspecified,10,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'l']",False,True,pca,None,9,1024,576,gaunernst/bert-mini-uncased,0.9048751486325802,0.9667063020214031,0.9049465160063557,0.9051253828169458,0.90522240987335
