score,data_unit,n,k,subcode,sub2code,reducer_name,kernel_name
0.9893687707641196,AHpf,3,8,w2,reduce,pca,
0.9847176079734219,AHpf,3,9,w2,reduce,pca,
0.9906976744186047,AHpf,3,10,w2,reduce,pca,
0.9847176079734219,AHpf,3,11,w2,reduce,pca,
0.987375415282392,AHpf,3,12,w2,reduce,pca,
0.9853820598006644,AHpf,3,13,w2,reduce,pca,
0.9827242524916944,AHpf,3,14,w2,reduce,pca,
0.9827242524916944,AHpf,3,15,w2,reduce,pca,
0.9827242524916944,AHpf,3,16,w2,reduce,pca,
0.9827242524916944,AHpf,3,17,w2,reduce,pca,
0.9787375415282392,AHpf,3,18,w2,reduce,pca,
0.9780730897009967,AHpf,3,19,w2,reduce,pca,
0.9853820598006644,AHpf,3,20,w2,reduce,pca,
0.9840531561461794,AHpf,3,21,w2,reduce,pca,
0.9840531561461794,AHpf,3,22,w2,reduce,pca,
0.9853820598006644,AHpf,3,23,w2,reduce,pca,
0.9840531561461794,AHpf,3,24,w2,reduce,pca,
0.9853820598006644,AHpf,3,25,w2,reduce,pca,
0.987375415282392,AHpf,3,26,w2,reduce,pca,
0.9774086378737542,AHpf,3,27,w2,reduce,pca,
0.9813953488372092,AHpf,3,28,w2,reduce,pca,
0.9813953488372092,AHpf,3,29,w2,reduce,pca,
0.9807308970099667,AHpf,3,30,w2,reduce,pca,
0.9813953488372092,AHpf,3,31,w2,reduce,pca,
0.9794019933554817,AHpf,4,1,w2,reduce,pca,
0.9820598006644519,AHpf,4,2,w2,reduce,pca,
0.9867109634551495,AHpf,4,3,w2,reduce,pca,
0.9840531561461794,AHpf,4,4,w2,reduce,pca,
0.9840531561461794,AHpf,4,5,w2,reduce,pca,
0.986046511627907,AHpf,4,6,w2,reduce,pca,
0.9853820598006644,AHpf,4,7,w2,reduce,pca,
0.9847176079734219,AHpf,4,8,w2,reduce,pca,
0.9880398671096345,AHpf,4,9,w2,reduce,pca,
0.9847176079734219,AHpf,4,10,w2,reduce,pca,
0.9800664451827242,AHpf,4,11,w2,reduce,pca,
0.9847176079734219,AHpf,4,12,w2,reduce,pca,
0.9840531561461794,AHpf,4,13,w2,reduce,pca,
0.9867109634551495,AHpf,4,14,w2,reduce,pca,
0.9787375415282392,AHpf,4,15,w2,reduce,pca,
0.9820598006644519,AHpf,4,16,w2,reduce,pca,
