data_unit,class_list,difficulty,num_classes,class_name_list,PH2,PH3,reducer,kernel,num_components,k,accuracy,top2accuracy,macro_f1,macro_precision,macro_recall
AHpf,specified,easy,2,"['a', 'c']",True,True,pca,None,1,1,0.9138613861386139,1.0,0.9138241314007918,0.9141974436279128,0.9137540243677674
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,poly,1,1,0.8613861386138614,1.0,0.8611683848797251,0.8629482636986706,0.8611264700461552
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,rbf,1,1,0.7683168316831683,1.0,0.7681122448979592,0.7688255114036227,0.7681297522832528
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,sigmoid,1,1,0.5584158415841585,1.0,0.557497956745882,0.5584910428372312,0.5580901066236879
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,cosine,1,1,0.9386138613861386,1.0,0.9385731550365697,0.9392750087412244,0.9384688383547247
AHpf,specified,easy,2,"['a', 'c']",True,True,umap,None,1,1,0.808910891089109,1.0,0.8089062078768718,0.8089042599912165,0.8089224301887384
AHpf,specified,easy,2,"['a', 'c']",True,True,pca,None,2,1,0.9673267326732673,1.0,0.9673067019789598,0.9679712786349496,0.967191354030642
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,poly,2,1,0.9534653465346534,1.0,0.9534488727017403,0.9537480376766091,0.9533761553513798
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,rbf,2,1,0.906930693069307,1.0,0.906930693069307,0.9069875965162013,0.9069875965162013
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,sigmoid,2,1,0.6217821782178218,1.0,0.6215684966709955,0.6218163966617575,0.6216329619738912
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,cosine,2,1,0.9702970297029703,1.0,0.9702875925693486,0.9705488778749671,0.9702167374484822
AHpf,specified,easy,2,"['a', 'c']",True,True,umap,None,2,1,0.9683168316831683,1.0,0.9682924627887721,0.9691883245758481,0.9681579865808658
AHpf,specified,easy,2,"['a', 'c']",True,True,pca,None,3,1,0.9742574257425742,1.0,0.9742428819723714,0.9748453608247423,0.9741303248120654
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,poly,3,1,0.9554455445544554,1.0,0.9554262748624786,0.9558287795992714,0.9553407918936194
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,rbf,3,1,0.9128712871287129,1.0,0.9128658204220244,0.9128658204220244,0.9128658204220244
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,sigmoid,3,1,0.6306930693069307,1.0,0.6306840183319854,0.6306857393813916,0.6306934265065154
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,cosine,3,1,0.9762376237623762,1.0,0.9762316589596056,0.976412521921995,0.9761733899587858
AHpf,specified,easy,2,"['a', 'c']",True,True,umap,None,3,1,0.9752475247524752,1.0,0.9752368193680436,0.9756532252999184,0.9751440145249776
AHpf,specified,easy,2,"['a', 'c']",True,True,pca,None,4,1,0.9841584158415841,1.0,0.9841533827036526,0.9844209254048794,0.9840789932904328
AHpf,specified,easy,2,"['a', 'c']",True,True,kpca,poly,4,1,0.9732673267326732,1.0,0.9732557649174871,0.9736707807298537,0.9731636922618417
