0,1,2,3,4,5,class_numeric
-0.2598074633586137,0.34364942200654747,0.3866611611481069,-0.09856460876304389,-0.011061371128780311,-0.06753659598728039,0
-0.28089219972046503,0.32512977684172567,0.41395578847063225,-0.08775267381159922,-0.018175464774146586,-0.07880994013211617,0
-0.27344856955212565,0.3478431938790407,0.38901727984847856,-0.07488245946768367,-0.03438377134572999,-0.07076499755945921,0
-0.269459744419527,0.3585362930790402,0.36818806961009426,-0.06764776229079442,-0.03890376337981608,-0.064733455695853,0
-0.27145405083463475,0.35902631719484945,0.3721298590214881,-0.07982940162256483,-0.005216413893921903,-0.061145681906095053,0
-0.29051738370186225,0.3189614130325069,0.4197352768557358,-0.0856458285286814,-0.012372999895153995,-0.07802889849907053,0
-0.30650483695964925,0.2979234641129796,0.4479657424768816,-0.09050224752064001,-0.003690276780295675,-0.08512554479160524,0
-0.29930010697672693,0.3193538753780317,0.42040990743371287,-0.09424187654620504,-0.0008307023678715957,-0.08083850091955254,0
-0.31096338908772686,0.33997539910719043,0.4156739632138343,-0.09291538513196046,0.01081622797501454,-0.07864982985652276,0
-0.3333006798970449,0.32703110236063765,0.4462890985269866,-0.10409055523945021,1.6202745377442243e-07,-0.09831970771111462,0
-0.3435188129448325,0.34723586969330117,0.4623852874432074,-0.101877030010781,-0.00024175844396098016,-0.10874431283341053,0
-0.34154886592486444,0.34101374946124785,0.4745083278553264,-0.13997171324955218,0.014780742320899454,-0.14233777863800678,0
-0.47315367643548706,0.09839033254837166,0.5408134460611741,-0.07056727963660285,-0.012272373416000083,-0.17832743118152936,1
-0.4732451367561315,0.10246938236554994,0.5412265052451225,-0.07299365224302286,-0.00825438968323949,-0.1692976420939172,1
-0.4661329401966221,0.1263016959902577,0.5303800410202967,-0.06327035761501192,-0.014193827870908145,-0.16520732096120005,1
-0.4496137842901372,0.17637844849077772,0.48919680469964844,-0.0476439781966457,-0.014395743779083403,-0.16242233478258805,1
-0.4482252349176659,0.18465299288328987,0.49882357664530635,-0.05842221803641552,-0.022154875772094608,-0.160219285863991,1
-0.42767083435512376,0.23348784974358006,0.45837969719443006,-0.051721122169451586,-0.013145198917740039,-0.15074142175231384,1
-0.41615350194796663,0.2467319335208352,0.45018734672180793,-0.05377849643710129,-0.013667576761119588,-0.1466556338312997,1
-0.4296704042662202,0.2050062405743469,0.4974169974658948,-0.07080297049647198,-0.010712488789937285,-0.1699735858047005,1
-0.4296007057723679,0.2056013010207801,0.49477245836525513,-0.07617267141762636,-0.004320147468736535,-0.1699219966966641,1
-0.4203690004496114,0.23994217244635352,0.4600908249747179,-0.0563027074546887,-0.009061922602556559,-0.154613755746296,1
-0.4095485552390345,0.26011709730652394,0.4339852022730952,-0.0441745374778826,-0.005514556663398619,-0.16025526412720334,1
-0.3992840649863128,0.27922588315563984,0.410772187694621,-0.03674471394202084,-0.028154778668994507,-0.1491464147465835,1
-0.41956900512552014,0.2955663412743573,0.350787266084548,0.1727974104309958,0.0038139864037002413,-0.000623967630073061,2
-0.4199584827291944,0.29568057856049174,0.3543600917901983,0.18160780928428563,-0.01849724739940229,0.007247978771537042,2
