classlist,score,data_unit,PH2,PH3,reducer,kernel,n,k
two-classes,0.9760479041916168,AHpf,True,True,kpca,rbf,2,[11]
two-classes,0.9770459081836327,AHpf,True,True,kpca,rbf,2,[12]
two-classes,0.9740518962075848,AHpf,True,True,kpca,rbf,2,[13]
two-classes,0.9730538922155688,AHpf,True,True,kpca,rbf,2,[14]
two-classes,0.9720558882235529,AHpf,True,True,kpca,rbf,2,[15]
two-classes,0.9750499001996008,AHpf,True,True,kpca,rbf,2,[16]
two-classes,0.9710578842315369,AHpf,True,True,kpca,rbf,2,[17]
two-classes,0.9740518962075848,AHpf,True,True,kpca,rbf,2,[18]
two-classes,0.9720558882235529,AHpf,True,True,kpca,rbf,2,[19]
two-classes,0.9750499001996008,AHpf,True,True,kpca,rbf,2,[20]
two-classes,0.9740518962075848,AHpf,True,True,kpca,rbf,2,[21]
two-classes,0.9740518962075848,AHpf,True,True,kpca,rbf,2,[22]
two-classes,0.9740518962075848,AHpf,True,True,kpca,rbf,2,[23]
two-classes,0.9730538922155688,AHpf,True,True,kpca,rbf,2,[24]
two-classes,0.9700598802395209,AHpf,True,True,kpca,rbf,2,[25]
two-classes,0.9700598802395209,AHpf,True,True,kpca,rbf,2,[26]
two-classes,0.9700598802395209,AHpf,True,True,kpca,rbf,2,[27]
two-classes,0.9710578842315369,AHpf,True,True,kpca,rbf,2,[28]
two-classes,0.9710578842315369,AHpf,True,True,kpca,rbf,2,[29]
two-classes,0.9710578842315369,AHpf,True,True,kpca,rbf,2,[30]
two-classes,0.9700598802395209,AHpf,True,True,kpca,rbf,2,[31]
two-classes,0.969061876247505,AHpf,True,True,kpca,sigmoid,2,[1]
two-classes,0.9740518962075848,AHpf,True,True,kpca,sigmoid,2,[2]
two-classes,0.9760479041916168,AHpf,True,True,kpca,sigmoid,2,[3]
two-classes,0.9770459081836327,AHpf,True,True,kpca,sigmoid,2,[4]
two-classes,0.9780439121756487,AHpf,True,True,kpca,sigmoid,2,[5]
two-classes,0.9770459081836327,AHpf,True,True,kpca,sigmoid,2,[6]
two-classes,0.9770459081836327,AHpf,True,True,kpca,sigmoid,2,[7]
two-classes,0.9750499001996008,AHpf,True,True,kpca,sigmoid,2,[8]
two-classes,0.9760479041916168,AHpf,True,True,kpca,sigmoid,2,[9]
two-classes,0.9760479041916168,AHpf,True,True,kpca,sigmoid,2,[10]
two-classes,0.9760479041916168,AHpf,True,True,kpca,sigmoid,2,[11]
two-classes,0.9760479041916168,AHpf,True,True,kpca,sigmoid,2,[12]
two-classes,0.9760479041916168,AHpf,True,True,kpca,sigmoid,2,[13]
two-classes,0.9760479041916168,AHpf,True,True,kpca,sigmoid,2,[14]
two-classes,0.9770459081836327,AHpf,True,True,kpca,sigmoid,2,[15]
two-classes,0.9750499001996008,AHpf,True,True,kpca,sigmoid,2,[16]
two-classes,0.9740518962075848,AHpf,True,True,kpca,sigmoid,2,[17]
two-classes,0.9720558882235529,AHpf,True,True,kpca,sigmoid,2,[18]
two-classes,0.9720558882235529,AHpf,True,True,kpca,sigmoid,2,[19]
two-classes,0.9720558882235529,AHpf,True,True,kpca,sigmoid,2,[20]
two-classes,0.9740518962075848,AHpf,True,True,kpca,sigmoid,2,[21]
two-classes,0.9720558882235529,AHpf,True,True,kpca,sigmoid,2,[22]
two-classes,0.9740518962075848,AHpf,True,True,kpca,sigmoid,2,[23]
two-classes,0.9730538922155688,AHpf,True,True,kpca,sigmoid,2,[24]
two-classes,0.9730538922155688,AHpf,True,True,kpca,sigmoid,2,[25]
two-classes,0.9730538922155688,AHpf,True,True,kpca,sigmoid,2,[26]
two-classes,0.9730538922155688,AHpf,True,True,kpca,sigmoid,2,[27]
two-classes,0.9730538922155688,AHpf,True,True,kpca,sigmoid,2,[28]
two-classes,0.9750499001996008,AHpf,True,True,kpca,sigmoid,2,[29]
two-classes,0.9750499001996008,AHpf,True,True,kpca,sigmoid,2,[30]
two-classes,0.9750499001996008,AHpf,True,True,kpca,sigmoid,2,[31]
two-classes,0.9750499001996008,AHpf,True,True,kpca,cosine,2,[1]
two-classes,0.9750499001996008,AHpf,True,True,kpca,cosine,2,[2]
two-classes,0.9830339321357285,AHpf,True,True,kpca,cosine,2,[3]
two-classes,0.9790419161676647,AHpf,True,True,kpca,cosine,2,[4]
two-classes,0.9780439121756487,AHpf,True,True,kpca,cosine,2,[5]
two-classes,0.9790419161676647,AHpf,True,True,kpca,cosine,2,[6]
two-classes,0.9780439121756487,AHpf,True,True,kpca,cosine,2,[7]
two-classes,0.9780439121756487,AHpf,True,True,kpca,cosine,2,[8]
two-classes,0.9780439121756487,AHpf,True,True,kpca,cosine,2,[9]
two-classes,0.9790419161676647,AHpf,True,True,kpca,cosine,2,[10]
two-classes,0.9790419161676647,AHpf,True,True,kpca,cosine,2,[11]
two-classes,0.9780439121756487,AHpf,True,True,kpca,cosine,2,[12]
two-classes,0.9780439121756487,AHpf,True,True,kpca,cosine,2,[13]
two-classes,0.9780439121756487,AHpf,True,True,kpca,cosine,2,[14]
two-classes,0.9770459081836327,AHpf,True,True,kpca,cosine,2,[15]
two-classes,0.9760479041916168,AHpf,True,True,kpca,cosine,2,[16]
two-classes,0.9770459081836327,AHpf,True,True,kpca,cosine,2,[17]
two-classes,0.9750499001996008,AHpf,True,True,kpca,cosine,2,[18]
two-classes,0.9740518962075848,AHpf,True,True,kpca,cosine,2,[19]
two-classes,0.9730538922155688,AHpf,True,True,kpca,cosine,2,[20]
two-classes,0.9730538922155688,AHpf,True,True,kpca,cosine,2,[21]
two-classes,0.9740518962075848,AHpf,True,True,kpca,cosine,2,[22]
two-classes,0.9730538922155688,AHpf,True,True,kpca,cosine,2,[23]
two-classes,0.9730538922155688,AHpf,True,True,kpca,cosine,2,[24]
two-classes,0.9730538922155688,AHpf,True,True,kpca,cosine,2,[25]
two-classes,0.9720558882235529,AHpf,True,True,kpca,cosine,2,[26]
two-classes,0.9720558882235529,AHpf,True,True,kpca,cosine,2,[27]
two-classes,0.9730538922155688,AHpf,True,True,kpca,cosine,2,[28]
two-classes,0.9730538922155688,AHpf,True,True,kpca,cosine,2,[29]
two-classes,0.9730538922155688,AHpf,True,True,kpca,cosine,2,[30]
two-classes,0.9730538922155688,AHpf,True,True,kpca,cosine,2,[31]
two-classes,0.9820359281437125,AHpf,True,True,umap,,2,[1]
two-classes,0.9810379241516967,AHpf,True,True,umap,,2,[2]
two-classes,0.9810379241516967,AHpf,True,True,umap,,2,[3]
two-classes,0.9820359281437125,AHpf,True,True,umap,,2,[4]
two-classes,0.9790419161676647,AHpf,True,True,umap,,2,[5]
two-classes,0.9820359281437125,AHpf,True,True,umap,,2,[6]
two-classes,0.9810379241516967,AHpf,True,True,umap,,2,[7]
two-classes,0.9820359281437125,AHpf,True,True,umap,,2,[8]
two-classes,0.9820359281437125,AHpf,True,True,umap,,2,[9]
two-classes,0.9820359281437125,AHpf,True,True,umap,,2,[10]
two-classes,0.9790419161676647,AHpf,True,True,umap,,2,[11]
two-classes,0.9790419161676647,AHpf,True,True,umap,,2,[12]
two-classes,0.9780439121756487,AHpf,True,True,umap,,2,[13]
two-classes,0.9780439121756487,AHpf,True,True,umap,,2,[14]
two-classes,0.9780439121756487,AHpf,True,True,umap,,2,[15]
two-classes,0.9780439121756487,AHpf,True,True,umap,,2,[16]
two-classes,0.9780439121756487,AHpf,True,True,umap,,2,[17]
two-classes,0.9780439121756487,AHpf,True,True,umap,,2,[18]
two-classes,0.9780439121756487,AHpf,True,True,umap,,2,[19]
two-classes,0.9760479041916168,AHpf,True,True,umap,,2,[20]
two-classes,0.9760479041916168,AHpf,True,True,umap,,2,[21]
two-classes,0.9760479041916168,AHpf,True,True,umap,,2,[22]
two-classes,0.9760479041916168,AHpf,True,True,umap,,2,[23]
two-classes,0.9730538922155688,AHpf,True,True,umap,,2,[24]
two-classes,0.9730538922155688,AHpf,True,True,umap,,2,[25]
two-classes,0.9730538922155688,AHpf,True,True,umap,,2,[26]
two-classes,0.9730538922155688,AHpf,True,True,umap,,2,[27]
two-classes,0.9730538922155688,AHpf,True,True,umap,,2,[28]
two-classes,0.9730538922155688,AHpf,True,True,umap,,2,[29]
two-classes,0.9730538922155688,AHpf,True,True,umap,,2,[30]
two-classes,0.9730538922155688,AHpf,True,True,umap,,2,[31]
two-classes,0.9780439121756487,AHpf,True,True,pca,,3,[1]
two-classes,0.9770459081836327,AHpf,True,True,pca,,3,[2]
two-classes,0.9790419161676647,AHpf,True,True,pca,,3,[3]
two-classes,0.9830339321357285,AHpf,True,True,pca,,3,[4]
two-classes,0.9830339321357285,AHpf,True,True,pca,,3,[5]
two-classes,0.9830339321357285,AHpf,True,True,pca,,3,[6]
two-classes,0.9820359281437125,AHpf,True,True,pca,,3,[7]
two-classes,0.9820359281437125,AHpf,True,True,pca,,3,[8]
two-classes,0.9830339321357285,AHpf,True,True,pca,,3,[9]
two-classes,0.9820359281437125,AHpf,True,True,pca,,3,[10]
two-classes,0.9810379241516967,AHpf,True,True,pca,,3,[11]
