class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,k
two-classes,0.9181636726546906,AHpf,True,True,pca,None,1,1
two-classes,0.9121756487025948,AHpf,True,True,pca,None,1,2
two-classes,0.9321357285429142,AHpf,True,True,pca,None,1,3
two-classes,0.9301397205588823,AHpf,True,True,pca,None,1,4
two-classes,0.935129740518962,AHpf,True,True,pca,None,1,5
two-classes,0.9391217564870259,AHpf,True,True,pca,None,1,6
two-classes,0.9441117764471058,AHpf,True,True,pca,None,1,7
two-classes,0.9451097804391217,AHpf,True,True,pca,None,1,8
two-classes,0.9441117764471058,AHpf,True,True,pca,None,1,9
two-classes,0.9431137724550899,AHpf,True,True,pca,None,1,10
two-classes,0.9431137724550899,AHpf,True,True,pca,None,1,11
two-classes,0.9431137724550899,AHpf,True,True,pca,None,1,12
two-classes,0.9431137724550899,AHpf,True,True,pca,None,1,13
two-classes,0.9431137724550899,AHpf,True,True,pca,None,1,14
two-classes,0.9431137724550899,AHpf,True,True,pca,None,1,15
two-classes,0.8782435129740519,AHpf,True,True,kpca,poly,1,1
two-classes,0.8792415169660679,AHpf,True,True,kpca,poly,1,2
two-classes,0.9021956087824351,AHpf,True,True,kpca,poly,1,3
two-classes,0.9001996007984032,AHpf,True,True,kpca,poly,1,4
two-classes,0.9051896207584831,AHpf,True,True,kpca,poly,1,5
two-classes,0.9041916167664671,AHpf,True,True,kpca,poly,1,6
two-classes,0.909181636726547,AHpf,True,True,kpca,poly,1,7
two-classes,0.9131736526946108,AHpf,True,True,kpca,poly,1,8
two-classes,0.9111776447105788,AHpf,True,True,kpca,poly,1,9
two-classes,0.9141716566866267,AHpf,True,True,kpca,poly,1,10
two-classes,0.9111776447105788,AHpf,True,True,kpca,poly,1,11
two-classes,0.9131736526946108,AHpf,True,True,kpca,poly,1,12
two-classes,0.9111776447105788,AHpf,True,True,kpca,poly,1,13
two-classes,0.9131736526946108,AHpf,True,True,kpca,poly,1,14
two-classes,0.9141716566866267,AHpf,True,True,kpca,poly,1,15
two-classes,0.5868263473053892,AHpf,True,True,kpca,rbf,1,1
two-classes,0.5598802395209581,AHpf,True,True,kpca,rbf,1,2
two-classes,0.5608782435129741,AHpf,True,True,kpca,rbf,1,3
two-classes,0.5389221556886228,AHpf,True,True,kpca,rbf,1,4
two-classes,0.5748502994011976,AHpf,True,True,kpca,rbf,1,5
two-classes,0.5548902195608783,AHpf,True,True,kpca,rbf,1,6
two-classes,0.5708582834331337,AHpf,True,True,kpca,rbf,1,7
two-classes,0.5728542914171657,AHpf,True,True,kpca,rbf,1,8
two-classes,0.5758483033932136,AHpf,True,True,kpca,rbf,1,9
two-classes,0.5778443113772455,AHpf,True,True,kpca,rbf,1,10
two-classes,0.5678642714570858,AHpf,True,True,kpca,rbf,1,11
two-classes,0.5718562874251497,AHpf,True,True,kpca,rbf,1,12
two-classes,0.5718562874251497,AHpf,True,True,kpca,rbf,1,13
two-classes,0.5768463073852296,AHpf,True,True,kpca,rbf,1,14
two-classes,0.5748502994011976,AHpf,True,True,kpca,rbf,1,15
two-classes,0.5259481037924152,AHpf,True,True,kpca,sigmoid,1,1
two-classes,0.5299401197604791,AHpf,True,True,kpca,sigmoid,1,2
two-classes,0.5269461077844312,AHpf,True,True,kpca,sigmoid,1,3
two-classes,0.5239520958083832,AHpf,True,True,kpca,sigmoid,1,4
two-classes,0.5429141716566867,AHpf,True,True,kpca,sigmoid,1,5
