class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,batch_size,loadable,num_epochs
alpha-classes,0.04067796610169491,Spv,True,True,pca,None,1,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03728813559322034,Spv,True,True,umap,None,1,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03559322033898305,Spv,True,True,pca,None,3,1024,prajjwal1/bert-tiny,2
alpha-classes,0.023728813559322035,Spv,True,True,umap,None,3,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03898305084745763,Spv,True,True,pca,None,5,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03728813559322034,Spv,True,True,umap,None,5,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03389830508474576,Spv,True,True,pca,None,7,1024,prajjwal1/bert-tiny,2
alpha-classes,0.030508474576271188,Spv,True,True,umap,None,7,1024,prajjwal1/bert-tiny,2
alpha-classes,0.05593220338983051,Spv,True,True,pca,None,9,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03728813559322034,Spv,True,True,umap,None,9,1024,prajjwal1/bert-tiny,2
alpha-classes,0.04406779661016949,Spv,True,True,pca,None,11,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03728813559322034,Spv,True,True,umap,None,11,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03728813559322034,Spv,True,True,pca,None,13,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03559322033898305,Spv,True,True,umap,None,13,1024,prajjwal1/bert-tiny,2
alpha-classes,0.04406779661016949,Spv,True,True,pca,None,15,1024,prajjwal1/bert-tiny,2
alpha-classes,0.04406779661016949,Spv,True,True,umap,None,15,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03389830508474576,Spv,True,False,None,None,75,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03898305084745763,Spv,False,True,pca,None,1,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03389830508474576,Spv,False,True,umap,None,1,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03728813559322034,Spv,False,True,pca,None,3,1024,prajjwal1/bert-tiny,2
alpha-classes,0.04067796610169491,Spv,False,True,umap,None,3,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03220338983050847,Spv,False,True,pca,None,5,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03728813559322034,Spv,False,True,umap,None,5,1024,prajjwal1/bert-tiny,2
alpha-classes,0.020338983050847456,Spv,False,True,pca,None,7,1024,prajjwal1/bert-tiny,2
alpha-classes,0.0288135593220339,Spv,False,True,umap,None,7,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03559322033898305,Spv,False,True,pca,None,9,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03559322033898305,Spv,False,True,umap,None,9,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03389830508474576,Spv,False,True,pca,None,11,1024,prajjwal1/bert-tiny,2
alpha-classes,0.0288135593220339,Spv,False,True,umap,None,11,1024,prajjwal1/bert-tiny,2
alpha-classes,0.0423728813559322,Spv,False,True,pca,None,13,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03389830508474576,Spv,False,True,umap,None,13,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03559322033898305,Spv,False,True,pca,None,15,1024,prajjwal1/bert-tiny,2
alpha-classes,0.0288135593220339,Spv,False,True,umap,None,15,1024,prajjwal1/bert-tiny,2
alpha-classes,0.03728813559322034,Spv,False,False,None,None,72,1024,prajjwal1/bert-tiny,2
