class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,k
ten-classes,0.9315535929345644,AHpf,True,True,pca,None,1,1
ten-classes,0.9257326374949819,AHpf,True,True,pca,None,1,2
ten-classes,0.9504215174628663,AHpf,True,True,pca,None,1,3
ten-classes,0.9452027298273785,AHpf,True,True,pca,None,1,4
ten-classes,0.9520272982737856,AHpf,True,True,pca,None,1,5
ten-classes,0.9518265756724207,AHpf,True,True,pca,None,1,6
ten-classes,0.955841027699719,AHpf,True,True,pca,None,1,7
ten-classes,0.953633079084705,AHpf,True,True,pca,None,1,8
ten-classes,0.9554395824969891,AHpf,True,True,pca,None,1,9
ten-classes,0.9542352468887997,AHpf,True,True,pca,None,1,10
ten-classes,0.9556403050983541,AHpf,True,True,pca,None,1,11
ten-classes,0.95343235648334,AHpf,True,True,pca,None,1,12
ten-classes,0.9556403050983541,AHpf,True,True,pca,None,1,13
ten-classes,0.9538338016860699,AHpf,True,True,pca,None,1,14
ten-classes,0.9552388598956243,AHpf,True,True,pca,None,1,15
ten-classes,0.955841027699719,AHpf,True,True,pca,None,1,16
ten-classes,0.9562424729024488,AHpf,True,True,pca,None,1,17
ten-classes,0.9560417503010838,AHpf,True,True,pca,None,1,18
ten-classes,0.955841027699719,AHpf,True,True,pca,None,1,19
ten-classes,0.9568446407065435,AHpf,True,True,pca,None,1,20
ten-classes,0.9554395824969891,AHpf,True,True,pca,None,1,21
ten-classes,0.9560417503010838,AHpf,True,True,pca,None,1,22
ten-classes,0.9546366920915295,AHpf,True,True,pca,None,1,23
ten-classes,0.9540345242874347,AHpf,True,True,pca,None,1,24
ten-classes,0.9542352468887997,AHpf,True,True,pca,None,1,25
ten-classes,0.9548374146928944,AHpf,True,True,pca,None,1,26
ten-classes,0.9550381372942593,AHpf,True,True,pca,None,1,27
ten-classes,0.955841027699719,AHpf,True,True,pca,None,1,28
ten-classes,0.9554395824969891,AHpf,True,True,pca,None,1,29
ten-classes,0.955841027699719,AHpf,True,True,pca,None,1,30
ten-classes,0.9554395824969891,AHpf,True,True,pca,None,1,31
