0,1,2,class_numeric
21.022638,-2.0670636,8.643137,0
21.031889,-2.063707,8.648554,0
21.030159,-2.0735548,8.66529,0
21.004128,-2.1220727,8.716441,0
21.022083,-2.0722158,8.65056,0
21.004265,-2.0715432,8.619711,0
21.00422,-2.0790057,8.628102,0
21.010315,-2.0649838,8.611936,0
20.999632,-2.0741718,8.616717,0
21.033266,-2.0549414,8.631212,0
21.02961,-2.0551171,8.629301,0
21.045574,-2.0411303,8.642754,0
1.5560076,-6.846674,-0.5919231,1
1.5828254,-6.8046737,-0.5552833,1
1.6477176,-6.8334546,-0.5087974,1
1.6789726,-6.8428373,-0.48257002,1
1.7016131,-6.8113136,-0.4537723,1
1.786498,-6.7830973,-0.37569964,1
1.7345902,-6.781047,-0.4170694,1
1.7323524,-6.856441,-0.46742317,1
1.7266766,-6.8286242,-0.43719065,1
1.7560868,-6.8299394,-0.41633543,1
1.7911457,-6.805407,-0.37098536,1
1.8081396,-6.754971,-0.34158704,1
22.828636,2.6863792,4.019099,2
22.809223,2.6481645,3.989787,2
22.778765,2.6363955,3.9669857,2
22.821615,2.6639898,4.003609,2
22.855158,2.6744123,4.026742,2
23.006695,2.7292616,4.140712,2
23.005276,2.7461061,4.133216,2
23.083664,2.7653055,4.2085986,2
23.102436,2.795199,4.235212,2
23.078035,2.765778,4.204473,2
23.067522,2.7688234,4.214009,2
23.088543,2.7678223,4.2140546,2
4.7789373,4.4020414,10.08755,0
9.743773,7.956,15.147914,0
9.719802,7.950327,15.121977,0
9.753474,7.9559464,15.159246,0
9.819423,7.9688573,15.235422,0
9.877721,7.995716,15.29679,0
10.011655,7.969224,15.438996,0
10.02992,7.9763703,15.4582405,0
10.068152,7.955645,15.498655,0
10.069898,7.9926906,15.500691,0
10.0892725,7.934297,15.518943,0
10.084711,7.946934,15.515923,0
14.394904,6.7102723,16.2617,1
14.425762,6.7009215,16.259146,1
14.394241,6.693675,16.279377,1
14.864066,6.977762,15.810884,1
14.987722,7.0522494,15.678532,1
15.117033,7.1186433,15.539436,1
15.117697,7.1229935,15.539032,1
15.220128,7.1223907,15.429262,1
15.314137,7.1979465,15.331771,1
15.290029,7.19367,15.3573475,1
15.347899,7.204924,15.297838,1
15.287476,7.1894464,15.36004,1
14.747681,6.9061875,15.937451,2
14.717074,6.89368,15.97459,2
14.426463,6.6388593,16.336233,2
14.28633,6.4434943,16.595024,2
14.087574,6.2055063,16.800264,2
14.144619,6.267952,16.763338,2
14.065627,6.1782045,16.851513,2
14.083121,6.2001543,16.830599,2
14.068375,6.1800127,16.855349,2
14.086869,6.2040305,16.830067,2
14.034031,6.1406,16.89479,2
14.087346,6.203938,16.846008,2
21.146528,-2.0680852,8.857848,0
21.21118,-2.036004,8.855717,0
21.17325,-2.063296,8.870187,0
21.253317,-2.0052629,8.847003,0
21.289831,-1.9597937,8.797948,0
21.30773,-1.9471636,8.768144,0
21.386744,-1.8725301,8.73632,0
21.318773,-1.9169353,8.698738,0
21.40291,-1.8519001,8.710467,0
21.394295,-1.8627608,8.730324,0
21.393717,-1.8567123,8.713143,0
21.40107,-1.854772,8.717228,0
1.3854179,-6.6861253,-0.68450195,1
1.3820167,-6.6875715,-0.68997854,1
1.5839125,-6.553114,-0.48294988,1
1.6547561,-6.547519,-0.4160636,1
1.6943369,-6.569334,-0.38379022,1
1.8396311,-6.691927,-0.2915983,1
1.8525988,-6.683312,-0.2781758,1
1.8505028,-6.693155,-0.282117,1
1.8748181,-6.694455,-0.26158237,1
1.8638426,-6.6682906,-0.26339242,1
1.897311,-6.722854,-0.24662103,1
1.8416227,-6.6881423,-0.28805825,1
20.258617,5.882236,6.363684,2
20.259192,5.8816233,6.3631077,2
20.274048,5.8667145,6.3482585,2
20.273771,5.867113,6.3485403,2
20.258652,5.882273,6.3636985,2
20.257528,5.883396,6.364817,2
20.249117,5.891786,6.373173,2
20.24651,5.8943768,6.3757567,2
20.243189,5.8976607,6.3790245,2
20.248915,5.891953,6.373392,2
20.248346,5.8924637,6.3739514,2
20.243233,5.897707,6.3790803,2
9.744094,7.957135,15.148481,0
9.742981,7.958209,15.150804,0
9.800372,7.9927936,15.212667,0
9.8457575,8.004101,15.265197,0
9.870274,8.010395,15.291055,0
10.313108,8.33583,15.77606,0
10.31581,8.335092,15.77847,0
10.326092,8.3427105,15.786505,0
10.32112,8.343073,15.784389,0
10.312004,8.324487,15.774299,0
10.321667,8.34279,15.785113,0
10.309966,8.337393,15.772885,0
15.226945,7.2106085,15.426169,1
15.1872225,7.195407,15.467493,1
15.0899315,7.135465,15.567749,1
15.120513,7.1609535,15.536479,1
15.240781,7.232402,15.411572,1
15.137173,7.161427,15.518704,1
15.130102,7.1581955,15.526299,1
15.128362,7.1591964,15.5278015,1
15.153356,7.172343,15.502534,1
15.151089,7.1764846,15.504766,1
15.150513,7.183734,15.505763,1
15.309815,7.241153,15.341131,1
14.580732,6.7932096,16.124138,2
14.558915,6.767187,16.155016,2
14.359756,6.5299187,16.504175,2
14.301974,6.4518123,16.61503,2
14.237271,6.364305,16.720335,2
13.800626,5.865446,17.698463,2
13.799324,5.8625417,17.70179,2
13.802757,5.863293,17.694696,2
13.780015,5.8768888,17.724699,2
13.798101,5.8604107,17.704435,2
13.82532,5.8483305,17.666636,2
13.802121,5.860633,17.69922,2
21.175848,-2.1261039,8.995264,0
21.129637,-2.1709177,9.037058,0
21.178467,-2.115409,8.972964,0
21.193218,-2.0898874,8.938481,0
21.293024,-1.9661047,8.827049,0
21.306952,-1.9603462,8.842595,0
21.406208,-1.8585428,8.7893715,0
21.383331,-1.8912057,8.808318,0
21.365295,-1.9029311,8.809418,0
21.345362,-1.9213675,8.8197365,0
21.23913,-2.0280225,8.893811,0
21.34048,-1.9340973,8.837224,0
1.6805705,-6.5363584,-0.3908604,1
1.6426623,-6.5486736,-0.423824,1
1.5335443,-6.616677,-0.5260627,1
1.4109974,-6.6508346,-0.6500547,1
1.4291977,-6.646853,-0.63284373,1
1.4818668,-6.6192064,-0.57822704,1
1.4568126,-6.6464276,-0.60776997,1
1.5730896,-6.563719,-0.48209012,1
1.6348617,-6.523803,-0.42666227,1
1.6540757,-6.523719,-0.40361786,1
1.6819848,-6.5348086,-0.38782153,1
1.6940823,-6.544427,-0.37984884,1
23.029434,2.6530588,4.1405697,2
23.007065,2.642386,4.118558,2
23.017864,2.6416771,4.1296244,2
23.00251,2.6387086,4.116089,2
22.969448,2.6343741,4.0911455,2
23.046574,2.6750946,4.158541,2
23.058409,2.675292,4.1745334,2
22.994265,2.6561365,4.1167865,2
23.110056,2.731141,4.211318,2
23.09579,2.7301083,4.2021756,2
23.10716,2.7253342,4.2079196,2
23.106083,2.7376668,4.2129445,2
10.187341,7.87725,15.620602,0
