0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,class_numeric
2.2056978,6.618266,6.4473333,1.3399845,5.292104,7.2479696,5.006385,2.5026586,5.0560284,4.6671042,3.3303194,6.5825043,3.8628209,3.7034237,7.5208225,0
2.3023663,6.6038346,6.558441,1.2126555,5.198932,7.2499757,4.882855,2.5509427,5.1740017,4.744967,3.2463434,6.5813417,3.8474543,3.745838,7.5927324,1
2.4166362,6.610923,6.630978,1.1151121,5.3375707,6.9529138,4.778201,3.0552475,5.0304437,4.360383,3.6065836,6.6678286,3.366516,3.5908124,6.9260817,2
8.085685,4.5211987,5.2817326,2.6340551,5.4723935,6.2482576,3.5127804,3.6430237,3.1922693,4.796096,3.7234113,8.462114,4.687647,3.6852632,8.091463,0
8.400004,4.1829386,5.312398,2.791712,5.2795954,6.5024533,3.7386825,3.8633237,2.9887674,4.7054806,3.295462,8.748156,4.8807635,3.824352,8.371252,1
8.209282,4.252587,5.3026795,2.855822,5.350546,6.3658404,3.7453952,3.794631,3.016552,4.655443,3.4615822,8.765363,4.945578,3.8117654,8.271244,2
2.2467172,6.567207,6.5148954,1.4384513,5.281119,7.253123,4.947687,2.5008395,5.0313134,4.721592,3.2902052,6.588047,3.955102,3.7794507,7.581456,0
2.2594078,6.647409,6.5553164,1.244102,5.2460165,7.280088,4.940159,2.5947661,5.175779,4.6985345,3.208561,6.536359,3.8316057,3.737806,7.5386662,1
2.064797,6.7922,6.666817,0.9931075,5.271511,7.051122,4.8052435,2.9044292,5.123757,4.3532243,3.5889344,6.562867,3.4098816,3.6350207,7.0169735,2
8.129412,4.4392514,5.242654,2.7276254,5.440248,6.2655106,3.6017225,3.7009182,3.113346,4.7469926,3.6344583,8.568639,4.781531,3.7030103,8.137052,0
8.414233,4.1655097,5.3244934,2.7747588,5.2632165,6.5191326,3.720854,3.8805914,2.9879723,4.7086754,3.279051,8.748397,4.8670745,3.84239,8.390854,1
8.286365,4.202609,5.249731,2.847028,5.3300714,6.430415,3.7233338,3.8352804,3.0021207,4.683965,3.365926,8.775039,4.9252715,3.8108003,8.347484,2
2.2314007,6.5511117,6.45998,1.4166474,5.3053393,7.2206354,4.9625077,2.5317636,5.0182247,4.6801195,3.3286357,6.616609,3.885783,3.724274,7.5352483,0
2.280412,6.6349945,6.547462,1.209151,5.220597,7.276045,4.918624,2.532583,5.1948175,4.7564716,3.2366238,6.5505986,3.8456585,3.7381477,7.6000104,1
2.4238186,6.623726,6.601705,1.123603,5.393624,6.9025836,4.796359,3.1013002,5.01547,4.317027,3.6721349,6.696038,3.302185,3.5930219,6.862379,2
8.160793,4.479386,5.246705,2.7015316,5.43315,6.236792,3.563129,3.671247,3.1438549,4.7497687,3.6607168,8.545076,4.772115,3.6810403,8.123303,0
8.4204855,4.1943626,5.299979,2.7818165,5.281683,6.5118694,3.7432432,3.8744419,2.973876,4.7288375,3.3043272,8.732994,4.857595,3.8275952,8.388833,1
8.298382,4.2557144,5.25224,2.843337,5.380389,6.394626,3.716541,3.7879462,3.0513685,4.7133417,3.41042,8.724693,4.899525,3.7623355,8.332357,2
2.243521,6.628386,6.5356374,1.3841594,5.275016,7.305809,4.9775105,2.487493,5.1035943,4.7301145,3.233518,6.531543,3.9520097,3.7684155,7.606737,0
2.2526014,6.679678,6.5265875,1.201179,5.2543716,7.3077836,4.9631286,2.530362,5.1842403,4.714957,3.2636437,6.4980545,3.7831435,3.6916015,7.549309,1
2.3356304,6.6659455,6.6110067,1.096433,5.3272552,6.9937434,4.823834,2.9911406,5.0810905,4.3813066,3.5706291,6.6489024,3.4019186,3.6141453,6.995475,2
