0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,active_hand
9.005297,5.0276036,5.0857177,4.8732576,5.998379,4.117614,6.3870454,9.482014,2.8325744,15.3868265,5.019237,1.5041147,4.7269874,6.177567,5.2169933,5.2860985,4.7792616,5.0966315,5.71463,5.2782,5.2485313,4.633052,5.3278894,5.031773,5.9660974,4.6799564,1
0.1338573,14.9136715,5.066325,5.095646,4.6890507,5.2206073,4.893398,4.7644553,4.7274847,5.4999666,5.593669,4.3332753,5.6404967,4.668371,6.0998464,3.931795,5.8244934,5.6058183,5.612186,4.0504155,4.43614,4.954244,4.966345,4.918582,5.3350267,5.092941,0
9.012594,5.0281544,5.0797157,4.876706,5.999086,4.112154,6.3997316,9.4741125,2.823802,15.372592,5.008939,1.5140446,4.7134137,6.1795673,5.228917,5.2943034,4.7934303,5.0968,5.713945,5.2844257,5.2461176,4.6344104,5.3278894,5.031254,5.9578686,4.6940556,1
0.12825602,14.908191,5.062672,5.0914354,4.684092,5.2249484,4.8957114,4.7624574,4.722451,5.5042562,5.5980477,4.3282843,5.645847,4.6664166,6.1008663,3.926845,5.829758,5.6053195,5.616827,4.045683,4.4314523,4.9591594,4.969668,4.9164557,5.3379755,5.0911574,0
9.00925,5.0272455,5.081519,4.876076,5.999848,4.115627,6.396005,9.476177,2.8263433,15.376758,5.0149665,1.511162,4.7174144,6.180266,5.2254853,5.2921667,4.7892265,5.095175,5.712962,5.281384,5.246454,4.6323705,5.327398,5.0312347,5.9600573,4.6898804,1
0.13045871,14.909949,5.0634413,5.0921926,4.685214,5.2250905,4.8968186,4.7613745,4.723732,5.5037622,5.5977654,4.329458,5.644293,4.6667104,6.102011,3.9279678,5.8283157,5.6060123,5.616288,4.0463943,4.4320984,4.9580646,4.9707794,4.917063,5.3375783,5.0901346,0
9.001631,5.0206227,5.0814404,4.878412,6.0061665,4.1239014,6.404867,9.4682865,2.8169875,15.367855,5.033162,1.5208586,4.708584,6.18698,5.2346997,5.301505,4.7977896,5.0884395,5.7104845,5.2728567,5.2442093,4.6278987,5.3222046,5.0312614,5.9507213,4.6984715,1
0.11745249,14.901576,5.05834,5.086767,4.6795154,5.22736,4.895482,4.7630672,4.717905,5.5088654,5.602442,4.323495,5.652598,4.663221,6.1000595,3.9218473,5.836373,5.603039,5.621386,4.04091,4.426698,4.964148,4.970537,4.9130526,5.3417664,5.091527,0
9.00744,5.030189,5.083174,4.8760147,6.0003076,4.1154385,6.388548,9.482644,2.8316174,15.384688,5.01763,1.5055964,4.7251687,6.1751046,5.2183995,5.286154,4.7811894,5.0994043,5.718233,5.2805915,5.2456555,4.6363554,5.3304887,5.028926,5.9657226,4.68187,1
0.13130406,14.911031,5.0623,5.0912447,4.685734,5.22381,4.89612,4.7621903,4.724253,5.5033402,5.5969687,4.329894,5.643311,4.6661563,6.101924,3.92828,5.8274302,5.605735,5.6157427,4.0466337,4.4324994,4.9577885,4.970476,4.916283,5.3379707,5.0904846,0
9.010475,5.0282307,5.0818243,4.87539,5.998603,4.112876,6.3949656,9.477219,2.827137,15.377893,5.0114584,1.5102648,4.718461,6.1782866,5.2243996,5.291103,4.7881866,5.0975976,5.7150497,5.2829285,5.2470365,4.634954,5.328088,5.0314546,5.9610906,4.6888337,1
0.12624025,14.907318,5.0604105,5.089384,4.6835146,5.222022,4.894968,4.7633824,4.722008,5.5038753,5.5970597,4.3271756,5.6471076,4.6660523,6.1017785,3.9251757,5.8311424,5.605861,5.6174083,4.0442533,4.430299,4.960905,4.9695787,4.9158716,5.338099,5.0907946,0
9.014764,5.028822,5.078517,4.877154,5.9986334,4.11015,6.40056,9.473621,2.8230698,15.371489,5.0052295,1.5148504,4.7124557,6.178779,5.2296586,5.294636,4.794485,5.098303,5.7150517,5.286409,5.245964,4.6363344,5.3284106,5.031097,5.9573817,4.6951027,1
0.13034105,14.914851,5.0509777,5.080408,4.6791263,5.2295346,4.9037485,4.7579546,4.719444,5.512717,5.6060476,4.3228245,5.6436896,4.6545215,6.111789,3.9194944,5.830409,5.6011767,5.6250143,4.037197,4.4231114,4.9666643,4.983845,4.9047847,5.348778,5.0819583,0
9.010837,5.0276413,5.0819163,4.874771,5.9979057,4.1131816,6.395375,9.4764385,2.8267665,15.377605,5.010341,1.510514,4.718104,6.1790147,5.2247663,5.291608,4.788567,5.0970273,5.7139363,5.2827835,5.2478704,4.6343427,5.3274207,5.0323153,5.960626,4.6892114,1
0.1355323,14.917144,5.0557575,5.0856795,4.693403,5.214401,4.891152,4.767491,4.732532,5.5012183,5.592224,4.336939,5.637347,4.662402,6.100498,3.934237,5.8213515,5.6036615,5.610847,4.0501113,4.4364686,4.952153,4.96742,4.911986,5.3405995,5.093482,0
9.012329,5.027111,5.080538,4.8753805,5.9978395,4.1133475,6.398739,9.473912,2.8241763,15.373926,5.008223,1.5133126,4.7145696,6.1805015,5.227969,5.294022,4.7922354,5.095881,5.7125664,5.283553,5.247704,4.633418,5.3268194,5.032661,5.9581246,4.692867,1
0.1650083,14.936953,5.072872,5.1036034,4.702408,5.2122927,4.898637,4.75908,4.740413,5.481989,5.5745664,4.347456,5.6173863,4.6759634,6.108975,3.945504,5.8017488,5.6148543,5.5964737,4.065428,4.451799,4.94081,4.971992,4.9260044,5.325605,5.08616,0
9.029235,5.023088,5.064141,4.882972,5.999065,4.1074595,6.419342,9.452298,2.8043573,15.3534155,4.989752,1.5329068,4.6939836,6.195837,5.248386,5.3146014,4.8129516,5.085997,5.6987185,5.2966914,5.244588,4.6256886,5.3216896,5.035627,5.937796,4.713568,1
0.16635868,14.932652,5.0756106,5.105647,4.700526,5.2156444,4.899005,4.75849,4.7392974,5.4883757,5.5826693,4.3451962,5.621731,4.676689,6.107464,3.943797,5.8063865,5.6143785,5.602025,4.060789,4.4465303,4.9424353,4.970275,4.9275694,5.3255634,5.0864677,0
9.01296,5.0262117,5.0805655,4.8746552,5.996917,4.1134214,6.3999434,9.47249,2.8233652,15.372621,5.00619,1.5141127,4.713316,6.181767,5.229076,5.295029,4.793556,5.0949063,5.710746,5.2836857,5.248734,4.632426,5.3257923,5.0338755,5.9571757,4.694185,1
0.17074196,14.94075,5.0878863,5.1174808,4.712069,5.204316,4.8963532,4.759389,4.750667,5.4768205,5.570686,4.356402,5.613439,4.690343,6.1070952,3.9549153,5.7977777,5.6220737,5.5897427,4.072846,4.4586153,4.931237,4.9613495,4.9407473,5.3126574,5.0877876,0
0.13574505,14.914558,5.0621934,5.0913587,4.688303,5.221455,4.8965592,4.7617793,4.7270374,5.5016894,5.5950704,4.332303,5.6400576,4.6667037,6.103428,3.9304237,5.8243647,5.607045,5.6140103,4.0480313,4.434061,4.955734,4.97111,4.916956,5.3371286,5.089504,0
9.008546,5.022896,5.0844245,4.871119,5.995051,4.118748,6.395841,9.472885,2.8253996,15.378026,5.011744,1.5111272,4.7181005,6.184729,5.225363,5.2939343,4.7884126,5.0908227,5.7063193,5.27863,5.252248,4.627604,5.322643,5.037079,5.958493,4.689075,1
0.20285998,14.956435,5.0877304,5.1185784,4.718103,5.210787,4.901612,4.75491,4.757394,5.4787498,5.5744996,4.3635683,5.5978484,4.683032,6.1107554,3.9630272,5.7830815,5.6201243,5.5886817,4.0756545,4.460946,4.923267,4.9704213,4.936077,5.3172736,5.0843725,0
0.86955446,6.28556,15.179663,5.345904,5.349443,4.966088,4.481515,4.6793265,5.1047916,5.3408165,4.8100467,4.640743,4.958005,4.886181,5.2712092,4.1827927,5.3250995,5.2274804,5.249302,5.3591146,4.5177026,4.342495,4.8490305,4.9636946,5.2357006,4.8454885,1
0.20319632,14.957762,5.086333,5.117037,4.722323,5.2105374,4.900182,4.7562222,4.7622027,5.4812226,5.5769854,4.367453,5.5966864,4.6801944,6.1086626,3.9668012,5.7817173,5.6178865,5.5879087,4.0767674,4.461946,4.9195356,4.9690957,4.9339495,5.3200617,5.0865264,0
0.8692402,6.283609,15.188454,5.346059,5.3494015,4.963551,4.47887,4.677707,5.104934,5.332476,4.8086867,4.642578,4.959118,4.886888,5.270289,4.186204,5.3321,5.229896,5.2504244,5.3619337,4.5095987,4.342299,4.8484855,4.9654307,5.237499,4.8541536,1
0.2282755,14.979541,5.1066427,5.137977,4.739994,5.209757,4.9073105,4.748157,4.7791266,5.4600654,5.5574684,4.3856792,5.574604,4.6970057,6.1147695,3.9851482,5.7598763,5.6281157,5.566752,4.0979657,4.483164,4.901182,4.9708147,4.9490576,5.3017325,5.0805335,0
0.8685378,6.286984,15.172085,5.3468027,5.3504105,4.9679594,4.4837103,4.679479,5.1056914,5.3479314,4.8106694,4.6394644,4.9581747,4.88593,5.271623,4.1801305,5.319987,5.225665,5.249981,5.356866,4.524416,4.342067,4.8490124,4.964002,5.234105,4.837719,1
0.18959607,14.94769,5.082434,5.1130433,4.7128882,5.2109666,4.8989224,4.757897,4.752066,5.482579,5.5774126,4.357709,5.606682,4.679702,6.1081996,3.9566321,5.7916884,5.616979,5.592992,4.0705743,4.4560633,4.9296427,4.9687777,4.9320908,5.321023,5.086677,0
0.8686793,6.2912455,15.146211,5.3464518,5.3493605,4.970787,4.4968925,4.682645,5.10536,5.372573,4.808842,4.6352754,4.955814,4.885547,5.272892,4.1781497,5.3037763,5.2230015,5.2469673,5.343185,4.548043,4.34104,4.8482647,4.96032,5.224504,4.811414,1
0.15935135,14.928775,5.0743213,5.103869,4.6980276,5.221201,4.9008217,4.756781,4.7369003,5.49276,5.587814,4.3429666,5.62563,4.6746154,6.1071405,3.9418058,5.81013,5.6129546,5.6053157,4.0581384,4.4437366,4.9443674,4.972522,4.925724,5.3282847,5.0861053,0
0.8679783,6.288553,15.159625,5.347159,5.349947,4.9688845,4.490559,4.680696,5.1060677,5.3593197,4.809292,4.6379843,4.9572415,4.886402,5.2715735,4.179477,5.3129787,5.2247744,5.2489157,5.3498163,4.5348787,4.3417506,4.8489113,4.962485,5.228878,4.8247843,1
0.18962815,14.940856,5.087973,5.1191435,4.7004642,5.205887,4.9036794,4.753481,4.7395864,5.4773984,5.5744066,4.346286,5.613439,4.6895127,6.119096,3.945945,5.7987804,5.6286283,5.6018662,4.0597725,4.4453545,4.9403296,4.97286,4.9423194,5.309794,5.077419,0
0.86541927,6.286081,15.157086,5.349391,5.34886,4.966154,4.496686,4.679065,5.1083536,5.361383,4.805126,4.640619,4.958309,4.890196,5.267969,4.182011,5.312737,5.2274246,5.2502213,5.343784,4.5363936,4.3426046,4.8498425,4.9637117,5.2231817,4.8217745,1
0.16985579,14.933607,5.0768538,5.106965,4.703153,5.2126713,4.8967204,4.7603273,4.7419505,5.486998,5.581056,4.347484,5.620518,4.677485,6.105745,3.9460683,5.805044,5.6145053,5.6001253,4.0624533,4.448187,4.9401317,4.9673324,4.92877,5.3243265,5.0883946,0
0.86960286,6.2900085,15.158732,5.345672,5.350285,4.969576,4.4898334,4.6822577,5.1045713,5.3599544,4.8097486,4.6364145,4.956253,4.884703,5.2733355,4.1796994,5.312866,5.2240744,5.2473235,5.3505464,4.5352516,4.3412433,4.848441,4.9609036,5.229857,4.8236957,1
0.16450872,14.930515,5.074936,5.1048403,4.7008486,5.2151833,4.8970537,4.7601404,4.7395525,5.489312,5.583347,4.345327,5.623627,4.6761293,6.1051764,3.9439046,5.808006,5.6133094,5.601952,4.060795,4.4465413,4.9422703,4.968119,4.9270587,5.3261786,5.0886316,0
0.8681123,6.2891674,15.156813,5.347032,5.350105,4.9696565,4.4909215,4.681138,5.105943,5.361941,4.8097763,4.6373916,4.956974,4.8860617,5.271958,4.1785617,5.311179,5.2240233,5.24862,5.3494473,4.537296,4.3417444,4.849021,4.962065,5.2286797,4.821843,1
0.1466799,14.914169,5.0612874,5.090706,4.690856,5.215239,4.890533,4.7674904,4.729616,5.500434,5.592509,4.3341837,5.6401525,4.665863,6.098998,3.9319897,5.824227,5.6048174,5.611942,4.04942,4.4354644,4.9541636,4.9646826,4.9160924,5.3371816,5.094361,0
0.8677235,6.289331,15.151304,5.3474045,5.349895,4.969948,4.4934006,4.681353,5.1063333,5.366932,4.809195,4.637298,4.9568214,4.88664,5.271517,4.1778736,5.307926,5.223784,5.2485204,5.3469205,4.5418963,4.341938,4.849337,4.9617696,5.226656,4.8162446,1
0.16073903,14.9227705,5.0803785,5.1098433,4.7037535,5.209309,4.8885508,4.765984,4.740919,5.483411,5.5767884,4.3482018,5.6276836,4.683375,6.095225,3.9483855,5.80968,5.615107,5.595775,4.0664334,4.4523325,4.937269,4.9553785,4.9339623,5.3196783,5.0974445,0
0.86619675,6.286641,15.159764,5.3486547,5.3491993,4.9665217,4.494538,4.6794524,5.107606,5.358956,4.8060503,4.6399846,4.958084,4.8890777,5.269002,4.1820507,5.3142843,5.2270427,5.2498293,5.3459473,4.5341225,4.3422794,4.849467,4.963436,5.2251096,4.824466,1
0.13992848,14.917382,5.0615373,5.0909595,4.690193,5.220029,4.895793,4.762535,4.7290096,5.501004,5.5939937,4.3341804,5.6374097,4.666516,6.1031194,3.932227,5.8218694,5.606999,5.6127214,4.0491385,4.4352207,4.953978,4.970517,4.916569,5.337106,5.0900397,0
0.8637548,6.28521,15.154478,5.3508844,5.348621,4.9660797,4.499099,4.678147,5.109872,5.363874,4.8045154,4.64166,4.958922,4.8919992,5.266205,4.1811624,5.311071,5.2274823,5.25121,5.3414273,4.5386763,4.3433166,4.8507366,4.9645157,5.220852,4.8189383,1
0.14132868,14.916451,5.0649595,5.0942144,4.6907115,5.2197313,4.895011,4.7628503,4.7292795,5.4992766,5.592558,4.3347635,5.637734,4.668744,6.1018333,3.9331372,5.821812,5.607587,5.6113896,4.050799,4.436683,4.952968,4.9684496,4.919014,5.3348093,5.091035,0
0.8663339,6.285476,15.166541,5.348428,5.3488574,4.963679,4.495275,4.6790648,5.107369,5.352186,4.8032217,4.6410203,4.958363,4.8898873,5.2682266,4.1866465,5.3202615,5.229726,5.249683,5.3454247,4.5272713,4.341948,4.848889,4.9636416,5.2242055,4.831002,1
0.22412744,14.9637785,5.1047997,5.1361136,4.715149,5.2182856,4.9147887,4.741533,4.753674,5.4660063,5.5651717,4.36197,5.5904126,4.699145,6.122765,3.962226,5.7763305,5.633275,5.585431,4.079951,4.4652114,4.923987,4.9797053,4.9509244,5.301395,5.0718784,0
1.3353702,5.912049,5.9567957,15.097434,5.669486,4.8513827,4.2378926,4.5307174,5.170914,4.995014,4.898779,5.0203776,5.1983714,5.130803,5.3529887,4.588052,4.897001,5.584239,5.4965367,5.412256,5.2192936,5.1243734,4.130662,4.7915745,4.7485876,5.245534,1
0.21609966,14.965762,5.094718,5.125228,4.7233534,5.2182655,4.9079757,4.748249,4.7627892,5.475649,5.5729074,4.3704724,5.58846,4.686791,6.1133533,3.9709914,5.773777,5.6225657,5.584385,4.0817738,4.4666247,4.9153132,4.975146,4.939834,5.314411,5.0808244,0
1.3419766,5.9063897,5.9625597,15.089519,5.6663494,4.8473125,4.230188,4.530749,5.165573,4.990722,4.9004393,5.0154915,5.193085,5.1307883,5.366476,4.5873637,4.898859,5.599282,5.4980006,5.424868,5.22545,5.127754,4.1198645,4.806226,4.737435,5.253886,1
0.23303822,14.966991,5.117469,5.1486526,4.7134767,5.231594,4.9280596,4.728249,4.7523646,5.4540772,5.5590167,4.3611236,5.587707,4.7115917,6.1355524,3.9619102,5.7740383,5.6458917,5.585558,4.0810366,4.466295,4.924338,4.9933534,4.963528,5.289043,5.059,0
1.346181,5.9251385,5.9431252,15.09278,5.6602073,4.8652654,4.233187,4.506675,5.156766,5.0062523,4.9128065,5.0142584,5.2264514,5.1052313,5.363878,4.574503,4.8708415,5.5932975,5.476052,5.424391,5.225424,5.0972853,4.1204953,4.7986703,4.7391276,5.2482696,1
0.2266651,14.971883,5.10781,5.1392074,4.722903,5.2175813,4.9153633,4.740683,4.761604,5.462751,5.561969,4.3703685,5.5823636,4.7002063,6.1225157,3.9708252,5.768016,5.633649,5.579547,4.086369,4.4714375,4.915427,4.9796057,4.952343,5.3001566,5.072192,0
1.3349022,5.9074626,5.96154,15.096368,5.670691,4.8486776,4.2368975,4.534426,5.1724157,4.9911866,4.8968086,5.020282,5.1928115,5.135725,5.35682,4.5903897,4.9017467,5.5891595,5.5009255,5.415273,5.2199774,5.129139,4.128314,4.7970243,4.7454405,5.247494,1
0.2222975,14.964804,5.111975,5.1427298,4.7152023,5.220924,4.9226985,4.7333436,4.754401,5.4653788,5.567753,4.361795,5.5898933,4.704061,6.130556,3.9624126,5.775831,5.6406355,5.5875936,4.078427,4.4635477,4.9237494,4.98643,4.9581246,5.296308,5.064478,0
1.3295267,5.8933363,5.976191,15.096835,5.676649,4.840598,4.2376866,4.546528,5.18127,4.979132,4.888292,5.0229387,5.176939,5.149835,5.362568,4.59973,4.9158607,5.597457,5.5158005,5.418859,5.218953,5.1435094,4.125917,4.8059945,4.7405176,5.249859,1
0.20748572,14.95717,5.0956244,5.1263037,4.7150903,5.2163925,4.909054,4.7473464,4.7541537,5.47378,5.5715017,4.36135,5.5972624,4.6906123,6.116942,3.9612112,5.782674,5.6265545,5.588924,4.0758715,4.461128,4.925038,4.976091,4.943192,5.3102884,5.0777135,0
1.3027495,5.8836274,5.9867725,15.117167,5.695734,4.8289566,4.258258,4.5771184,5.2102246,4.9700594,4.866402,5.040639,5.149034,5.182073,5.3386927,4.619976,4.9458942,5.5691347,5.5411725,5.3967876,5.199294,5.172155,4.1474624,4.78386,4.760206,5.233328,1
0.22297475,14.966942,5.103658,5.1349773,4.720455,5.2146215,4.9124312,4.7437115,4.7594495,5.465803,5.564455,4.3671694,5.587504,4.697372,6.121111,3.9672298,5.7732344,5.631968,5.5831537,4.0821295,4.467342,4.9190483,4.9776335,4.9498925,5.302787,5.0739493,0
1.2916454,5.875223,5.9956636,15.124312,5.704276,4.8215203,4.2655387,4.592081,5.223068,4.9626718,4.855726,5.047726,5.1334715,5.198151,5.3332844,4.6303253,4.961373,5.563276,5.555131,5.391454,5.19191,5.187322,4.153585,4.7809763,4.764962,5.2284594,1
0.2224475,14.961651,5.113488,5.145588,4.7123528,5.211989,4.9198403,4.736445,4.751071,5.4556494,5.5564337,4.3595886,5.5926867,4.7098117,6.132131,3.9598975,5.7785907,5.643349,5.5880914,4.0755715,4.460949,4.926378,4.9828396,4.9619346,5.2903585,5.062768,0
1.2878312,5.8727474,5.9983025,15.126895,5.7071724,4.819269,4.2681556,4.597053,5.227426,4.9604697,4.852214,5.0501695,5.1284776,5.203485,5.3312397,4.6336904,4.966463,5.5609517,5.559613,5.3894534,5.189331,5.192268,4.155804,4.779633,4.766707,5.2266316,1
1.2882092,5.8796453,5.99119,15.128529,5.7060347,4.824106,4.2696757,4.592323,5.225772,4.9661694,4.855123,5.050122,5.1362877,5.1981573,5.326048,4.630291,4.9604683,5.554237,5.5535965,5.384708,5.1887326,5.185667,4.159187,4.7708907,4.770761,5.224072,1
0.23260261,14.979016,5.1112604,5.1412306,4.7344537,5.2340746,4.920566,4.734577,4.7734666,5.466198,5.566012,4.3812537,5.5753903,4.6939883,6.1161838,3.9813735,5.7609606,5.625586,5.56955,4.095941,4.4810615,4.90488,4.983804,4.9470434,5.3090754,5.075663,0
0.21702485,14.96814,5.106846,5.1375637,4.723572,5.2225394,4.918133,4.737831,4.7625465,5.465647,5.565649,4.371586,5.586225,4.6985207,6.1228104,3.9715924,5.7716384,5.6327586,5.5805616,4.086131,4.471023,4.9146247,4.9825096,4.951358,5.302699,5.071174,0
1.2878753,5.873553,5.997478,15.127101,5.707032,4.8198347,4.2683206,4.596484,5.227212,4.9611325,4.852561,5.0501575,5.129415,5.2028384,5.3306975,4.633283,4.9657445,5.5602546,5.5588984,5.388955,5.1892667,5.191469,4.156165,4.7786965,4.7671366,5.2263474,1
0.24559268,14.977657,5.1111383,5.143602,4.7216096,5.217008,4.915033,4.741093,4.7589545,5.455883,5.553974,4.369902,5.5760245,4.705369,6.1223173,3.9705844,5.762323,5.6346626,5.574748,4.091025,4.4762306,4.915645,4.9781404,4.954612,5.2951345,5.07177,0
1.2861762,5.880002,5.990853,15.130312,5.707413,4.8238506,4.2714586,4.5942154,5.2276506,4.9663863,4.8537755,5.051473,5.135257,5.1999454,5.324605,4.6313567,4.9620605,5.5525837,5.5546074,5.3833823,5.1870146,5.187033,4.160782,4.769555,4.772257,5.2224593,1
1.28602,5.8764386,5.994537,15.129506,5.707973,4.821439,4.2706766,4.5963674,5.228487,4.9634414,4.852352,5.0514956,5.131506,5.2024465,5.3269386,4.633066,4.964868,5.5555954,5.557588,5.3854775,5.187386,5.190152,4.1592016,4.7734823,4.770329,5.2237835,1
0.31180543,15.016181,5.1511164,5.187024,4.7174516,5.2236323,4.938513,4.7173834,4.749117,5.4092073,5.509252,4.3712626,5.535685,4.7469664,6.1470313,3.974354,5.7248797,5.664661,5.548572,4.1193614,4.5047016,4.9115095,4.9947457,4.9895716,5.252335,5.046649,0
8.865845,7.6883845,4.9064083,5.125862,4.5588574,5.222694,3.1826122,4.731301,5.365705,5.765012,3.926007,2.6754766,2.8848667,-0.0038553535,6.1473355,4.458216,3.7983572,4.237823,5.799546,6.8048058,9.333665,9.033491,5.3598886,5.7223306,5.472025,4.9410076,0
1.0645546,5.76188,5.746036,5.5825534,15.547503,4.8523154,4.8574553,4.954788,4.8771486,5.4037356,5.267108,4.981409,5.275862,5.1457424,5.4057827,4.7848296,4.879517,4.7709928,5.1839004,5.017268,5.5898027,4.03477,4.660937,4.9054136,4.9238334,4.629098,1
8.8943205,7.730945,4.949387,5.0452046,4.604868,5.217307,3.2137413,4.7093377,5.3680897,5.8443403,3.886628,2.6425505,2.9211674,0.0065958803,6.133511,4.4188013,3.8362322,4.280528,5.820346,6.732519,9.160061,8.844989,5.3205976,5.630161,5.428027,4.9694366,1
1.1431372,5.796281,5.640929,5.660148,15.37682,4.8109145,5.0246544,5.12249,5.044769,5.4815307,5.1940093,4.8464766,5.3229537,5.210088,5.4723115,4.7323146,4.7117934,4.8125076,5.1271873,4.8817754,5.639151,3.9490068,4.780164,4.846363,4.864517,4.7102003,0
8.897257,7.745657,4.942396,5.047991,4.61972,5.234263,3.2048693,4.720335,5.385134,5.8464622,3.8720376,2.6275747,2.9322875,-0.008748233,6.118317,4.41985,3.8256516,4.2931075,5.805835,6.7404256,9.17082,8.856725,5.3239903,5.640476,5.4437203,4.984253,1
1.1357757,5.7924104,5.6509123,5.653531,15.394488,4.814195,5.007547,5.109022,5.029928,5.4748135,5.1990213,4.856902,5.317843,5.205802,5.468008,4.7372828,4.72528,4.8101177,5.1320157,4.8922386,5.6352324,3.9551678,4.7708774,4.8508687,4.8683176,4.7031865,0
8.8960705,7.731935,4.9504857,5.0423474,4.606056,5.218831,3.2142491,4.7090855,5.369649,5.847092,3.8841271,2.6418314,2.9217873,0.0071179047,6.133181,4.4180603,3.8379312,4.2825823,5.81989,6.729,9.153676,8.838335,5.318798,5.6268444,5.4256587,4.9697537,1
1.1376716,5.791573,5.655233,5.651235,15.405491,4.814865,4.997285,5.107663,5.026732,5.4719744,5.205717,4.856478,5.321166,5.199431,5.461481,4.7357383,4.7266636,4.8045745,5.137558,4.891839,5.636103,3.9624653,4.7718983,4.850682,4.8745384,4.7012553,0
8.894586,7.7535486,4.946857,5.0409417,4.6386967,5.2225285,3.21009,4.713307,5.376634,5.856446,3.8780227,2.6119313,2.9362483,-0.030724682,6.108106,4.4120064,3.8264782,4.2902455,5.81417,6.7335596,9.146147,8.831038,5.3217864,5.63168,5.444069,5.000911,1
1.1592529,5.806429,5.621457,5.6737447,15.337832,4.8048577,5.0627785,5.1510506,5.073341,5.4962735,5.176005,4.8220325,5.336089,5.225838,5.488321,4.7235646,4.68339,4.8225794,5.11108,4.85731,5.6447544,3.9278576,4.8017645,4.8389187,4.850169,4.7233853,0
8.895202,7.7590237,4.94485,5.041439,4.647065,5.225699,3.2078931,4.715501,5.380071,5.858187,3.8746595,2.604826,2.9401438,-0.038170967,6.1018214,4.411669,3.8236785,4.2940626,5.8113675,6.7328367,9.138961,8.823772,5.3219647,5.6321154,5.44706,5.007701,1
1.1435252,5.795735,5.6403756,5.6586,15.367378,4.8119307,5.033504,5.1279073,5.049763,5.4803405,5.1933346,4.842503,5.322137,5.2107034,5.473037,4.733658,4.7064734,4.8131824,5.127033,4.877796,5.637503,3.9473667,4.782982,4.8480563,4.863866,4.7085996,0
8.8930235,7.7737823,4.9379687,5.044925,4.6679482,5.229638,3.2011168,4.7219224,5.3863425,5.8606954,3.871358,2.5851624,2.9516044,-0.060087442,6.0831566,4.409938,3.8108528,4.298913,5.8049083,6.739166,9.12989,8.81446,5.326531,5.6386933,5.463507,5.0273614,1
1.1584524,5.8049273,5.6254835,5.671373,15.345471,4.8054724,5.054989,5.148076,5.0698714,5.4932446,5.1819973,4.824278,5.3354397,5.2202563,5.4827924,4.7221303,4.6863375,4.818071,5.1173334,4.8595524,5.645874,3.9342608,4.800113,4.838524,4.855443,4.72158,0
8.889076,7.7855506,4.919432,5.062127,4.686227,5.2378297,3.1841521,4.7373424,5.3943214,5.849803,3.8715544,2.5680919,2.9580026,-0.077357255,6.0668135,4.418738,3.792592,4.299668,5.7923603,6.7549973,9.116009,8.800119,5.3361735,5.6563077,5.482559,5.042833,1
1.1593473,5.805999,5.6256804,5.6718254,15.347366,4.8052835,5.053296,5.147837,5.069184,5.493747,5.181134,4.823744,5.3369265,5.2209587,5.483512,4.7213225,4.686591,4.81832,5.1166873,4.8590245,5.6462193,3.9335093,4.8007293,4.8381968,4.854855,4.7219024,0
8.892096,7.7876973,4.921479,5.0582943,4.6867514,5.2416906,3.185035,4.737136,5.3995953,5.8548155,3.86572,2.5670283,2.9625762,-0.07980259,6.064585,4.415201,3.792696,4.3044047,5.7901387,6.7495475,9.118873,8.803142,5.333603,5.6528773,5.48242,5.0450606,1
1.1588745,5.805801,5.6253195,5.6721334,15.347968,4.8051186,5.052797,5.1474643,5.0688934,5.494069,5.1804667,4.824074,5.3361707,5.221625,5.4842052,4.721533,4.686949,4.8189554,5.116287,4.8593507,5.6462755,3.932856,4.8004007,4.8380504,4.854184,4.722211,0
8.89588,7.8158445,4.894343,5.078949,4.7209897,5.27017,3.1574452,4.7649527,5.429171,5.848356,3.8453941,2.5332904,2.9867074,-0.113719486,6.0312376,4.4239316,3.7633839,4.3241844,5.7615743,6.757382,9.089399,8.773709,5.3416533,5.671704,5.510135,5.0790443,1
1.1517955,5.8006625,5.631847,5.6672707,15.354212,4.8076925,5.0465364,5.1406193,5.0623064,5.489258,5.181646,4.8311872,5.328935,5.221273,5.483938,4.7284303,4.693786,4.8207116,5.118002,4.8664646,5.641832,3.9349444,4.7932873,4.842491,4.853942,4.7169237,0
8.8920145,7.795169,4.9184227,5.059269,4.69633,5.2452207,3.1816936,4.7405605,5.4040394,5.8565526,3.8620577,2.55802,2.9691176,-0.08913403,6.056114,4.414139,3.7874815,4.309099,5.786262,6.7499332,9.113303,8.797555,5.334987,5.6543307,5.4883995,5.054284,1
