0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,class_numeric
9.449044,3.8870435,4.5601497,5.1352205,5.140018,6.07166,7.341028,6.5203958,-6.524203,4.5800853,4.689137,2.1264648,5.377814,5.058838,5.736939,3.248039,4.3223085,5.250566,5.0430255,6.1347046,4.7631326,5.4014645,4.852165,4.8883414,5.1261163,0
9.448394,3.8836172,4.5606174,5.1367903,5.138656,6.073329,7.339788,6.523668,-6.5280814,4.577625,4.6916494,2.1225379,5.3738165,5.059507,5.740422,3.244611,4.326221,5.2488303,5.0393987,6.1368093,4.7655225,5.3988934,4.854313,4.8918962,5.1287265,0
9.441665,3.9005451,4.5760956,5.155969,5.1639132,6.0616717,7.3182416,6.511564,-6.5241427,4.567409,4.721652,2.1285172,5.383101,5.0832705,5.7247305,3.2578175,4.3181314,5.234203,5.054026,6.112741,4.7957377,5.3918757,4.8568635,4.875957,5.1584663,0
9.44573,3.8942442,4.5670943,5.143662,5.1524444,6.066933,7.3314056,6.515847,-6.5239687,4.574551,4.7062883,2.1276047,5.380251,5.0697722,5.730493,3.2534616,4.3202715,5.243658,5.049197,6.1233897,4.7803907,5.396814,4.8548336,4.881406,5.1431108,0
9.448123,3.8945487,4.5636744,5.1399145,5.1496286,6.068618,7.3350534,6.515643,-6.5223794,4.578112,4.704428,2.1297362,5.382214,5.0665593,5.7301116,3.253415,4.3183484,5.247341,5.0493765,6.126597,4.778568,5.400585,4.8515043,4.8816075,5.141119,0
9.451858,3.8580332,4.5501337,5.124097,5.113899,6.084472,7.356697,6.5405188,-6.5380607,4.582915,4.663756,2.1087143,5.3583555,5.0407343,5.764163,3.2251508,4.3410606,5.2577314,5.0158377,6.160563,4.7373,5.4015346,4.8555884,4.9165845,5.101294,0
9.449054,3.8798466,4.558955,5.134692,5.1341424,6.0754604,7.342428,6.52678,-6.530768,4.5788655,4.686389,2.119911,5.3714843,5.0562115,5.743933,3.2412884,4.3287015,5.2504916,5.035509,6.1411266,4.760249,5.3997526,4.854165,4.8959184,5.1235414,0
9.450121,3.8844924,4.55777,5.132621,5.136432,6.0740557,7.3442903,6.523023,-6.5261793,4.581338,4.68571,2.124775,5.3759437,5.0548596,5.739482,3.2454128,4.324127,5.252557,5.0403585,6.138309,4.7597327,5.4022665,4.8519826,4.891149,5.122643,0
9.448669,3.875032,4.558883,5.1348815,5.1301517,6.0765476,7.342874,6.5294857,-6.532768,4.5776353,4.681325,2.116775,5.367952,5.0551972,5.748312,3.237937,4.3320255,5.2498393,5.0313263,6.144811,4.754999,5.39831,4.855734,4.9002013,5.118699,0
9.457727,3.862438,4.539869,5.1145387,5.1117835,6.0886116,7.363644,6.5396304,-6.5338426,4.5930805,4.658285,2.1150472,5.3627377,5.0332994,5.7600174,3.2276437,4.336123,5.2693505,5.020646,6.1621184,4.732067,5.410079,4.8499193,4.9122634,5.095508,0
