0,1,2,3,4,5,6,7,8,9,10,11,12,13,class_numeric
3.5284643,4.8917403,7.0774345,5.953538,4.394869,6.261013,5.594489,8.143438,8.32227,3.267237,6.2102423,6.9613237,3.0124831,4.131931,0
3.486063,4.69538,7.0615892,5.894889,4.3982577,6.2775645,5.662491,8.155672,8.387947,3.2600088,6.195926,6.9567327,2.973509,4.076919,1
3.1858308,4.1710315,6.880079,6.3781238,4.60675,6.585368,6.0329747,7.9291987,8.01853,3.6818142,6.4255147,6.7200947,3.2898138,4.5297866,2
7.00079,4.9667664,5.9497643,8.867966,5.9254756,7.5008354,6.9006395,8.902581,4.802461,5.240509,5.8378425,4.5657983,2.2868252,8.544413,0
7.1757865,4.7976823,5.6145763,9.301112,6.061107,7.5620995,6.4993677,8.645504,5.1061416,5.2445226,5.32646,4.2609363,2.2340944,8.892861,1
7.0895214,4.8721757,5.6218877,9.166011,6.0494637,7.5238624,6.550968,8.711397,5.0750675,5.2802014,5.4444046,4.3659754,2.2360182,8.869846,2
3.5072045,4.8978953,7.1185284,5.961163,4.410004,6.2358847,5.572841,8.182092,8.250694,3.3009272,6.1978836,6.9373083,3.057874,4.1907597,0
3.4038312,4.6579065,7.0676565,5.9660816,4.4079146,6.247916,5.739044,8.057058,8.46602,3.2438023,6.1558304,6.963237,3.044343,3.9973376,1
2.9439178,4.1570807,6.936499,6.264327,4.50957,6.509483,6.001387,7.9474244,8.140994,3.6282105,6.273865,6.8349414,3.360339,4.281303,2
6.9952464,4.9398327,5.8593974,8.933713,5.9476004,7.5242944,6.7990475,8.876204,4.8703213,5.2100353,5.754033,4.495701,2.2993417,8.642925,0
7.1276255,4.836288,5.6267233,9.249947,6.026196,7.557779,6.489605,8.679968,5.0702157,5.2314615,5.375507,4.3029003,2.2371452,8.853483,1
7.1266074,4.847822,5.6733465,9.237874,6.0144267,7.597625,6.6174355,8.768253,5.0134993,5.194744,5.454608,4.2914786,2.3115447,8.896432,2
3.5826838,5.005537,7.06824,6.0153103,4.3507543,6.2941413,5.5814376,8.125361,8.278501,3.2843287,6.273101,6.9972157,3.0193126,4.1832094,0
3.4756217,4.683823,7.0654817,5.9348826,4.395664,6.32439,5.6065907,8.201244,8.311771,3.325197,6.256029,6.9580503,3.0215886,4.150784,1
3.210864,4.1666856,6.8604007,6.41222,4.6088414,6.610246,6.0709643,7.930288,7.9809265,3.6904862,6.4253607,6.701955,3.294619,4.582529,2
7.041022,4.988253,5.937821,8.8786745,5.935042,7.5079007,6.8867583,8.866635,4.7833514,5.251984,5.7722163,4.5707517,2.271475,8.57222,0
7.184337,4.7885633,5.626849,9.327083,6.05201,7.575447,6.5229087,8.652006,5.1009374,5.23339,5.307314,4.2409616,2.2493799,8.9027405,1
7.1340017,4.8009353,5.604287,9.255128,6.103104,7.5036964,6.5504313,8.685187,5.1079235,5.3043814,5.4344525,4.3245506,2.2102509,8.853978,2
