0,1,2,3,4,5,class_numeric
7.4105396,5.7001033,1.057738,1.6687765,1.6995115,15.900064,0
7.429052,5.705456,1.035978,1.6479414,1.6688035,15.8868265,0
7.405156,5.698184,1.0542941,1.6715658,1.7018597,15.898363,0
7.448769,5.741677,1.1077473,1.6735983,1.7340722,15.9462,0
7.391463,5.6876645,1.0563587,1.6815367,1.700157,15.895705,0
7.4268255,5.7034426,1.0213062,1.6404264,1.6573634,15.872796,0
7.4283476,5.7018104,1.0276841,1.6438053,1.659696,15.879814,0
7.432196,5.7031717,1.0283723,1.6414133,1.659426,15.880619,0
7.4112177,5.6875296,1.0137831,1.6485088,1.6581722,15.866599,0
7.423602,5.693518,1.0078248,1.6380847,1.6425059,15.863895,0
7.431158,5.700588,1.0161736,1.6382276,1.6463943,15.872045,0
7.427324,5.695316,1.0065286,1.6369758,1.6395866,15.864228,0
11.483308,12.670373,3.4691179,7.538122,2.6543915,14.729857,1
11.503426,12.656352,3.488836,7.5155907,2.6405375,14.719626,1
11.456658,12.702925,3.4413009,7.5375257,2.6298704,14.742236,1
11.394275,12.722335,3.3764262,7.58642,2.6427305,14.769089,1
11.420699,12.704381,3.403043,7.5579047,2.651959,14.746575,1
11.374867,12.710834,3.355392,7.6045237,2.6650918,14.772314,1
11.360685,12.715682,3.340907,7.615538,2.6731093,14.782741,1
11.399001,12.711556,3.3807614,7.5829096,2.650951,14.763309,1
11.377701,12.717808,3.3597443,7.5972915,2.6617734,14.77497,1
11.374921,12.7206135,3.3557734,7.5973063,2.6548977,14.773611,1
11.358451,12.722965,3.3379982,7.6107535,2.6635542,14.7792425,1
11.3519335,12.676973,3.3296843,7.651349,2.7173624,14.772909,1
-0.6672085,6.451973,4.712889,2.4633048,5.7318015,5.0665417,2
-0.6474928,6.4606147,4.6967864,2.4817107,5.761315,5.0738463,2
-0.67410004,6.475454,4.723339,2.455729,5.7448263,5.0858164,2
-0.6618893,6.4175963,4.700185,2.4689434,5.713625,5.041363,2
-0.6669874,6.4384747,4.7093105,2.4630826,5.730767,5.060692,2
-0.67614603,6.3289356,4.6909976,2.4614594,5.656886,4.9967093,2
-0.7081154,6.278228,4.709222,2.4333348,5.606426,4.9679894,2
-0.7063791,6.2481327,4.7042184,2.4357228,5.5891714,4.9524083,2
-0.70502746,6.246396,4.702503,2.4363043,5.5891786,4.950972,2
-0.69931656,6.2484746,4.69935,2.4420946,5.5936885,4.953616,2
-0.6875861,6.2322736,4.7241488,2.4335496,5.5965056,4.9699645,2
-0.6971327,6.204672,4.6815524,2.4483645,5.5648727,4.9243336,2
11.773474,5.893619,6.2060494,3.0690782,1.8031707,7.1103,0
12.983223,2.955826,7.530874,-3.6756032,4.068381,3.4131763,0
12.97077,2.9399865,7.5246544,-3.6542122,4.062454,3.4298885,0
12.993473,2.9776733,7.52704,-3.7090595,4.0769944,3.396961,0
13.037328,3.0782535,7.495166,-3.849977,4.1336517,3.3133118,0
13.028214,3.1053207,7.514352,-3.883551,4.126228,3.2909265,0
13.0117655,3.18486,7.436573,-3.9902606,4.215992,3.2169704,0
13.001953,3.2535157,7.4302225,-4.0680556,4.249311,3.1758294,0
13.03411,3.2035527,7.4156218,-4.0169435,4.2050796,3.2246199,0
13.035174,3.2244759,7.3998137,-4.040095,4.2190657,3.2072291,0
13.037437,3.2273593,7.403221,-4.0444713,4.2180457,3.2044208,0
13.046393,3.2387784,7.389989,-4.0539055,4.201932,3.2220194,0
7.6310806,5.5316777,5.6278653,-6.96445,8.294273,5.423132,1
7.6513863,5.5174594,5.6748595,-6.9894958,8.324571,5.45145,1
7.63019,5.5208054,5.6459017,-6.9683027,8.3098345,5.431585,1
7.9414096,5.610791,5.869031,-7.236388,8.257798,5.6313987,1
8.034456,5.6437235,5.927414,-7.3116965,8.220378,5.692835,1
8.16095,5.681725,6.0211945,-7.413093,8.166329,5.7878623,1
8.173092,5.6920934,6.022633,-7.4240294,8.166147,5.789613,1
8.225714,5.707621,6.0592027,-7.464563,8.148519,5.8257422,1
8.251111,5.7183423,6.098166,-7.469637,8.116794,5.86399,1
8.270653,5.7200403,6.0804896,-7.496362,8.134603,5.846991,1
8.293378,5.69935,6.136351,-7.5067286,8.082932,5.9020634,1
8.249419,5.7227163,6.0686517,-7.4781723,8.145248,5.834962,1
7.8917766,5.6131725,5.84272,-7.2018003,8.268633,5.605366,2
7.7909675,5.5522804,5.7953258,-7.115297,8.293808,5.553227,2
7.5379925,5.4484673,5.6627135,-6.9019237,8.365394,5.4078536,2
7.307154,5.344478,5.5610094,-6.7115297,8.411683,5.288908,2
7.1681833,5.306949,5.426227,-6.5818944,8.372303,5.209942,2
7.2021704,5.3286495,5.4333143,-6.609534,8.3596,5.2320094,2
7.1169543,5.294575,5.365659,-6.53301,8.345119,5.1774025,2
7.1145024,5.3051763,5.3536716,-6.5287633,8.32698,5.172357,2
7.118651,5.2880607,5.3836026,-6.536533,8.3571,5.176552,2
7.0974636,5.2697573,5.368792,-6.516075,8.35831,5.1557245,2
7.1093707,5.270544,5.398993,-6.5297265,8.372659,5.165275,2
7.0935903,5.2550635,5.395654,-6.5164614,8.374111,5.1508512,2
7.5650687,5.83872,1.2112973,1.6433824,1.7490253,16.044123,0
7.594738,5.857578,1.20634,1.624176,1.7296079,16.048178,0
7.6001797,5.862872,1.2161019,1.6254008,1.7350783,16.055475,0
7.5966415,5.857558,1.210466,1.6270545,1.7296731,16.050629,0
7.5835676,5.7941346,1.067207,1.6084446,1.6314713,15.921553,0
7.6416273,5.8413963,1.0586877,1.5469941,1.5854084,15.947218,0
7.680131,5.854774,1.0239043,1.5127066,1.5367948,15.929386,0
7.658485,5.853436,1.0271987,1.5209804,1.5509182,15.938567,0
7.6761217,5.8527765,1.0223607,1.5131444,1.5373149,15.928231,0
7.673511,5.8370337,1.0021541,1.5023352,1.5145062,15.908038,0
7.684141,5.8584814,1.0231483,1.5082239,1.5338274,15.930281,0
7.6881557,5.8619146,1.0275981,1.5084486,1.5352175,15.932534,0
11.6996155,12.562221,3.6915781,7.427368,2.6831527,14.621621,1
11.647023,12.561572,3.6419067,7.4721584,2.707893,14.651362,1
11.474955,12.480443,3.4545763,7.6928263,2.8707879,14.726475,1
11.4097,12.50125,3.386337,7.738699,2.8856864,14.752669,1
11.391269,12.517792,3.366903,7.739194,2.8745239,14.751575,1
11.333259,12.599079,3.3043559,7.7251143,2.8095274,14.742224,1
11.325477,12.619683,3.2994597,7.715552,2.7958958,14.766099,1
11.325375,12.609531,3.29892,7.7257466,2.8082216,14.76669,1
11.325769,12.618409,3.2994833,7.7169404,2.7974157,14.764877,1
11.311298,12.621508,3.2843964,7.7251744,2.79787,14.767183,1
11.343845,12.59533,3.3173382,7.740458,2.8208387,14.768076,1
11.336606,12.594731,3.3103426,7.728417,2.8190908,14.764621,1
-1.4673779,6.923731,5.3306136,3.8719003,6.72179,6.7543387,2
-1.4681417,6.9245877,5.331422,3.8726013,6.722612,6.7551045,2
-1.4642893,6.9209695,5.327731,3.868434,6.718763,6.750974,2
-1.4689941,6.9253683,5.332234,3.8735259,6.7234325,6.7559986,2
-1.4658912,6.9221735,5.329039,3.8704474,6.7202845,6.752884,2
-1.4457748,6.902104,5.3089395,3.8504941,6.7001224,6.732789,2
-1.4472367,6.903527,5.310393,3.8515,6.7015543,6.7340503,2
-1.4338691,6.8901772,5.297058,3.838081,6.6882157,6.720683,2
-1.4475474,6.9036236,5.3106284,3.8519025,6.701871,6.7345204,2
-1.4402535,6.896558,5.303457,3.8444285,6.694591,6.727043,2
-1.4309201,6.887564,5.294211,3.8345845,6.6850896,6.7170324,2
-1.4195611,6.875748,5.2826304,3.8237333,6.6737924,6.706288,2
12.99944,2.9739153,7.5332975,-3.6999996,4.0756564,3.3994026,0
