0,1,2,3,4,5,class_numeric
2.320303,3.6301138,7.1886272,6.565248,2.9694786,5.516353,0
2.1329107,3.34843,7.367309,6.3693266,2.7635322,5.335923,1
2.1038864,3.346208,7.4752812,6.7534337,3.1988502,4.6208434,2
6.7278585,6.1347823,6.038023,10.714075,4.639897,4.0451717,0
7.366281,6.2803493,5.9833612,11.294976,4.6135807,3.557386,1
7.0467777,6.5342307,6.15678,11.140929,4.539158,3.7992873,2
2.3455446,3.7280788,7.193107,6.5961714,3.0632558,5.501279,0
2.2189682,3.4527535,7.29305,6.4940963,2.8917603,5.3277326,1
1.9696432,3.3849247,7.6283894,6.2928095,3.0394218,4.7968364,2
6.8184566,6.276462,6.0006404,10.841457,4.679134,3.9609208,0
7.2654843,6.361898,6.0433035,11.230139,4.5934706,3.6410954,1
6.9572945,6.621181,6.22852,11.0885,4.4764786,3.892246,2
2.3028936,3.729577,7.231522,6.641756,3.0557008,5.4768357,0
2.1770473,3.400046,7.321037,6.4268556,2.816857,5.33928,1
2.131008,3.3797512,7.469405,6.815454,3.247802,4.553691,2
6.7687902,6.2486463,5.9948993,10.773539,4.682609,4.0156307,0
7.3978906,6.2538943,5.956821,11.324946,4.6262693,3.5190215,1
7.044792,6.5339837,6.140167,11.162309,4.551381,3.8049326,2
2.4097202,3.6748571,7.109923,6.5192537,3.0166411,5.5890455,0
2.0764582,3.296926,7.4240994,6.3723927,2.7947206,5.2077174,1
2.0976655,3.3019273,7.4657726,6.6549516,3.076661,4.7651176,2
6.7022514,6.2698956,5.921565,10.706722,4.75352,4.0735736,0
7.263372,6.3381405,6.0287824,11.225089,4.610282,3.6320448,1
6.968968,6.5211535,6.142155,11.0735,4.5766635,3.8666637,2
2.3530545,3.6188073,7.1641307,6.5315156,2.9779847,5.527851,0
2.0783827,3.2949085,7.414151,6.3405,2.7369208,5.3324795,1
2.0640721,3.2948015,7.4786544,6.6119084,3.065268,4.7623644,2
6.6243753,6.2145243,5.9442024,10.639192,4.7425356,4.0810733,0
7.093791,6.4280415,6.090203,11.155225,4.575931,3.7575843,1
7.0015755,6.5609474,6.138364,11.105667,4.548172,3.835775,2
2.055157,5.004892,7.9960275,7.0652995,4.1625023,4.277787,0
2.0375035,5.347622,8.146347,7.783574,4.2343545,4.1437645,1
2.3601935,3.3787613,7.796333,6.64917,3.2089982,3.5619261,2
