0,1,2,3,4,5,6,7,8,class_numeric
10.695345,5.3758335,6.500221,5.783185,5.6139565,5.6535654,3.9771428,3.7691994,-7.3456964,0
10.658433,5.3389955,6.533955,5.825891,5.6459837,5.648536,3.9540498,3.7386694,-7.3869247,0
10.711478,5.3892007,6.4912825,5.7700806,5.613356,5.6704903,3.9785278,3.7536445,-7.349362,0
10.755928,5.4299474,6.4573298,5.7137823,5.5837245,5.655975,3.9916072,3.787899,-7.293169,0
10.708319,5.3861504,6.4915886,5.769554,5.608462,5.656046,3.9802375,3.769962,-7.33726,0
10.662673,5.3558984,6.539426,5.8472714,5.6634684,5.6981936,3.9608243,3.7093225,-7.414782,0
10.670309,5.3592453,6.525293,5.8255053,5.6431694,5.680528,3.9682822,3.7319977,-7.393767,0
10.678131,5.3623114,6.514945,5.8036385,5.6282845,5.6570764,3.970214,3.7595074,-7.3640327,0
10.670368,5.354859,6.5219684,5.813887,5.6334867,5.6564283,3.9673204,3.7510397,-7.3745737,0
10.660274,5.343778,6.5250363,5.823367,5.631155,5.65838,3.9676359,3.7511609,-7.380778,0
10.667613,5.349016,6.516498,5.805582,5.6218853,5.6531777,3.9697986,3.7646186,-7.3631916,0
10.658721,5.3422737,6.5226364,5.8167186,5.6238427,5.6438875,3.96857,3.7718909,-7.3638763,0
10.528455,6.3709884,5.237977,5.7186313,3.34186,4.4958873,-2.281955,1.4171562,-2.4460452,1
10.53652,6.3625984,5.237127,5.720371,3.3419518,4.494681,-2.283411,1.425381,-2.4443538,1
10.573936,6.336444,5.2304134,5.7299266,3.3456414,4.489186,-2.2869606,1.456908,-2.4333754,1
10.623062,6.291377,5.2120895,5.737585,3.3453624,4.487502,-2.2999294,1.5042398,-2.4241323,1
10.592205,6.3164315,5.2089434,5.7098727,3.3324833,4.512565,-2.2976441,1.476891,-2.452741,1
10.645034,6.258757,5.194512,5.7230487,3.3358736,4.5027304,-2.3122742,1.5328994,-2.4396303,1
10.65101,6.2535405,5.191756,5.7236676,3.3336897,4.5028954,-2.3149216,1.5384463,-2.438724,1
10.602807,6.3107586,5.228019,5.743237,3.3503675,4.4787345,-2.284092,1.484812,-2.4182048,1
10.616975,6.295425,5.210995,5.73009,3.3430152,4.493046,-2.2986295,1.5005783,-2.4310215,1
