0,1,2,3,active_hand
3.0714436,-4.746455,-0.3113332,-10.906586,1
-7.9907537,-7.9663863,8.327197,3.6592317,0
3.0797088,-4.775725,-0.34045643,-10.894453,1
-7.982712,-7.974125,8.319183,3.6672623,0
3.0868123,-4.7420864,-0.30670175,-10.892461,1
-7.975603,-7.9809465,8.312149,3.6744158,0
3.098352,-4.7192564,-0.28384033,-10.88561,1
-7.974379,-7.982115,8.310891,3.67566,0
3.0783637,-4.745394,-0.31015733,-10.899838,1
-7.981728,-7.975158,8.3181505,3.6683877,0
3.089397,-4.7767167,-0.34110713,-10.884685,1
-7.9726005,-7.9839897,8.30915,3.677599,0
3.0823045,-4.8068256,-0.3712556,-10.887581,1
-7.972508,-7.98336,8.309153,3.6777298,0
3.0707989,-4.7793665,-0.34408262,-10.901724,1
-7.987385,-7.969023,8.323938,3.6628118,0
3.0622218,-4.810468,-0.3751559,-10.89946,1
-7.9488826,-8.006376,8.285627,3.7013698,0
3.0746655,-4.812877,-0.3774014,-10.892898,1
-7.9390316,-8.014953,8.276079,3.7110329,0
3.060292,-4.8173957,-0.3821592,-10.906138,1
-7.9069724,-8.047578,8.243845,3.7431495,0
-7.9739275,-7.982716,8.3104315,3.6762462,0
3.0520575,-4.797834,-0.36290166,-10.917508,1
-7.875076,-8.076355,8.212653,3.7747536,0
12.6836605,8.839071,9.966922,11.334096,1
-7.8665133,-8.084668,8.204167,3.7833054,0
12.689816,8.8325,9.972756,11.336842,1
-7.877958,-8.072975,8.215789,3.771933,0
12.67048,8.855298,9.956011,11.311376,1
-7.90021,-8.052209,8.237571,3.7498136,0
12.640307,8.883569,9.92486,11.301737,1
-7.9517665,-8.0029955,8.288673,3.6984422,0
12.639613,8.884455,9.924201,11.300642,1
-7.886966,-8.064287,8.22467,3.762979,0
12.623429,8.899547,9.907701,11.300657,1
-7.891944,-8.061404,8.229116,3.7582746,0
12.624412,8.898326,9.908495,11.305339,1
-7.9376593,-8.016842,8.274603,3.7125757,0
12.625501,8.898946,9.910583,11.287286,1
-7.9238396,-8.030355,8.260819,3.7264314,0
12.609375,8.916353,9.895546,11.273792,1
-7.9485707,-8.007184,8.285189,3.7018433,0
12.621781,8.9013815,9.906211,11.297689,1
-7.97707,-7.9798117,8.313524,3.6731868,0
12.596708,8.926704,9.881608,11.277787,1
-7.964494,-7.9917192,8.301093,3.685697,0
12.607888,8.91464,9.892154,11.305198,1
-7.8830924,-8.067224,8.221212,3.7669766,0
9.351335,12.239502,10.684107,11.142918,1
