0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,class_numeric
8.436283,3.8551197,5.2933593,-5.6134458,5.5608535,8.340268,1.6660241,3.8499572,4.04964,5.1515064,4.704248,5.6677747,4.5064483,4.7411175,3.7128975,5.4732423,5.637487,5.418951,5.255055,5.377225,5.140716,4.027188,4.9208603,6.061221,5.8972745,5.632458,4.405263,0
8.417151,3.8559692,5.2872715,-5.6014175,5.549286,8.324603,1.6530467,3.8246183,4.049417,5.140672,4.709831,5.6435523,4.4991784,4.7251415,3.7003343,5.4773235,5.633063,5.412495,5.2776723,5.373338,5.1539664,4.026417,4.918173,6.0663695,5.8816037,5.652109,4.413303,0
8.418066,3.8538775,5.286349,-5.604645,5.5497403,8.326442,1.6532022,3.8250995,4.049609,5.142634,4.7158613,5.644341,4.488006,4.7253547,3.7005806,5.479069,5.631317,5.409598,5.2854204,5.372251,5.1512485,4.027935,4.9153714,6.068472,5.8833976,5.6517158,4.422348,0
8.42296,3.8506021,5.281195,-5.608153,5.5575404,8.3301935,1.662174,3.8366518,4.0422077,5.1561913,4.7229943,5.656562,4.4808035,4.732866,3.7108462,5.47033,5.6393876,5.4045024,5.2819037,5.373081,5.146449,4.02159,4.911017,6.075107,5.890674,5.6469483,4.4287596,0
8.424267,3.8559093,5.2894497,-5.606583,5.5537624,8.330832,1.6588346,3.834154,4.0493474,5.1450124,4.7083616,5.653211,4.4991617,4.731408,3.7064464,5.475735,5.634432,5.4145665,5.271824,5.375029,5.1485667,4.0265493,4.918239,6.064241,5.8880057,5.6449633,4.4121227,0
8.413276,3.8555846,5.281556,-5.5990806,5.5472136,8.321022,1.6524334,3.8236904,4.0435433,5.1457696,4.7191978,5.6434627,4.4854083,4.7223644,3.7021308,5.473351,5.636808,5.4054036,5.287117,5.3702903,5.1564784,4.023216,4.9126935,6.0731874,5.879795,5.656297,4.4247837,0
8.393286,3.8606696,5.271389,-5.581576,5.5290985,8.302426,1.6332912,3.8003023,4.0374627,5.1330624,4.729199,5.6197443,4.4776897,4.7027655,3.6852772,5.4736924,5.6370773,5.393116,5.304204,5.362058,5.1745524,4.0198464,4.9067326,6.0823646,5.8601766,5.676461,4.43479,0
8.416157,3.854408,5.281712,-5.601266,5.5494037,8.323404,1.6544738,3.8279366,4.043181,5.1489067,4.720176,5.647499,4.4850945,4.7248397,3.7042422,5.472669,5.637472,5.4051466,5.283948,5.370332,5.1540675,4.0230365,4.9122996,6.0736713,5.8824973,5.6534295,4.425292,0
8.411032,3.8484685,5.2824516,-5.603088,5.5505075,8.318933,1.6501689,3.8181677,4.0553937,5.1307592,4.712361,5.6369476,4.4877644,4.7187886,3.6932218,5.4859724,5.6215425,5.408975,5.2874575,5.376262,5.153905,4.0268054,4.9143257,6.06765,5.8767715,5.6585145,4.4241824,0
8.419784,3.8559256,5.2886367,-5.603044,5.5499287,8.326673,1.653904,3.8286648,4.0497036,5.142791,4.7088294,5.6474023,4.5009913,4.7265897,3.7016428,5.4770565,5.633759,5.4135194,5.273086,5.373295,5.1523547,4.0270524,4.9184475,6.065247,5.8834176,5.649472,4.4116435,0
8.422606,3.854879,5.289901,-5.605477,5.5524607,8.329158,1.6561981,3.831887,4.050717,5.14444,4.707074,5.6504617,4.5027833,4.729175,3.7030106,5.477177,5.633918,5.41534,5.269597,5.3744216,5.149795,4.0277467,4.919437,6.064221,5.885982,5.646592,4.4097195,0
