0,1,2,3,4,5,active_hand,class_numeric
-7.631305,1.5801286,8.60124,-0.12038049,-5.297882,-0.84992653,1,0
-4.435178,-3.8657272,-7.25274,1.7815211,7.451139,0.39818138,0,0
-7.658266,1.6030651,8.63061,-0.09562388,-5.3313875,-0.88136417,1,0
-4.4354377,-3.8660135,-7.2529683,1.781251,7.451395,0.39790633,0,0
-7.654281,1.5864973,8.634165,-0.092919275,-5.3131123,-0.8783546,1,0
-4.4351034,-3.8657608,-7.2524023,1.7817184,7.451011,0.3981384,0,0
-7.644764,1.5706738,8.631521,-0.09044484,-5.287306,-0.86844176,1,0
-4.4346123,-3.8651474,-7.252176,1.782137,7.4505787,0.39877054,0,0
-7.64166,1.5901799,8.615475,-0.10961164,-5.310209,-0.8637465,1,0
-4.435403,-3.865962,-7.2529836,1.7812929,7.451402,0.39797527,0,0
-7.657038,1.5882366,8.635415,-0.09229176,-5.317907,-0.88093436,1,0
-4.439237,-3.870098,-7.2565794,1.7772348,7.455127,0.39387167,0,0
-7.6871567,1.5832158,8.667972,-0.06327179,-5.322805,-0.9139778,1,0
-4.4349003,-3.8654191,-7.2525516,1.7818363,7.450926,0.39853975,0,0
-7.684963,1.6149164,8.660847,-0.06787723,-5.354287,-0.90993935,1,0
-4.435263,-3.8657951,-7.2528844,1.7814898,7.45127,0.39816302,0,0
-7.679975,1.5942128,8.666341,-0.067971,-5.338002,-0.9099214,1,0
-4.4344416,-3.8649106,-7.2521234,1.78234,7.4504805,0.39906186,0,0
-7.6682625,1.6055584,8.643151,-0.08510862,-5.338692,-0.8924904,1,0
-4.4349027,-3.8654191,-7.2525883,1.7818235,7.4509153,0.39854762,0,0
-7.666551,1.6058483,8.6405325,-0.08747227,-5.3382063,-0.8905479,1,0
-4.4349947,-3.8655102,-7.252651,1.7817249,7.451027,0.39844322,0,0
-4.4411373,-3.872104,-7.258546,1.7744253,7.4571023,0.39124504,0,0
