0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,active_hand
11.289353,7.610096,-5.221376,7.486657,5.104007,5.8803687,5.038989,3.0077224,3.7237914,5.0403624,5.5924425,5.8258095,5.868372,5.1481915,4.0632834,4.5809584,3.801536,5.866146,4.165213,4.3374,4.7210565,5.0118985,4.818824,4.714164,4.902595,4.865004,4.8490157,4.8263445,5.148138,4.840218,1
-1.9710169,5.1858735,4.513208,4.47681,5.146946,4.569076,4.6416435,4.754692,4.7869215,4.840571,5.379675,4.746009,4.960917,5.0959544,5.1113033,5.164004,3.912518,4.768551,4.6418204,4.26775,4.5537653,4.687224,4.476214,4.0380416,5.5889373,3.7517292,5.700998,5.5950794,5.040661,5.022583,0
11.295535,7.601032,-5.21283,7.4934072,5.087839,5.877267,5.027716,3.0233645,3.7116091,5.0178,5.5770507,5.828059,5.856686,5.123359,4.063968,4.5662537,3.786167,5.875626,4.1947255,4.337653,4.7138424,4.995031,4.83071,4.7300696,4.91541,4.866998,4.834199,4.8099403,5.1401534,4.832557,1
-1.9620645,5.193108,4.512736,4.4836683,5.1436763,4.572635,4.641792,4.7538133,4.7892075,4.841219,5.3772326,4.7473974,4.967938,5.1034107,5.110592,5.167265,3.9251182,4.767533,4.6355247,4.260996,4.561702,4.678235,4.491278,4.0526824,5.5852375,3.7615552,5.6969376,5.5960126,5.047983,5.0145774,0
11.291047,7.599255,-5.2124624,7.4927683,5.091071,5.8807373,5.0305142,3.0204616,3.7089424,5.018987,5.573749,5.832643,5.8581314,5.1253033,4.0614257,4.5626097,3.7855747,5.8753834,4.190971,4.3417706,4.718179,4.991572,4.825713,4.7334003,4.9102216,4.87119,4.830919,4.80656,5.1449547,4.836337,1
-1.9581983,5.198106,4.5065546,4.485925,5.1320605,4.5845885,4.6424727,4.757287,4.788632,4.837897,5.3679814,4.7542706,4.971849,5.1122837,5.1050634,5.17272,3.931466,4.756832,4.6315637,4.255838,4.5703382,4.6716437,4.496154,4.0587177,5.5845037,3.7701426,5.689109,5.6032953,5.052131,5.010073,0
11.282134,7.595971,-5.211849,7.491385,5.097959,5.8870764,5.0357523,3.013793,3.7033784,5.024984,5.5683255,5.8416467,5.8608713,5.1328263,4.056879,4.556354,3.7847724,5.874654,4.1746035,4.3498507,4.7269025,4.9865265,4.8157125,4.7387075,4.8990026,4.879283,4.8252254,4.801402,5.1547227,4.8439407,1
-1.973088,5.180851,4.5318165,4.480309,5.1599054,4.5542774,4.639509,4.737591,4.7964516,4.8554854,5.395931,4.729655,4.9579186,5.0880246,5.129742,5.1517787,3.9073274,4.7841144,4.6449146,4.273231,4.5461774,4.6945624,4.4733405,4.034867,5.581786,3.7450602,5.715959,5.577848,5.0375576,5.0259695,0
11.29182,7.6007457,-5.2137256,7.4924383,5.0917397,5.8800993,5.0308867,3.0198543,3.7111611,5.021769,5.576895,5.830899,5.8592687,5.128373,4.062121,4.5657835,3.7873092,5.874674,4.1880293,4.3404007,4.717461,4.9951296,4.8259387,4.730119,4.9105177,4.8696413,4.833937,4.8099713,5.1442184,4.8358026,1
-1.9397589,5.2161746,4.5327873,4.5065856,5.1308603,4.5614433,4.6438656,4.7329087,4.810902,4.8619213,5.3943276,4.745189,4.9907365,5.1271915,5.130346,5.1799283,3.9457762,4.7645316,4.6127753,4.2378855,4.5854,4.656175,4.5125084,4.0738263,5.562872,3.783122,5.7109523,5.5875754,5.070961,4.9915237,0
