0,1,2,class_numeric
8.222012,4.809563,6.4005375,0
8.456411,4.944156,6.67662,1
3.7213538,6.909872,-1.7409875,0
2.810507,6.241794,-2.0924647,1
8.150337,4.696692,6.318747,0
8.356872,4.857918,6.5669694,1
3.6209376,6.728078,-1.8940146,0
2.82715,6.2616854,-2.088303,1
8.122522,4.718564,6.2886057,0
8.388064,4.793146,6.6073956,1
3.5347228,6.891733,-1.8001777,0
2.7866497,6.254268,-2.0643694,1
8.114461,4.7400646,6.35245,0
8.44934,4.874915,6.6925173,1
3.5480247,6.824666,-1.781875,0
2.8451383,6.268959,-2.0638824,1
8.247324,4.822254,6.4416122,0
8.388204,4.8082423,6.7703075,1
3.774777,6.784873,-1.7159449,0
3.0430734,6.4036508,-1.8583713,1
6.926554,2.9213002,5.7648377,0
6.668539,2.4286706,5.113433,1
3.6799498,6.755348,-0.62862366,0
3.0323234,5.560765,-0.18674903,1
7.5062313,3.875584,4.554667,0
6.4840164,2.4124324,4.7924924,1
7.896032,4.914807,3.0286448,0
3.1672664,5.564103,-0.34294587,1
7.820036,4.045647,3.8031356,0
6.521659,2.3733113,4.7255974,1
3.2782571,6.8571177,-0.9234627,0
3.0268714,5.105818,-1.1561701,1
7.8994904,4.310617,3.5398424,0
6.4784417,2.4336395,4.678757,1
3.2464864,6.811583,-0.9208839,0
3.0493095,5.0025196,-1.1172943,1
7.8107586,4.169903,3.8408415,0
6.449227,2.367168,4.7054577,1
8.006417,5.061206,3.1917195,0
8.026773,5.0415053,3.2574942,1
7.6018724,3.5012918,4.079534,0
7.7350507,3.7803893,5.523279,1
4.8557343,6.240878,-0.9829163,0
3.6515257,5.378458,-1.0682368,1
7.700252,3.5842993,4.2218776,0
7.660494,3.6968033,5.6697187,1
4.517455,6.3844075,-1.0593681,0
3.4562194,5.0617013,-1.0552595,1
7.611537,3.616968,3.9124076,0
7.6032224,3.5765553,5.9270825,1
3.2669291,6.824945,-0.9504593,0
3.4774728,5.159542,-1.2397527,1
7.611355,3.3002813,4.4157867,0
7.76785,3.688742,5.7709627,1
3.5310223,6.722847,-1.0541044,0
3.5209494,5.182523,-1.178198,1
8.037243,4.4384117,6.0934334,0
7.794286,3.7232182,5.7202983,1
4.7219167,6.366337,-1.0913545,0
3.3224537,5.144889,-1.2255609,1
7.75346,3.6991882,6.945065,0
7.53478,3.42921,6.8488655,1
7.9021544,4.6671267,3.4111476,0
0.8803202,6.495755,0.44012198,1
7.637817,3.6003063,6.7257953,0
7.6181397,3.362671,7.0198426,1
7.940617,4.8575773,3.3757105,0
0.80429834,6.4627357,0.39721245,1
8.233466,4.84112,6.009548,0
7.611846,3.5407515,6.9291525,1
1.0974928,6.548506,0.53342605,0
0.8482601,6.583681,0.56809765,1
7.696117,3.6623855,6.9431005,0
7.4396157,3.1189964,7.02203,1
1.036144,6.473128,0.40861687,0
1.0260489,6.64892,0.48993322,1
7.7000422,3.4666295,7.1379027,0
7.53989,3.241682,7.0605626,1
0.9167826,6.606286,0.5463091,0
0.8162006,6.450136,0.41622695,1
7.7971244,4.7379413,3.2783942,0
7.6685586,3.5816028,6.1174426,1
7.8779774,4.503348,3.1365309,0
2.0068629,6.4240675,0.7566747,1
7.7223535,4.610136,3.1269882,0
7.593186,4.4472322,3.016917,0
2.2574477,6.443735,0.39710987,1
7.8097415,4.8227425,3.1637483,0
7.823957,4.7285595,3.161258,0
1.870747,6.5132456,0.68178993,1
7.770524,4.023578,4.3271074,0
7.6139045,4.423576,3.465397,0
2.1987286,6.3693523,0.47104964,1
7.820139,3.9855082,4.300066,0
7.4163575,3.4073427,6.002704,1
7.6040506,4.382633,4.077446,0
1.732174,6.635056,0.6716947,1
7.7165103,4.5312324,3.1192446,0
7.5488143,3.2939725,5.2807846,1
3.0842516,5.706119,-1.1344571,0
2.4947157,6.2155924,-1.3678857,1
7.592409,3.7968051,4.6144743,0
7.748836,3.5239468,5.348202,1
3.2675593,6.526531,-1.130326,0
2.6469722,6.0516205,-1.3565428,1
6.7824063,3.2667956,4.0242147,0
7.7417903,3.6075816,5.3767815,1
3.0406306,6.4771533,-1.0851735,0
2.5663812,6.132861,-1.4234431,1
7.75643,3.700944,4.891467,0
7.70546,3.582024,5.2539935,1
3.651865,6.5886173,-1.1222026,0
2.8858714,6.170749,-1.4771788,1
7.83981,4.898769,3.2575355,0
7.1216574,3.1426764,4.4957776,1
3.6258636,6.7108326,-1.0327737,0
2.4859657,6.115052,-1.2566724,1
7.600135,2.031626,5.838515,0
7.6360207,2.0529358,5.566093,1
1.7420073,6.421609,-0.71279943,0
2.6028552,5.292154,-1.1865389,1
8.023892,1.690288,6.341268,0
8.197578,1.478753,6.278784,1
1.9070425,6.262343,-0.60574585,0
2.7580106,5.1637235,-1.2156084,1
8.051678,1.6632143,6.360288,0
8.27004,1.3885038,6.218264,1
1.1189458,6.494619,-0.13755335,0
0.9310567,6.404531,-0.05217461,1
8.106498,1.5998209,6.4154134,0
8.284523,1.3818458,6.2335777,1
1.1450522,6.468622,-0.19043192,0
0.85328954,6.369805,0.088339545,1
8.214094,1.5016917,6.4825997,0
8.25885,1.4088405,6.264276,1
0.9299675,6.404562,-0.0027370714,0
0.734816,6.2667246,-0.013269638,1
6.689646,2.859911,5.2374516,0
2.8891568,6.641497,-0.64208466,0
2.4381914,5.9748683,-1.4134887,1
6.7700076,3.026979,4.3134,0
6.554634,2.8910186,4.540818,1
3.1936872,6.580339,-0.57183117,0
2.873927,5.560582,-0.9003793,1
6.787411,2.8884068,4.0727234,0
6.5957384,2.979337,4.381094,1
3.3325148,6.5890703,-0.47934085,0
2.783547,5.6503944,-0.8573423,1
6.741731,2.8486257,4.218137,0
6.5013466,2.7217205,4.459456,1
3.1713257,6.270155,-0.5850034,0
2.748169,5.5887437,-1.0953562,1
6.6449585,3.0042086,4.181353,0
6.487552,2.818821,4.5516815,1
3.512108,6.394206,-0.9158264,0
3.051548,5.3699408,-0.89543676,1
6.564017,2.667214,4.9494295,0
6.8972163,2.6200576,6.000184,1
2.95252,6.6507645,-0.25548437,0
3.0944467,5.428051,-0.36043677,1
6.8158383,2.3628616,4.5696425,0
6.866309,2.4352353,5.1072364,1
2.7727702,6.5913553,-0.055605326,0
6.663804,2.6053083,4.3447824,0
