0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,class_numeric
10.412557,4.644895,5.0321355,14.874644,4.7857656,1.1353688,0.8827808,5.5478334,5.521449,5.2339387,3.3478892,4.377178,5.713135,4.722213,4.274687,5.4359274,5.419033,5.0864453,4.8564763,0
10.399773,4.639384,5.02313,14.875415,4.8131537,1.1471685,0.889206,5.5517306,5.5518947,5.223108,3.3427672,4.382297,5.727266,4.745424,4.27789,5.4401107,5.411191,5.10624,4.8554826,0
10.4060335,4.6391606,5.021621,14.875841,4.820274,1.1487132,0.8909345,5.552903,5.5599523,5.2199736,3.3408115,4.3838043,5.731595,4.7523293,4.278764,5.4413834,5.4088416,5.1117306,4.855276,0
10.46289,4.6422615,5.0122294,14.859229,4.7729526,1.1460905,0.8577445,5.5247226,5.546281,5.251098,3.3641963,4.3523483,5.68874,4.7044954,4.25017,5.412599,5.4337306,5.113303,4.8338513,0
10.404682,4.643936,5.041948,14.884103,4.7942863,1.1307398,0.8965377,5.5629525,5.5096717,5.2200556,3.3341374,4.391851,5.7271953,4.731818,4.287876,5.4501104,5.4067397,5.0754123,4.8673015,0
10.387866,4.6372476,5.0277596,14.88672,4.829724,1.1455636,0.90290046,5.564864,5.554462,5.2072325,3.3294337,4.395574,5.740538,4.760108,4.2892213,5.452792,5.3960414,5.1054306,4.864452,0
10.424922,4.6166606,4.9630647,14.840709,4.8072295,1.2055056,0.85812193,5.5160437,5.617132,5.2490973,3.3776467,4.3461947,5.6910553,4.72658,4.230677,5.4022145,5.434114,5.1669793,4.8023252,0
10.409248,4.63096,4.998988,14.864511,4.8241687,1.1697986,0.8799109,5.54221,5.592026,5.2280726,3.35123,4.372391,5.7173038,4.7482104,4.2614937,5.4285827,5.4158044,5.1368036,4.835488,0
10.37968,4.633598,5.020249,14.877468,4.8103747,1.1573726,0.8998026,5.568247,5.5534573,5.2197876,3.337249,4.396717,5.7192645,4.7392087,4.2817774,5.4504504,5.406138,5.0989685,4.854394,0
10.341507,4.631596,5.0338936,14.895943,4.870331,1.1479877,0.9236477,5.578212,5.593729,5.1861734,3.3181214,4.4130435,5.7784934,4.80247,4.3141246,5.4719706,5.383307,5.1138315,4.886758,0
10.347794,4.6367726,5.0321474,14.895252,4.8739986,1.1472923,0.9196525,5.569895,5.594487,5.1864963,3.3213956,4.405913,5.7787733,4.805571,4.313442,5.467745,5.385234,5.121525,4.8886037,0
10.3492,4.646973,5.046835,14.891339,4.837456,1.1306969,0.9117892,5.570246,5.53269,5.2072434,3.3291638,4.402962,5.7555933,4.7752585,4.3044777,5.462211,5.3989635,5.076919,4.8832383,0
10.4361,6.2760344,7.486949,3.5725756,5.5642357,5.4169564,6.0469313,4.4286537,-0.16570066,9.337866,5.961597,5.268284,4.2903047,4.5423985,4.546148,5.722874,4.9374075,3.5776849,5.9403334,1
10.434957,6.2839184,7.452116,3.5503678,5.5513797,5.411426,6.0305495,4.4275126,-0.17396656,9.37285,5.966353,5.242362,4.2905164,4.5469193,4.5293207,5.7182703,4.959238,3.5814857,5.939999,1
10.446772,6.274047,7.496854,3.5865862,5.55402,5.427464,6.0644526,4.4400477,-0.14369096,9.321935,5.939765,5.2821846,4.275225,4.554091,4.560371,5.7257032,4.921974,3.5614944,5.9251366,1
10.423827,6.2852798,7.4203587,3.5160356,5.5662546,5.401733,5.9902344,4.413182,-0.23814327,9.469005,6.0131965,5.1967597,4.312278,4.5322847,4.50739,5.719882,5.002642,3.6033719,5.9605017,1
10.4183035,6.2793913,7.412103,3.5085053,5.5760407,5.39877,5.9773536,4.4085355,-0.25417328,9.496099,6.02739,5.186202,4.322027,4.520769,4.5039268,5.725016,5.01387,3.6153793,5.974239,1
10.394225,6.2564054,7.4213295,3.500885,5.6266565,5.3905416,5.9445767,4.3859315,-0.3145445,9.564574,6.082481,5.171806,4.3613477,4.4764776,4.505299,5.7424645,5.037795,3.6541865,6.0196295,1
10.392543,6.2585845,7.4245486,3.5001576,5.625843,5.389203,5.9451284,4.382075,-0.31807113,9.574813,6.083909,5.1703715,4.364133,4.4741836,4.5051675,5.738314,5.0385838,3.654901,6.023091,1
10.403809,6.259205,7.4192224,3.5212843,5.602436,5.4057918,5.961179,4.4113474,-0.2641218,9.507244,6.0471296,5.196921,4.341554,4.4960833,4.5192485,5.744231,5.0128155,3.6394722,5.999712,1
10.414519,6.2744517,7.4175377,3.5126722,5.58475,5.3990045,5.9758797,4.406629,-0.25738835,9.496477,6.0316525,5.190445,4.326153,4.5145154,4.5080786,5.7286816,5.0120096,3.6201692,5.980254,1
