0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,active_hand
9.748816,2.7168748,15.94848,1.6352601,4.983447,4.043788,5.363641,6.465339,4.5880632,4.9206004,5.242568,5.816756,4.2373767,4.629195,5.9776487,4.6671352,6.4152346,4.397265,4.7663965,5.859679,5.3642063,4.782769,4.7679396,4.459907,5.75534,5.6316276,4.9432507,5.137232,5.665822,1
20.970844,4.90002,5.144304,4.675147,4.8852434,5.7352567,5.4675617,5.6380954,4.749541,5.570497,4.393548,5.5906367,5.54757,4.3874073,4.6413884,4.603905,6.009089,5.1760178,5.255718,5.329218,5.8054705,4.709722,5.8936033,5.397817,4.390117,5.1730123,4.7269483,4.2926154,5.095925,0
9.750473,2.6978712,15.956956,1.6337756,4.9972963,4.036768,5.3640647,6.4760675,4.5889335,4.9201207,5.2574,5.8222756,4.2414536,4.630867,5.965094,4.666837,6.407621,4.39781,4.7762294,5.865614,5.3451552,4.7779117,4.7551274,4.457264,5.754749,5.6330476,4.9613237,5.135419,5.665743,1
20.971903,4.898471,5.144116,4.674961,4.8852563,5.735256,5.467746,5.63799,4.749731,5.571555,4.3937097,5.591452,5.5483804,4.3871317,4.64035,4.603588,6.0092907,5.176211,5.2558784,5.3291016,5.8065076,4.709719,5.8950515,5.3985624,4.389903,5.1729264,4.726971,4.2923374,5.095934,0
9.748735,2.7152987,15.95757,1.6341122,4.9936748,4.0409284,5.3644853,6.476888,4.586515,4.9162455,5.2525935,5.818106,4.2389584,4.6292834,5.976386,4.668269,6.4123893,4.395464,4.77605,5.8613124,5.3626323,4.7804294,4.763202,4.459387,5.7556324,5.6304727,4.948868,5.138113,5.6673465,1
20.96124,4.908489,5.146796,4.6866126,4.8798575,5.726927,5.4696846,5.632507,4.7416406,5.560927,4.393612,5.580431,5.5373588,4.3931513,4.6509027,4.6102595,5.9989457,5.164981,5.253903,5.340376,5.795888,4.71483,5.88488,5.387431,4.3991303,5.1713476,4.722265,4.3038306,5.0940456,0
9.748734,2.7269936,15.947682,1.635144,4.9812,4.0438423,5.363772,6.462303,4.588044,4.920514,5.2388477,5.8168163,4.237597,4.6291184,5.9822955,4.6671915,6.4153767,4.3970704,4.7650056,5.85972,5.374173,4.782531,4.7689953,4.459928,5.7553134,5.631513,4.93295,5.1373544,5.6659303,1
20.970896,4.8996005,5.1450677,4.676225,4.8843937,5.734998,5.467731,5.638117,4.7485914,5.570475,4.392856,5.5902495,5.547182,4.38821,4.641275,4.6042356,6.008052,5.1749525,5.2556324,5.3303604,5.805487,4.710546,5.8939257,5.3973646,4.3911,5.172722,4.726102,4.293597,5.0952764,0
9.745857,2.72802,15.967717,1.635036,4.9979873,4.048998,5.364789,6.4853144,4.5821676,4.9061985,5.254946,5.8104177,4.234348,4.626667,5.990693,4.6707225,6.421662,4.391077,4.7870216,5.853244,5.3754053,4.7849984,4.771777,4.463005,5.7573366,5.6261806,4.9388766,5.1425867,5.6698976,1
20.979885,4.8937793,5.136309,4.6628866,4.8938594,5.7403584,5.466831,5.6395936,4.7583647,5.579211,4.4004984,5.6010194,5.5579333,4.379118,4.632754,4.597314,6.0190887,5.18663,5.2574596,5.318416,5.814308,4.701329,5.9002576,5.4085665,4.380715,5.1747556,4.7353873,4.2813563,5.1012125,0
9.74862,2.7152178,15.948776,1.6355073,4.982163,4.045261,5.3634057,6.4641895,4.58772,4.9198184,5.24011,5.815732,4.236883,4.6290126,5.977719,4.6672697,6.417023,4.3966165,4.7663302,5.85854,5.3625293,4.783269,4.769527,4.4602327,5.755596,5.6314306,4.9434156,5.137511,5.6658635,1
20.973145,4.8984766,5.1446414,4.6731005,4.8857226,5.737934,5.467082,5.6404743,4.7502666,5.5725493,4.3925977,5.5926666,5.549599,4.387061,4.639093,4.602462,6.010454,5.17767,5.256124,5.32766,5.8076386,4.7092857,5.8952394,5.399913,4.389063,5.17291,4.727236,4.290688,5.095339,0
9.753415,2.683961,15.953005,1.6326721,5.0001945,4.026536,5.363649,6.47642,4.591777,4.927257,5.2640123,5.830203,4.2462,4.6336775,5.952,4.66518,6.395945,4.4004536,4.7717247,5.8743105,5.3313813,4.77246,4.745471,4.4533496,5.753648,5.636713,4.976807,5.1314445,5.6639447,1
20.968712,4.8960247,5.158462,4.684056,4.8734245,5.745654,5.4641128,5.6540904,4.738317,5.568523,4.3780766,5.582631,5.5396,4.399876,4.641823,4.608276,5.999175,5.1666164,5.255142,5.338697,5.803535,4.721566,5.8968024,5.3888545,4.4006605,5.16926,4.7146845,4.3016515,5.0826187,0
9.752255,2.6973689,15.945553,1.6338809,4.9884315,4.03246,5.3632755,6.464026,4.591828,4.9284425,5.250107,5.8261847,4.2432594,4.632434,5.9608297,4.6650047,6.4023347,4.4006724,4.763207,5.869836,5.3446965,4.7762136,4.7542205,4.455306,5.753842,5.636069,4.960235,5.1324368,5.6635747,1
20.97564,4.8952956,5.1449976,4.671936,4.885826,5.7398615,5.4667244,5.642222,4.750855,5.5749993,4.3917923,5.594463,5.551387,4.386747,4.6364803,4.601396,6.011444,5.178798,5.2565007,5.32664,5.8100986,4.7092385,5.898313,5.401586,4.388251,5.1728034,4.7272105,4.289399,5.09482,0
