0,1,2,3,4,5,6,7,class_numeric
2.325112,4.50854,8.198781,7.135437,3.714469,6.3352585,2.4546797,4.5416927,0
2.2948172,4.4835215,8.121918,7.208046,3.7687736,6.3188505,2.5256147,4.4799314,1
4.252363,4.726036,4.204898,9.273246,6.011104,2.9461892,5.723794,5.5790215,0
4.8523088,5.1103325,3.5557644,9.250062,5.939336,2.4754522,6.2139893,6.0092015,1
2.4051893,4.2894645,8.174502,7.2346325,3.5438058,6.136293,2.5146675,4.5951242,0
2.217577,4.448171,8.1026125,7.232664,3.7890062,6.306368,2.537597,4.4181643,1
4.418349,4.863111,3.9833198,9.285125,6.0427494,2.7909148,5.820289,5.7220507,0
4.845255,5.1695976,3.4994788,9.311884,5.9641123,2.4865937,6.1714835,6.0745373,1
2.3627222,4.395549,8.178001,7.1764655,3.638872,6.2011724,2.4950893,4.5840335,0
2.2633405,4.5310984,8.250531,7.144425,3.749102,6.4639,2.3876026,4.4818773,1
4.336119,4.795574,4.0963945,9.286305,5.969484,3.0210166,5.8429513,5.647081,0
4.855533,5.1048098,3.5501325,9.231519,5.940277,2.4644032,6.239305,6.0234504,1
2.3691366,4.4427695,8.206085,7.1507125,3.6553571,6.2685404,2.487304,4.5884604,0
2.2804222,4.5555573,8.206028,7.131219,3.7516856,6.445117,2.4201665,4.4851775,1
4.291876,4.729043,4.160685,9.293484,6.007226,2.9294534,5.7822275,5.6053367,0
4.809264,5.14837,3.5157104,9.301377,5.983551,2.509506,6.158262,6.042657,1
2.4679415,4.4212327,8.280161,7.137632,3.5749247,6.2558002,2.5714366,4.712484,0
2.3053308,4.5946093,8.210246,7.0926924,3.73776,6.4844527,2.3860226,4.5054836,1
4.262772,4.717118,4.2321706,9.265449,5.984712,2.948819,5.746938,5.5863414,0
4.8160305,4.9849815,3.7072098,9.222074,5.8249454,2.5972867,6.186595,5.9248405,1
2.874912,2.9007356,7.936029,8.007324,3.0288885,5.588514,2.38845,4.320265,0
3.4893267,2.6173522,8.034474,8.189786,3.000191,5.062668,2.7112262,4.5302916,1
4.272753,4.781019,4.5355515,9.039629,5.4404354,3.5433438,5.9591513,5.5778394,0
4.790635,4.6442366,4.7759886,8.680354,4.6904426,2.8642826,6.5877476,6.03418,1
2.8657548,3.4121509,7.5368595,8.240552,4.229966,4.4607167,3.1817524,4.540304,0
3.781628,2.5891118,8.126346,8.199311,2.9436996,5.072109,2.7590015,4.614766,1
2.69123,3.5334814,7.0521164,8.700691,5.624613,3.5753543,3.3679993,4.2656636,0
4.7995777,4.6048594,4.7448373,8.740207,4.8025126,2.772407,6.5875983,5.994448,1
2.8277285,3.3554676,7.3517184,8.407727,4.787402,4.0366797,3.2808537,4.3989215,0
3.8867128,2.706621,8.046217,8.210452,3.0621326,4.970551,2.8456252,4.6345778,1
4.5545974,4.8292413,4.0750017,9.26675,5.5961494,3.3790162,6.228469,5.577337,0
5.3625774,4.514465,4.345515,9.002504,5.109808,2.1454062,7.0194087,5.9705524,1
2.7927957,3.426387,7.230018,8.480838,5.0348506,3.897122,3.3354719,4.3732777,0
3.8643644,2.6776772,8.065123,8.282987,3.1056166,4.910848,2.8133001,4.582386,1
4.5872474,4.845843,4.052392,9.243245,5.5529523,3.3790057,6.276241,5.611391,0
5.358842,4.503351,4.3608627,9.023759,5.107912,2.1666837,7.0115237,5.949725,1
2.7820585,3.407957,7.3132696,8.373098,4.8105497,4.038714,3.3207603,4.4364595,0
3.8132334,2.6395726,8.069222,8.277469,3.0940802,4.9192557,2.7867105,4.5709214,1
2.616529,3.6036742,7.1177487,8.640487,5.5884004,3.631548,3.3153813,4.215442,0
2.6848273,3.5185947,7.114185,8.656162,5.56932,3.6117551,3.3651986,4.2867026,1
2.9993813,3.0654707,7.6537957,8.315783,4.3283453,4.2431197,3.0899663,4.3915367,0
2.3664103,3.4217803,7.8496127,7.729673,3.4839733,4.952396,3.0676596,4.712359,1
3.8409567,4.418649,5.0987544,9.043606,5.8493094,2.9683132,5.2390437,5.1704926,0
5.1134315,4.3220496,4.6556864,9.091497,5.258865,2.022627,6.7665043,5.8223915,1
2.9025013,3.129881,7.664554,8.252761,4.2767787,4.315316,3.0738099,4.4124393,0
2.33249,3.512485,7.871826,7.6543417,3.4342954,5.076175,2.9875975,4.656068,1
4.060243,4.468418,4.862338,9.128181,5.7678947,2.9815898,5.541726,5.3325205,0
5.2683845,4.39519,4.5967326,9.072905,5.1620426,1.8726528,6.8944483,5.994335,1
3.081324,3.0796604,7.539202,8.454678,4.5605674,4.114857,3.1200778,4.339852,0
2.2867367,3.561156,7.830544,7.661858,3.3675919,5.2046237,2.91345,4.617868,1
4.547034,4.817419,4.056677,9.283376,5.630566,3.3232794,6.2245564,5.5739937,0
5.238114,4.3589,4.5701046,9.06769,5.2272644,1.914723,6.8798018,5.897195,1
2.920455,3.06314,7.7234797,8.220016,4.129635,4.3898916,3.049249,4.435445,0
2.2946005,3.531926,7.901205,7.622725,3.3891385,5.1521544,2.9309,4.6126842,1
4.4219556,4.7092295,4.2244864,9.272172,5.7320585,3.2573173,6.152302,5.5569887,0
5.2952266,4.2603674,4.587765,8.986011,5.1980386,1.8565922,6.958946,5.848602,1
2.3943439,4.0558023,8.07613,7.373266,3.5503635,5.918991,2.5717523,4.5177484,0
2.3733234,3.503238,7.937321,7.619127,3.4382844,5.0883207,2.936701,4.586502,1
3.9085853,4.4655256,5.001473,9.0629225,5.873367,2.9686377,5.3376136,5.2238536,0
5.3088427,4.413362,4.4976087,9.094658,5.1284175,2.0524724,6.9560456,5.8578615,1
1.95107,3.6004343,7.8459187,7.5620055,2.9201674,5.9596176,2.445576,4.3430886,0
1.8655756,3.5889192,7.8031263,7.571898,2.838156,5.9633975,2.4360156,4.3478127,1
2.6023173,3.3997042,7.303771,8.475562,5.306997,3.6902606,3.2708359,4.3896914,0
5.418528,5.7107596,4.1445856,8.900943,3.5086992,3.554011,7.145118,6.540945,1
2.05468,3.5757654,7.8663783,7.5269947,3.0342872,5.9280415,2.3706112,4.4022794,0
1.909785,3.4333453,7.855831,7.614372,2.7623713,6.0681367,2.2949886,4.265522,1
2.698824,3.4198837,7.1833277,8.608561,5.4156075,3.702174,3.3196473,4.3135176,0
5.4023232,5.7623067,4.2448125,8.789164,3.3898754,3.6759622,7.1452847,6.475307,1
2.3561509,4.286356,8.054408,7.3654013,3.9216216,5.8762703,2.5934882,4.467088,0
1.8202956,3.53923,7.75304,7.579538,2.765425,5.9915404,2.3451958,4.3756704,1
5.3451276,5.6113,4.1082683,8.9028425,3.5605364,3.60287,7.081355,6.4103193,0
5.297109,5.678018,4.2048078,8.825484,3.3610778,3.7317502,7.020581,6.419477,1
1.8950393,3.7131557,7.871995,7.487662,2.9138699,6.0792103,2.4538684,4.286532,0
1.9378908,3.32893,7.907781,7.6560907,2.6765842,6.146942,2.242352,4.1633205,1
5.31442,5.579355,4.0463433,8.953604,3.597764,3.650816,7.0286007,6.3494897,0
5.2276034,5.5885906,4.2182493,8.794946,3.4762821,3.704702,6.963478,6.396073,1
1.7901202,3.5535533,7.8934803,7.4961886,2.775182,6.172367,2.3254638,4.1948047,0
1.9169866,3.3248708,7.907746,7.639148,2.6777942,6.1675835,2.2224855,4.1540427,1
5.341471,5.6821084,4.082205,8.934102,3.425302,3.7164252,7.0529256,6.367966,0
5.415656,5.761376,4.2079525,8.827367,3.4337819,3.692351,7.1484666,6.4664297,1
2.6501322,3.5267105,7.183135,8.569334,5.3923955,3.7744102,3.2539582,4.244862,0
2.2024648,3.6235435,7.7200155,7.6925073,3.286231,5.4003854,2.8416057,4.5596223,1
2.7864707,3.381087,7.134685,8.565814,5.3917456,3.6742651,3.3593986,4.291302,0
4.662995,5.1653423,4.293691,8.562395,3.8964732,3.6815474,6.3459744,6.181719,1
2.7623208,3.5478647,7.1298594,8.783909,5.4479747,3.7937257,3.2361426,4.1789126,0
2.9541268,3.4432962,7.0360703,8.693648,5.323852,3.6937437,3.4048183,4.3699207,0
4.6667137,5.1241035,4.294443,8.619834,4.0633526,3.6437955,6.389453,6.1525626,1
2.6939602,3.4358773,7.149793,8.792808,5.667176,3.6190627,3.4491565,4.3481865,0
2.72331,3.4341056,7.2548876,8.648322,5.5051656,3.7186253,3.3216572,4.181297,0
4.795917,5.18403,4.181799,8.684553,3.9355876,3.5980947,6.476294,6.16738,1
2.716276,3.4384038,7.4734297,8.260954,4.4797554,4.2776723,3.2217562,4.4784417,0
2.893811,3.495448,7.0892897,8.561625,5.1661377,3.7684064,3.4148002,4.432038,0
4.6075277,5.025601,4.4138393,8.538659,4.1659636,3.5416703,6.383935,6.1579547,1
2.7102263,3.3703125,7.486814,8.233584,4.4701643,4.2585287,3.2227175,4.4531975,0
2.3038397,3.5083885,7.705092,7.7788825,3.2318637,5.3814774,2.8122613,4.5356245,1
2.7781563,3.5864987,7.1901975,8.324235,4.696777,4.106613,3.4781106,4.546606,0
4.7179046,5.179692,4.2441945,8.60186,3.898419,3.6494014,6.392387,6.1865044,1
2.8895278,3.3968282,6.953519,8.844489,5.397215,3.7145965,3.297208,4.171024,0
2.6707053,3.1602392,7.7817793,7.96956,3.393912,4.9025645,2.9924061,4.6077466,1
5.0570865,4.5424633,4.31221,9.116309,5.392461,2.3419402,6.594948,5.8493986,0
5.0954676,5.039809,3.7043655,9.060743,5.238185,2.8413782,6.5130987,5.973092,1
2.8044627,3.3882272,7.564083,8.184287,4.2182574,4.425853,3.1749108,4.5186653,0
2.461644,3.4609408,7.6604657,7.8795385,3.5474908,4.9018126,3.0540402,4.593821,1
4.480499,4.8592415,4.3526955,9.05356,5.440063,3.3945417,6.127338,5.6894946,0
5.029266,4.956405,3.8252807,9.084276,5.3288455,2.7431934,6.452497,5.9415727,1
3.6744328,3.1860433,7.6697397,8.425876,3.991619,4.4896355,3.034958,4.502296,0
2.4467523,3.5020456,7.622618,7.898439,3.623776,4.853077,3.1255198,4.6246586,1
4.6362348,4.8925176,4.1241913,9.12467,5.45796,3.2655182,6.2592726,5.7370095,0
5.077107,4.945212,3.7768607,9.106664,5.4236794,2.585614,6.4902496,6.060533,1
2.6293786,3.4155889,7.6475105,8.014344,3.953953,4.565892,3.1402745,4.5556097,0
2.472055,3.437585,7.6716833,7.894215,3.5911386,4.8450556,3.1058338,4.625545,1
4.368615,4.6723723,4.4248548,9.169593,5.645936,3.2339535,6.0803638,5.589362,0
4.9553013,4.86303,3.8975482,9.128063,5.5013866,2.6390862,6.364781,5.915717,1
2.8120694,3.4177246,7.0302577,8.774408,5.3632183,3.7277887,3.19339,4.1179175,0
3.2990367,2.9886916,7.8417172,8.179344,3.6494439,4.5466404,3.0581987,4.5867076,1
4.315097,4.810058,4.4937673,9.059309,5.5158668,3.4578962,5.8763986,5.5627007,0
5.0494623,4.98853,3.7993495,9.080852,5.238348,2.8617961,6.4838133,5.9184046,1
2.7642584,2.086291,8.007704,8.203098,2.9414806,5.4045744,2.2434313,4.188372,0
2.79025,2.054915,8.025934,8.202966,2.9563215,5.263602,2.357687,4.2736797,1
5.3110867,5.306099,3.9188864,9.19399,4.7121525,3.249833,7.0334067,6.073716,0
5.4555554,4.8473864,4.1395893,9.04134,4.967408,2.4518566,7.0745797,6.0390506,1
2.609237,1.40695,8.035856,8.303928,2.675088,5.7030144,1.8158063,3.9272268,0
2.723274,1.2571931,7.914003,8.288038,2.7288866,5.7842364,1.7936687,4.005312,1
5.3203917,5.230637,3.9959962,9.220196,4.690412,3.212705,7.016115,6.0130854,0
5.460237,4.720408,4.2775736,9.136984,4.9645243,2.3229957,7.1020584,5.980902,1
2.620212,1.3466803,8.046021,8.323371,2.653286,5.699797,1.7814741,3.8965547,0
2.6490502,1.2651966,7.9948997,8.344869,2.6759076,5.761836,1.7184738,3.95312,1
5.535579,5.6359053,3.9895973,9.057903,3.9400694,3.4842489,7.272954,6.3161583,0
5.690228,5.779681,4.1046357,8.95782,3.6662009,3.5415373,7.4315367,6.4239283,1
2.672949,1.2165016,7.945062,8.428519,2.6312578,5.829977,1.7164232,3.9094284,0
2.684246,1.2695142,7.957352,8.352194,2.6251187,5.7525826,1.7846748,3.8942065,1
5.5895824,5.663902,3.9660082,9.097983,3.9648745,3.4537768,7.3250732,6.2996564,0
5.7271976,5.8002143,4.112582,8.952896,3.6787336,3.5378659,7.4682164,6.437081,1
2.5405138,1.3659104,8.111913,8.361289,2.5704367,5.683703,1.7569456,3.8112605,0
2.6812818,1.2100966,7.964618,8.374407,2.647834,5.778305,1.7382088,3.92733,1
5.6451054,5.714506,4.004315,9.060262,3.8604941,3.4847987,7.3862443,6.346003,0
5.6704354,5.7407665,4.054046,9.006534,3.730783,3.5126479,7.41332,6.3817677,1
3.4716651,2.893434,7.8801875,8.227176,3.2425432,5.1772776,2.625022,4.4151864,0
4.493038,4.9037023,4.223139,9.066049,5.382977,3.5416164,6.5531116,5.859379,0
5.1627,4.961433,3.76324,9.082361,5.346594,2.5488837,6.5886526,6.085737,1
3.757299,3.1123912,7.7651095,8.323072,3.5977373,4.808767,2.8881695,4.5012975,0
3.7419496,3.1025152,7.8353624,8.159906,3.3061032,4.8886714,2.915828,4.6383295,1
4.3435636,4.787282,4.32078,9.125382,5.556697,3.5665822,6.4014306,5.7272153,0
5.0863743,4.5413833,4.3230996,8.964783,5.078135,2.42291,6.6906505,6.0207996,1
3.8073661,3.0165117,7.7794538,8.374092,3.7143793,4.588909,2.979021,4.5525827,0
3.667863,3.1013017,7.8240347,8.21529,3.462578,4.6557655,3.0550842,4.6487465,1
4.3776608,4.815075,4.357162,9.030135,5.3678803,3.5596511,6.4589024,5.814167,0
5.046784,4.6996913,4.2003484,8.953693,5.08474,2.5519269,6.7235646,6.1411824,1
3.8860366,2.9360518,7.822888,8.443386,3.725412,4.656689,2.8929245,4.479014,0
3.6925607,2.7853034,8.026462,8.211228,3.1508598,4.754128,2.9374356,4.65546,1
4.4786487,4.6787014,4.3891068,9.135511,5.4926777,3.3640592,6.5547023,5.7458286,0
5.1761584,4.6621785,4.1652927,8.984056,5.1356945,2.3934188,6.7791343,6.0905676,1
3.8776715,3.0296261,7.7832065,8.404918,3.713381,4.6530576,2.9366465,4.5121627,0
3.7587926,3.0115085,7.8854055,8.206035,3.3272984,4.7657638,2.9896898,4.650939,1
4.403897,4.6867065,4.356575,9.169474,5.57773,3.3409972,6.3240366,5.6639643,0
5.153731,4.4701023,4.4394803,8.954202,5.0848784,2.3060992,6.798512,6.039064,1
3.5926309,2.8980606,7.8715935,8.283615,3.3062415,5.1157227,2.637404,4.407321,0
2.8066227,2.7390313,7.976329,8.003883,2.7425861,5.617254,2.3963401,4.3700166,1
4.4277296,4.9101777,4.378817,8.948871,5.151215,3.6467013,6.470274,5.8760276,0
4.8750153,4.558166,4.718968,8.754245,4.806133,2.6572177,6.6208696,6.019137,1
3.7757149,2.7558715,7.9162307,8.403983,3.4716578,4.885084,2.7116475,4.4122725,0
3.2800639,2.6407287,8.000229,8.162023,3.0240927,5.0660834,2.7015703,4.514681,1
4.4999037,4.9450974,4.479978,8.780237,4.8441997,3.5962632,6.496187,5.9961424,0
3.9083679,2.8508945,7.8841734,8.439911,3.584985,4.7582197,2.8142302,4.4662333,0
4.656082,5.063074,4.5894547,8.606797,4.4267235,3.5362535,6.590716,6.186439,1
3.4924088,2.6819296,7.8411427,8.443325,3.7942111,4.7025967,2.7395167,4.3190007,0
2.0607536,3.05509,7.8660893,7.7910714,2.6578434,6.0587115,2.1892896,4.1823306,1
4.542248,4.975378,4.557424,8.6705475,4.6591606,3.5901833,6.514018,6.0803595,0
4.601581,5.014737,4.566834,8.5914,4.4651437,3.5540066,6.529839,6.1499534,1
3.3588543,2.7077155,7.932061,8.223636,3.0995493,5.3302584,2.46958,4.3342505,0
3.1937408,2.5456002,8.014858,8.141692,2.8905835,5.3227954,2.5127037,4.415018,1
4.616484,5.070215,4.386564,8.797384,4.720472,3.62574,6.5798893,6.0585594,0
4.7948356,5.120415,4.511418,8.665124,4.4023576,3.4385943,6.7071195,6.214913,1
3.5843353,2.595811,7.901754,8.471,3.6809719,4.7320995,2.717789,4.353711,0
2.7700143,2.2322977,8.044735,8.144815,3.0565722,4.996546,2.6337461,4.4516377,1
4.483904,4.4303465,4.6488376,9.227974,5.6389775,2.7830224,6.1774435,5.5418396,0
4.99084,4.337007,4.7027555,9.1689625,5.352035,2.1762993,6.6504855,5.7279654,1
2.683289,2.5422206,8.03546,8.160802,3.360652,4.70611,2.8883424,4.5834637,0
2.836284,2.451984,8.03072,8.108879,3.1635938,4.807746,2.8549857,4.5867786,1
4.384353,4.3236456,4.8768,9.207117,5.5694666,2.7955446,6.0599275,5.430065,0
4.811359,4.3105497,4.774261,9.15706,5.401003,2.3196,6.4721045,5.670257,1
2.7838717,2.630113,7.9290705,8.105641,3.360413,4.800033,2.8686452,4.5325065,0
2.7736347,2.5633972,7.967106,8.049042,3.253237,4.8265567,2.855092,4.5559645,1
4.3641887,4.427241,4.728439,9.218041,5.6998396,2.8210776,6.0018797,5.4904447,0
4.903146,4.446726,4.499728,9.230201,5.4126225,2.388395,6.579498,5.722907,1
2.9393306,2.515497,7.9702735,8.201569,3.3934028,4.7626934,2.8143768,4.493046,0
2.9685783,2.3901129,8.041345,8.173048,3.0890944,4.9127965,2.7408245,4.518481,1
3.2782989,3.498568,7.028855,8.648199,5.055243,3.8269565,3.483425,4.5242143,0
4.9233804,4.3727384,4.5535703,9.121434,5.254929,2.4281602,6.609329,5.845194,1
3.5866392,2.8149495,7.790328,8.463767,3.941553,4.516245,2.8915067,4.3935256,0
2.7006633,2.5114741,8.0085535,8.052042,3.2046826,4.8680377,2.8121176,4.545753,1
2.8586123,3.6897566,6.779996,8.736123,5.738943,3.447766,3.6123028,4.3959756,0
4.8648686,4.382307,4.620709,9.069983,5.263524,2.4805908,6.5734706,5.826275,1
2.5481274,2.4196186,7.9558105,8.054528,2.6929154,5.8398457,2.0881429,4.126549,0
2.3147237,2.671255,7.9759536,7.891155,2.6244109,6.02137,2.0935004,4.1419578,1
4.4259777,4.903539,4.173198,9.07491,5.489937,3.562564,6.5666585,5.8778934,0
4.998821,4.451839,4.467182,9.012561,5.117184,2.4907863,6.7290645,5.98531,1
2.537529,2.8674138,7.9654055,7.8959484,2.8373113,5.898503,2.1929066,4.227459,0
2.4344287,2.7978046,7.9403014,7.906206,2.6403947,5.9017377,2.2271922,4.2593265,1
4.694413,5.080313,4.076441,9.068748,5.2269874,3.5399637,6.746911,5.9856443,0
5.1930184,4.949974,3.9106464,9.083091,5.2191553,2.6242776,6.832228,6.1200647,1
2.6396544,2.0917954,7.9909635,8.163197,2.80326,5.66061,2.0730832,4.090128,0
2.1775732,2.818657,7.92078,7.845612,2.6094162,6.0409484,2.1342542,4.1681347,1
3.8823814,4.3524656,5.154785,9.026699,5.792042,2.8916805,5.271005,5.2111244,0
5.3946033,5.4577103,3.8129194,9.127855,4.5854225,3.2457104,7.1422634,6.2359433,1
2.7823973,2.7604265,7.934856,8.028813,2.863386,5.7348814,2.2530677,4.241266,0
2.5423265,2.726058,7.9513626,7.9622493,2.5965521,5.8651648,2.2359607,4.271423,1
3.9696455,4.4273195,4.9933085,9.08612,5.789916,2.955037,5.421356,5.2654557,0
5.389207,5.4415555,3.8115075,9.139238,4.65957,3.23107,7.1380982,6.210463,1
2.9398174,2.3694348,7.951783,8.221859,3.095399,5.45435,2.2440908,4.1505423,0
2.3105621,2.729786,7.924492,7.912338,2.583164,6.021195,2.1146832,4.155335,1
5.2611275,5.3443265,3.8696818,9.166884,4.7768545,3.2897406,7.036486,6.116253,0
5.231313,5.179065,3.699832,9.128221,5.187119,2.7990181,6.7818284,6.129864,1
