0,1,2,3,4,5,6,7,active_hand
-3.9663472,2.2651606,0.67958605,6.278581,7.2207046,13.786499,3.822078,1.617234,1
2.364652,4.2504234,3.0306907,-0.5446008,-1.3108873,4.407649,0.25822815,1.9325297,0
-3.963499,2.2645423,0.67885554,6.277607,7.2247763,13.798972,3.8101668,1.6166483,1
2.3750026,4.2615304,3.0193603,-0.532122,-1.3222132,4.3968487,0.27065176,1.9434512,0
-3.9679034,2.2712362,0.68548656,6.2841096,7.221501,13.800138,3.8092713,1.6233709,1
2.4041445,4.290897,2.989847,-0.5026971,-1.3517596,4.371843,0.30017117,1.9711578,0
-3.9864902,2.2907856,0.70499724,6.303475,7.204298,13.810704,3.7988322,1.6429305,1
2.3915086,4.277366,3.0034955,-0.5176956,-1.3380404,4.3838716,0.28530723,1.958906,0
-3.9580956,2.2649305,0.6794078,6.2772813,7.230864,13.809731,3.7997794,1.6168375,1
2.3986475,4.2851143,3.0024319,-0.5346813,-1.33955,4.3771157,0.2683012,1.9658245,0
-3.9651196,2.2669656,0.6812595,6.279907,7.2236304,13.80343,3.8060348,1.6190715,1
2.3849506,4.272005,3.0084684,-0.5207258,-1.3331307,4.391304,0.28224567,1.951991,0
-3.9506423,2.2541552,0.66860557,6.2667346,7.236838,13.808616,3.800813,1.6061283,1
2.3801856,4.2687097,3.0108078,-0.5197181,-1.3306872,4.3992023,0.2831939,1.945852,0
-3.9549284,2.2578952,0.67219675,6.2706904,7.2335396,13.805726,3.8037665,1.6099862,1
2.3686297,4.257833,3.018786,-0.4930163,-1.3200576,4.4139915,0.3099293,1.9315898,0
-3.931012,2.2331233,0.6476434,6.2459073,7.2556543,13.7860775,3.822973,1.5850732,1
2.3843553,4.2731805,3.0061142,-0.5130668,-1.3352699,4.395322,0.2898236,1.9498019,0
-3.9361076,2.232702,0.6473164,6.245976,7.247776,13.787665,3.8205495,1.5846242,1
2.3998055,4.2898192,2.9889576,-0.49386352,-1.352297,4.382004,0.30890673,1.9640403,0
-3.9456851,2.2415373,0.65600663,6.254955,7.238665,13.788693,3.819732,1.5935717,1
2.410908,4.299769,2.9795945,-0.48791465,-1.3618369,4.3699703,0.3150312,1.9759436,0
2.3728335,4.260065,3.0200222,-0.52999544,-1.321462,4.400767,0.2729728,1.9404566,0
-3.9518418,2.2447727,0.65916485,6.2585807,7.232156,13.783746,3.824631,1.5969026,1
2.4280875,4.322476,2.9539087,-0.449412,-1.387075,4.3617063,0.35295272,1.9873915,0
4.527951,5.7635183,5.852994,5.7449565,6.3292465,1.9648187,3.9253683,13.672141,1
2.4155326,4.312865,2.9621217,-0.45126173,-1.3787131,4.3732433,0.3506844,1.9751565,0
4.5266147,5.770952,5.846858,5.7522893,6.321776,1.9657303,3.924761,13.679694,1
2.413551,4.3080173,2.9683826,-0.46406764,-1.3726394,4.372939,0.33830667,1.9748937,0
4.5342417,5.7820916,5.8348656,5.7633224,6.310122,1.9575129,3.9329917,13.690149,1
2.408946,4.2994175,2.9788241,-0.48308262,-1.3623886,4.373846,0.31987166,1.9727682,0
4.5925183,5.814127,5.7928886,5.7931867,6.2761073,1.8967628,3.9924765,13.718895,1
2.378271,4.2633424,3.0167232,-0.52668095,-1.324724,4.3945084,0.27626652,1.947454,0
4.626302,5.8088436,5.7827263,5.7867928,6.2808514,1.8628774,4.0257154,13.711653,1
2.4094064,4.2999864,2.9781194,-0.48225343,-1.3630728,4.3734803,0.32069483,1.9730073,0
4.5955667,5.8285503,5.779957,5.807476,6.261512,1.8926971,3.9966671,13.732418,1
2.394286,4.2847157,2.9936404,-0.49816445,-1.3476838,4.387999,0.30466017,1.9584082,0
4.5935016,5.8306904,5.778988,5.809992,6.2599535,1.8947871,3.994669,13.734532,1
2.427376,4.3165917,2.9624007,-0.46887267,-1.3789515,4.353572,0.33409628,1.9922844,0
4.5937953,5.8205886,5.7870874,5.7995944,6.269616,1.8951498,3.9941173,13.725019,1
2.3834877,4.2736354,3.0049553,-0.5103779,-1.3364307,4.398287,0.29244876,1.9478846,0
4.595447,5.7914906,5.814806,5.7704744,6.298702,1.898348,3.9888272,13.69587,1
2.4041667,4.292955,2.9862688,-0.49351153,-1.3551466,4.380508,0.30945507,1.9687608,0
4.5948462,5.8298163,5.7796,5.8089094,6.2605968,1.8935903,3.995755,13.733781,1
2.3703084,4.255991,3.0244896,-0.5357238,-1.3170352,4.400511,0.26722926,1.9404523,0
4.593602,5.8291354,5.782819,5.808282,6.261375,1.8953253,3.9939828,13.732873,1
2.393018,4.280712,2.9991484,-0.50854,-1.3423156,4.3857155,0.29442272,1.9591808,0
4.592065,5.850559,5.7637606,5.8297434,6.2402043,1.895162,3.9947746,13.754302,1
2.2697365,0.7036019,7.1143928,3.4889457,6.386986,15.703816,-1.8572121,-1.9308668,0
1.3992553,2.5350246,3.7070737,1.3406533,3.549829,-1.9397736,10.359641,-1.4757608,1
2.2758567,0.6109522,6.9961123,3.5757082,6.333073,15.603711,-1.8725945,-1.7767156,1
1.372223,2.5713851,3.554044,1.3783375,3.5759382,-2.2715015,10.338621,-1.7265896,0
2.2655962,0.6202687,7.011937,3.5652063,6.3447165,15.618836,-1.8648759,-1.7912419,1
1.3964787,2.5481493,3.5671031,1.3546948,3.6040416,-2.2726784,10.364063,-1.721403,0
2.2733681,0.6281328,7.0153413,3.5773096,6.3394895,15.62047,-1.8670555,-1.789893,1
1.3869765,2.5560148,3.5857825,1.3626986,3.5967073,-2.219143,10.35445,-1.6830996,0
2.3682938,0.7115494,7.0177007,3.676443,6.2677956,15.593903,-1.8833532,-1.7652102,1
1.3799047,2.5652218,3.529068,1.3718879,3.5957515,-2.3164837,10.34875,-1.7625352,0
2.3757124,0.72477907,7.0283117,3.6868074,6.270619,15.614054,-1.8800205,-1.7727939,1
1.3866936,2.5570953,3.5553648,1.3642496,3.5908935,-2.2836351,10.353824,-1.7326525,0
2.4194658,0.77965444,7.046954,3.7404742,6.245269,15.617476,-1.896292,-1.7729063,1
1.3831049,2.5620494,3.5349724,1.3693745,3.5955622,-2.3095498,10.350144,-1.7560759,0
2.4439914,0.784374,7.04559,3.7394478,6.2269244,15.6089945,-1.9082583,-1.7666675,1
1.3792826,2.5659857,3.524191,1.3719296,3.5991518,-2.3223078,10.350087,-1.7679123,0
2.4425905,0.8203936,7.078141,3.7678158,6.2392907,15.632716,-1.908832,-1.7917635,1
1.3800335,2.5652661,3.5243697,1.3716921,3.597722,-2.323651,10.349238,-1.768578,0
2.4967728,0.8794895,7.1014237,3.8381345,6.197142,15.622401,-1.943944,-1.7700368,1
1.377226,2.5676603,3.5277283,1.3742791,3.591349,-2.3177543,10.345976,-1.7638285,0
2.4597757,0.84187466,7.0831237,3.8023114,6.2293496,15.631424,-1.9146937,-1.7850515,1
1.3938615,2.5504036,3.544942,1.3583472,3.5935128,-2.3068678,10.358589,-1.7501268,0
2.451755,0.8365549,7.086282,3.7859976,6.235952,15.636667,-1.9112971,-1.7939863,1
1.3878549,2.5562854,3.5554018,1.3630631,3.596867,-2.2800343,10.355588,-1.7305267,0
1.6432958,0.16516072,7.3609133,2.5903578,6.980525,15.997702,-1.4300469,-2.0067208,1
1.3901635,2.5545807,3.5479846,1.3610466,3.6019378,-2.2969139,10.3586035,-1.7432804,0
1.5624951,0.10446027,7.4258366,2.5263271,7.06129,16.06394,-1.355052,-2.0702596,1
1.3684348,2.5768454,3.5127923,1.383117,3.5889404,-2.3343134,10.339075,-1.7796407,0
1.6216857,0.14670616,7.3772917,2.5613048,7.0020566,16.014492,-1.412384,-2.0166771,1
1.3531878,2.5919616,3.4993773,1.3982885,3.5710542,-2.3477595,10.323071,-1.7931052,0
1.4592842,-0.044385247,7.5594926,2.253784,7.1636276,16.187798,-1.2683498,-2.075141,1
1.4119588,2.53177,3.6005554,1.3387455,3.614143,-2.227557,10.376731,-1.6815348,0
1.4472039,-0.07439484,7.5880065,2.2071989,7.175503,16.215754,-1.2589842,-2.0662246,1
1.4143285,2.5292583,3.6033566,1.3363073,3.6137824,-2.2291667,10.378904,-1.681269,0
1.4288427,-0.10845602,7.625519,2.1416929,7.193554,16.246181,-1.242946,-2.06092,1
1.4094762,2.5347917,3.5884774,1.3415775,3.6141186,-2.2487917,10.375179,-1.6983912,0
1.4582343,-0.11482014,7.6325183,2.1420007,7.164196,16.253477,-1.271775,-2.0374134,1
1.3997028,2.5443144,3.5838132,1.3513055,3.6227894,-2.23252,10.364654,-1.701067,0
1.429927,-0.12760147,7.6460447,2.1104841,7.1921635,16.264143,-1.2457385,-2.0489304,1
1.4151869,2.5292475,3.5873644,1.3362025,3.616275,-2.2606661,10.380202,-1.7059462,0
1.4365114,-0.14048335,7.6655707,2.0826683,7.185395,16.275633,-1.2532288,-2.0313487,1
1.4295052,2.5137346,3.6199522,1.3211166,3.6192827,-2.2074552,10.389532,-1.6618721,0
1.4170423,-0.13653325,7.6570106,2.0852451,7.2049837,16.271198,-1.2332615,-2.055544,1
1.4178854,2.5256426,3.6050828,1.3332366,3.6134963,-2.2315912,10.380831,-1.6816282,0
1.4166934,-0.14108993,7.6621137,2.0747428,7.20523,16.275244,-1.2332132,-2.0523944,1
1.4181558,2.525848,3.598111,1.3328775,3.6170173,-2.241048,10.382262,-1.6901776,0
1.3829191,-0.11240817,7.6278505,2.1138,7.2391334,16.249039,-1.1988554,-2.0921166,1
1.4189513,2.5248668,3.6020498,1.331796,3.6204176,-2.2316163,10.383705,-1.6833066,0
2.3793235,4.55455,2.6782393,0.2466372,-1.6820651,4.5971375,1.0137825,1.8360342,0
-4.0031652,2.3055165,0.7191239,6.319492,7.190044,13.77589,3.832771,1.6577863,1
-4.0092106,2.3003724,0.71360916,6.3154798,7.1805787,13.750255,3.8571446,1.6539866,1
2.386565,4.5442066,2.688987,0.2397461,-1.6721538,4.587626,1.0064787,1.846803,0
-4.025715,2.30936,0.7223288,6.3254647,7.1647854,13.741541,3.8658574,1.6625829,1
2.3854103,4.545841,2.6879072,0.24387579,-1.6740961,4.5902843,1.0102862,1.8451707,0
-4.017237,2.296727,0.70993805,6.3131547,7.170388,13.730862,3.875857,1.6496334,1
2.3857248,4.545603,2.6878834,0.24286518,-1.6737932,4.589563,1.0094292,1.845554,0
-3.9941313,2.232453,0.6459826,6.25319,7.177269,13.653663,3.9473658,1.5859418,1
2.3995204,4.5230775,2.7081044,0.20376351,-1.649297,4.562268,0.9723321,1.8662119,0
-3.9713778,2.189863,0.6039755,6.212452,7.191177,13.623367,3.9735973,1.5431856,1
2.39277,4.5315433,2.7004771,0.2126613,-1.6577421,4.571796,0.98078257,1.8571914,0
-3.9489176,2.1526196,0.5670369,6.17664,7.2034855,13.585174,4.0087266,1.5059336,1
2.4050999,4.5040607,2.724454,0.16368075,-1.627377,4.539426,0.9344033,1.878642,0
-3.9502974,2.1603758,0.57480496,6.183612,7.205017,13.603099,3.991721,1.5135708,1
2.3833122,4.546947,2.6887987,0.24769914,-1.6756165,4.5942583,1.0138031,1.8430427,0
-3.9385478,2.1349049,0.5494682,6.1595993,7.2094035,13.569095,4.0233393,1.4881878,1
2.3857765,4.5447016,2.6890373,0.24097958,-1.6728212,4.5889935,1.0076412,1.845978,0
-3.9396315,2.1360428,0.5506161,6.1607776,7.2086544,13.569511,4.0229983,1.4893571,1
2.3850715,4.5471516,2.686507,0.24780923,-1.6757746,4.591785,1.0141476,1.8444155,0
-3.9402688,2.1302829,0.5448428,6.155773,7.205524,13.553564,4.037909,1.483655,1
2.3967123,4.523402,2.7073889,0.19294204,-1.6483083,4.560935,0.9626779,1.8637776,0
-3.939214,2.1362386,0.550807,6.160934,7.2088256,13.569321,4.0233703,1.4895375,1
2.396538,4.524097,2.7066514,0.19462594,-1.6491488,4.561635,0.96425945,1.8633585,0
4.364039,5.722781,5.925114,5.7118616,6.3794336,2.1322258,3.7624693,13.636401,1
2.4240797,4.430706,2.800214,-0.07733396,-1.5371574,4.449648,0.7078304,1.9232152,0
4.357355,5.7165003,5.9311194,5.706125,6.385701,2.139126,3.7556393,13.630219,1
2.4250162,4.413102,2.822307,-0.11775355,-1.5149434,4.4360657,0.669493,1.9332236,0
4.4253807,5.8620167,5.7937818,5.847544,6.2299466,2.0668082,3.8307776,13.775033,1
2.4238737,4.400816,2.8388982,-0.15575035,-1.4985822,4.4285564,0.6333704,1.9383096,0
4.4684353,5.865917,5.780787,5.8482437,6.224263,2.0219343,3.873653,13.777026,1
