0,1,2,3,active_hand
10.876367,7.61467,-5.8974805,9.20192,1
10.481315,-4.622316,14.50515,1.6713452,0
10.895668,7.620576,-5.9264493,9.181929,1
10.48479,-4.620571,14.506485,1.667722,0
10.904754,7.6390533,-5.9249444,9.213188,1
10.501385,-4.6068172,14.51979,1.6504837,0
10.861272,7.6200304,-5.87301,9.226438,1
10.50181,-4.6052923,14.522296,1.6501113,0
10.883607,7.6186137,-5.9085703,9.199988,1
10.504405,-4.6044235,14.522236,1.6474824,0
10.895909,7.6227245,-5.9243307,9.186282,1
10.512652,-4.5978565,14.528193,1.6394036,0
10.917133,7.63483,-5.9522276,9.175098,1
10.485845,-4.63356,14.490448,1.6631817,0
10.913697,7.6406503,-5.9402156,9.177158,1
10.526652,-4.5864797,14.539219,1.6243263,0
10.900232,7.6249456,-5.9307585,9.182622,1
10.476418,-4.642474,14.481654,1.6730027,0
10.917811,7.6377616,-5.9488344,9.181956,1
10.460337,-4.6682863,14.4531355,1.6863656,0
10.899861,7.621082,-5.9335628,9.17645,1
10.488369,-4.6349897,14.487943,1.6592146,0
10.518467,-4.59445,14.531295,1.6324953,0
10.895228,7.5909667,-5.9541116,9.139255,1
10.434318,-4.7104125,14.406378,1.7034867,0
4.2564197,16.669418,-2.571346,-6.076619,1
10.445586,-4.716448,14.395413,1.6942275,0
4.273136,16.629822,-2.5348737,-6.076958,1
10.434704,-4.7118635,14.404404,1.7042994,0
4.2486753,16.65419,-2.5504596,-6.094887,1
10.436345,-4.700545,14.418552,1.7067088,0
4.311099,16.585493,-2.4974809,-6.0568733,1
10.51618,-4.596627,14.5288105,1.6354412,0
4.3122754,16.580635,-2.4917338,-6.0588036,1
10.428131,-4.716789,14.400583,1.7119815,0
4.3007503,16.549007,-2.460249,-6.079282,1
10.478675,-4.6513453,14.469985,1.6671828,0
4.341804,16.568787,-2.4862158,-6.0353413,1
10.460101,-4.665076,14.457553,1.6869415,0
4.319285,16.578049,-2.4917898,-6.053153,1
10.450877,-4.678372,14.443127,1.6954763,0
4.3436217,16.567305,-2.4898753,-6.030603,1
10.489408,-4.6299562,14.494257,1.6591759,0
4.338877,16.550665,-2.468631,-6.0442204,1
10.507709,-4.602891,14.523429,1.6439809,0
4.353085,16.526464,-2.4442132,-6.0387297,1
10.523335,-4.590759,14.534719,1.6269497,0
4.315381,16.547089,-2.4576457,-6.073833,1
-0.045014586,5.612557,1.8554909,4.5788784,0
-2.606752,7.685332,-6.321264,1.5382302,1
0.07947882,5.7769337,1.7764142,4.3581815,1
-3.0235724,7.71339,-6.323538,1.2481158,0
0.05374202,5.7430553,1.7859794,4.3920317,1
-3.0215387,7.715918,-6.3184195,1.2527909,0
0.058401976,5.734836,1.7806039,4.3945065,1
-2.9930987,7.7189965,-6.3212395,1.2700969,0
0.010514423,5.7745843,1.8891785,4.3925123,1
-3.1008394,7.7375474,-6.354243,1.1906657,0
0.023997577,5.786239,1.9128383,4.3859158,1
-3.0760088,7.72739,-6.3381033,1.2110646,0
0.04806138,5.852983,2.005546,4.3323684,1
-3.091524,7.7366867,-6.3419023,1.197909,0
0.07273875,5.8690867,2.0282662,4.3189664,1
-3.111928,7.740896,-6.365819,1.1806431,0
0.06510349,5.852194,2.0182068,4.3314214,1
-3.1140833,7.740212,-6.363993,1.1796198,0
0.047421314,5.856847,2.0338237,4.333093,1
-3.1120508,7.742198,-6.367802,1.178804,0
0.07324997,5.854451,2.0328264,4.3258896,1
-3.095288,7.7327704,-6.345389,1.1963888,0
0.05505684,5.8425736,2.0104065,4.3415027,1
-3.0838132,7.734385,-6.354226,1.2009696,0
-0.5293496,4.9133883,1.9759142,5.325668,1
-3.1016614,7.738812,-6.3619647,1.1881889,0
-0.5368557,4.8911886,1.9686352,5.351453,1
-3.1038413,7.7374854,-6.3590355,1.1878103,0
-0.5529166,4.878824,1.9839064,5.3627443,1
-3.1026318,7.7376013,-6.3606067,1.188013,0
-0.74269336,4.584,1.9935452,5.7090364,1
-2.999681,7.7089252,-6.2888455,1.2785374,0
-0.7529798,4.571813,1.9985627,5.7298727,1
-3.030963,7.712035,-6.3009906,1.2555265,0
-0.7914206,4.5060887,1.9842092,5.821848,1
-3.0519438,7.731725,-6.295693,1.2384517,0
-0.8003871,4.533089,1.9682899,5.792212,1
-3.0235794,7.715325,-6.3032947,1.2585251,0
-0.8527307,4.4763308,1.9493179,5.905802,1
-3.0234778,7.7144547,-6.3017454,1.2585905,0
-0.8682562,4.4511423,1.9488167,5.961057,1
-2.9744945,7.7062883,-6.2784767,1.2994041,0
-0.87196237,4.4447317,1.9436941,5.9647365,1
-3.024501,7.702737,-6.2889147,1.2621901,0
-0.8766857,4.4472785,1.9451952,5.9760756,1
-3.0015302,7.7027287,-6.2795677,1.27953,0
-0.8535804,4.451728,1.9593563,5.9462514,1
-3.0446322,7.7193766,-6.311656,1.242227,0
10.399733,-5.3776674,13.569346,1.7163805,0
10.847363,7.602338,-5.854899,9.225193,1
10.82201,7.5845127,-5.823787,9.22837,1
10.399321,-5.3820934,13.564249,1.7163786,0
10.808807,7.5777736,-5.8155394,9.24478,1
10.396535,-5.4010262,13.544933,1.7171919,0
10.781438,7.5380864,-5.807129,9.177645,1
10.398831,-5.385328,13.560884,1.7163888,0
10.733641,7.4638524,-5.793434,9.088105,1
10.401708,-5.36007,13.590144,1.7164521,0
10.721023,7.4347816,-5.7956786,9.045918,1
10.402726,-5.361604,13.58782,1.7165703,0
10.708098,7.410853,-5.797501,9.011021,1
10.404009,-5.3143597,13.647202,1.7145053,0
10.724636,7.427806,-5.810789,9.025589,1
10.396105,-5.4026628,13.542658,1.7172391,0
10.702975,7.3928595,-5.80669,8.982392,1
10.396257,-5.3938036,13.552402,1.715245,0
10.704126,7.403032,-5.7986364,8.997944,1
10.395281,-5.398825,13.547844,1.7167218,0
10.702664,7.396424,-5.803416,8.985652,1
10.402715,-5.3325963,13.622013,1.7157991,0
10.704233,7.4044847,-5.797128,9.002204,1
10.402039,-5.354975,13.596521,1.7163687,0
4.12499,16.8298,-2.681274,-6.169689,1
10.407636,-5.126202,13.883451,1.7039977,0
4.1212983,16.793467,-2.644611,-6.1855125,1
10.407839,-5.0758142,13.944383,1.702497,0
4.136965,16.641253,-2.494713,-6.2379937,1
10.41556,-5.009446,14.025969,1.699615,0
4.160131,16.606234,-2.470456,-6.2169447,1
10.407322,-5.126076,13.883701,1.7041078,0
4.20445,16.56555,-2.4459035,-6.1767154,1
10.4075,-5.0957637,13.920406,1.7030619,0
4.2607136,16.461163,-2.3713639,-6.1619725,1
10.4081955,-5.166539,13.834464,1.7057043,0
10.411186,-5.1790276,13.819543,1.705828,0
4.2389755,16.475292,-2.3718374,-6.180735,1
10.40637,-5.1206875,13.889948,1.7040021,0
4.2551446,16.458889,-2.3613513,-6.168888,1
10.443136,-4.8038344,14.282771,1.6886128,0
4.251873,16.454594,-2.35621,-6.1743417,1
10.408795,-5.1327295,13.875938,1.704159,0
4.245937,16.440193,-2.341561,-6.185613,1
4.2523518,16.449001,-2.3519247,-6.173137,1
10.431794,-5.182404,13.820629,1.7024933,0
4.249242,16.451351,-2.351782,-6.178879,1
10.41228,-5.1887183,13.808004,1.706086,0
0.019394724,5.7300363,1.7697569,4.4109545,1
-2.59853,7.69076,-6.3202047,1.5440354,0
0.019478114,5.7417765,1.7654371,4.397697,1
-2.698346,7.7155757,-6.320807,1.4568052,0
-0.0013942524,5.6967425,1.772536,4.4336405,1
-2.6726139,7.7089896,-6.3194294,1.4794048,0
-0.041543476,5.67287,1.79389,4.4844427,1
-2.6586425,7.7173867,-6.318331,1.4845499,0
-0.059985373,5.652057,1.7873598,4.507196,1
-2.580611,7.6964135,-6.3150067,1.5576041,0
-0.19128367,5.3975043,1.7693632,4.8197494,1
-2.653492,7.729897,-6.3262877,1.4836007,0
-0.18079215,5.4072995,1.7668728,4.8114934,1
-2.6909654,7.719683,-6.319182,1.4591527,0
-0.19747025,5.385615,1.7684938,4.8333144,1
-2.626352,7.717904,-6.3265195,1.5127668,0
-0.19919688,5.383945,1.7713169,4.835282,1
-2.651462,7.7140403,-6.315595,1.4967875,0
-0.18271753,5.405668,1.7830793,4.8116975,1
-2.6826072,7.7340474,-6.314441,1.4606235,0
-0.19789422,5.3862824,1.7649298,4.833175,1
-2.7214673,7.772526,-6.306906,1.4207305,0
-0.19459723,5.3935404,1.768794,4.823966,1
-2.6500838,7.722019,-6.321349,1.4888322,0
-0.77429223,4.413905,2.0268462,5.899024,1
-2.6003993,7.6801357,-6.306765,1.5457256,0
-0.76304066,4.396885,2.0388641,5.893403,1
-2.6092517,7.711567,-6.3008294,1.5298139,0
-0.73222435,4.4084287,2.0585341,5.862562,1
-2.6014469,7.69144,-6.345844,1.5383146,0
-0.7214883,4.4008317,2.0710168,5.8542733,1
-2.567068,7.674508,-6.321467,1.5711184,0
-0.7901695,4.4218163,2.0110838,5.9001684,1
-2.614623,7.696166,-6.3042374,1.5292803,0
-0.7505572,4.412509,2.0443578,5.875153,1
-2.6018043,7.69087,-6.316313,1.5407637,0
-0.74179065,4.385321,2.0554736,5.874616,1
-2.5561686,7.6770997,-6.3230324,1.5802152,0
-0.7581168,4.3688297,2.0567386,5.90022,1
-2.55897,7.6687827,-6.338711,1.5792426,0
-0.7486568,4.3829,2.053397,5.8878274,1
-2.5490549,7.6591487,-6.3265185,1.5898244,0
-0.7466454,4.3949695,2.0511022,5.8793736,1
-2.5352418,7.6633363,-6.327104,1.600558,0
-0.72138214,4.388861,2.072295,5.870798,1
-2.5704794,7.6818776,-6.3194523,1.5676733,0
-0.79640627,4.4001393,2.0079515,5.9250917,1
-2.5863347,7.686106,-6.325832,1.5526391,0
10.712808,7.572043,-5.6361866,9.387261,1
4.0572743,-4.93889,1.8047982,-5.3868055,0
4.037098,-4.9591517,1.825594,-5.406872,0
10.727422,7.577439,-5.6409416,9.389303,1
4.056437,-4.940169,1.8069819,-5.3874545,0
10.722273,7.5670314,-5.641546,9.38405,1
4.058165,-4.938034,1.8037498,-5.385968,0
10.729013,7.5348434,-5.7037153,9.274572,1
4.0554757,-4.9407773,1.806613,-5.388648,0
10.714982,7.48549,-5.7362847,9.182826,1
4.037005,-4.959399,1.826359,-5.406873,0
10.714374,7.459364,-5.7668977,9.101719,1
4.0500293,-4.9463177,1.8128849,-5.393909,0
10.703627,7.426723,-5.777324,9.04283,1
4.0666385,-4.930186,1.797717,-5.3772645,0
10.707474,7.4440565,-5.767127,9.077526,1
4.055339,-4.9409266,1.8065124,-5.3887634,0
10.697673,7.4523044,-5.7435613,9.111194,1
4.1741533,-4.8191156,1.6724105,-5.27343,0
10.70252,7.471376,-5.7354827,9.137239,1
4.0647035,-4.931332,1.7962303,-5.3795834,0
10.705099,7.5069838,-5.700666,9.228764,1
4.0642233,-4.9318075,1.7964196,-5.3801494,0
10.695804,7.4736204,-5.723657,9.167184,1
4.0336027,16.67551,-2.5096686,-6.3571095,1
4.196319,-4.796805,1.6497568,-5.2514057,0
3.9794617,16.766432,-2.5835161,-6.311409,1
4.174297,-4.8190556,1.672181,-5.273343,0
4.0280743,16.783764,-2.6045728,-6.288776,1
