0,1,2,3,4,5,6,7,active_hand,class_numeric
3.6178262,11.887646,-0.0699059,5.8691463,-1.0500846,8.470589,1.7048607,5.9643826,1,0
-0.14827548,0.15783232,9.489163,10.0046015,-2.4784994,11.375746,0.12738667,-1.9295534,0,0
3.6086912,11.867822,-0.050147425,5.8909388,-1.0421588,8.449258,1.6853677,5.943261,1,0
-0.16577417,0.1408678,9.507154,10.02252,-2.4965577,11.3940525,0.109505676,-1.9477087,0,0
3.636507,11.900633,-0.058362663,5.8572087,-1.0719618,8.480905,1.69165,5.9757776,1,0
-0.14808202,0.15807667,9.489374,10.004842,-2.4786196,11.376322,0.12691481,-1.9300632,0,0
3.6274114,11.888725,-0.059477698,5.8671036,-1.0629919,8.469852,1.6942898,5.965182,1,0
-0.14872591,0.15743107,9.489727,10.005163,-2.4790573,11.376404,0.12676196,-1.9301903,0,0
3.6124544,11.885569,-0.0727017,5.8705153,-1.0448941,8.469982,1.7076963,5.963127,1,0
-0.1485245,0.15755422,9.4893675,10.004818,-2.478702,11.375926,0.12715812,-1.9297452,0,0
3.608433,11.868813,-0.04725492,5.8958454,-1.0438722,8.445605,1.6828154,5.9388747,1,0
-0.1481744,0.15786418,9.488945,10.004393,-2.4782639,11.375424,0.12760039,-1.929266,0,0
3.5823631,11.867829,-0.06448691,5.8956385,-1.015206,8.449537,1.7005864,5.940608,1,0
-0.1455554,0.16011448,9.486088,10.001575,-2.475374,11.372467,0.13044403,-1.9263196,0,0
3.6095712,11.880251,-0.061898086,5.879393,-1.0434352,8.461019,1.6972238,5.9547286,1,0
-0.14780137,0.15815389,9.488549,10.0040045,-2.4778657,11.375004,0.12797092,-1.928864,0,0
3.5880551,11.869448,-0.06292515,5.892216,-1.0211167,8.451617,1.6989789,5.9432306,1,0
-0.14707194,0.15883522,9.487745,10.003212,-2.477079,11.37418,0.12878722,-1.9280137,0,0
3.5926168,11.878418,-0.07365109,5.8831024,-1.0243108,8.4609995,1.7094128,5.952916,1,0
-0.14706294,0.15884787,9.48773,10.003194,-2.4770584,11.374153,0.12879762,-1.9280064,0,0
3.602646,11.886281,-0.075222515,5.876142,-1.0354483,8.466923,1.7109084,5.959556,1,0
-0.14685974,0.15905635,9.487513,10.00297,-2.4768288,11.373931,0.12902659,-1.9277775,0,0
-0.14735356,0.15859425,9.488056,10.003522,-2.4773688,11.374478,0.12848142,-1.9283283,0,0
3.5867226,11.880386,-0.07696774,5.8840833,-1.0175067,8.46151,1.7128166,5.9533896,1,0
7.8432674,8.941091,7.1330795,8.149168,1.185159,14.418067,-1.3419594,-3.8712525,0,1
10.881125,7.3437376,4.8337545,4.3078346,1.2998365,-3.771839,6.006389,-3.141021,1,1
7.850015,8.940776,7.1396494,8.154174,1.1754106,14.409713,-1.3370703,-3.879819,0,1
10.880579,7.3435693,4.833794,4.3089647,1.3000083,-3.7723365,6.0046496,-3.141041,1,1
7.8423805,8.940137,7.1321793,8.148256,1.1860609,14.418987,-1.3418202,-3.8703792,0,1
10.877381,7.350898,4.8264303,4.318336,1.3085912,-3.7751262,5.9969907,-3.1482599,1,1
7.8623743,8.959698,7.1522465,8.168221,1.1658009,14.398816,-1.3411961,-3.8905344,0,1
10.9103985,7.403205,4.7705927,4.345525,1.3497771,-3.742292,6.0007915,-3.2024448,1,1
7.85256,8.949791,7.142792,8.158738,1.1752057,14.408264,-1.3424066,-3.8809352,0,1
10.925464,7.3957467,4.7782817,4.321689,1.327176,-3.727919,6.0229683,-3.196302,1,1
7.85425,8.95105,7.1441646,8.159994,1.173622,14.406729,-1.3418328,-3.8825693,0,1
10.9465,7.403282,4.769938,4.312089,1.3238007,-3.707613,6.041498,-3.205143,1,1
7.8566303,8.9530945,7.146663,8.162437,1.1710078,14.404209,-1.3420198,-3.8851058,0,1
10.9458475,7.401559,4.771951,4.3108263,1.3229234,-3.7084944,6.042881,-3.203119,1,1
7.865692,8.961408,7.1558704,8.171432,1.1614456,14.394774,-1.3418772,-3.894466,0,1
10.93019,7.4103465,4.7629023,4.330605,1.3381594,-3.7231507,6.020647,-3.2113087,1,1
7.844699,8.941996,7.134729,8.150709,1.1833616,14.41643,-1.3421361,-3.8729594,0,1
10.901826,7.4008064,4.773873,4.3470287,1.3418092,-3.7503476,5.9959064,-3.2007403,1,1
7.837852,8.935175,7.1279755,8.143973,1.1901095,14.423185,-1.342287,-3.8661833,0,1
10.944665,7.4141984,4.758298,4.3233557,1.3346825,-3.7092066,6.0339727,-3.2163591,1,1
7.855584,8.952408,7.1467175,8.162536,1.1710426,14.404239,-1.3423519,-3.8845787,0,1
10.942661,7.4148316,4.758135,4.326917,1.3385538,-3.7116334,6.0333676,-3.216679,1,1
7.8565116,8.953344,7.146845,8.162703,1.1710192,14.404177,-1.3424188,-3.8850653,0,1
10.946622,7.4071393,4.765924,4.316035,1.3283606,-3.7082756,6.0432386,-3.209008,1,1
