0,1,2,3,4,5,6,7,8,active_hand
-1.6649328,4.4276104,-3.2271256,12.556502,4.1144133,2.3681357,2.8862643,7.440534,1.2659018,1
2.4335225,10.786272,5.1485357,5.1495385,6.8410845,-1.8425752,9.435873,3.582123,4.3552675,0
-1.6762784,4.4178185,-3.2317083,12.567327,4.123943,2.3632822,2.8795955,7.4521174,1.2690988,1
2.4221365,10.804703,5.1551576,5.131212,6.842964,-1.8610802,9.454381,3.5633943,4.3366475,0
-1.676766,4.423397,-3.2239237,12.567796,4.1174536,2.371785,2.8761704,7.45404,1.2673126,1
2.4289117,10.790882,5.1518607,5.1451015,6.842365,-1.8471372,9.440427,3.5776386,4.350817,0
-1.6675215,4.4338756,-3.2168972,12.558788,4.10709,2.3789647,2.8798163,7.446099,1.2688768,1
2.3927646,10.829739,5.1827793,5.106538,6.839078,-1.8862796,9.479541,3.5377147,4.311397,0
-1.6825145,4.39988,-3.2480729,12.578236,4.1411266,2.347671,2.8962486,7.433974,1.2440525,1
2.4326491,10.786615,5.149929,5.1494503,6.8441987,-1.8427504,9.436038,3.5823922,4.355424,0
-1.6774212,4.422455,-3.2238169,12.568292,4.1189766,2.3710637,2.8758352,7.455101,1.2722654,1
2.4412959,10.776809,5.1443257,5.1592216,6.844959,-1.8328507,9.426116,3.5925798,4.3654814,0
-1.6845574,4.416764,-3.2295144,12.574924,4.12553,2.3642573,2.8743415,7.46336,1.2713327,1
2.444218,10.770495,5.141122,5.164964,6.8431325,-1.8262866,9.41958,3.5997994,4.3722672,0
-1.695756,4.405328,-3.21942,12.586623,4.1360254,2.373722,2.8599887,7.4736223,1.2845871,1
2.436853,10.780652,5.1470633,5.1553674,6.8443723,-1.8366407,9.429898,3.5889416,4.361797,0
-1.6714975,4.426099,-3.2473865,12.562197,4.11532,2.3473015,2.887785,7.4484334,1.2530367,1
2.4465077,10.766165,5.1395054,5.1686273,6.8408866,-1.8218431,9.415155,3.604449,4.376733,0
-1.6992022,4.402064,-3.2345994,12.58946,4.138661,2.3603985,2.864921,7.4777927,1.2643242,1
2.4524386,10.754926,5.1356707,5.1783414,6.8370895,-1.8103663,9.403714,3.6164215,4.3883066,0
-1.7271411,4.3709145,-3.2503393,12.617503,4.1696043,2.3452191,2.8456306,7.505406,1.2410625,1
2.4817483,10.73072,5.104903,5.2042437,6.8265324,-1.786325,9.379647,3.64021,4.41231,0
2.4299955,10.787501,5.1538835,5.148451,6.8454566,-1.8434905,9.436763,3.5820944,4.3549013,0
