0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,class_numeric
9.848135,4.949282,0.42801088,15.954902,5.4723434,2.2510998,8.914696,5.660467,5.0819316,5.2107096,3.962013,4.7384214,4.687272,4.639764,4.746553,4.522476,5.3788586,5.2935505,4.715813,5.309988,4.8720117,5.6677246,4.991211,4.618973,5.5357265,5.2618957,4.9894624,5.713034,5.5117884,4.7182174,4.780267,0
9.844724,4.9283476,0.42079577,15.963717,5.475835,2.2710488,8.881306,5.687626,5.0841074,5.244135,3.9364378,4.7381887,4.7234645,4.615632,4.741247,4.530104,5.351535,5.324873,4.7531943,5.283137,4.9075193,5.677188,4.999794,4.6268487,5.5588,5.251914,4.9755893,5.750186,5.5010667,4.68008,4.7424936,0
9.852839,4.967223,0.44032565,15.939072,5.4564276,2.246724,8.928275,5.6460547,5.067123,5.1915345,3.9640777,4.7530327,4.6732225,4.6450815,4.757183,4.5094085,5.390516,5.2826295,4.701382,5.330224,4.853881,5.649921,4.986598,4.601642,5.5224113,5.276502,4.9975696,5.7009625,5.526685,4.733121,4.7958717,0
9.853069,4.956625,0.436139,15.945305,5.4611874,2.2543576,8.918684,5.6565104,5.0711117,5.203033,3.9573915,4.7495623,4.6825404,4.636757,4.754263,4.514105,5.3810115,5.291433,4.7108793,5.318114,4.864921,5.6571026,4.9927692,4.608186,5.5320644,5.2704983,4.989729,5.709944,5.5203395,4.7235527,4.7860427,0
9.852104,4.951725,0.43307176,15.949501,5.4649897,2.2565203,8.912312,5.6617017,5.0744653,5.211431,3.9544132,4.7465205,4.6905136,4.6337166,4.751694,4.5173597,5.376011,5.2977343,4.719119,5.3115287,4.873568,5.6618605,4.994629,4.612717,5.5364156,5.2667065,4.986811,5.717776,5.5164623,4.715228,4.777528,0
9.870054,4.9564867,0.45043072,15.931263,5.441202,2.2784624,8.899455,5.6718836,5.0498147,5.2160044,3.9294007,4.7728186,4.704606,4.6113954,4.770355,4.5000224,5.3603425,5.31497,4.732869,5.3121753,4.880443,5.6435394,5.0132575,4.592967,5.5430255,5.2825866,4.971639,5.734531,5.531621,4.703259,4.7666235,0
9.862341,4.948721,0.4399063,15.94402,5.4559956,2.2725189,8.897369,5.673986,5.064487,5.2230844,3.936644,4.7576547,4.7076163,4.616966,4.7600083,4.5108314,5.360648,5.3148093,4.736207,5.303958,4.886612,5.657105,5.0086813,4.606816,5.544977,5.2714953,4.9737406,5.736091,5.520732,4.6995,4.7622776,0
9.8707695,4.9575987,0.44906065,15.933759,5.44536,2.2753596,8.90115,5.6706686,5.05383,5.214119,3.9343953,4.7682633,4.703908,4.6151023,4.7691464,4.50146,5.3617215,5.3134,4.7320595,5.313014,4.8779445,5.6467614,5.0135674,4.596445,5.5415354,5.2812123,4.971659,5.732828,5.530393,4.7046647,4.768335,0
9.885279,4.9580774,0.46407107,15.918127,5.426787,2.2965636,8.886107,5.683428,5.034943,5.2241135,3.91005,4.787874,4.71798,4.593238,4.785536,4.4863896,5.345531,5.330284,4.745939,5.309061,4.8905582,5.630468,5.0302505,4.579394,5.5502,5.2942934,4.956681,5.749005,5.542696,4.6906257,4.7545466,0
9.853113,4.9437056,0.4295389,15.95493,5.4697194,2.2627473,8.900371,5.671759,5.078371,5.2247553,3.9479883,4.743092,4.7047124,4.6267715,4.7493157,4.521232,5.365715,5.3093853,4.733543,5.3001256,4.88724,5.668594,5.0006604,4.618941,5.5441465,5.2617993,4.979652,5.7316957,5.5113254,4.7013764,4.763549,0
9.850314,4.9411206,0.42582446,15.959317,5.474879,2.2603347,8.900001,5.67214,5.083524,5.2272286,3.9505029,4.7377853,4.7056894,4.628923,4.7456284,4.525072,5.366157,5.3090563,4.7346506,5.2974706,4.8894277,5.6732183,4.998746,4.623716,5.544445,5.2579417,4.9806957,5.7322426,5.507546,4.7002068,4.7621155,0
9.832061,4.9333043,0.40515158,15.9812155,5.5035896,2.2374613,8.910086,5.66455,5.1126647,5.225992,3.9793043,4.70677,4.694371,4.6531687,4.7241383,4.5457773,5.3798795,5.2931194,4.7235827,5.292531,4.8855577,5.6965513,4.981755,4.6485457,5.5400634,5.238848,4.994045,5.71681,5.489162,4.7095675,4.770292,0
10.358136,5.89377,-0.1499034,4.517424,4.289172,5.3407555,4.337064,4.3689656,1.2111952,0.60799944,7.015394,5.8201613,5.494742,3.7608526,5.2047653,5.8619328,5.72571,5.188773,5.5583034,5.6968765,6.1870117,4.244484,4.76238,4.72685,5.268523,5.821061,4.9640045,4.942169,5.023631,5.2738194,4.777216,1
10.354033,5.89721,-0.14724503,4.520534,4.30022,5.346565,4.323108,4.3880258,1.180493,0.5772564,7.009565,5.824831,5.496665,3.7538314,5.212493,5.8771234,5.713398,5.1831393,5.566938,5.6969004,6.1817036,4.237859,4.7650137,4.7498665,5.2908006,5.8266063,4.960055,4.931061,5.0359163,5.2709293,4.7772446,1
10.356518,5.89393,-0.14983551,4.521628,4.29803,5.344963,4.3267093,4.3834295,1.1811858,0.5775905,7.0134654,5.825608,5.499691,3.7547734,5.2116423,5.873152,5.716967,5.1826744,5.563419,5.6981473,6.183036,4.2363744,4.7640452,4.745059,5.2909923,5.8270054,4.958519,4.931751,5.03196,5.2697678,4.7766304,1
10.366993,5.8804903,-0.16611084,4.5305457,4.2966857,5.336152,4.3326817,4.394074,1.0980445,0.49188015,7.0390224,5.842711,5.5176797,3.7539444,5.225103,5.876451,5.7229896,5.1719785,5.551041,5.7033525,6.1931305,4.2193985,4.760246,4.7621117,5.3497925,5.8377457,4.9443216,4.9141574,5.0256424,5.2712607,4.7728252,1
10.367111,5.8815026,-0.16553462,4.5277586,4.2918887,5.3343577,4.3371663,4.387392,1.1031283,0.49634945,7.0399833,5.83916,5.513556,3.7573385,5.221313,5.8711867,5.726861,5.176111,5.5485654,5.7020273,6.195241,4.2250037,4.7595434,4.753388,5.339979,5.833712,4.9484797,4.920255,5.021843,5.274177,4.773571,1
10.377503,5.8706794,-0.18070257,4.5321164,4.2778606,5.322107,4.3518996,4.38374,1.0412793,0.4309412,7.067472,5.8493557,5.5228143,3.7628865,5.2285557,5.863783,5.741694,5.173487,5.530562,5.703319,6.212665,4.219686,4.7542515,4.751123,5.3763056,5.83646,4.9429255,4.9140644,5.007663,5.2861733,4.7716765,1
10.385738,5.86267,-0.19091856,4.532779,4.268894,5.313776,4.3646784,4.378419,1.011821,0.40028173,7.089813,5.8555017,5.528493,3.768093,5.23148,5.856048,5.75297,5.1735263,5.5170197,5.70645,6.22198,4.216418,4.7505984,4.746457,5.3976183,5.836529,4.939885,4.9127,4.995737,5.2896824,4.7702374,1
10.36958,5.878974,-0.16927233,4.529052,4.289403,5.331678,4.3398666,4.388234,1.0831126,0.47532266,7.0469904,5.8422647,5.5161166,3.7582126,5.223803,5.870592,5.729537,5.174974,5.5446725,5.702609,6.199033,4.2228904,4.7583785,4.75498,5.3514304,5.834869,4.9466367,4.91774,5.01924,5.27661,4.773043,1
10.365686,5.882338,-0.1659917,4.53086,4.2950726,5.3354783,4.3306713,4.3978024,1.0778099,0.47083068,7.03844,5.842355,5.515291,3.7544582,5.226018,5.8789935,5.7218857,5.172714,5.5511594,5.7010026,6.1960325,4.221664,4.760064,4.7664595,5.3571796,5.8370776,4.9460306,4.9136276,5.027418,5.276457,4.773491,1
10.374911,5.8730993,-0.17770688,4.532444,4.2844577,5.3259797,4.3443384,4.3910017,1.037351,0.42745456,7.060722,5.8493953,5.5223365,3.7598255,5.2295694,5.870184,5.734513,5.1720467,5.5364656,5.704017,6.207417,4.217741,4.7558885,4.760281,5.379809,5.837836,4.9421325,4.9115734,5.014347,5.2820253,4.771777,1
10.382095,5.865351,-0.18804888,4.5337477,4.2693243,5.3153596,4.3615923,4.3802166,1.0013369,0.38800135,7.087513,5.85181,5.525573,3.7679446,5.2290916,5.858909,5.7510304,5.174713,5.51842,5.7029433,6.222157,4.220209,4.751222,4.7488613,5.397985,5.8353114,4.942573,4.9146557,4.9981914,5.292255,4.771225,1
10.396378,5.850938,-0.20617639,4.5329757,4.241625,5.295853,4.394595,4.3556457,0.95278674,0.33338872,7.1325216,5.8544035,5.530221,3.7843244,5.2252693,5.8341665,5.781636,5.1818705,5.4861636,5.7029505,6.246299,4.226124,4.7426925,4.7218122,5.4172153,5.8284693,4.9447675,4.924675,4.9673305,5.306899,4.7701135,1
10.462372,5.076233,2.2069087,5.0853086,5.3280535,6.4311047,3.2476027,5.8783884,6.080135,5.3234496,6.053236,5.646276,6.607096,4.999469,4.2019024,5.7328,3.848739,4.887835,4.993229,4.62751,4.7841983,4.464999,4.96259,4.9338107,4.831092,5.461323,4.5946455,4.6936445,5.455402,4.74254,5.039953,0
10.749448,4.105946,4.1931705,5.3672547,-1.7873366,4.8974185,5.7464337,6.4403853,5.140098,3.5959623,5.3822865,5.7495227,5.6564183,6.0036817,2.1579576,2.5067697,7.4921618,5.1901603,7.234669,6.0749435,5.087414,5.1144657,4.0282984,5.1640735,5.4500794,5.319932,4.8936872,6.2616286,4.703449,3.7613816,5.0002646,0
10.746618,4.10289,4.1944704,5.3702335,-1.7813989,4.895446,5.7427077,6.437118,5.1384096,3.592164,5.380915,5.7515073,5.6596613,6.0020633,2.1622262,2.5104756,7.4894094,5.190269,7.231188,6.0732017,5.08725,5.11102,4.03018,5.1645107,5.448312,5.32023,4.8941884,6.262428,4.7033067,3.75826,4.997232,0
