0,1,2,3,4,5,6,7,8,9,10,11,12,active_hand
4.3986025,3.744476,12.197468,17.34409,6.063299,6.723102,4.2363896,4.9786754,7.2604074,4.037203,5.529878,-3.938066,1.5265783,1
-1.6727289,3.5966284,0.9828412,8.711773,2.502469,8.220855,8.662814,8.593748,10.546135,5.113485,7.5623384,-2.3815172,3.727931,0
4.3961887,3.7462099,12.193666,17.347225,6.060537,6.7206364,4.245029,4.9867444,7.2583957,4.036609,5.536755,-3.943636,1.5171164,1
-1.6866127,3.5823581,0.96831435,8.697586,2.516252,8.206537,8.677368,8.583639,10.560404,5.099591,7.568201,-2.367372,3.742024,0
4.399679,3.744919,12.19632,17.34557,6.06427,6.724191,4.2375293,4.9793687,7.2606125,4.036706,5.53044,-3.938498,1.5257429,1
-1.6656893,3.6051083,0.9919396,8.720071,2.4959764,8.229474,8.653617,8.597629,10.537687,5.1208024,7.560007,-2.389689,3.719917,0
4.3996906,3.7238576,12.213068,17.331932,6.0649214,6.722561,4.215218,4.953308,7.246895,4.0465746,5.504818,-3.9133801,1.5520755,1
-1.6697317,3.6005182,0.9870293,8.715588,2.499541,8.224839,8.658578,8.595115,10.542282,5.116821,7.5614047,-2.3852572,3.724248,0
4.429968,3.758438,12.164159,17.37848,6.0944858,6.754977,4.27187,5.0135636,7.2795267,4.004613,5.561989,-3.9673762,1.4906214,1
-1.6738749,3.596509,0.9834878,8.711467,2.5034811,8.220939,8.6620035,8.594066,10.546329,5.1125674,7.5624247,-2.3810987,3.728454,0
4.4118433,3.7532017,12.177532,17.36963,6.076051,6.7386518,4.2657094,5.0002418,7.2682886,4.0193186,5.5486674,-3.9539862,1.5012878,1
-1.6629399,3.6088152,0.99680895,8.723446,2.4926057,8.233394,8.648518,8.601885,10.534022,5.1235905,7.5571733,-2.3929224,3.7168639,0
4.401223,3.7577255,12.184822,17.356684,6.065388,6.727248,4.2546897,4.9992423,7.2682915,4.0288873,5.549078,-3.9557383,1.504228,1
-1.6475052,3.6275337,1.0182236,8.741279,2.4775863,8.252419,8.626673,8.613533,10.515311,5.139283,7.54932,-2.4104316,3.6997757,0
4.3907757,3.7476974,12.200235,17.342577,6.055084,6.7161994,4.238022,4.979873,7.25611,4.042121,5.5301633,-3.937347,1.5241289,1
-1.6582531,3.6144726,1.0032059,8.728872,2.4882867,8.239144,8.641985,8.60491,10.528394,5.128313,7.555477,-2.3982735,3.7116213,0
4.3990846,3.7621725,12.183088,17.355051,6.063113,6.724971,4.2558594,5.0054464,7.269835,4.0291567,5.555163,-3.9615781,1.498443,1
-1.6508266,3.6244802,1.0184274,8.737469,2.480939,8.249501,8.625776,8.613019,10.518282,5.1354227,7.550633,-2.40661,3.7037995,0
4.4049163,3.7641304,12.1763315,17.365057,6.068923,6.7320137,4.265978,5.0114326,7.272776,4.0215144,5.560187,-3.9656422,1.4908634,1
-1.6108375,3.6687086,1.063261,8.781116,2.4422305,8.293985,8.581035,8.645919,10.474076,5.1758385,7.5237417,-2.4498198,3.6611006,0
4.392832,3.778916,12.166988,17.362816,6.0568457,6.720133,4.275141,5.0266123,7.28943,4.0220213,5.57526,-3.980684,1.4753681,1
-1.6541659,3.61767,1.0072559,8.731691,2.47682,8.242474,8.637898,8.628103,10.525188,5.1332846,7.529787,-2.4007897,3.7092988,0
-1.6675411,3.6034856,0.9913373,8.718218,2.4965653,8.228027,8.654006,8.599992,10.539368,5.1190405,7.5579467,-2.3877356,3.7219021,0
4.387881,3.772893,12.18629,17.343227,6.0515513,6.712942,4.249949,5.012713,7.273474,4.0371118,5.563698,-3.9712436,1.4930724,1
-1.6421887,3.6402624,1.0367101,8.75204,2.4741125,8.265722,8.607303,8.612553,10.502495,5.144648,7.550632,-2.4204817,3.6908853,0
3.2387807,6.4551177,6.2065864,6.0440702,5.029959,6.194838,5.712367,4.274941,5.0359044,4.7846646,7.940345,12.727395,3.3067224,1
-1.6050956,3.6819155,1.0833428,8.792054,2.4387846,8.307887,8.5598,8.643882,10.460755,5.1816907,7.532677,-2.4601185,3.6522753,0
3.2407396,6.452148,6.203476,6.0452104,5.032075,6.19343,5.7129374,4.276423,5.0343285,4.788339,7.943311,12.728883,3.3080661,1
-1.63499,3.64934,1.0465769,8.760807,2.4676218,8.274931,8.597316,8.615605,10.493432,5.1520715,7.554116,-2.4290662,3.682444,0
3.2442389,6.4586897,6.212327,6.0391026,5.0331573,6.18941,5.706057,4.2806993,5.0397925,4.7808423,7.9347076,12.731087,3.3093376,1
-1.6331568,3.6484213,1.0424763,8.760917,2.4655433,8.273703,8.601969,8.61871,10.4944,5.153804,7.5479107,-2.4293947,3.6816041,0
3.230457,6.4094176,6.143774,6.056045,5.0510206,6.21368,5.750059,4.2535,4.998439,4.8304152,8.004332,12.7179165,3.323478,1
-1.6456382,3.6270852,1.0155329,8.741562,2.4757786,8.251763,8.629729,8.614759,10.51577,5.140985,7.5494447,-2.4109745,3.6988769,0
3.2274957,6.4172206,6.1498027,6.061872,5.0408735,6.214111,5.7482953,4.252001,5.0041814,4.824025,7.9978256,12.7190075,3.3154378,1
-1.6073816,3.6756604,1.0719523,8.787424,2.4397666,8.301198,8.572089,8.6446085,10.467117,5.179591,7.529945,-2.4557984,3.655521,0
3.2232718,6.361184,6.1057825,6.1067357,5.0269723,6.2354083,5.7743735,4.237203,4.952998,4.8822017,8.037525,12.731432,3.2904458,1
-1.6124142,3.6714354,1.066473,8.783359,2.4449456,8.297007,8.577868,8.637518,10.471406,5.17482,7.534147,-2.4516299,3.6595695,0
3.216324,6.4010878,6.1266556,6.073228,5.0376573,6.229472,5.766369,4.235205,4.9882517,4.8410635,8.02122,12.71011,3.3132942,1
-1.6366313,3.640561,1.0313135,8.754156,2.4674788,8.265565,8.613625,8.620311,10.502332,5.1504126,7.5453343,-2.4230895,3.687113,0
3.2306502,6.402196,6.1316886,6.068065,5.0462832,6.2163672,5.7561975,4.2502117,4.992739,4.841437,8.015696,12.719433,3.3184493,1
-1.6096667,3.671903,1.066165,8.784303,2.4412823,8.297335,8.578216,8.642968,10.470979,5.1776557,7.5284624,-2.4528284,3.65812,0
3.2274606,6.3942723,6.123299,6.06899,5.0492144,6.222498,5.763037,4.243171,4.985224,4.8495545,8.024214,12.714364,3.3219738,1
-1.6275239,3.64898,1.0399303,8.76258,2.4578846,8.273989,8.60494,8.6311865,10.493907,5.159521,7.532818,-2.4315982,3.678744,0
3.226302,6.4009557,6.1356063,6.0686426,5.0461373,6.220226,5.7563,4.24552,4.9904523,4.841234,8.011745,12.716278,3.3200278,1
-1.7053988,3.5646293,0.95111555,8.679792,2.534472,8.189046,8.694457,8.560675,10.578256,5.0813456,7.593458,-2.349467,3.759963,0
3.2319918,6.388303,6.1240067,6.071995,5.0556216,6.2173214,5.758884,4.248307,4.982599,4.8567114,8.022824,12.718847,3.3274899,1
-1.6380726,3.6372192,1.0268093,8.751232,2.4689083,8.26206,8.618301,8.620035,10.50565,5.148792,7.5438213,-2.4203756,3.6897957,0
3.198283,6.3997245,6.1064897,6.0835843,5.022467,6.246024,5.7861915,4.2167,4.9835844,4.8425593,8.04224,12.699599,3.3007019,1
9.106887,7.2545133,4.568228,4.881836,6.272261,6.985798,8.191278,4.879992,0.90996855,9.124346,4.928063,0.5586228,1.2184523,0
3.8681622,5.678654,6.2455163,3.6841369,0.5358305,1.2815349,1.2715458,9.837455,4.459118,8.568463,-1.857909,1.8236673,4.2404666,1
9.125878,7.2334847,4.6494164,4.8948193,6.1552706,7.0827208,8.152986,4.9789357,0.93210196,9.214934,4.81096,0.49115846,1.3330913,1
3.7232006,5.8222694,6.0725465,3.8069031,0.72455364,1.3023645,1.1416153,9.867755,4.5285306,8.385582,-1.7632931,1.8679461,4.424822,0
9.124925,7.235382,4.654249,4.8979015,6.149974,7.0863547,8.153182,4.983206,0.93280935,9.220097,4.804056,0.48536828,1.340381,1
3.730817,5.8146563,6.079617,3.800744,0.71761215,1.3058333,1.1486967,9.869818,4.525999,8.392581,-1.7666812,1.8662041,4.4179034,0
9.138599,7.249833,4.6685066,4.8961396,6.135371,7.1004205,8.166851,4.997086,0.91702366,9.234453,4.788373,0.46950036,1.3564489,1
3.7349164,5.81067,6.091188,3.7979896,0.70192015,1.3092533,1.1517485,9.872293,4.5259833,8.40671,-1.7681186,1.8621716,4.4020615,0
9.11998,7.201079,4.6103415,4.860935,6.2002687,7.049962,8.1306095,4.953715,0.94574326,9.169748,4.8716807,0.54889643,1.268723,1
3.6801922,5.865074,6.026911,3.840587,0.77227974,1.2928598,1.1035533,9.862206,4.5377183,8.339134,-1.7431395,1.8751475,4.47209,0
9.100922,7.156145,4.5622993,4.8336635,6.2601886,6.9990425,8.093436,4.9260387,0.98509705,9.111418,4.9383183,0.60779417,1.2005097,1
3.6818376,5.863495,6.0289736,3.8424737,0.7694607,1.2922032,1.103336,9.862514,4.5407596,8.341364,-1.7395304,1.8750852,4.469339,0
9.057842,7.154981,4.55589,4.847858,6.2791233,6.965335,8.0993395,4.9351335,1.0216125,9.085557,4.9608502,0.6317746,1.1731943,1
3.6619432,5.88333,6.008758,3.8557148,0.79025376,1.2876843,1.0866529,9.859815,4.543075,8.321022,-1.734189,1.8782388,4.490012,0
9.05194,7.1497593,4.5563097,4.8513584,6.2818,6.959861,8.093621,4.935479,1.0245725,9.079876,4.9661264,0.6389325,1.1666754,1
3.6700242,5.875249,6.017244,3.8507628,0.7815774,1.2912823,1.0931312,9.861027,4.5397944,8.329684,-1.7365468,1.876734,4.481412,0
9.033778,7.1374454,4.5482483,4.8507323,6.2963448,6.9411373,8.084216,4.9358134,1.042571,9.061993,4.984862,0.6575963,1.1458696,1
3.678663,5.866598,6.0256968,3.8419771,0.7731808,1.2943236,1.1019822,9.862725,4.5375586,8.338126,-1.7421016,1.8755145,4.4729724,0
9.044321,7.1486816,4.5546002,4.850773,6.2856297,6.953799,8.093882,4.9337363,1.0251572,9.075104,4.9709673,0.6444126,1.1608466,1
3.6755815,5.8696856,6.022704,3.8448627,0.7762148,1.2919189,1.0989398,9.86216,4.539801,8.335108,-1.7398643,1.8757448,4.476062,0
9.032045,7.1374016,4.552708,4.853676,6.289584,6.9437084,8.0842085,4.9430313,1.0409497,9.063454,4.97814,0.655714,1.1516687,1
3.6916702,5.8536367,6.03867,3.8319092,0.76004344,1.2954717,1.1135124,9.863362,4.5343614,8.351053,-1.7478158,1.8730224,4.4600496,0
9.040687,7.1504884,4.5533795,4.852408,6.288628,6.949964,8.0961275,4.9325795,1.0277929,9.071826,4.973361,0.6467241,1.157802,1
3.6982334,5.8471413,6.0473714,3.8272312,0.7499711,1.2979089,1.118916,9.864904,4.533779,8.360435,-1.7495745,1.8699564,4.449943,0
9.462855,7.6723213,4.649693,5.002719,6.5403748,7.0648394,8.788923,3.8772945,-0.10092977,8.380349,5.199087,0.08856279,1.2000116,1
3.6894372,5.8559036,6.036758,3.8361309,0.76157707,1.2867833,1.1102576,9.850033,4.513865,8.349299,-1.7444584,1.86773,4.461613,0
9.458625,7.6885324,4.6916547,4.9677916,6.5049577,7.1034107,8.838288,3.8265562,-0.150307,8.331244,5.1772923,0.040796254,1.2395663,1
3.678181,5.8670735,6.0248494,3.8424346,0.77416027,1.2943249,1.1014907,9.862281,4.536373,8.337179,-1.7419847,1.8757089,4.473978,0
9.461623,7.673952,4.655651,5.0004582,6.5375795,7.067765,8.799742,3.8595045,-0.1175972,8.368156,5.1967235,0.07869007,1.205132,1
3.6637967,5.881433,6.01207,3.8528585,0.78664505,1.2924508,1.0884823,9.858991,4.535153,8.3248,-1.7382106,1.8784968,4.4864225,0
9.449413,7.6821437,4.7252183,4.9469547,6.488671,7.1448493,8.951932,3.6081436,-0.3584628,8.185553,5.1600747,-0.036453985,1.263851,1
3.7709436,5.7745404,6.116315,3.7658312,0.68193907,1.3255394,1.1867152,9.884759,4.517863,8.42834,-1.7892623,1.8528043,4.382383,0
9.4520645,7.6880355,4.7318935,4.943753,6.4871926,7.152233,8.984361,3.5554218,-0.41010952,8.1457815,5.1598206,-0.05345069,1.2679528,1
3.746239,5.7991796,6.090256,3.7885334,0.7091066,1.3088334,1.1632283,9.873552,4.5254445,8.40157,-1.7724627,1.8642254,4.409469,0
9.461426,7.6997676,4.7252145,4.9517365,6.497693,7.1452346,8.9989395,3.515297,-0.45035657,8.117342,5.1702833,-0.05205167,1.2595428,1
3.747193,5.798237,6.092216,3.7864678,0.7064991,1.3147147,1.1644413,9.877898,4.5235763,8.404093,-1.7767073,1.8648579,4.4068303,0
9.4593,7.6993184,4.737271,4.9431314,6.488645,7.158202,9.014825,3.5171056,-0.44816852,8.117022,5.1628957,-0.07171486,1.2700131,1
3.7574525,5.7880135,6.1015506,3.779152,0.69743186,1.3132156,1.1733602,9.875594,4.5216036,8.41314,-1.779398,1.8636348,4.3979316,0
9.467534,7.707464,4.722674,4.9561915,6.5036726,7.1432085,9.018214,3.4803388,-0.48486283,8.090801,5.1763453,-0.057758383,1.2552586,1
3.7427418,5.802697,6.0870914,3.7915013,0.71212137,1.3068241,1.1597358,9.871663,4.525621,8.39839,-1.7711123,1.8652173,4.4124455,0
9.479889,7.720875,4.711548,4.9683514,6.5172396,7.131196,9.026092,3.4551327,-0.5108638,8.071951,5.1896873,-0.050122067,1.2431049,1
3.7718701,5.773553,6.1101036,3.763718,0.7028026,1.2969605,1.188251,9.858839,4.502059,8.412194,-1.7967316,1.8642015,4.405082,0
9.470819,7.710823,4.70696,4.969441,6.520988,7.1271057,9.014658,3.4736362,-0.49184155,8.0886135,5.1904993,-0.04524623,1.2387639,1
3.712739,5.832654,6.056364,3.8194783,0.73954195,1.3064554,1.1307399,9.879573,4.548108,8.367544,-1.7462981,1.8592563,4.437565,0
9.481962,7.7230124,4.7093935,4.970479,6.5195518,7.128888,9.025849,3.4531755,-0.51301384,8.070576,5.1919537,-0.04794915,1.2408992,1
3.750962,5.794467,6.0941887,3.7842474,0.70614743,1.309258,1.1674882,9.872745,4.522116,8.40482,-1.7766291,1.8645325,4.4067297,0
9.4883995,7.7296906,4.702262,4.977295,6.5269957,7.1219296,9.022028,3.4559689,-0.5111394,8.072449,5.1992927,-0.042203717,1.2336082,1
3.7151694,5.830174,6.0585103,3.8160982,0.74123615,1.3136755,1.1336485,9.875698,4.5347705,8.369823,-1.7506787,1.8751483,4.4413333,0
-1.3639348,4.062592,1.6022297,9.121636,2.4760077,8.700288,8.017843,8.829739,10.07225,5.243726,7.606565,-2.7648013,3.4065115,0
4.3861084,3.720342,12.230486,17.315138,6.051917,6.708271,4.19533,4.932223,7.244794,4.059374,5.487371,-3.8998225,1.5771518,1
4.3756213,3.713676,12.246,17.296503,6.0421033,6.6969213,4.174345,4.9166727,7.2390814,4.0724835,5.473684,-3.8879707,1.5951209,1
-1.381773,4.046219,1.5868025,9.104711,2.457858,8.68392,8.033131,8.811625,10.088513,5.253593,7.5880527,-2.747465,3.42481,0
4.372678,3.7286391,12.234651,17.298397,6.038417,6.693741,4.1859174,4.9376674,7.2444296,4.0662103,5.4942904,-3.9082148,1.5735865,1
-1.3700993,4.0586724,1.5996642,9.116512,2.4687338,8.696208,8.020233,8.822571,10.076067,5.2485704,7.5986996,-2.7592657,3.41351,0
4.354838,3.7216434,12.260754,17.270895,6.021707,6.674313,4.1536026,4.9192524,7.2368064,4.088427,5.478322,-3.8944361,1.5960908,1
-1.3713982,4.056916,1.5975736,9.115078,2.4679964,8.69453,8.022364,8.821636,10.07785,5.248584,7.5980525,-2.7578738,3.4146247,0
4.307431,3.747636,12.255193,17.222294,5.975319,6.628602,4.144112,4.934192,7.2459946,4.1323495,5.496063,-3.915188,1.5820005,1
-1.3851842,4.0380383,1.5759151,9.098502,2.454267,8.675911,8.044346,8.80929,10.097082,5.253803,7.5862656,-2.7425997,3.426324,0
4.292107,3.7814596,12.270209,17.200214,5.9559836,6.6046314,4.1195726,4.9641566,7.2542424,4.140679,5.5294743,-3.9511542,1.5626727,1
-1.383647,4.040153,1.5781295,9.099947,2.4559534,8.6777935,8.042167,8.8101425,10.094989,5.253352,7.587401,-2.744104,3.4253035,0
4.255229,3.8099174,12.291936,17.153055,5.917471,6.562119,4.0856214,4.978134,7.259772,4.1766996,5.548366,-3.9745004,1.559053,1
-1.4035828,4.011754,1.5445418,9.0749655,2.4367738,8.6495285,8.076441,8.791924,10.12407,5.259806,7.5708575,-2.7214842,3.4422755,0
4.2723317,3.8066359,12.278908,17.176752,5.934393,6.580857,4.106483,4.98299,7.2615275,4.1591964,5.5510006,-3.97497,1.5505183,1
-1.3381219,4.089869,1.6298623,9.147429,2.5019145,8.727066,7.9902687,8.8540325,10.045007,5.2279687,7.6313357,-2.7906349,3.3818736,0
4.231736,3.8437762,12.299798,17.130182,5.891625,6.535145,4.0775557,5.01156,7.2733474,4.1976824,5.583257,-4.0102267,1.5339003,1
-1.370938,4.0565896,1.5966774,9.115011,2.4687965,8.69418,8.023348,8.8222275,10.07826,5.2476926,7.598983,-2.7580557,3.4139516,0
4.258946,3.8115475,12.287785,17.159098,5.9209456,6.566071,4.092195,4.9824376,7.261469,4.1726418,5.5519867,-3.9774284,1.5540279,1
-1.3706297,4.057031,1.5972612,9.115484,2.468849,8.694676,8.022716,8.82256,10.077803,5.24771,7.5991697,-2.7584774,3.4135718,0
4.255469,3.8150985,12.289554,17.155006,5.9172525,6.562064,4.0897427,4.9851036,7.2624154,4.175902,5.5550385,-3.9807937,1.5523947,1
-1.3918844,4.0286717,1.5648811,9.090155,2.4478486,8.666566,8.0556135,8.803121,10.106672,5.256183,7.5806136,-2.735024,3.4321415,0
4.2447867,3.8374112,12.286092,17.142296,5.9045362,6.5475655,4.091794,5.006167,7.271736,4.184239,5.5767236,-4.0030084,1.5341144,1
-1.3914771,4.029438,1.5659862,9.090792,2.4478257,8.667374,8.054459,8.803392,10.105891,5.256366,7.5806603,-2.735588,3.431734,0
3.2400644,6.5095835,6.3327107,6.007983,5.009795,6.186364,5.644262,4.292846,5.0727854,4.720578,7.812678,12.717988,3.2957094,1
-1.496306,3.8760428,1.3713543,8.954477,2.3518975,8.511514,8.255343,8.699558,10.26458,5.285954,7.491946,-2.6151052,3.5256171,0
3.249694,6.4919558,6.3075004,6.012411,5.0241857,6.189336,5.6649613,4.2859163,5.059367,4.737769,7.8383265,12.723946,3.3057692,1
-1.5375493,3.819249,1.3031464,8.901944,2.3781822,8.453451,8.325502,8.672844,10.321794,5.2523355,7.505548,-2.564298,3.566747,0
3.1355286,6.519412,6.2550163,6.0407996,4.9504514,6.281998,5.7403827,4.179052,5.0528355,4.692556,7.897911,12.656257,3.2588792,1
-1.536668,3.8091998,1.2822208,8.895956,2.3822398,8.44219,8.348324,8.676205,10.33216,5.250386,7.5093455,-2.5593922,3.5675797,0
3.1522007,6.486375,6.203525,6.060224,4.965962,6.267109,5.757704,4.193359,5.036809,4.736015,7.9480553,12.675328,3.2645283,1
-1.4886277,3.881923,1.3766729,8.959532,2.3675005,8.517326,8.25014,8.711658,10.2586975,5.2787437,7.508391,-2.619417,3.5172021,0
3.1637836,6.423932,6.1296716,6.076983,4.9911165,6.2792115,5.795813,4.1821365,4.9891486,4.806387,8.021598,12.669829,3.2809818,1
-1.5102774,3.8523083,1.3414571,8.932984,2.3659532,8.487138,8.286299,8.693159,10.288535,5.271435,7.502302,-2.5945568,3.5391092,0
3.1409388,6.4148006,6.076485,6.099487,4.9717927,6.29725,5.8323097,4.1610785,4.9806533,4.822582,8.075447,12.663034,3.2618327,1
-1.4864724,3.8878033,1.3879898,8.964237,2.3641424,8.523701,8.237929,8.711851,10.252414,5.2815266,7.5053077,-2.6238053,3.5151439,0
-1.4793013,3.8979204,1.4005585,8.973401,2.3698742,8.534011,8.224986,8.718932,10.241965,5.280173,7.5107455,-2.6320314,3.508664,0
3.1364734,6.4224157,6.075577,6.1030154,4.964794,6.2957387,5.8340244,4.1617217,4.987274,4.814641,8.076619,12.665698,3.2553368,1
-1.5170417,3.8511107,1.3457156,8.929829,2.3656335,8.48652,8.281093,8.683129,10.289551,5.266307,7.50034,-2.590763,3.5452256,0
3.1358247,6.4099417,6.0605216,6.1061673,4.967823,6.301948,5.8433056,4.155595,4.976589,4.82894,8.091626,12.661567,3.2574553,1
