0,1,2,class_numeric
-0.32696964351577973,-0.4713905451099423,-0.4409014308454402,0
-0.3697450483602397,-0.5119138978644826,-0.4396937389327399,0
-0.39968053292088146,-0.5094354808993725,-0.4310501324517383,0
-0.4234845741193366,-0.5128885177083646,-0.42932913372235,0
-0.4384393250620093,-0.5394784172097111,-0.4285807188628589,0
-0.4382310109182942,-0.5456923358224038,-0.4248678062123996,0
-0.43226607249909804,-0.5453222957738563,-0.4254336210336118,0
-0.43918823449427274,-0.5262101373715449,-0.41966646756283155,0
-0.436179145832523,-0.5350743326225389,-0.42219799546917125,0
-0.40609115631014625,-0.5048876124943146,-0.42334810695663116,0
-0.38348123942612045,-0.5064581757714532,-0.42650910503939105,0
-0.3429403957505531,-0.5217094318135307,-0.42599373240960314,0
-0.23128323269520926,-0.5985652834348639,-0.41410519245484195,1
-0.23528466795117,-0.5976234314461758,-0.4186667636571818,1
-0.23226464999667035,-0.6044510549348946,-0.41432013914429366,1
-0.2635751829591043,-0.6114701261113605,-0.41547415061346415,1
-0.22069467261126569,-0.6146273934320433,-0.41118352314386286,1
-0.2675167533152163,-0.6270994815109316,-0.41366112599162663,1
-0.24712293063188612,-0.6485721901248992,-0.41153788420500853,1
-0.16208286128267532,-0.6739965646095823,-0.3943637247655307,1
-0.14372472638158573,-0.6767240434543924,-0.3930775164097359,1
-0.25118583120327614,-0.6394670162847572,-0.41429544382395356,1
-0.2506620836114277,-0.6192193335214862,-0.4134165303125606,1
-0.2782764379523636,-0.6096951387885489,-0.41839628993806544,1
24.798731988384617,27.280601287599325,-16.852861649360758,0
-0.2607807289343677,-0.6236983930414597,-0.4869462377457528,0
-0.28137768117311934,-0.6040023718930169,-0.4773606301297156,0
-0.26285080667380534,-0.6865469828935225,-0.4383781580826333,0
-0.4247289123241246,-0.6845344955608889,-0.5001457411079295,0
-0.4201334223609629,-0.6735882141406089,-0.4883642340539204,0
-0.46935427968096277,-0.5995976569119299,-0.46061298870542566,0
-0.4856433383501515,-0.5873416159433014,-0.4550178612993617,0
-0.48762436084709493,-0.593247560302189,-0.4596948237452923,0
-0.49311337050435644,-0.5750470350674651,-0.4405411746029924,0
-0.4934125721652736,-0.5773404047029277,-0.44227238548459935,0
-0.48828065387177544,-0.5810007722230823,-0.4499505338154698,0
-0.2578903855407368,-0.6564201902655997,-0.41881520841829084,1
-0.14493588891163425,-0.7300186904183131,-0.3969996896267499,1
-0.21893899600655642,-0.6501459639014273,-0.4327693008528493,1
-0.10059404740728463,-0.7087665321367743,-0.3865266205780264,1
-0.06559849133955092,-0.7247675397324993,-0.39437902485898274,1
0.08020443876229426,-0.7557348766657781,-0.37410481367728776,1
-0.03508816137830442,-0.6778789645749527,-0.401295123676311,1
0.2094312724296859,-0.7559844382380463,-0.3661654769831175,1
0.6799227960013189,-0.8402688894142176,-0.3174388316708482,1
1.000120201455449,-0.9835704443337129,-0.24933766896726828,1
0.7540936431170883,-0.8042417267493651,-0.3346894249816764,1
0.638590798803644,-0.8334926538530351,-0.31381724396039296,1
-0.37259320891087483,-0.4771612331381979,-0.42691340315979276,0
-0.4289452575170075,-0.5048380418830631,-0.41252791570939434,0
-0.4312781505368579,-0.5144469980916334,-0.41740404381587415,0
-0.44517551634516794,-0.5237960184160415,-0.41346712412504244,0
-0.4490902364993528,-0.5394226175109493,-0.41721507381336204,0
-0.44893471015252845,-0.5540094162519108,-0.41958229908293215,0
-0.4258182893514732,-0.5699874874248221,-0.4191033823774873,0
-0.4262450837218827,-0.5602184341664189,-0.41938286592186186,0
-0.4227663800140573,-0.5755689163556975,-0.4217342634867291,0
-0.45634880961583957,-0.5667655276233435,-0.43047865722769596,0
-0.4206110355613344,-0.5769935164063064,-0.4228773131961774,0
-0.4212596848236202,-0.5780298440080412,-0.42114425904257835,0
