data_unit,class_list,difficulty,num_classes,class_name_list,PH2,PH3,reducer,kernel,num_components,batch_size,num_epochs,loadable,accuracy,top2accuracy,macro_f1,macro_precision,macro_recall
Spf,specified,easy,2,"['a', 'b']",True,True,pca,None,1,1024,0,gaunernst/bert-tiny-uncased,0.51171875,1,0.3420511555226581,0.5058823529411764,0.5000916030534351
Spf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,1,1024,0,gaunernst/bert-tiny-uncased,0.51171875,1,0.3385012919896641,0.255859375,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,1,1024,0,gaunernst/bert-tiny-uncased,0.51171875,1,0.3385012919896641,0.255859375,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,1,1024,0,gaunernst/bert-tiny-uncased,0.51171875,1,0.3385012919896641,0.255859375,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,1,1024,0,gaunernst/bert-tiny-uncased,0.48828125,1,0.32808398950131235,0.244140625,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,umap,None,1,1024,0,gaunernst/bert-tiny-uncased,0.48828125,1,0.32808398950131235,0.244140625,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,pca,None,2,1024,0,gaunernst/bert-tiny-uncased,0.51171875,1,0.3385012919896641,0.255859375,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,2,1024,0,gaunernst/bert-tiny-uncased,0.48828125,1,0.32808398950131235,0.244140625,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,2,1024,0,gaunernst/bert-tiny-uncased,0.51171875,1,0.3385012919896641,0.255859375,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,2,1024,0,gaunernst/bert-tiny-uncased,0.51171875,1,0.3385012919896641,0.255859375,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,2,1024,0,gaunernst/bert-tiny-uncased,0.48828125,1,0.32808398950131235,0.244140625,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,umap,None,2,1024,0,gaunernst/bert-tiny-uncased,0.529296875,1,0.4036700351345212,0.5941580756013746,0.5188244274809161
Spf,specified,easy,2,"['a', 'b']",True,True,pca,None,3,1024,0,gaunernst/bert-tiny-uncased,0.48828125,1,0.32808398950131235,0.244140625,0.5
Spf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,3,1024,0,gaunernst/bert-tiny-uncased,0.470703125,1,0.4706526425020697,0.47074845502403295,0.4707328244274809
