data_unit,class_list,difficulty,num_classes,class_name_list,PH2,PH3,reducer,kernel,num_components,k,accuracy,top2accuracy,macro_f1,macro_precision,macro_recall
AHpf,specified,easy,2,"['a', 'b']",True,True,pca,None,1,1,0.9161676646706587,1,0.9161593140379957,0.9162840746054519,0.9161513944223107
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,1,1,0.873253493013972,1,0.873216998849275,0.8736026640610979,0.8732231075697211
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,1,1,0.7964071856287425,1,0.7963942068251091,0.7964511141572891,0.796394422310757
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,1,1,0.5289421157684631,1,0.5289346087801846,0.5289371772805508,0.5289362549800797
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,1,1,0.937125748502994,1,0.9371256858794247,0.937125748502994,0.9371274900398405
AHpf,specified,easy,2,"['a', 'b']",True,True,umap,None,1,1,0.8033932135728543,1,0.8033695161687169,0.8034942068784101,0.803374501992032
AHpf,specified,easy,2,"['a', 'b']",True,True,pca,None,2,1,0.9730538922155688,1,0.9730538653768963,0.9730654151244835,0.9730597609561753
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,2,1,0.9740518962075848,1,0.9740502420463375,0.9741305110140585,0.9740398406374502
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,2,1,0.9251497005988024,1,0.9251496260469341,0.9251604600851804,0.9251553784860558
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,2,1,0.6077844311377245,1,0.6076433552567995,0.6078878397300111,0.6077490039840637
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,2,1,0.9750499001996008,1,0.975049875348978,0.9750614549177878,0.9750557768924303
AHpf,specified,easy,2,"['a', 'b']",True,True,umap,None,2,1,0.9780439121756487,1,0.9780431248804742,0.9780815695524672,0.9780358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,pca,None,3,1,0.9760479041916168,1,0.9760470453241538,0.976085362743848,0.9760398406374502
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,3,1,0.9680638722554891,1,0.9680633633071312,0.9680746796710652,0.9680597609561753
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,3,1,0.9311377245508982,1,0.9311294244448806,0.931289632165675,0.9311195219123507
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,3,1,0.6616766467065869,1,0.6616196884946232,0.6617455363015583,0.6616533864541833
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,3,1,0.9780439121756487,1,0.9780431248804742,0.9780815695524672,0.9780358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,umap,None,3,1,0.9770459081836327,1,0.9770447878639978,0.9771023847946925,0.9770358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,pca,None,4,1,0.9790419161676647,1,0.9790413942921117,0.9790644859254537,0.9790358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,4,1,0.9770459081836327,1,0.9770458853210597,0.9770574947110922,0.9770517928286853
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,4,1,0.9421157684630739,1,0.9420970827355333,0.9425914994096812,0.9420836653386455
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,4,1,0.7574850299401198,1,0.7574828559903186,0.7575094129131223,0.7574940239043825
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,4,1,0.9790419161676647,1,0.9790413942921117,0.9790644859254537,0.9790358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,umap,None,4,1,0.9770459081836327,1,0.9770440561676543,0.9771516356695107,0.9770318725099602
AHpf,specified,easy,2,"['a', 'b']",True,True,pca,None,5,1,0.9750499001996008,1,0.9750492789191806,0.9750722154710441,0.9750438247011952
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,5,1,0.9760479041916168,1,0.9760479041916168,0.9760517928286853,0.9760517928286853
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,5,1,0.9540918163672655,1,0.9540852310083079,0.9542889030612245,0.9540717131474103
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,5,1,0.7744510978043913,1,0.7744430101357812,0.7745186330453633,0.7744661354581673
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,5,1,0.9810379241516967,1,0.9810374519785772,0.9810606211526585,0.9810318725099602
AHpf,specified,easy,2,"['a', 'b']",True,True,umap,None,5,1,0.9780439121756487,1,0.978042512500747,0.978123306449042,0.9780318725099602
AHpf,specified,easy,2,"['a', 'b']",True,True,pca,None,6,1,0.9790419161676647,1,0.9790413942921117,0.9790644859254537,0.9790358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,6,1,0.9770459081836327,1,0.9770457024188367,0.9770495264883644,0.9770438247011952
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,6,1,0.9431137724550899,1,0.94309331106778,0.943650594190931,0.9430796812749005
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,6,1,0.7954091816367266,1,0.7952817429904353,0.7960407307577119,0.7953625498007968
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,6,1,0.9820359281437125,1,0.9820356418602613,0.9820472365653088,0.9820318725099602
AHpf,specified,easy,2,"['a', 'b']",True,True,umap,None,6,1,0.9800399201596807,1,0.980039602066957,0.9800511570089883,0.9800358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,pca,None,7,1,0.9780439121756487,1,0.9780435622736527,0.9780550774526677,0.9780398406374502
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,7,1,0.9810379241516967,1,0.9810377541720825,0.9810416060749729,0.9810358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,7,1,0.9510978043912176,1,0.9510919101130311,0.9512576673668101,0.9510796812749004
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,7,1,0.874251497005988,1,0.8742389710569936,0.8743543758967002,0.8742350597609562
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,7,1,0.9790419161676647,1,0.9790413942921117,0.9790644859254537,0.9790358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,umap,None,7,1,0.9780439121756487,1,0.9780435622736527,0.9780550774526677,0.9780398406374502
AHpf,specified,easy,2,"['a', 'b']",True,True,pca,None,8,1,0.9800399201596807,1,0.9800392044367947,0.9800777763610864,0.9800318725099602
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,8,1,0.9810379241516967,1,0.9810377541720825,0.9810416060749729,0.9810358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,8,1,0.9491017964071856,1,0.9490794299909423,0.9497787319284441,0.9490637450199204
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,8,1,0.8642714570858283,1,0.8641935445293534,0.8649948896483439,0.8642270916334661
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,8,1,0.9770459081836327,1,0.9770457024188367,0.9770495264883644,0.9770438247011952
AHpf,specified,easy,2,"['a', 'b']",True,True,umap,None,8,1,0.9790419161676647,1,0.9790413942921117,0.9790644859254537,0.9790358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,pca,None,9,1,0.9790419161676647,1,0.9790413942921117,0.9790644859254537,0.9790358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,9,1,0.9800399201596807,1,0.980039602066957,0.9800511570089883,0.9800358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,9,1,0.9431137724550899,1,0.9431041954106003,0.9433442160274579,0.9430916334661354
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,9,1,0.8692614770459082,1,0.8692582215365063,0.869277048429189,0.8692549800796813
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,cosine,9,1,0.9780439121756487,1,0.9780435622736527,0.9780550774526677,0.9780398406374502
AHpf,specified,easy,2,"['a', 'b']",True,True,umap,None,9,1,0.9810379241516967,1,0.9810377541720825,0.9810416060749729,0.9810358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,pca,None,10,1,0.9790419161676647,1,0.9790413942921117,0.9790644859254537,0.9790358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,poly,10,1,0.9800399201596807,1,0.980039602066957,0.9800511570089883,0.9800358565737052
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,rbf,10,1,0.9451097804391217,1,0.9451092883928705,0.9451128897954955,0.9451075697211155
AHpf,specified,easy,2,"['a', 'b']",True,True,kpca,sigmoid,10,1,0.8622754491017964,1,0.8622617302052786,0.8623744619799139,0.8622589641434263
