0,1,2,3,4,5,6,7,class_numeric
-0.2489276577330658,0.4378995230896136,-0.4322643342598614,-0.180381210334364,0.35937635287478276,0.33734801825415606,0.10790923551457676,0.6943257248702679,0
-0.3384662548243061,0.43762319939876093,-0.4526198648555535,-0.14204715229087167,0.3111533922440663,0.33428175708137886,0.03835782033013724,0.7097696382296532,0
-0.3691930004361943,0.41055651603861104,-0.4563217421128097,-0.16047104905619033,0.32756357392672547,0.2141399400975141,0.07853329191001486,0.6836548712507168,0
-0.4011022239555636,0.39233508607781115,-0.46743465012497426,-0.16034574748624658,0.3410421976354658,0.1684860848933221,0.06399331510642926,0.6674840870715788,0
-0.44340766447474156,0.4021671659994399,-0.4742162494631547,-0.1416722618633575,0.30633460231024184,0.08471377726349816,0.12193702948973198,0.6747761961494164,0
-0.44796518118369544,0.4089497939872726,-0.46820037793411623,-0.1539828058883937,0.32689613062979006,0.01163441097332047,0.20476443671563718,0.6998705343240145,0
-0.4426080876306966,0.4135932580765768,-0.4660027370814219,-0.13857162620286567,0.2853526842620985,0.06465870991033987,0.1623882056529472,0.6879440177223766,0
-0.43461832012950163,0.3908671280347116,-0.46225022032869795,-0.15083186976981527,0.2949694491173049,0.0533078497561097,0.148035711256287,0.6491508858327595,0
-0.4386820742458429,0.4004058356653215,-0.46353732625147487,-0.135687033367042,0.2654274959977866,0.06855364199122968,0.13982908287648932,0.6498489198246781,0
-0.37364018070239907,0.40272727627832483,-0.44813967287479817,-0.16595227199894025,0.3138408215327357,0.15405777778225066,0.11443209318977328,0.6704364774297179,0
-0.34522866033539845,0.42330279984460306,-0.43918024310191084,-0.171879170426339,0.3289576241191976,0.16230759718124624,0.14127137081347826,0.7013828073514532,0
-0.31262415085708,0.467858233392507,-0.41740361834750256,-0.1628553027383863,0.30693532627259784,0.18887195591925232,0.17593970202788528,0.7379032930620079,0
-0.2722419925386174,0.5967516956775987,-0.370989194532876,-0.15005021003324115,0.33508661540896645,0.31379080302639406,0.21995243627797928,0.8808183485043167,1
-0.27633589809455245,0.5924019680921977,-0.3794762990379372,-0.14158180631094802,0.33050528162451076,0.35216296165374555,0.18432735882345472,0.8805841142937061,1
