0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,class_numeric
7.101432,5.4545097,4.3687873,6.207893,5.3018885,4.983869,5.650879,5.7324743,6.226995,5.3668685,6.078788,5.2620234,5.3283753,5.6023765,6.177265,6.5592337,5.298035,3.5705872,0
7.266716,5.4580317,4.3336887,6.2630987,5.3992004,5.050044,5.5912786,5.7520733,6.1698427,5.3032317,6.1299686,5.2934933,5.2373524,5.6112413,6.2051287,6.5193553,5.276756,3.5268977,1
-2.1179924,8.521186,3.8165288,5.84434,2.538483,2.84893,5.5487065,7.165199,6.9280624,6.2323265,4.2617497,3.8984287,6.975978,7.2134967,5.3697534,4.945134,4.026961,6.9517274,0
-1.9166125,8.516664,3.950567,5.8037806,2.6088114,2.9777102,5.5205116,7.1466064,6.9364796,6.325074,4.4020495,3.6076138,6.7891107,7.0626707,5.4554253,5.030549,3.9074023,6.962599,1
6.9948263,5.5295506,4.3458323,6.168271,5.273108,4.9515104,5.7322054,5.727009,6.2317576,5.3525224,6.045653,5.3088493,5.355763,5.6226516,6.1361117,6.5352316,5.2518287,3.6382005,0
7.2755885,5.5603905,4.2970757,6.2500076,5.4605494,5.0316677,5.64408,5.760227,6.1430836,5.2711005,6.1259995,5.3636823,5.206238,5.6391315,6.15439,6.4574866,5.220888,3.6146739,1
-2.0402467,8.50873,3.8631325,5.8442116,2.5161402,2.918341,5.555108,7.1878934,6.9436803,6.255115,4.2908998,3.788883,6.894106,7.194714,5.3722157,4.951396,3.9887667,6.9315825,0
-1.9378898,8.477732,3.9505491,5.7960095,2.53625,2.9556034,5.545212,7.1437097,6.993132,6.298158,4.380431,3.653254,6.844194,7.0982313,5.4355087,4.996987,3.9286346,6.9348493,1
6.7996316,5.499103,4.3957376,6.129018,5.1833057,5.050082,5.806243,5.66301,6.310231,5.384586,6.054079,5.2494125,5.3431535,5.592772,6.2172813,6.593291,5.254361,3.5997887,0
7.3011327,5.4620695,4.296979,6.2947974,5.4252734,5.0329943,5.565616,5.7856445,6.129305,5.261078,6.139388,5.3188596,5.2312775,5.6193504,6.1826787,6.5040054,5.266431,3.523847,1
-2.1351054,8.537731,3.8091683,5.834397,2.5609894,2.8216672,5.532912,7.1551023,6.913243,6.2373443,4.2554946,3.9333656,7.003295,7.216517,5.383469,4.938872,4.027457,6.974005,0
-1.928559,8.474279,3.9209323,5.8390923,2.5593746,2.9500372,5.565883,7.172205,6.9754786,6.249439,4.357632,3.641198,6.8213434,7.103542,5.386903,5.0163307,3.973007,6.928269,1
7.0765786,5.451212,4.373727,6.196739,5.278688,4.9885373,5.664635,5.7215915,6.237708,5.374132,6.075174,5.25981,5.335372,5.5996165,6.183263,6.563013,5.2944746,3.5672507,0
7.2722964,5.4000416,4.36336,6.2689404,5.3801203,5.103128,5.569903,5.73164,6.1931267,5.325419,6.146975,5.249574,5.221536,5.5925317,6.25926,6.5474086,5.2992353,3.4723969,1
-2.0800815,8.521741,3.8325276,5.836246,2.511326,2.882795,5.550323,7.178937,6.959861,6.2639403,4.256064,3.8245294,6.929389,7.222589,5.3980055,4.9390397,3.9926496,6.9497023,0
-1.9061321,8.447151,3.9437597,5.8479705,2.5384698,2.978491,5.595315,7.1742225,7.001309,6.2647543,4.385241,3.6189895,6.78037,7.067189,5.401108,5.056658,3.9573452,6.891908,1
7.139291,5.586899,4.3288717,6.178973,5.385693,4.94233,5.7034736,5.7400746,6.1993217,5.3360233,6.063894,5.356206,5.2950764,5.641489,6.103804,6.474803,5.233258,3.6837327,0
7.3302794,5.649138,4.2731996,6.233695,5.5340295,5.020666,5.6725297,5.761855,6.126023,5.2489305,6.1230187,5.4213767,5.1670637,5.6666894,6.1169114,6.403902,5.181387,3.680457,1
-2.063815,8.514183,3.8324828,5.855665,2.6069355,2.899083,5.545477,7.1571474,6.873172,6.210453,4.314706,3.891428,6.929395,7.1700954,5.347092,4.958781,4.026037,6.9413905,0
-1.9460611,8.482393,3.8797436,5.854853,2.5766914,2.9217153,5.572556,7.1726413,6.941089,6.244321,4.3394394,3.7023814,6.8460374,7.119405,5.393656,5.0133324,3.9913056,6.930822,1
6.624526,6.585132,4.3358493,5.674488,5.788681,4.7683406,6.6993985,5.637066,6.3741117,5.2501082,5.8042116,5.7427797,5.0556827,5.774912,5.7869315,6.053439,4.8115807,4.469796,0
