0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,class_numeric
0.67431736,4.511553,4.6878,4.492464,6.3055577,4.64028,6.222219,2.9922624,4.5129128,4.005275,6.6269045,7.3280644,5.361972,4.639958,4.905228,4.542876,4.6224155,4.8330636,0
0.44904387,4.5835853,4.694525,4.5814385,6.2419467,4.695683,6.225809,2.964982,4.404011,3.889301,6.7040305,7.267461,5.39453,4.6545024,4.86475,4.449511,4.7360673,4.7362833,1
11.430581,3.582453,6.579184,2.8252027,3.8820918,5.302382,9.642757,1.1506244,4.3027472,5.0185194,5.121335,7.052975,2.4834013,6.185015,7.290517,5.3501205,2.917442,3.2966435,0
11.298028,3.482406,6.668971,2.6163325,3.8081486,5.3449183,9.674149,1.1431371,4.254072,4.8426514,5.237262,6.9415836,2.5397868,6.2668386,7.327216,5.4021235,2.88971,3.222201,1
0.6575461,4.5400176,4.687981,4.528304,6.2491236,4.688975,6.257162,2.9610288,4.468167,3.916661,6.688032,7.2904897,5.3865485,4.678972,4.9126287,4.5122285,4.6920724,4.777495,0
0.5446639,4.6215835,4.6751313,4.641074,6.226771,4.696297,6.2430663,2.9627461,4.3750606,3.8824158,6.744075,7.269335,5.3877406,4.6691704,4.879115,4.3957043,4.747175,4.683321,1
11.3544445,3.5365505,6.628618,2.7044709,3.8308697,5.309397,9.678455,1.1293991,4.253899,4.9019504,5.1913686,6.976651,2.4943278,6.2447214,7.332815,5.3956037,2.8802607,3.232591,0
11.248206,3.523235,6.620754,2.601875,3.884171,5.3130603,9.657405,1.1557722,4.267744,4.781932,5.315697,6.9289374,2.526175,6.291916,7.3447356,5.4199934,2.9238377,3.233511,1
0.7470902,4.522154,4.6884108,4.4855313,6.1976037,4.7285895,6.3198533,2.9048433,4.4824934,3.8537507,6.723207,7.2643547,5.4058676,4.741733,4.972064,4.5608597,4.7153893,4.7796717,0
0.3752127,4.558035,4.735233,4.5022445,6.2506394,4.7054873,6.1558704,2.9455833,4.3859835,3.8693795,6.625864,7.2383947,5.4370475,4.587226,4.8036857,4.515617,4.7675147,4.8050694,1
11.413064,3.6148522,6.536554,2.8227115,3.9354973,5.2843647,9.653736,1.1372985,4.269103,4.995478,5.170984,7.0127215,2.4551501,6.2312036,7.3333964,5.394861,2.9119434,3.2579243,0
11.249407,3.497926,6.648058,2.5991724,3.845164,5.3487244,9.63163,1.1833825,4.3046446,4.815647,5.274217,6.9667044,2.5639124,6.2491646,7.302136,5.381828,2.9372036,3.2701907,1
0.6127634,4.4909577,4.696592,4.5539412,6.266438,4.66623,6.209103,3.0232766,4.500323,3.9743536,6.6507163,7.339496,5.346352,4.6398215,4.871001,4.4992537,4.664104,4.7398868,0
0.53296655,4.5215955,4.7048965,4.5697336,6.2130966,4.7145104,6.227092,2.9805558,4.451337,3.8996797,6.6957083,7.297833,5.381636,4.663979,4.870608,4.4844403,4.7393827,4.7095513,1
11.405324,3.5762558,6.5932884,2.7779076,3.8518147,5.286898,9.664027,1.1346761,4.28763,4.966996,5.146933,7.022459,2.4744432,6.212749,7.3085604,5.3732643,2.900621,3.2628007,0
11.244994,3.507314,6.635227,2.5939424,3.8651192,5.330887,9.641848,1.172297,4.292125,4.794595,5.295861,6.95342,2.546348,6.265353,7.317087,5.395714,2.9353669,3.2579358,1
0.68034613,4.5941243,4.6571636,4.6668515,6.2168307,4.699098,6.28323,3.0081654,4.4291477,3.9047828,6.767118,7.3026342,5.358695,4.713615,4.9134965,4.392704,4.709465,4.6541886,0
0.55276644,4.717329,4.6501813,4.768363,6.213999,4.700471,6.2437816,3.0023904,4.291717,3.848386,6.804333,7.2532587,5.382999,4.6743093,4.8483405,4.2715645,4.774255,4.5925236,1
11.474806,3.6272829,6.5510516,2.8663056,3.8812885,5.281015,9.643274,1.1450663,4.3236213,5.055581,5.0645823,7.0973225,2.4606805,6.1387076,7.266987,5.3205724,2.9203455,3.328098,0
11.323443,3.5701141,6.5706873,2.7223854,3.9185545,5.311192,9.605497,1.1980714,4.335107,4.8989305,5.226961,7.0513926,2.5512972,6.1807833,7.2622976,5.3282094,2.9629662,3.313999,1
1.836833,5.274768,4.4741864,5.394606,5.981553,4.785752,6.8628273,2.3777235,3.8502164,3.475159,7.609021,6.903115,5.409842,5.260493,5.5051045,3.6514916,4.9758544,4.1559467,0
1.871478,5.215873,4.539053,5.3244176,5.9118843,4.83433,6.8384323,2.3995538,3.8625777,3.425585,7.542685,6.945868,5.3444743,5.27953,5.4530206,3.723947,4.988853,4.1415234,1
11.197366,3.3664954,6.3223076,3.4512684,4.7885833,5.5503635,9.08125,1.640151,4.692993,5.4899526,5.7811756,7.455276,2.8029182,6.3239727,7.064387,5.1850076,3.6757293,3.8174574,0
11.022897,3.3716445,6.317314,3.390907,4.8193965,5.6505504,8.967554,1.7666187,4.708568,5.3906593,5.932395,7.4396243,2.9699264,6.3577843,7.0598793,5.127269,3.7867653,3.9620733,1
2.260574,4.874063,4.623988,4.8998537,5.8603315,4.907184,6.8812666,2.3935237,4.2597036,3.4018059,7.3693557,7.0527983,5.349113,5.3407435,5.5475974,4.1763225,4.9187436,4.37438,0
2.096827,5.2064104,4.5805626,5.3106523,5.824005,4.876403,6.8929615,2.3549106,3.8926876,3.3370175,7.561961,6.9408827,5.2972164,5.358675,5.499783,3.75366,5.0183864,4.1156015,1
7.9027762,3.9503658,5.804825,3.312646,5.1951737,5.8520026,7.920104,2.4836028,4.9753227,4.2832074,6.663894,7.4221764,4.3325734,6.013043,6.51436,4.9543896,4.323967,4.494347,0
11.270187,3.3799183,6.316121,3.3771985,4.676368,5.4988503,9.141219,1.6014211,4.651794,5.439404,5.6320586,7.4069223,2.7658298,6.2590966,7.051703,5.192046,3.5277238,3.652502,1
2.4805896,4.468839,4.664533,4.3671627,5.940754,4.9416947,6.820651,2.542373,4.7687955,3.6437318,7.066132,7.31412,5.4625187,5.2553997,5.5602326,4.7217603,4.733938,4.800334,0
1.8653595,5.220954,4.548123,5.3299737,5.899485,4.8284645,6.8326187,2.3879898,3.8269014,3.4044137,7.538289,6.9204082,5.3302836,5.2817016,5.4459057,3.7193842,4.984671,4.14172,1
11.148539,3.41459,6.366528,3.491082,4.8039393,5.517217,9.13194,1.5863198,4.6852975,5.4574203,5.785191,7.445156,2.772697,6.3055167,7.0896792,5.230405,3.6766295,3.8440902,0
10.900988,3.3489497,6.255446,3.252686,4.7659173,5.7303047,8.8429575,1.9082409,4.739566,5.3022842,5.9494333,7.387789,3.109202,6.377266,7.0303164,5.0714192,3.7839599,3.9740217,1
9.594129,3.5752013,6.0765843,2.9929245,4.9892144,5.8412213,8.506422,2.3298147,4.7520385,4.7701354,6.2962656,7.3553014,3.7701957,6.340005,6.8226786,4.9881864,4.0786624,4.2714586,0
2.0505204,5.234612,4.568368,5.3347883,5.8261995,4.880766,6.8944263,2.3613238,3.8722408,3.3456762,7.563709,6.928646,5.296431,5.3509736,5.4848523,3.729099,5.0318813,4.101372,1
11.089544,3.3539977,6.2999053,3.3647544,4.768001,5.618388,9.015882,1.7144405,4.7224894,5.4531293,5.856317,7.423725,2.9103937,6.3383665,7.0668535,5.145322,3.712163,3.880943,0
10.932705,3.3734524,6.29508,3.285145,4.749814,5.676691,8.910063,1.8347074,4.7498794,5.3229704,5.943659,7.3769817,3.0485022,6.344333,7.0554605,5.1175327,3.7578318,3.9646263,1
2.3729572,4.50011,4.6638994,4.4140224,5.9358163,4.852927,6.780073,2.5708568,4.716602,3.6006675,7.0814295,7.335002,5.4304233,5.253681,5.5089135,4.6888776,4.7089877,4.8002,0
1.801694,5.1135373,4.572934,5.2145553,5.890303,4.860663,6.80657,2.4567099,3.9523268,3.4551878,7.4635653,7.035072,5.327014,5.2520576,5.4275255,3.8295858,4.9655356,4.1818976,1
7.61663,3.9606187,5.7114735,3.4234567,5.255108,5.789575,7.8627787,2.4872692,4.9494114,4.187014,6.7214217,7.420947,4.447537,5.981797,6.4665375,4.9110994,4.408671,4.5088005,0
7.683309,3.9495242,5.717905,3.4273446,5.2546973,5.7846136,7.9100747,2.471131,4.9324684,4.222417,6.710723,7.4042826,4.401655,6.0231876,6.469129,4.918936,4.396086,4.4917006,1
2.9334955,4.3163056,4.773338,4.249962,5.8810263,5.024301,6.8349724,2.5994258,4.7968383,3.7446356,6.9555387,7.3327627,5.401782,5.246101,5.5691986,4.790641,4.7148805,4.7434077,0
0.82167053,4.649661,4.634818,4.676042,6.1580057,4.7283525,6.426896,2.802078,4.3865857,3.823996,6.8967667,7.233223,5.377824,4.8416953,5.077629,4.369103,4.7597914,4.649842,1
8.617488,3.8029816,6.004094,3.091356,5.1021543,5.8024125,8.297292,2.4459014,4.903381,4.396069,6.438303,7.314088,4.046969,6.0840755,6.6342583,5.0077395,4.1719847,4.3532615,0
11.185626,3.4722025,6.3739395,3.2716007,4.524611,5.430007,9.262039,1.4911888,4.6103086,5.30204,5.510788,7.310897,2.723236,6.179114,7.088466,5.2546163,3.3745914,3.5407076,1
2.674992,4.3516192,4.728343,4.317769,5.9045825,4.9589686,6.742704,2.5979562,4.6917562,3.7223954,6.9592223,7.2726593,5.4178033,5.1856756,5.4923944,4.723752,4.7374926,4.7463737,0
0.97250855,5.024743,4.6413226,5.138239,6.007665,4.6691923,6.5331807,2.7197878,4.1579623,3.6788614,7.257703,7.2478104,5.258832,5.023972,5.241656,3.904178,4.964917,4.236992,1
8.568805,3.792524,5.977615,3.2138286,5.1241508,5.795969,8.293838,2.3483264,4.9161706,4.4099565,6.488247,7.334237,3.9487336,6.0826926,6.522646,4.9659944,4.209386,4.308468,0
11.249526,3.464891,6.328681,3.3569949,4.596587,5.4118853,9.270852,1.4731356,4.618485,5.3839593,5.5294776,7.3651185,2.6859388,6.185413,7.076698,5.2585363,3.4104922,3.580355,1
3.1738336,4.3385477,4.783023,4.271375,5.8353767,5.0709777,6.8952384,2.5318427,4.8034167,3.6984003,7.0202847,7.334162,5.4074993,5.3228135,5.639873,4.768493,4.7433367,4.710448,0
1.0496659,4.99562,4.6307945,5.107379,5.9952264,4.7096395,6.5472116,2.6777606,4.1230683,3.6335714,7.2349634,7.1895294,5.2827506,5.0496006,5.229586,3.9373507,4.9456387,4.274324,1
8.908052,3.8292968,6.110406,3.0197687,4.977326,5.6949286,8.566533,2.245339,4.884836,4.440579,6.201031,7.2614555,3.8534467,5.986781,6.7073126,5.1367397,3.9310238,4.1206627,0
11.2614565,3.4954317,6.414566,3.2090158,4.40672,5.3813233,9.357122,1.3975377,4.5489473,5.2652097,5.4127345,7.2589517,2.6443594,6.171247,7.1366014,5.2828836,3.2661762,3.463718,1
2.342207,4.3662906,4.7083187,4.3193913,5.9719906,4.893121,6.692993,2.6694174,4.7339635,3.7476056,6.9266624,7.3248935,5.412108,5.1291857,5.421193,4.747693,4.695025,4.790265,0
1.053628,4.8870983,4.5722365,4.983571,6.070306,4.738763,6.5322227,2.7301636,4.19167,3.7205758,7.1461916,7.195801,5.355579,4.960192,5.166317,4.0629883,4.861075,4.4020433,1
9.085956,3.8340805,6.167004,3.005997,4.9018574,5.6889596,8.655962,2.1350484,4.8864937,4.477903,6.1144433,7.2541513,3.7458386,5.9398746,6.7306957,5.1864142,3.8200858,4.0223284,0
11.294208,3.4756134,6.444661,3.1543312,4.3590508,5.394113,9.357297,1.3989459,4.5363164,5.228239,5.409843,7.233008,2.6423018,6.192766,7.155951,5.2763844,3.255165,3.4406443,1
1.6507049,4.78154,4.6166797,4.847329,5.967159,4.812457,6.6680446,2.6259153,4.340716,3.6455057,7.21262,7.2275553,5.368168,5.120798,5.3530655,4.2027416,4.870357,4.439161,0
1.0690137,4.998463,4.5008965,5.1259446,6.0886073,4.755515,6.560649,2.7504537,4.09999,3.7285905,7.230375,7.1973696,5.380378,4.949824,5.152197,3.9170687,4.8703547,4.2979693,1
8.653224,3.828308,6.062073,3.0425897,5.06066,5.773786,8.380513,2.406805,4.9087715,4.337053,6.37226,7.2593937,4.0065103,6.01275,6.649988,5.049326,4.103312,4.2808003,0
11.345464,3.3976886,6.3024216,3.4381182,4.6436987,5.3969235,9.241969,1.4847953,4.6240277,5.474235,5.494462,7.4170747,2.6473703,6.2062044,7.030898,5.2398295,3.416016,3.5097282,1
1.8004037,4.775639,4.603236,4.811675,5.957016,4.8148336,6.729786,2.575868,4.3649454,3.6036098,7.242918,7.2204046,5.3834305,5.1793833,5.411222,4.2517624,4.8387938,4.4876256,0
2.165896,4.7975144,4.62081,4.8315363,5.900065,4.8876486,6.830783,2.5019603,4.437818,3.537895,7.351655,7.25801,5.3972564,5.2903867,5.543076,4.231826,4.879546,4.42323,1
8.809197,3.6964743,5.941218,3.0668216,5.1701913,5.866988,8.220169,2.5637028,4.8205276,4.550118,6.5300174,7.3810644,4.0869226,6.2946353,6.668912,4.9390783,4.3060994,4.493241,0
10.177926,3.3828313,5.9593763,3.3475404,5.156879,6.0415726,8.258688,2.424625,4.819863,5.206012,6.465231,7.5571513,3.665411,6.6888194,6.8732986,4.859954,4.30348,4.5811377,1
3.3921382,4.8374662,4.660535,4.811646,5.7748823,5.179639,7.1647153,2.338051,4.589268,3.4990735,7.4917545,7.2558627,5.4756002,5.538534,5.8791842,4.2331433,4.95903,4.289975,0
2.424672,4.9357576,4.5976086,4.971185,5.8623996,4.989472,6.9493384,2.4218824,4.375226,3.4846094,7.48138,7.2061167,5.4241896,5.370048,5.6528163,4.0804243,4.966998,4.270364,1
8.801129,3.6938143,5.9904046,2.9872322,5.1581373,5.8816986,8.269732,2.5450702,4.8197255,4.474165,6.5337334,7.336432,4.03296,6.2156234,6.6067133,4.932665,4.2984023,4.432158,0
10.261085,3.337429,5.9563694,3.3738952,5.15443,6.0810013,8.260222,2.4050322,4.7981777,5.257798,6.474934,7.5810876,3.6183674,6.7264414,6.8413005,4.812237,4.31899,4.5742254,1
1.1250937,4.965781,4.5148544,5.090021,6.058373,4.7585487,6.582622,2.710488,4.113636,3.6982422,7.233261,7.167241,5.3760653,4.9827657,5.184746,3.9547572,4.8766403,4.331439,0
2.0732965,4.99649,4.5553803,5.0343337,5.9373765,4.956973,6.8923817,2.4721375,4.2926373,3.5559208,7.4535527,7.1776123,5.4447937,5.278954,5.580525,4.0020514,4.956355,4.256743,1
10.021642,3.3926241,5.927362,3.3410914,5.182851,6.0590653,8.2041025,2.4622176,4.857358,5.165857,6.509199,7.581129,3.7413087,6.7031198,6.8716393,4.8675966,4.338636,4.6305156,0
10.498388,3.4662268,6.249166,3.060127,4.739567,5.8351293,8.726834,2.067117,4.7487,5.007731,6.067411,7.3093524,3.3690565,6.361874,6.985338,5.042994,3.837964,4.0787177,1
1.746789,4.9978986,4.593813,5.0657234,5.9234414,4.8353434,6.758935,2.469752,3.9929068,3.5108535,7.376554,7.0463457,5.3455253,5.209263,5.403594,3.9586492,4.9004436,4.289377,0
3.121808,4.8639755,4.639653,4.8590426,5.7924104,5.1201806,7.0677943,2.3341818,4.4878616,3.4375026,7.501058,7.218127,5.436498,5.4929886,5.7835736,4.1966033,4.9920235,4.281058,1
9.975489,3.4387782,5.9956985,3.2237866,5.103838,6.000339,8.305311,2.44152,4.804091,5.0661607,6.4439116,7.487147,3.7362561,6.6204743,6.891421,4.8956947,4.2612243,4.538982,0
10.3849,3.3773987,5.9933896,3.3643866,5.1349764,5.9727206,8.335877,2.3601978,4.818659,5.268566,6.380699,7.53848,3.5672073,6.6404214,6.9155855,4.911893,4.2334814,4.5082164,1
3.2034929,4.8549423,4.630854,4.7982583,5.8142776,5.1913443,7.1509395,2.3291626,4.604066,3.5123682,7.5014462,7.2551007,5.490264,5.518225,5.869293,4.242044,4.9734473,4.301584,0
3.2158298,4.889956,4.6435637,4.8771205,5.778269,5.1677732,7.1360006,2.32428,4.534897,3.4759138,7.5289955,7.233204,5.470216,5.5315523,5.851267,4.162879,4.9884276,4.2430553,1
