0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,class_numeric
1.428877,1.9729366,5.5214148,3.5309637,3.2292402,4.0458593,5.1172185,3.3506882,5.0238895,6.0802317,2.9540176,4.2677736,6.0509057,4.640049,2.6256647,0
1.329286,1.9337937,5.687225,3.5966616,3.2213964,4.0461144,5.1350317,3.180159,4.903816,6.0729537,3.1386478,4.28783,6.1451116,4.620856,2.612015,1
13.96525,2.0301225,5.125628,4.1481934,2.9477208,3.6091785,5.087646,7.0274277,5.410927,6.9296002,3.776512,7.707672,6.8195853,6.0990224,2.3235683,0
13.935695,1.9691167,5.2061214,4.0273604,2.9144015,3.863656,5.0860696,7.0423417,5.3546505,6.8406496,3.8121076,7.649662,6.7469563,6.2150226,2.3495526,1
1.4324147,2.0427773,5.5110807,3.4855165,3.2330275,4.0981627,5.140428,3.3782735,5.01592,6.066954,2.9386284,4.2520857,6.0627503,4.610635,2.6764219,0
1.3934478,1.9938465,5.6731377,3.5413644,3.2888784,4.1135535,5.1358957,3.222979,4.865925,6.0720234,3.1525314,4.267572,6.1784797,4.576329,2.6777601,1
13.973293,2.0511363,5.1151323,4.083689,2.9992561,3.7277038,5.111845,7.0414643,5.4651775,6.9618993,3.751757,7.6768045,6.870066,6.0688534,2.2581933,0
13.941606,1.9486605,5.209167,4.014031,2.9399903,3.8958843,5.091458,7.046853,5.3575563,6.860697,3.84338,7.640188,6.7381253,6.22933,2.3389423,1
1.5376272,2.057549,5.387892,3.4910002,3.2350304,4.0848403,5.179112,3.5049298,5.1755056,6.1419473,2.853801,4.304352,5.9503016,4.6815133,2.6754632,0
1.3692913,1.9249918,5.736833,3.6004596,3.2473998,4.046032,5.1022124,3.1468327,4.905116,6.0820017,3.1582649,4.2965555,6.179722,4.650668,2.5793397,1
13.922867,2.080628,5.0390286,4.185664,2.9826653,3.5479918,5.102633,6.981369,5.4389987,6.957336,3.7133257,7.7152734,6.8627443,6.0368614,2.3525662,0
13.944658,1.9528221,5.196472,4.006095,2.9457788,3.8900058,5.101241,7.039301,5.374194,6.877175,3.84233,7.6380544,6.7604804,6.2086015,2.3109803,1
1.3367473,2.0065746,5.507095,3.4730508,3.1954398,4.0658627,5.078193,3.3566287,4.9606557,6.0084004,2.9000208,4.195971,6.101113,4.5663877,2.6627314,0
1.3013366,1.9548141,5.62222,3.5707345,3.201828,4.052059,5.1446934,3.207357,4.8987927,6.0446925,3.0833242,4.2600875,6.131829,4.5837293,2.6408806,1
13.924775,2.0312696,5.090204,4.0828276,2.9925497,3.6827693,5.1333914,7.0003233,5.467337,6.950074,3.7725062,7.648297,6.8665895,6.059074,2.2776933,0
13.949304,1.9584898,5.2393613,4.0476904,2.8911057,3.8859131,5.059575,7.0755835,5.323852,6.814186,3.8108456,7.664468,6.7169733,6.2563167,2.384556,1
1.4443238,2.0213776,5.6366696,3.4922204,3.2545688,4.07439,5.0694785,3.2632601,4.9346066,6.02309,2.9499447,4.2142415,6.1530046,4.5896726,2.6071122,0
1.5720061,2.0547173,5.6630197,3.5111618,3.3582523,4.1531243,5.165939,3.2903016,4.9460273,6.1085973,3.1273181,4.2995563,6.113597,4.620619,2.6890259,1
13.880484,2.0167885,5.0555224,4.0937924,2.9752116,3.6293633,5.151743,6.958212,5.473197,6.9402514,3.7868934,7.6284003,6.8675213,6.030953,2.2998774,0
13.869461,1.9634644,5.1270804,4.0005164,2.9688194,3.8187292,5.1432056,6.987606,5.4303064,6.8861613,3.8158572,7.588484,6.7954836,6.140691,2.3090105,1
2.7419038,1.9448054,5.88796,3.8094327,4.0899425,4.206994,5.3949933,3.5667193,5.1389513,6.542543,4.0248113,4.550549,5.6753325,4.8227143,2.6395512,0
2.7208824,2.081615,5.831472,3.845326,4.072244,4.2772317,5.515819,3.5890796,5.0966845,6.602204,3.946988,4.680336,5.6986084,4.8232574,2.7747557,1
13.051595,2.49101,4.321757,4.35984,3.3310387,2.8541033,5.423889,6.5553126,5.8768516,6.9369755,3.526148,7.4836054,7.230018,5.6360574,2.7108445,0
12.945728,2.4859617,4.2719674,4.3766723,3.3928144,2.8946862,5.4705863,6.5548677,5.9003434,6.877344,3.591449,7.4820848,7.2909617,5.6509595,2.8318932,1
2.7315702,2.0163593,5.596475,3.9923773,4.0105953,4.149243,5.5489936,3.855612,5.4075737,6.7806034,3.6275847,4.736679,5.457314,4.9570894,2.7928174,0
2.8628745,2.005019,5.8920727,3.947693,4.176316,4.245772,5.55738,3.6355214,5.1615167,6.7195964,4.047334,4.734039,5.60768,4.8743324,2.7747872,1
10.109952,1.8307343,3.4684136,4.086958,4.075173,3.5471253,6.464978,5.5927744,6.459737,7.1867604,3.7798786,6.4183006,6.3765435,5.199479,3.4509108,0
13.251688,2.26905,4.4406714,4.236862,3.2452843,3.0434961,5.361878,6.643304,5.765185,6.943969,3.5195818,7.509126,7.1539035,5.7095566,2.557189,1
2.5216465,2.0364587,4.81498,3.641278,3.4699013,4.067522,5.4565816,4.302686,5.872628,6.6618223,2.6174254,4.6593738,5.149645,5.1571827,2.6283514,0
2.8457346,1.9680345,5.9365706,3.8864887,4.168731,4.2544336,5.5140076,3.5684347,5.122169,6.6488776,4.080162,4.676193,5.6667495,4.8320513,2.7104578,1
13.133617,2.411118,4.4210134,4.321398,3.2815278,2.924477,5.381793,6.591052,5.824182,6.9521456,3.5421584,7.4533916,7.1793637,5.652792,2.6409063,0
12.676119,2.3486288,4.1894794,4.311855,3.5127347,3.0632374,5.612624,6.4709635,5.9521546,6.883128,3.6876569,7.341623,7.184323,5.6506243,2.9582105,1
11.546394,1.8246518,3.7545624,4.072713,3.860977,3.6114414,6.1471796,6.050389,6.1190486,7.0073524,3.9407613,6.882628,6.7471375,5.543668,3.4910057,0
2.8505142,1.9590844,5.948199,3.8881476,4.1716723,4.261741,5.531954,3.5647666,5.12364,6.6657867,4.094654,4.6997886,5.6694493,4.835586,2.7164483,1
13.027648,2.4810736,4.322053,4.3601227,3.340243,2.8655953,5.432861,6.54878,5.8805604,6.933448,3.539505,7.4683576,7.232141,5.631945,2.7266102,0
12.751083,2.4368951,4.2305455,4.3516235,3.490216,2.9666789,5.5821285,6.48994,5.9725037,6.869842,3.6674688,7.358613,7.238189,5.6326637,2.9246736,1
2.4760873,2.033997,4.799539,3.5852575,3.4105933,4.0771103,5.393186,4.2595615,5.886991,6.588937,2.574827,4.60104,5.28956,5.052551,2.6565418,0
2.76158,1.968819,5.8970833,3.7608376,4.0703254,4.282644,5.4817944,3.5464017,5.092595,6.5430374,4.0017257,4.637968,5.6867948,4.8415303,2.672508,1
3.244269,1.9138542,4.580784,3.683053,3.7193716,4.1278157,5.758411,4.6231313,5.9905653,6.8330107,2.7022378,5.08691,4.8409915,5.5628724,2.5954323,0
2.9443908,2.0249953,5.7130904,4.050461,4.092274,4.2798657,5.8240156,3.8546348,5.308976,6.9925585,3.7866664,5.0333123,5.3735394,5.139018,2.9305923,1
2.7959445,1.9934003,4.5561833,3.5872374,3.4969969,4.0699706,5.5236006,4.5148945,6.0406203,6.59149,2.5183825,4.7706623,5.0169387,5.299802,2.5742683,0
1.6191711,1.9924725,5.5961146,3.6231463,3.3182821,4.1124525,5.2805505,3.378482,4.9471188,6.1724653,3.2472541,4.3494644,5.993643,4.6162353,2.6949096,1
10.685512,1.8535596,3.5025067,4.0986047,3.9465005,3.4052792,6.287932,5.5934844,6.3513603,7.173008,3.8129458,6.558988,6.5723023,5.2960215,3.3547647,0
13.398002,2.0833037,4.5960817,4.1366563,3.177377,3.2108843,5.34301,6.673201,5.708153,6.993311,3.5405548,7.468265,6.999809,5.7517614,2.3989341,1
2.7098591,1.9963167,4.737929,3.6246445,3.5324063,4.0923615,5.50831,4.368044,5.9169803,6.6357193,2.6421602,4.7441344,5.1396666,5.2111635,2.6207552,0
2.056176,2.1019552,5.864067,3.6765552,3.6585252,4.3242984,5.3945413,3.3412359,4.8836937,6.3650446,3.6094418,4.5379663,6.0146184,4.7521653,2.7902677,1
10.6684065,1.6898273,3.54113,3.9607139,3.922448,3.3175752,6.2533083,5.5240674,6.394341,7.038815,3.8300717,6.500483,6.5889244,5.3512735,3.265787,0
13.41214,2.1229806,4.6561203,4.1711473,3.1148498,3.2194905,5.2525754,6.720876,5.6206875,7.0038886,3.4919796,7.5136642,7.0510516,5.7300544,2.3806827,1
2.8450637,1.9879664,4.556633,3.605333,3.5316384,4.072441,5.5452557,4.5361476,6.051078,6.6287756,2.5302916,4.800705,4.9898005,5.327925,2.574945,0
2.0665545,2.051687,5.8658857,3.6368883,3.671815,4.2992253,5.3282485,3.3181288,4.89667,6.3168187,3.5951924,4.485353,6.0184584,4.7447395,2.7235808,1
11.308461,1.7975492,3.6465712,4.080549,3.8685074,3.1266224,6.245447,5.6524925,6.448286,7.1966677,3.7733946,6.5697346,6.7236676,5.204151,2.9428966,0
13.475463,2.0946734,4.698381,4.1424885,3.1182585,3.2742972,5.2604647,6.7461576,5.6218467,6.991866,3.5471785,7.5150237,6.9999356,5.796062,2.3699582,1
2.4050019,2.0271797,4.739291,3.524867,3.3405676,4.0739284,5.393645,4.264747,5.8625884,6.4520288,2.555151,4.585272,5.28224,5.0770125,2.6294506,0
1.9307549,2.0751574,5.7337494,3.62918,3.5465965,4.22677,5.343378,3.3845472,4.9822497,6.297993,3.4622688,4.461368,5.975031,4.6973157,2.7590175,1
11.434013,1.8009609,3.7157936,4.070214,3.837683,3.1103008,6.2060237,5.697211,6.4383497,7.1902328,3.742338,6.5726633,6.7213206,5.207397,2.8553576,0
13.451736,2.050814,4.7227354,4.124552,3.1476939,3.3174562,5.2782106,6.74719,5.6314244,6.956548,3.5866404,7.4709625,7.015514,5.788331,2.403861,1
2.3520632,2.013835,5.5385394,3.66584,3.7055557,4.2110558,5.4057503,3.6978552,5.271514,6.47214,3.382988,4.5671663,5.656992,4.899569,2.6840045,0
1.9420853,2.041576,5.8537946,3.5945024,3.5783675,4.2689896,5.28859,3.2882345,4.8920546,6.256561,3.50742,4.4270663,6.053296,4.6977005,2.7127767,1
10.724707,1.8212185,3.5835595,4.0751004,3.985071,3.3433714,6.3211074,5.6585813,6.4670744,7.1876163,3.7645292,6.4943223,6.5853286,5.18683,3.2640712,0
13.496518,2.2241194,4.4675145,4.208092,3.0980382,3.0486462,5.254335,6.6628222,5.6511464,7.0599003,3.4145079,7.626235,7.0208397,5.728925,2.36862,1
2.459855,2.0200956,5.4453406,3.6985512,3.7340295,4.1829267,5.440052,3.7990189,5.385771,6.562634,3.346396,4.601558,5.563647,4.9104295,2.6921673,0
2.614316,2.013219,5.3994236,3.7311182,3.7625523,4.2161717,5.55924,3.9044998,5.448172,6.6843276,3.2956655,4.7473116,5.4363565,5.055347,2.7260168,1
10.747597,1.8138741,3.4771483,4.1034555,4.010202,3.5027533,6.39495,5.6666265,6.371525,7.167013,3.8815176,6.633216,6.6001854,5.2772236,3.5283682,0
11.585309,2.046125,3.6716218,4.2148175,3.8206208,3.8909068,5.9118977,6.124105,5.8428607,7.047104,4.062011,7.217544,6.858848,5.8036585,3.8224823,1
3.163296,1.9686857,5.2872624,3.893298,4.02386,4.2980833,5.8906846,4.207831,5.581941,6.9407744,3.392043,5.1254544,5.037019,5.4214673,2.760611,0
2.8079517,1.9800103,5.521206,3.781677,3.907516,4.273324,5.6740913,3.8924503,5.3660154,6.7340245,3.5346656,4.8670645,5.3745546,5.1415133,2.737595,1
10.752085,1.7717588,3.4822643,4.061329,3.978644,3.4591842,6.353378,5.6056395,6.364362,7.1234922,3.8854961,6.6091805,6.6038876,5.3183193,3.476091,0
11.637667,2.081269,3.7049975,4.2250905,3.7691202,3.9415822,5.853253,6.1201534,5.7895985,7.062214,4.0878406,7.2520933,6.909123,5.8671403,3.8462315,1
1.9375917,2.099036,5.7384586,3.6141663,3.545168,4.2248535,5.3677564,3.3952107,5.011476,6.307828,3.4796848,4.4690304,5.9568434,4.6817374,2.7942154,0
2.674682,1.984657,5.590258,3.7159033,3.872364,4.2729745,5.5561657,3.7685056,5.282439,6.604173,3.5894353,4.730477,5.51695,5.0202594,2.695427,1
11.549694,1.9637144,3.6776564,4.1632123,3.8807385,3.8969166,6.009788,6.12607,5.897275,7.0024295,4.0712266,7.1147723,6.7847905,5.758971,3.789913,0
12.438741,1.9970305,4.1859074,4.118591,3.6010907,3.450877,5.7698083,6.4101753,5.9468813,6.903017,3.812628,7.1365514,6.93164,5.6985607,3.02075,1
2.523743,2.009891,5.783455,3.7223952,3.9153662,4.2370853,5.4122257,3.5526135,5.140558,6.4876986,3.775635,4.562419,5.751678,4.7801976,2.6801324,0
3.1051435,1.9337697,5.259599,3.8388743,3.9701056,4.253602,5.792902,4.1969805,5.5852795,6.8771443,3.3740315,5.0330453,5.065841,5.370055,2.7065146,1
11.534552,1.9062855,3.71135,4.110477,3.9175708,3.8977358,6.064131,6.1338625,5.942133,6.959118,4.080409,7.0480256,6.7560997,5.7208123,3.7461927,0
11.788842,2.1072295,3.7278335,4.247567,3.7731466,3.8365204,5.8230014,6.2224145,5.800525,7.03879,4.013144,7.346407,6.909137,5.828508,3.7810175,1
3.094091,1.8968431,5.1934404,3.757247,3.910435,4.24496,5.7322826,4.2449374,5.634171,6.791565,3.313061,4.9650774,5.030781,5.38229,2.6274076,0
3.1470537,1.8849324,5.2309117,3.7897916,3.963051,4.245903,5.7490206,4.2291737,5.602057,6.82812,3.3917124,4.9869337,5.026678,5.376355,2.652952,1
11.581705,1.9455155,3.758772,4.094618,3.923444,3.9869888,6.093773,6.24184,5.9432406,6.8939614,4.0196238,7.0468483,6.6908627,5.7014813,3.772849,0
11.714479,2.0859632,3.7210367,4.2295904,3.7739773,3.9075541,5.8380113,6.1693106,5.796635,7.0506353,4.061811,7.293016,6.910878,5.8550606,3.8236272,1
3.8302784,2.0215492,4.1115947,3.7021632,3.8004076,4.0066957,5.684116,5.071475,6.414078,6.942179,2.3490772,5.1618094,4.548562,5.776026,2.4111595,0
2.510569,2.0300045,5.280769,3.7160451,3.688064,4.1393223,5.408946,3.940035,5.5817266,6.7295504,3.0562215,4.6144304,5.497329,4.941637,2.6981359,1
10.228435,1.7971985,3.5048378,4.052261,4.0555725,3.5602708,6.4438176,5.704542,6.404896,7.157688,3.736528,6.424244,6.3942685,5.263292,3.4982674,0
13.514296,2.4680579,4.0513635,4.258806,3.0708926,2.70186,5.211046,6.523508,5.6868153,7.1956253,3.2158945,7.824969,7.0498953,5.6408744,2.3134034,1
3.8061905,2.0420737,4.140957,3.7051172,3.7910445,4.006455,5.6871943,5.038814,6.39816,6.9144793,2.3807964,5.1362658,4.5442495,5.7761264,2.414043,0
10.114726,1.8312112,3.4783685,4.094823,4.0633507,3.6139667,6.4961104,5.680531,6.382328,7.1495895,3.7753408,6.42899,6.3507056,5.2634535,3.511129,0
13.488553,2.4170144,4.0833516,4.2458572,3.0578585,2.768804,5.2005568,6.559241,5.656952,7.189096,3.2236426,7.8146625,7.0171657,5.6625433,2.317632,1
3.856724,2.015165,4.111939,3.6741233,3.8082232,4.038043,5.705665,5.0437136,6.414022,6.953486,2.3603203,5.164399,4.566963,5.7441044,2.4472709,0
9.966723,1.8396919,3.4579709,4.0961018,4.084702,3.623886,6.4977226,5.621014,6.4166384,7.1684146,3.7682154,6.4011006,6.31303,5.237451,3.5128438,0
13.575711,2.3730977,4.1252418,4.23397,2.9954612,2.7927396,5.1636944,6.600905,5.611756,7.198535,3.2013273,7.8557386,6.992094,5.6771927,2.270755,1
2.8275564,1.9966629,4.8166523,3.7287006,3.6531594,4.0682664,5.4834013,4.372093,5.974879,6.867672,2.6244183,4.750516,5.152225,5.165579,2.6417603,0
10.224066,1.7899506,3.4722404,4.06194,4.030619,3.5624459,6.455679,5.683143,6.349885,7.097396,3.76061,6.4358106,6.37364,5.3085194,3.4834116,0
13.533647,2.4778461,4.0265517,4.208712,3.0094123,2.704221,5.1694593,6.5720005,5.665052,7.179287,3.2202222,7.8941784,7.0638604,5.693104,2.2570808,1
2.8677266,1.9928682,4.8758955,3.7670896,3.708134,4.073032,5.5003104,4.347354,5.947283,6.924088,2.6825607,4.7748933,5.165962,5.161822,2.6585085,0
2.9117227,1.9829608,5.0899396,3.8575943,3.8480756,4.141093,5.620142,4.2470765,5.770573,6.9887753,2.9920971,4.889698,5.146702,5.2252617,2.7197423,1
13.263235,2.2547827,4.082538,4.2117023,3.1092927,2.9134483,5.266349,6.479367,5.642325,7.220811,3.2483957,7.685103,6.867333,5.6525335,2.3895557,0
13.599645,2.433338,4.0789986,4.2211523,2.9824986,2.732117,5.13975,6.5885983,5.6265903,7.2022266,3.1848526,7.899332,7.0445147,5.6817727,2.2236726,1
10.330082,1.6021211,3.6647117,3.844451,3.881708,3.2378807,6.197817,5.454891,6.4610047,6.9926195,3.7969172,6.3343196,6.586001,5.3282375,3.1616836,0
2.199784,2.0739083,5.0710826,3.558976,3.3974204,4.1022763,5.372249,3.9686444,5.605292,6.45793,2.7867231,4.52411,5.504846,4.907946,2.6918461,1
12.785397,1.8325465,4.4112935,4.014281,3.461851,3.27993,5.6827846,6.390453,5.9908786,6.9894733,3.6769037,7.041802,6.850167,5.5930514,2.4868546,0
10.951179,1.9870914,3.5769367,4.1973743,3.876051,3.3482738,6.215799,5.720567,6.2672048,7.2656727,3.7692416,6.626949,6.620246,5.2742853,3.237674,1
2.290473,1.999685,5.0789356,3.7751558,3.5753098,4.0033064,5.322668,4.050992,5.692391,6.4842563,2.8705475,4.50352,5.4145737,4.9311767,2.6366353,0
1.9886343,2.1284485,5.0304894,3.4765704,3.2606013,4.1002116,5.376731,3.9171247,5.5742025,6.392188,2.6608522,4.503223,5.573907,4.835092,2.728974,1
11.641319,1.7698313,3.817617,4.025344,3.8280754,3.104814,6.107498,5.7916512,6.42673,7.1012716,3.7213712,6.605924,6.761389,5.2589135,2.8136675,0
12.451652,1.7834198,4.218179,3.9927182,3.607011,3.216001,5.85131,6.220413,6.146968,7.0155234,3.6892068,6.8862395,6.8019238,5.477598,2.591815,1
