0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,class_numeric
10.675321,6.630223,-1.6835097,6.9667683,8.992221,5.589062,1.7271408,5.0927367,0.5550158,6.3897214,5.9404445,5.7593656,0.5156985,3.148662,3.18701,2.8502312,8.35855,4.325052,3.8411918,4.9402504,6.795346,3.8499477,4.2297645,4.232338,6.9234896,5.7958603,0
10.681305,6.6117153,-1.6708812,6.970851,9.00315,5.531909,1.7167454,5.0924354,0.5793842,6.390088,5.9555645,5.7807403,0.4809823,3.1512766,3.2027328,2.8119664,8.360593,4.3570666,3.839511,4.922026,6.8366556,3.855686,4.2072253,4.2391276,6.9452014,5.792766,0
10.654641,6.627693,-1.6747705,6.958028,8.990965,5.5737643,1.739691,5.0949855,0.55703,6.3922553,5.9241147,5.7469893,0.51957804,3.1501145,3.1713138,2.8400116,8.361163,4.319699,3.8500452,4.9498944,6.802764,3.8436198,4.230871,4.2548337,6.911138,5.798719,0
10.671316,6.6159143,-1.6712883,6.960349,9.0064945,5.546275,1.7281243,5.0918326,0.5759162,6.3996897,5.942697,5.7668295,0.4966729,3.156223,3.1898055,2.8162377,8.365787,4.3415065,3.8484876,4.932893,6.828338,3.846023,4.213521,4.24598,6.930984,5.799041,0
10.577623,6.5725694,-1.6045353,6.908004,9.028252,5.519289,1.7842577,5.0990815,0.5705104,6.43836,5.8601727,5.6897655,0.55893695,3.1794827,3.1020281,2.7790709,8.3914,4.2796593,3.9056072,4.970808,6.825374,3.8020568,4.232468,4.35755,6.849124,5.8243403,0
10.573854,6.616094,-1.644249,6.9186635,8.995831,5.5994577,1.7837509,5.1004677,0.5325346,6.4169188,5.8429527,5.663349,0.60832137,3.1597712,3.0856724,2.8436182,8.374914,4.2372146,3.8879635,4.9919753,6.758889,3.8139408,4.2566633,4.3402534,6.822561,5.807909,0
10.562561,6.5866504,-1.6132684,6.9073706,9.015592,5.544223,1.7903527,5.100854,0.5509361,6.432656,5.8415465,5.6679196,0.5852242,3.1728196,3.0831158,2.8015227,8.386089,4.254822,3.9044473,4.986621,6.797719,3.8024895,4.2482686,4.366432,6.8269663,5.819879,0
10.588038,6.6204467,-1.6499125,6.920055,8.99276,5.6089673,1.7824659,5.1001186,0.5281457,6.41362,5.855814,5.6754756,0.59590095,3.157172,3.1013038,2.8484786,8.374143,4.24764,3.8853962,4.992967,6.7555847,3.8155851,4.25772,4.325588,6.8375454,5.8087635,0
10.565792,6.6028175,-1.6288457,6.909945,9.004666,5.5853434,1.7911185,5.100905,0.5378702,6.4252462,5.8385234,5.6609774,0.6034602,3.1662097,3.0817406,2.830268,8.381458,4.240004,3.8986554,4.9929495,6.76923,3.8059616,4.255451,4.3557277,6.8210497,5.8156996,0
10.635378,6.658649,-1.7007123,6.955282,8.985617,5.6506367,1.7482729,5.092765,0.5375485,6.393841,5.89335,5.7056503,0.5836377,3.150356,3.1380992,2.8998759,8.36447,4.26426,3.8466349,4.966837,6.731087,3.8426187,4.2437253,4.262031,6.8678436,5.801921,0
10.6504545,6.7217336,-1.7632904,6.978232,8.935857,5.781799,1.7386826,5.0928316,0.49106276,6.3599434,5.8832383,5.6793056,0.6664285,3.1178904,3.123087,2.9814572,8.33145,4.200415,3.8108513,4.984597,6.639789,3.8657463,4.272173,4.2036705,6.8363576,5.760156,0
10.646322,6.7421823,-1.7821618,6.983643,8.920457,5.8288507,1.7388363,5.0939794,0.47541758,6.3496094,5.8718343,5.664162,0.70051306,3.1087265,3.1115015,3.0130923,8.324824,4.1746054,3.801264,4.9940014,6.602351,3.8723648,4.2809415,4.1956506,6.819665,5.750471,0
9.053226,4.4760857,0.57081705,7.111394,9.456541,-0.73263633,1.9058812,4.7805777,3.169122,5.040825,5.5606446,6.4872932,-0.29455814,2.70991,3.0444932,8.3824005,8.672281,4.1917524,3.185257,4.801754,-0.40006515,4.0704274,5.378508,4.213644,7.0627894,4.3427744,1
9.050386,4.468166,0.5818206,7.1382747,9.447055,-0.80120337,1.9158958,4.7979193,3.159496,5.105296,5.558975,6.492711,-0.32048327,2.680989,3.0518982,8.408587,8.6689415,4.17176,3.1815114,4.7518764,-0.3996581,4.0596204,5.381131,4.2137804,7.06115,4.342808,1
9.0528145,4.476591,0.57331634,7.1206946,9.45355,-0.7587682,1.9103528,4.7883663,3.1650684,5.0650673,5.561082,6.490166,-0.30344695,2.7003448,3.0464718,8.389784,8.671974,4.1856585,3.1824777,4.783275,-0.4004369,4.0678945,5.381895,4.211105,7.0631113,4.3434563,1
9.050825,4.469949,0.57425845,7.12058,9.454458,-0.759853,1.9087919,4.785519,3.1661925,5.0668674,5.5617757,6.4904346,-0.30372292,2.6995099,3.0449243,8.392712,8.669928,4.1842885,3.185636,4.7804046,-0.40220058,4.0666766,5.378021,4.2154036,7.0641494,4.343882,1
9.066326,4.495013,0.54994726,7.0744734,9.465218,-0.62737256,1.895904,4.766432,3.1830149,4.943112,5.566251,6.4857273,-0.25885072,2.752417,3.0332618,8.343625,8.684261,4.2215505,3.187382,4.8721213,-0.39788374,4.09024,5.386596,4.2020383,7.067606,4.3464046,1
9.074268,4.507012,0.56859463,7.0949163,9.449686,-0.6381542,1.9013091,4.7859607,3.1832323,4.949581,5.545622,6.470275,-0.2772233,2.731401,3.0552511,8.362356,8.68975,4.2119884,3.1825783,4.870288,-0.3786775,4.071012,5.394188,4.196408,7.0467033,4.3317914,1
9.0660925,4.49813,0.5706699,7.107817,9.450761,-0.6886809,1.9061855,4.7891808,3.1745737,4.9974065,5.549824,6.478196,-0.28929955,2.7161136,3.05676,8.373107,8.68325,4.201324,3.1803732,4.834905,-0.38617104,4.069381,5.3907366,4.2006407,7.0504436,4.336393,1
9.068576,4.5014887,0.57342285,7.1132445,9.446403,-0.70007175,1.9095918,4.7943687,3.1727042,5.0076923,5.546911,6.477831,-0.29454246,2.7105157,3.0617645,8.378009,8.685263,4.1976557,3.177514,4.828123,-0.3832262,4.0670524,5.394236,4.197449,7.0473094,4.3344855,1
9.070031,4.5057464,0.57508326,7.1245885,9.441257,-0.7214415,1.9164245,4.8042855,3.1666214,5.026739,5.5470123,6.4817905,-0.3047632,2.7001505,3.0663002,8.384303,8.686211,4.190973,3.171657,4.8143063,-0.38160342,4.066308,5.39996,4.1920285,7.0466223,4.335393,1
9.057796,4.4826975,0.58230734,7.1390104,9.442474,-0.76129675,1.9188449,4.804184,3.1599517,5.0670657,5.5528116,6.488903,-0.32039028,2.6826625,3.0608616,8.405444,8.675594,4.1751623,3.1751926,4.7783904,-0.3919822,4.0592003,5.3889008,4.2053866,7.0538664,4.3390365,1
9.062277,4.491317,0.54835385,7.074389,9.469833,-0.64813304,1.8931832,4.7608576,3.1837938,4.9603796,5.5691013,6.485906,-0.25776467,2.75077,3.028059,8.342297,8.681154,4.2227707,3.1900654,4.8655853,-0.40243858,4.091607,5.3827834,4.205494,7.0711484,4.347602,1
9.072097,4.505007,0.57170725,7.112154,9.444875,-0.68214536,1.9093571,4.797076,3.1742108,4.9916334,5.545825,6.476836,-0.29270196,2.7132127,3.0633307,8.373966,8.687498,4.200395,3.1776345,4.8424096,-0.3794396,4.0682364,5.3975,4.1938486,7.0456,4.3344917,1
4.4291105,1.4102875,2.1756182,11.25815,-2.2082493,6.758275,1.2152144,6.5569134,0.41463825,9.325955,1.2894508,6.1939235,1.884056,2.2987056,2.545401,4.774648,9.19182,3.107659,2.4078035,5.353084,4.282369,3.1822717,4.1247783,3.113166,6.328353,6.675414,0
-4.1582108,8.174866,0.17635146,6.3979588,10.095939,8.333581,0.14521882,5.6529036,1.2747555,4.849638,4.1437783,6.8927183,1.4444765,3.0049825,2.496895,4.87448,8.795685,3.9412158,3.7514532,4.2222013,3.8731008,4.070295,4.293211,3.668114,5.6995697,4.7462516,0
-4.160979,8.173952,0.18435562,6.4092674,10.107278,8.3224745,0.14809932,5.659563,1.2716415,4.850343,4.1295557,6.886375,1.435454,3.0113976,2.4851947,4.862002,8.79722,3.9407732,3.7431452,4.228451,3.8632066,4.078163,4.305172,3.6659992,5.6848555,4.7397156,0
-4.131824,8.174182,0.19086269,6.388534,10.076754,8.362431,0.13506712,5.6552186,1.2736564,4.8182335,4.168254,6.9299674,1.4417435,2.9991238,2.5210238,4.9054513,8.787944,3.9473293,3.7613106,4.1830344,3.8987863,4.060254,4.27612,3.6996946,5.731136,4.757034,0
-4.184894,8.013625,0.32118866,6.437642,10.231298,8.3517275,-0.03592402,5.8061943,1.1269772,4.7342257,4.1252794,6.9460526,1.321637,3.154099,2.3682024,4.8462143,8.656013,3.9650369,3.6072679,4.1788983,3.777952,4.2299776,4.4065084,3.7140367,5.6495314,4.6897197,0
