0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,active_hand
8.816117,2.5217075,6.151662,4.1680245,3.0032544,2.2604718,8.204066,5.5172057,6.224265,1.3929167,-3.697903,4.431759,5.536856,4.4171343,4.3512483,4.435,4.4769764,4.6176715,1
1.6554607,14.540568,4.0109224,6.7280765,5.6863713,2.5724697,5.02686,4.466843,5.0255113,4.692793,5.2815695,5.9108515,5.1439295,4.619963,4.8265305,4.834213,5.3363557,4.8703017,0
8.873242,2.5183315,6.0866838,4.237102,3.0844672,2.251545,8.273393,5.465228,6.1650705,1.3039186,-3.8028162,4.500207,5.5224175,4.3544316,4.316614,4.3768425,4.5391955,4.6314273,1
1.654286,14.540972,4.0064926,6.7265644,5.6764455,2.5712075,5.031598,4.469883,5.025376,4.690318,5.287278,5.9131355,5.1479535,4.61863,4.8272033,4.8338437,5.336621,4.8692493,0
8.837907,2.5290437,6.1472206,4.1743646,3.0129623,2.2658849,8.212039,5.5191298,6.2229824,1.3806747,-3.71764,4.4357023,5.52395,4.3919506,4.347156,4.4135423,4.482555,4.608223,1
1.6457227,14.55076,3.9979832,6.717994,5.669846,2.567752,5.039293,4.4779496,5.034874,4.681901,5.2949915,5.9218073,5.1561923,4.6098943,4.836459,4.843532,5.344107,4.859861,0
8.84214,2.525787,6.1349616,4.188999,3.0283072,2.2543848,8.227301,5.512283,6.215292,1.3656771,-3.726647,4.442413,5.53065,4.3910694,4.3346057,4.411083,4.4893627,4.613752,1
1.6543354,14.541871,4.006592,6.726605,5.6787434,2.5713363,5.030622,4.469268,5.0260873,4.690858,5.2864094,5.913175,5.147239,4.6184926,4.82743,4.8345175,5.3370523,4.868659,0
8.83342,2.5212653,6.1442666,4.178071,3.0165114,2.2598934,8.21588,5.5159616,6.219799,1.3771797,-3.716068,4.4403663,5.529061,4.3992324,4.338876,4.4200487,4.4852366,4.6130295,1
1.6541097,14.542294,4.007029,6.726303,5.6807766,2.57095,5.030385,4.4694257,5.0264807,4.6905646,5.2856994,5.913278,5.1471205,4.618264,4.8277664,4.8349495,5.3373795,4.8684416,0
8.773057,2.448373,6.151887,4.134449,2.9811993,2.287135,8.190146,5.490381,6.196787,1.4619942,-3.5705354,4.4990535,5.537507,4.477856,4.352569,4.495999,4.5528865,4.6454096,1
1.65881,14.529563,4.020613,6.7275467,5.7010865,2.5821695,5.0192013,4.463486,5.0168066,4.698875,5.271344,5.907826,5.136706,4.621867,4.8229933,4.8272448,5.329306,4.871207,0
8.802223,2.5325828,6.1812544,4.1388783,2.9733202,2.2717927,8.175072,5.544395,6.2532296,1.4263496,-3.6698098,4.4076314,5.525567,4.424399,4.364458,4.4498076,4.462035,4.5996065,1
1.6510614,14.544841,4.0057755,6.722666,5.685162,2.5694513,5.032135,4.4719872,5.0293546,4.6881075,5.286073,5.9159727,5.1488156,4.615013,4.83063,4.837783,5.339324,4.865048,0
8.791748,2.5038311,6.180071,4.1315174,2.9677777,2.2798183,8.172506,5.5318966,6.2412868,1.4428972,-3.6307464,4.430097,5.5269957,4.4453187,4.3599563,4.4684205,4.486567,4.6133075,1
1.6509105,14.546217,4.0046234,6.72196,5.6854935,2.5668864,5.033757,4.4743414,5.0297422,4.6863403,5.2871222,5.918325,5.1510134,4.6142716,4.831442,4.8376307,5.3395314,4.8636193,0
8.798688,2.499098,6.1767855,4.134126,2.9729846,2.2813418,8.17724,5.529345,6.2366023,1.4382235,-3.6343157,4.439146,5.5225673,4.4391956,4.353373,4.4640117,4.495537,4.6126437,1
1.6539993,14.542313,4.0128965,6.726321,5.6937385,2.5709105,5.0258827,4.468046,5.027122,4.6911836,5.2788253,5.9118366,5.1433754,4.6184645,4.828099,4.8358283,5.337551,4.868843,0
8.780228,2.522535,6.1689982,4.137399,2.9675474,2.2575455,8.170743,5.514385,6.2347417,1.4402429,-3.6414938,4.4083953,5.555629,4.453947,4.377996,4.4721813,4.459395,4.633538,1
1.6521142,14.544661,4.0142846,6.725848,5.7032523,2.5686584,5.025261,4.4686165,5.0297303,4.690002,5.276606,5.912367,5.1427116,4.6172004,4.829688,4.838426,5.3403506,4.8680544,0
8.797363,2.4541292,6.127315,4.1623793,3.00987,2.2728133,8.213918,5.4802604,6.188831,1.4301356,-3.5822399,4.4968348,5.544319,4.4567513,4.3376193,4.4694304,4.553704,4.6425104,1
1.6718342,14.522679,4.054031,6.7509217,5.740901,2.587227,4.988498,4.4385533,5.012371,4.7157564,5.2371664,5.882237,5.106702,4.640737,4.80918,4.823473,5.326305,4.89504,0
1.6691989,14.527745,4.0520706,6.748871,5.7406816,2.581696,4.990688,4.4427204,5.016314,4.711847,5.23895,5.886312,5.109065,4.6379743,4.811686,4.8261466,5.3292785,4.8926926,0
8.795361,2.4183486,6.135815,4.1446853,3.0008464,2.3017647,8.207701,5.4728045,6.1729155,1.4453516,-3.5300767,4.549647,5.523223,4.4679418,4.330282,4.48949,4.617789,4.6470947,1
1.6512277,14.544844,4.0060353,6.7217607,5.6843867,2.5702255,5.0313425,4.4714026,5.0296803,4.6881495,5.285213,5.9147477,5.1484523,4.615522,4.8308854,4.8387957,5.339379,4.8655367,0
8.946883,2.4521236,5.9284525,4.403504,3.308073,2.2681732,8.46475,5.283886,5.9335556,1.0839328,-4.0604177,4.8367133,5.476544,4.264806,4.250429,4.311855,4.8738837,4.70661,1
1.6493239,14.546742,4.002822,6.7198367,5.680138,2.5693593,5.0343857,4.4737573,5.031241,4.6860776,5.2886477,5.917207,5.151078,4.6133537,4.832493,4.8400183,5.340494,4.863352,0
