0,1,2,3,4,5,6,7,8,9,10,11,12,13,class_numeric
7.0962396,7.276985,4.962072,4.6981187,6.4673047,4.594861,4.3491306,5.3123035,5.9730625,3.917407,5.30209,4.79557,5.1734095,5.109168,0
7.2028227,7.229129,4.9496026,4.7348027,6.486806,4.5689964,4.3707476,5.349057,5.9890013,3.897487,5.261652,4.783662,5.1270638,5.0869913,1
-3.485166,8.158947,6.276769,3.8368447,3.7998025,5.020142,4.599549,4.7515144,6.332722,3.8515265,9.255918,4.276048,7.192622,5.070345,0
-3.489692,8.00175,6.4713984,3.7048404,3.6598773,4.9253488,4.3790073,4.567166,6.1850395,4.0474925,9.366051,4.1149163,7.0543585,5.268305,1
7.1249747,7.2668376,4.9908075,4.7859883,6.464772,4.662439,4.4129996,5.3886037,6.078148,3.953378,5.226769,4.754018,5.202122,5.056935,0
7.202073,7.231555,4.97573,4.8379073,6.4780526,4.6696696,4.417028,5.403046,6.1099973,3.9675844,5.2051725,4.713417,5.194143,5.054988,1
-3.5248096,8.061828,6.3616414,3.771818,3.7317455,4.953275,4.4708486,4.646949,6.2448044,3.9801397,9.379175,4.1754975,7.1430373,5.1716948,0
-3.437952,8.034565,6.498185,3.7311103,3.703798,4.969511,4.367009,4.53261,6.228932,4.0943503,9.311797,4.163717,7.045034,5.3196025,1
6.8953323,7.375481,5.0528665,4.585262,6.40625,4.6543403,4.4556966,5.379886,6.0765324,3.8842852,5.273305,4.8792977,5.2407255,5.02941,0
7.3110538,7.2185307,5.001273,4.740191,6.49212,4.592854,4.4981775,5.4882693,6.1244364,3.8850536,5.141872,4.7705274,5.139004,4.9862823,1
-3.4677656,8.144481,6.3611465,3.8277755,3.698647,5.005491,4.540637,4.707145,6.3072057,3.9141538,9.304294,4.1849394,7.14986,5.1520643,0
-3.4318821,8.033071,6.521538,3.7269697,3.6950269,4.972387,4.361281,4.522272,6.228924,4.1068077,9.305902,4.1652155,7.0380354,5.3343177,1
7.152062,7.269476,4.9707646,4.738056,6.4748673,4.613071,4.3738103,5.34567,5.997275,3.925768,5.2627625,4.7839556,5.1803384,5.0942764,0
